Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/07/2015,13:00:28,-,-,1,news.yahoo.com,66.196.66.212,/,GET,200,text/html,gzip,,-1,1160,309,,99,1259,,-1,0,67,-1,0,0,67,99,107821,108825,351,0,,,-1,0,
07/07/2015,13:00:28,-,-,2,l.yimg.com,66.196.65.111,/zz/combo?os/stencil/2.0.23/styles.css&os/mit/media/p/content/other/ad-controller-desktop-min-2e496c7.css&os/mit/media/p/content/base/v2-master-min-f784570.css&os/mit/media/p/content/base/v2-desktop-min-8180379.css&os/mit/media/p/common/stencil-fix-min-56d3a2e.css&os/mit/media/p/content/grids/v2sg-desktop-min-386af90.css&os/mit/media/p/content/overrides/classic-overrides-min-c644875.css&os/mit/media/p/content/overrides/stencil-v2s-reset-overrides-min-0a29171.css&os/mit/media/p/content/other/react-sidekick-min-c3a1164.css&os/mit/media/m/header/header-uh3-desktop-min-0724437.css&os/mit/media/m/ads/ads-min-81b3fea.css&os/mit/media/m/navigation/content-navigation-stencil-desktop-min-a8a04a0.css,GET,200,text/css,gzip,Yahoo,-1,164,45,,680,844,,-1,453,650,-1,0,0,650,680,26896,27354,1022,0,http://news.yahoo.com/,44,"Sun, 01 Feb 2032 22:39:27 GMT",0,
07/07/2015,13:00:28,-,-,3,l.yimg.com,66.196.65.111,/zz/combo?os/mit/media/m/content/sfl-notifier-min-ee15495.css&os/mit/media/m/content_social/media-content-follow-property-min-6f74faf.css&os/mit/media/m/content_social/media-content-follow-property-desktop-min-d86f135.css&os/mit/media/m/content_index/lead-desktop-min-af88cbe.css&os/mit/media/m/content_index/generic-listings-desktop-min-da555a8.css&os/mit/media/m/news/comic-desktop-min-f4bf147.css&yui:3.18.1/build/overlay/assets/skins/sam/overlay.css&os/mit/media/m/content_social/media-content-share-buttons-int-min-0116754.css,GET,200,text/css,gzip,Yahoo,-1,79,67,,683,762,,-1,0,0,-1,0,0,651,683,8948,9405,854,0,http://news.yahoo.com/,46,"Sat, 19 Feb 2033 22:41:57 GMT",0,
07/07/2015,13:00:28,-,-,4,l.yimg.com,66.196.65.111,/zz/combo?os/mit/media/themes/v2_base/base-min-41cfe10.css&os/mit/media/themes/v2_base/base-imagery-min-bec5796.css&os/mit/media/themes/v2_navyblue/theme-min-3c0540a.css&os/mit/media/themes/v2_navyblue/theme-imagery-min-5149db7.css&os/mit/media/p/news/region/US-min-7e5611a.css,GET,200,text/css,gzip,Yahoo,-1,162,82,,684,846,,-1,0,0,-1,0,0,650,683,14362,14820,600,0,http://news.yahoo.com/,48,"Sat, 09 Apr 2033 01:14:42 GMT",0,
07/07/2015,13:00:28,-,-,5,l.yimg.com,66.196.65.111,/zz/combo?kx/yucs/uh3s/atomic/60/css/atomic-min.css&kx/yucs/uh_common/meta/3/css/meta-min.css&kx/yucs/uhc/skip-links/4/css/skip-min.css&kx/yucs/uh3s/trending-now/26/css/trending_now-min.css&kx/yucs/uh3s/uh/410/css/uh-gs-grid-min.css,GET,200,text/css,gzip,Yahoo,-1,113,106,,684,797,,-1,0,0,-1,0,0,651,683,5315,5772,555,0,http://news.yahoo.com/,226,"Sat, 21 Jun 2025 18:17:50 GMT",0,
07/07/2015,13:00:28,-,-,6,l.yimg.com,66.196.65.111,/zz/combo?yui:3.18.1/build/yui/yui-min.js&os/mit/media/p/common/rmp-min-56d3a2e.js&aj/lh-0.9.js&os/mit/media/m/base/viewport-loader-min-649ba6f.js&ss/rapid-3.23.1.js&os/mit/td/asset-loader-min-c22b4b31.js&os/mit/media/p/content/react-with-addons-min-098f019.js,GET,200,application/javascript,gzip,Yahoo,-1,383,114,,684,1067,,-1,0,0,-1,0,0,651,683,118305,118792,568,0,http://news.yahoo.com/,50,"Sat, 05 Sep 2026 00:00:00 GMT",0,
07/07/2015,13:00:28,-,-,7,s.yimg.com,,/kx/yucs/uh3s/promo-ff/1/images/ff_icon-compressed.png,GET,200,image/png,,Yahoo,-1,102,101,,945,1047,,-1,547,819,-1,869,944,819,869,0,2120,478,0,http://news.yahoo.com/,320,"Sat, 30 Nov 2024 22:10:08 GMT",0,
07/07/2015,13:00:28,-,-,8,l.yimg.com,66.196.65.111,/zz/combo?nn/lib/metro/g/ui/helpers_0.0.9.css&nn/lib/metro/g/ui/typography_0.0.4.css&nn/lib/metro/g/theme/default/common_0.0.40.css&nn/lib/metro/g/theme/default/desktop_0.0.139.css&nn/lib/metro/g/uiplugins/tooltip_service_1.0.15.css,GET,200,text/css,gzip,Yahoo,-1,147,56,,1018,1165,,-1,0,0,-1,0,0,0,0,17162,17572,555,0,http://news.yahoo.com/,559,,0,
07/07/2015,13:00:28,-,-,9,l.yimg.com,66.196.65.111,/zz/combo?nn/lib/metro/g/stream/stream_0.0.315.css&nn/lib/metro/g/stream/themes/gs_0.0.61.css&nn/lib/metro/g/stream/themes/gs_site_news_0.0.4.css&nn/lib/metro/g/stream/rmx_ads_0.0.24.css&nn/lib/metro/g/stream/stream_tweets_0.0.32.css&nn/lib/metro/g/stream/stream_action_drawer_desktop_0.0.31.css&nn/lib/metro/g/stream/video_manager_0.0.7.css&nn/lib/metro/g/fstream/fstream_desktop_0.0.33.css&nn/lib/metro/g/login/login_0.0.75.css,GET,200,text/css,gzip,Yahoo,-1,116,98,,1020,1136,,-1,0,0,-1,0,0,0,0,10301,10711,752,0,http://news.yahoo.com/,561,,0,
07/07/2015,13:00:28,-,-,10,l3.yimg.com,66.196.65.111,/bt/api/res/1.2/VbcgUiezbLDxs1XpQMzgGQ--/YXBwaWQ9eW5ld3M7dz05MjtoPTkyO2ZpPWZpbGw7cHhvZmY9NTA7cHlvZmY9MTAw/https://s.yimg.com/os/games/us/3ccb5eaf-8e2c-4e40-a0c5-fb427169eb8c/logo/652705e717e2e2f2a457682739d1a1b6.png,GET,200,image/png,,Yahoo,-1,82,61,,1150,1232,,-1,669,797,-1,0,0,1058,1150,9426,10138,541,0,http://news.yahoo.com/,461,,0,
