Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/07/2015,13:27:18,-,-,1,cnn.com,157.166.226.26,/,GET,301,text/html,,,-1,128,128,,190,318,,-1,0,64,-1,0,0,65,190,178,439,344,0,,,,0,
07/07/2015,13:27:18,-,-,2,www.cnn.com,23.235.43.73,/,GET,302,,,Fastly,-1,36,36,,432,468,,-1,319,400,-1,0,0,400,432,0,268,348,0,,,,0,
07/07/2015,13:27:18,-,-,3,edition.cnn.com,23.235.43.73,/,GET,200,text/html,gzip,Fastly,-1,102,37,,583,685,,-1,470,550,-1,0,0,550,582,32783,33640,352,0,,,,0,
07/07/2015,13:27:18,-,-,4,edition.i.cdn.cnn.com,23.235.43.73,/.a/1.160.0/css/global.css,GET,200,text/css,gzip,Fastly,-1,1106,37,,778,1884,,-1,660,746,-1,0,0,746,777,16493,16948,374,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,-,-,5,edition.i.cdn.cnn.com,23.235.43.73,/.a/1.160.0/css/pages/page-blessed2.css,GET,200,text/css,gzip,Fastly,-1,375,62,,778,1153,,-1,0,0,-1,0,0,747,777,44746,45201,387,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,-,-,6,edition.i.cdn.cnn.com,23.235.43.73,/.a/1.160.0/css/pages/page-blessed1.css,GET,200,text/css,gzip,Fastly,-1,325,85,,778,1103,,-1,0,0,-1,0,0,747,777,32567,33022,387,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,-,-,7,edition.i.cdn.cnn.com,23.235.43.73,/.a/1.160.0/css/pages/page.css,GET,200,text/css,gzip,Fastly,-1,114,109,,780,894,,-1,0,0,-1,0,0,747,780,4023,4478,378,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,-,-,8,edition.i.cdn.cnn.com,23.235.43.73,/.a/1.160.0/js/cnn-header-first.min.js,GET,200,application/javascript,gzip,Fastly,-1,349,115,,781,1130,,-1,0,0,-1,0,0,747,780,35251,35704,371,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,-,-,9,edition.i.cdn.cnn.com,23.235.43.73,/.a/1.160.0/js/cnn-header-second.min.js,GET,200,application/javascript,gzip,Fastly,-1,840,141,,781,1621,,-1,0,0,-1,0,0,747,780,107085,107540,372,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,analytics,ClickTale,10,cdn.clicktale.net,91.194.205.46,/www04/phc/342da402-a44b-4b59-aba4-8fc2310e4478.js,GET,200,text/javascript,gzip,CDNetworks,-1,402,147,,794,1196,,-1,669,762,-1,0,0,763,794,1278,1614,379,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,analytics,ClickTale,11,cdn.clicktale.net,91.194.205.46,/www04/ptc/342da402-a44b-4b59-aba4-8fc2310e4478.js,GET,200,text/javascript,gzip,CDNetworks,-1,805,147,,794,1599,,-1,0,0,-1,0,0,763,794,4137,4473,379,0,http://edition.cnn.com/,5,,0,
07/07/2015,13:27:18,tracker,Optimizely,12,cdn.optimizely.com,93.184.220.20,/js/128727546.js,GET,200,text/javascript,gzip,Edgecast,-1,841,281,,795,1636,,-1,680,764,-1,0,0,764,794,34654,35149,346,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,-,-,13,edition.i.cdn.cnn.com,23.235.43.73,/.a/1.160.0/js/cnn-video-api.min.js?version=latest&client=expansion,GET,200,application/javascript,gzip,Fastly,-1,124,124,,895,1019,,-1,0,0,-1,0,0,0,0,1711,2164,400,0,http://edition.cnn.com/,1,,0,
07/07/2015,13:27:18,-,-,14,edition.i.cdn.cnn.com,23.235.43.73,/.a/1.160.0/js/cnn-footer-lib.min.js,GET,200,application/javascript,gzip,Fastly,-1,576,85,,1021,1597,,-1,0,0,-1,0,0,0,0,79556,80010,369,0,http://edition.cnn.com/,5,,0,
07/07/2015,13:27:18,-,-,15,z.cdn.turner.com,77.67.28.89,/analytics/cnnexpan/jsmd.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,333,61,,1093,1426,,-1,746,958,-1,0,0,959,1093,55594,55952,359,0,http://edition.cnn.com/,5,"Tue, 07 Jul 2015 13:36:35 GMT",0,
07/07/2015,13:27:18,-,-,16,fast.fonts.net,68.232.35.182,/t/1.css?apiType=css&projectid=20d74cc5-7f7c-49a7-80ae-fa2f389c550d,GET,200,text/css,,Edgecast,-1,98,98,,1094,1192,,-1,680,982,-1,0,0,982,1093,0,323,408,0,http://edition.cnn.com/,1,"Tue, 07 Jul 2015 13:27:20 GMT",0,
