Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,12:23:04,-,-,1,www.huffingtonpost.com,77.67.28.90,/,GET,200,text/html,gzip,Akamai,-1,187,75,,97,284,,-1,0,64,-1,0,0,65,97,66686,67046,359,0,,,,0,
07/08/2015,12:23:04,-,-,2,www.huffingtonpost.com,77.67.28.90,/images/mail_icon.png,GET,200,image/png,,Akamai,-1,61,61,,224,285,,-1,0,0,-1,0,0,65,97,1216,1478,366,0,http://www.huffingtonpost.com/,543,,0,
07/08/2015,12:23:04,-,-,3,www.huffingtonpost.com,77.67.28.90,/images/mobile/view-mobile-icon.png,GET,200,image/png,,Akamai,-1,39,39,,288,327,,-1,0,0,-1,0,0,0,0,1178,1440,380,0,http://www.huffingtonpost.com/,695,,0,
07/08/2015,12:23:04,-,-,4,s.huffpost.com,77.67.28.51,/assets/css.php?v=1436280342&f=verticals%2Fhomepage.css%2Cfrontpage.css%2Cfonts%2Fopensans-condbold%2Fstylesheet.css%2Ctopnav_new%2Fall_pages.css%2Ctopnav_new%2Ftop_nav.css%2Ctopnav_new%2Fmodule.edition_nav.css%2Cbasic.css%2Cverticals%2Fcolor_scheme.css%2Cadd%2Ffront.css%2Cbuttons.css%2Cmost_popular.css,GET,200,text/css,gzip,Akamai,-1,192,45,,350,542,,-1,216,318,-1,0,0,319,350,35953,36193,639,0,http://www.huffingtonpost.com/,74,,0,
07/08/2015,12:23:04,-,-,5,s.huffpost.com,77.67.28.51,/assets/css.php?v=1436280342&f=commercial.css%2Chuff_promo.css%2Csnp_friends.css%2Csnn-header.css%2Chp_modules%2Fmodule.splash_slideshow.css%2Chp_modules%2Fmodule.apps_feeds.css%2Chp_modules%2Fmodule.most_popular_celebrity.css%2Chufflists.css%2Csignup_modal.css%2Cdirect_message.css%2Cbadges_v2.css%2Chp_modules%2Ffacebook.css%2Cuser_levels.css,GET,200,text/css,gzip,Akamai,-1,200,83,,353,553,,-1,0,0,-1,0,0,318,350,29744,29984,679,0,http://www.huffingtonpost.com/,74,,0,
07/08/2015,12:23:04,-,-,6,s.huffpost.com,77.67.28.51,/assets/css.php?v=1436280342&f=twitter_splash.css%2Cbing.css%2Cgrouping.css%2Cmodal_window.css%2Chp_modules%2Fmodule.bubble.css%2Cemail_share.css,GET,200,text/css,gzip,Akamai,-1,138,129,,353,491,,-1,0,0,-1,0,0,319,350,6123,6362,480,0,http://www.huffingtonpost.com/,74,,0,
07/08/2015,12:23:04,-,-,7,s.huffpost.com,77.67.28.51,/assets/css.php?v=1436280342&f=social-navbar.css%2Chp_modules%2Fmodule.bubble-tags.css%2Chp_modules%2Fmodule.fb_like_button.css%2Csearch_autocomplete.css%2Cap_wires_scroll.css%2Cmod-follow.css%2Clogos.css,GET,200,text/css,gzip,Akamai,-1,127,121,,354,481,,-1,0,0,-1,0,0,319,353,4431,4670,539,0,http://www.huffingtonpost.com/,74,,0,
07/08/2015,12:23:04,-,-,8,s.huffpost.com,77.67.28.51,/assets/js.php?v=1436280342&f=yui_sub.js%2Cjquery.js,GET,200,application/x-javascript,gzip,Akamai,-1,321,140,,354,675,,-1,0,0,-1,0,0,320,354,33239,33495,372,0,http://www.huffingtonpost.com/,76,,0,
07/08/2015,12:23:04,-,-,9,s.huffpost.com,77.67.28.51,/assets/js.php?v=1436280342&f=jquery%2Fjquery.I18N.js%2Clocale%2Fdefault.js%2Csprintf-0.7.js,GET,200,application/x-javascript,gzip,Akamai,-1,464,166,,355,819,,-1,0,0,-1,0,0,320,354,2239,2494,412,0,http://www.huffingtonpost.com/,78,,0,
07/08/2015,12:23:04,-,-,10,s.huffpost.com,77.67.28.51,/assets/js.php?v=1436280342&f=huff.js%2Chp_config.js%2Cjsonmin.js%2Ccookiesmin.js%2Chp_track.js%2Chp_util.js%2Chp_browser.js%2Cget_font.js%2Cpreload_topnav_font.js%2C_tmp%2Fcommon.js%2C_tmp%2Fclick_tracker.js%2C_tmp%2Fcommon_paginator.js%2C_tmp%2Fhp_ads.js%2C_tmp%2Fquick_login.js%2Cfacebook.js%2Csnproject.js%2Chuff_promo.js%2Chptwitter_anywhere.js%2Ctwitter%2Ffrontpage.js%2Csearch_focus.js%2Csearch_autocomplete.js%2Cmod-follow.js%2Cconversations%2Fbootstrap.js%2C_front%2Ftopnav_new.js%2Cap_scroll_fastnews.js,GET,200,application/x-javascript,gzip,Akamai,-1,181,74,,482,663,,-1,0,0,-1,0,0,0,0,50035,50291,833,0,http://www.huffingtonpost.com/,80,,0,
07/08/2015,12:23:04,-,-,11,i.huffpost.com,77.67.28.80,/gen/3163408/images/r-TSIPRAS-MERKEL-huge.jpg,GET,200,image/jpeg,,Akamai,-1,271,67,,611,882,,-1,333,553,-1,0,0,554,610,104000,104381,382,104000,http://www.huffingtonpost.com/,1765,,0,
07/08/2015,12:23:04,-,-,12,o.aolcdn.com,77.67.28.89,/ads/adsWrapper.js,GET,200,application/javascript,gzip,Akamai,-1,77,54,,676,753,,-1,222,610,-1,0,0,610,675,14724,15074,336,0,http://www.huffingtonpost.com/,100,"Thu, 09 Jul 2015 12:23:06 GMT",0,
07/08/2015,12:23:04,-,-,13,s.huffpost.com,77.67.28.51,/images/v/logos/v4/homepage.gif?v9,GET,200,image/gif,,Akamai,-1,171,58,,826,997,,-1,0,0,-1,0,0,0,0,6304,6599,371,0,http://www.huffingtonpost.com/,904,,0,
07/08/2015,12:23:04,-,-,14,s.huffpost.com,77.67.28.51,/images/webslice12x12.png,GET,200,image/png,,Akamai,-1,65,65,,828,893,,-1,0,0,-1,0,0,0,0,575,869,362,0,http://www.huffingtonpost.com/,1806,,0,
07/08/2015,12:23:04,-,-,15,i.huffpost.com,77.67.28.80,/gen/3156896/images/n-GREECE-FLAG-medium.jpg,GET,200,image/jpeg,,Akamai,-1,91,67,,829,920,,-1,0,0,-1,0,0,589,663,13574,13954,381,13574,http://www.huffingtonpost.com/,1922,,0,
07/08/2015,12:23:04,-,-,16,www.huffingtonpost.com,77.67.28.90,/images/trans.gif,GET,200,image/gif,,Akamai,-1,88,88,,831,919,,-1,0,0,-1,0,0,0,0,43,304,362,0,http://www.huffingtonpost.com/,3435,,0,
07/08/2015,12:23:04,-,-,17,s.huffpost.com,77.67.28.51,/assets/js.php?v=1436280342&f=flashobjectmin.js%2Cjquery%2Fcolor.jquery.js%2C_tmp%2Ffloating_promt.js%2C_tmp%2Fquick_subscribe_user.js%2C_tmp%2Fquick_fan.js%2Cprovider.js%2Cposts.js%2Cmost_popular.js%2Clazyload-min.js%2Cuser.js%2Csocial_friends.js%2Cuser%2Frecommendations.js%2Csitemode.js%2Csplash_slideshow.js%2Cpopup_manager.js%2Cbadges_v2.js%2Cuser_levels.js%2Csharer.js%2Chuffconnect.js%2Cconnect_overview.js%2Cbing.js%2Chptwitter.js%2Cjquery%2Fui%2Fjquery.ui.core.min.js%2Cjquery%2Fui%2Fjquery.ui.widget.min.js%2Cjquery%2Fui%2Fjquery.ui.position.min.js%2Cjquery%2Fui%2Fjquery.ui.autocomplete.min.js%2Cjquery%2Fjquery.backgroundPosition.js%2Cjquery%2Fjquery.mousewheel-min.js%2C_tmp%2Fevent_module.js%2C_tmp%2Fdoc_status.js%2C_tmp%2Fview_tracker.js%2C_tmp%2Fslider.js%2C_tmp%2Fstructured_image.js%2C_tmp%2Fcurtain.js%2C_tmp%2Fpaginator.js%2C_tmp%2Fon_focus_timer.js%2C_tmp%2Ftwitter_util.js%2C_tmp%2Faol_search.js%2C_tmp%2Felection_widgets.js%2C_tmp%2Fhot_keys.js,GET,200,application/x-javascript,gzip,Akamai,-1,645,54,,870,1515,,-1,0,0,-1,0,0,0,0,65507,65763,1288,0,http://s.huffpost.com/assets/js.php?v=1436280342&f=yui_sub.js%2Cjquery.js,18,,0,
07/08/2015,12:23:04,-,-,18,i.huffpost.com,77.67.28.80,/gen/3162210/images/n-US-PAYING-BILLS-medium.jpg,GET,200,image/jpeg,,Akamai,-1,154,116,,884,1038,,-1,0,0,-1,0,0,0,0,23765,24157,385,23765,http://www.huffingtonpost.com/,2071,,0,
07/08/2015,12:23:04,-,-,19,o.aolcdn.com,77.67.28.89,/os/moat/prod/moatuac.js,GET,200,application/javascript,gzip,Akamai,-1,313,143,,898,1211,,-1,0,0,-1,0,0,0,0,45241,45591,342,0,http://o.aolcdn.com/ads/adsWrapper.js,162,"Wed, 08 Jul 2015 13:23:06 GMT",0,
