Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,12:22:17,-,-,1,www.nytimes.com,170.149.168.130,/,GET,200,text/html,gzip,,-1,415,117,,179,594,,-1,0,70,-1,0,0,71,179,32480,32999,352,0,,,,0,
07/08/2015,12:22:17,-,-,2,a1.nyt.com,23.62.99.136,/assets/homepage/20150629-145304/css/homepage/styles.css,GET,200,text/css,gzip,Akamai,-1,253,40,,457,710,,-1,340,427,-1,0,0,427,456,69167,69503,380,0,http://www.nytimes.com/,45,"Wed, 29 Jun 2016 14:16:18 GMT",0,
07/08/2015,12:22:17,-,-,3,a1.nyt.com,23.62.99.136,/assets/homepage/20150629-145304/js/homepage/ad-loader.js,GET,200,application/javascript,gzip,Akamai,-1,80,79,,457,537,,-1,0,0,-1,0,0,427,456,1579,1928,366,0,http://www.nytimes.com/,49,"Wed, 29 Jun 2016 14:16:18 GMT",0,
07/08/2015,12:22:17,-,-,4,a1.nyt.com,23.62.99.136,/assets/homepage/20150629-145304/js/foundation/lib/framework.js,GET,200,application/javascript,gzip,Akamai,-1,110,83,,457,567,,-1,0,0,-1,0,0,427,456,16960,17310,372,0,http://www.nytimes.com/,134,"Wed, 29 Jun 2016 14:16:18 GMT",0,
07/08/2015,12:22:17,-,-,5,typeface.nytimes.com,77.67.28.33,/zam5nzz.js,GET,200,application/javascript,gzip,Akamai,-1,80,80,,457,537,,-1,341,428,-1,0,0,428,456,254,581,369,0,http://www.nytimes.com/,53,"Fri, 10 Jul 2015 23:05:00 GMT",0,
07/08/2015,12:22:17,-,-,6,static01.nyt.com,23.62.99.160,/images/2015/07/08/arts/08TUNNEL/08TUNNEL-largeHorizontal375-v2.jpg,GET,200,image/jpeg,,Akamai,-1,152,83,,579,731,,-1,419,489,-1,0,0,490,578,34279,34641,399,34279,http://www.nytimes.com/,828,"Thu, 16 Jul 2015 09:17:45 GMT",0,
07/08/2015,12:22:17,-,-,7,static01.nyt.com,23.62.99.160,/images/2015/07/12/arts/12JPSCHUMER1/12JPSCHUMER1-mediumFlexible177.jpg,GET,200,image/jpeg,,Akamai,-1,55,36,,734,789,,-1,0,0,-1,0,0,0,0,12101,12463,403,12101,http://www.nytimes.com/,865,"Thu, 16 Jul 2015 09:17:19 GMT",0,
07/08/2015,12:22:17,-,-,8,int.nyt.com,2.21.243.59,/applications/portals/assets/portal-55141b2d6af8b0bbd46a3aa0f076ef9c.css,GET,200,text/css,gzip,Akamai,-1,59,47,,744,803,,-1,573,713,-1,0,0,713,744,8070,8692,397,0,http://www.nytimes.com/,1285,,0,
07/08/2015,12:22:17,-,-,9,int.nyt.com,2.21.243.59,/applications/portals/assets/portal/app-0c63f3d61c34d5a70ebff8bc625ba076.js,GET,200,application/javascript,gzip,Akamai,-1,138,61,,745,883,,-1,0,0,-1,0,0,713,744,43649,44298,385,0,http://www.nytimes.com/,1295,,0,
07/08/2015,12:22:17,-,-,10,www.nytimes.com,170.149.168.130,"/adx/bin/adxrun.html?jsonp=NYTADX.processAdx&page=homepage.nytimes.com/index.html&positions=Header1,Middle1C,TopLeft,TopRight,Top5,Top,Top_Close,Box1,Bar1,MOTHAd,Middle,HPmodule-RE2,Middle4,Middle5,HPMiddle,HPMiddle3,HPPromo,HPBottom1,HPMidLeader,HPBreak,HPSponLink,HPWeather,Bottom8,Bottom9,Anchor,Inv1,Inv2,Inv3,ab1,ab2,ab3,prop1,prop2&autoconfirm=0&cpp=1&v=3&attributes=nyt5&keywords=China%2CStocks%20and%20Bonds%2CChina%2CHong%20Kong%2CStocks%20and%20Bonds%2CBanking%20and%20Financial%20Institutions%2CRegulation%20and%20Deregulation%20of%20Industry%2CEconomic%20Conditions%20and%20Trends%2CLi%20Keqiang%2CChina%2CEconomic%20Conditions%20and%20Trends%2CStocks%20and%20Bonds%2CPrices%20(Fares%2C%20Fees%20and%20Rates)%2CEuropean%20Sovereign%20Debt%20Crisis%20(2010-%20)%2CEuro%20(Currency)%2CLegislatures%20and%20Parliaments%2CEuropean%20Central%20Bank%2CEuropean%20Union%2CEurozone%2CAthens%20(Greece)%2CFlags%2C%20Emblems%20and%20Insignia%2CCharleston%2C%20SC%2C%20Shooting%20(2015)%2CRoof%2C%20Dylann%20Storm%2CCharleston%20(SC)%2CColumbia%20(SC)%2CTransit%20Systems%2CRailroads%2CBridges%20and%20Tunnels%2CPennsylvania%20Station%20(Manhattan%2C%20NY)%2CMovies%2CSchumer%2C%20Amy%2CTrainwreck%20(Movie)%2CMicrosoft%20Corporation%2CNadella%2C%20Satya%2CLayoffs%20and%20Job%20Reductions%2CComputers%20and%20the%20Internet%2CCox%2C%20Dale%2CCapital%20Punishment%2CLouisiana%2CMurders%2C%20Attempted%20Murders%20and%20Homicides%2CDistrict%20Attorneys%2CSentences%20(Criminal)%2CSupreme%20Court%20(US)%2CGolf%2CTrump%2C%20Donald%20J%2CProfessional%20Golfers%20Assn%2CTrump%20National%20Golf%20Club%2CAppointments%20and%20Executive%20Changes%2CBanking%20and%20Financial%20Institutions%2CBarclays%20PLC%2CJenkins%2C%20Antony%20P%2CMcFarlane%2C%20John%20(1947-%20)%2CDiamond%2C%20Robert%20E%20Jr%2CWalker%2C%20David%20Alan%2CGreat%20Britain%2CLibor%20(London%20Interbank%20Offered%20Rate)%2CFederal%20Budget%20(US)%2CUnited%20States%20Politics%20and%20Government%2CHouse%20Committee%20on%20Appropriations%2CRepublican%20Party%2CIran%2CNuclear%20Weapons%2CEmbargoes%20and%20Sanctions%2CMogherini%2C%20Federica%2CKerry%2C%20John%2CObama%2C%20Barack%2CLesbos%20(Greece)%2CMiddle%20East%20and%20Africa%20Migrant%20Crisis%2CSyria%2CRefugees%20and%20Displaced%20Persons%2CSocial%20Media%2CEncyclicals%2CEnvironment%2CForests%20and%20Forestry%2CFrancis%2CCorrea%2C%20Rafael%2CAmazon%20Jungle%2CEcuador%2COil%20(Petroleum)%20and%20Gasoline%2CDrought%2CConservation%20of%20Resources%2CCalifornia%2CCooking%20and%20Cookbooks%2CSoler%2C%20Juli%2CEl%20Bulli%20(Catalonia%2C%20Spain%2C%20Restaurant)%2CDeaths%20(Obituaries)%2CRestaurants%2CCatalonia%20(Spain)%2CGo%20Set%20a%20Watchman%20(Book)%2CLee%2C%20Harper%2CBooks%20and%20Literature%2CBook%20Trade%20and%20Publishing%2Cnyt5",GET,200,application/javascript,gzip,,-1,369,260,,758,1127,,-1,0,0,-1,0,0,71,180,5609,5964,3118,0,http://a1.nyt.com/assets/homepage/20150629-145304/js/homepage/ad-loader.js,1,"Thu, 01 Dec 1994 16:00:00 GMT",0,
