Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/07/2015,13:19:08,-,-,1,theguardian.com,77.91.252.10,/,GET,301,text/html,gzip,,-1,42,42,,118,160,,-1,0,78,-1,0,0,78,118,194,501,352,0,,,,0,
07/07/2015,13:19:08,-,-,2,www.theguardian.com,23.235.43.67,/,GET,302,,,Fastly,-1,36,36,,273,309,,-1,163,240,-1,0,0,240,273,0,574,356,0,,,,0,
07/07/2015,13:19:08,-,-,3,www.theguardian.com,23.235.43.67,/international,GET,200,text/html,gzip,Fastly,-1,172,38,,311,483,,-1,0,0,-1,0,0,241,273,72106,73188,417,0,,,"Tue, 07 Jul 2015 13:19:28 GMT",0,
07/07/2015,13:19:08,-,-,4,assets.guim.co.uk,,/stylesheets/a9a54595b4802c61f64f23353b692ea0/facia.css,GET,200,text/css,gzip,Fastly,-1,187,139,,573,760,,-1,420,474,-1,506,572,474,506,0,24649,394,0,http://www.theguardian.com/international,175,,0,
07/07/2015,13:19:08,-,-,5,assets.guim.co.uk,,/javascripts/9c745d2ae8824c6beccf6f275f354bad/core.js,GET,200,application/x-javascript,gzip,Fastly,-1,220,91,,573,793,,-1,451,474,-1,505,572,474,505,0,66064,377,0,http://www.theguardian.com/international,198,,0,
07/07/2015,13:19:08,-,-,6,assets.guim.co.uk,,/stylesheets/11f77e73839989adcab714368630e1f7/print.css,GET,200,text/css,gzip,Fastly,-1,107,78,,578,685,,-1,451,474,-1,506,578,474,506,0,3525,394,0,http://www.theguardian.com/international,180,,0,
07/07/2015,13:19:08,-,-,7,beacon.guim.co.uk,54.228.215.144,/count/pv.gif,GET,200,image/gif,,,-1,60,60,,721,781,,-1,394,504,-1,0,0,615,720,35,166,363,0,http://www.theguardian.com/international,3137,,0,
07/07/2015,13:19:08,-,-,8,i.guim.co.uk,23.235.43.67,/img/media/84377cbc0b102e89170fb95baa104a89d778e1aa/1613_1299_3861_2316/1000.jpg?w=460&q=85&auto=format&sharp=10&s=8b43c2f2848631bb4972d009def3137c,GET,200,image/webp,,Fastly,-1,161,41,,741,902,,-1,468,663,-1,0,0,664,739,17036,19815,492,0,http://www.theguardian.com/international,501,,0,
07/07/2015,13:19:08,-,-,9,i.guim.co.uk,23.235.43.67,/img/media/f0dcc6b6a215cd3e78dc4a68666298364580eeb5/0_43_3660_2197/master/3660.jpg?w=220&q=85&auto=format&sharp=10&s=1f50c12149c42d19658358a45e9e2e9f,GET,200,image/webp,,Fastly,-1,82,67,,741,823,,-1,0,0,-1,0,0,664,739,7562,10348,494,0,http://www.theguardian.com/international,567,,0,
07/07/2015,13:19:08,-,-,10,i.guim.co.uk,23.235.43.67,/img/media/c3ea1b42cebe7dd55500c9f1c38672cbfa5f531e/0_236_3500_2100/1000.jpg?w=460&q=85&auto=format&sharp=10&s=c877af32ada2bf63fb0f97fd2482d735,GET,200,image/webp,,Fastly,-1,242,84,,741,983,,-1,0,0,-1,0,0,663,739,37966,40727,488,0,http://www.theguardian.com/international,599,,0,
