Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,12:30:07,-,-,1,financialexpress.com,185.3.92.68,/,GET,301,text/html,,,-1,44,44,,281,325,,-1,0,244,-1,0,0,244,281,0,383,357,0,,,"Wed, 08 Jul 2015 12:40:09 GMT",0,
07/08/2015,12:30:07,-,-,2,www.financialexpress.com,87.248.203.253,/,GET,200,text/html,gzip,Limelight,-1,100,37,,569,669,,-1,326,534,-1,0,0,534,568,26813,27258,361,0,,,"Wed, 08 Jul 2015 12:30:52 GMT",0,
07/08/2015,12:30:07,-,-,3,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/css/bootstrap.min.css?ver=4.2.2,GET,200,text/css,gzip,Limelight,-1,993,37,,664,1657,,-1,0,0,-1,0,0,534,568,17155,17545,418,0,http://www.financialexpress.com/,44,"Fri, 06 May 2016 10:02:41 GMT",0,
07/08/2015,12:30:07,-,-,4,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/css/style.css?ver=4.2.2,GET,200,text/css,gzip,Limelight,-1,71,39,,672,743,,-1,0,0,-1,0,0,0,0,19872,20280,410,0,http://www.financialexpress.com/,45,"Thu, 16 Jun 2016 10:43:30 GMT",0,
07/08/2015,12:30:07,-,-,5,www.financialexpress.com,87.248.203.253,/wp-content/plugins/jetpack/css/jetpack.css?ver=3.5.3,GET,200,text/css,gzip,Limelight,-1,64,51,,695,759,,-1,0,0,-1,0,0,663,695,9173,9562,400,0,http://www.financialexpress.com/,46,"Tue, 07 Jun 2016 10:00:53 GMT",0,
07/08/2015,12:30:07,-,-,6,www.financialexpress.com,87.248.203.253,/wp-includes/js/jquery/jquery.js?ver=1.11.2,GET,200,application/javascript,gzip,Limelight,-1,149,63,,698,847,,-1,0,0,-1,0,0,664,698,33271,33675,375,0,http://www.financialexpress.com/,47,"Tue, 26 Apr 2016 19:07:03 GMT",0,
07/08/2015,12:30:07,-,-,7,www.financialexpress.com,87.248.203.253,/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1,GET,200,application/x-javascript,gzip,Limelight,-1,87,84,,698,785,,-1,0,0,-1,0,0,665,698,3068,3474,386,0,http://www.financialexpress.com/,48,"Tue, 29 Dec 2015 07:53:29 GMT",0,
07/08/2015,12:30:07,-,-,8,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/js/bootstrap.min.js?ver=1,GET,200,application/x-javascript,gzip,Limelight,-1,105,93,,698,803,,-1,0,0,-1,0,0,665,698,7679,8085,397,0,http://www.financialexpress.com/,49,"Tue, 29 Dec 2015 07:53:31 GMT",0,
07/08/2015,12:30:07,-,-,9,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/js/tab.js?ver=1,GET,200,application/x-javascript,gzip,Limelight,-1,61,61,,744,805,,-1,0,0,-1,0,0,0,0,1074,1480,387,0,http://www.financialexpress.com/,50,"Sat, 26 Dec 2015 14:15:05 GMT",0,
07/08/2015,12:30:07,-,-,10,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/js/offcanvas.js?ver=1,GET,200,application/x-javascript,gzip,Limelight,-1,64,64,,763,827,,-1,0,0,-1,0,0,0,0,134,539,393,0,http://www.financialexpress.com/,51,"Tue, 29 Dec 2015 07:54:56 GMT",0,
07/08/2015,12:30:07,-,-,11,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/js/jquery.bxslider.min.js?ver=4.1,GET,200,application/javascript,gzip,Limelight,-1,68,61,,786,854,,-1,0,0,-1,0,0,0,0,5166,5587,405,0,http://www.financialexpress.com/,52,"Thu, 16 Jun 2016 10:43:09 GMT",0,
07/08/2015,12:30:07,-,-,12,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/js/ismobile.js,GET,200,application/javascript,gzip,Limelight,-1,51,51,,804,855,,-1,0,0,-1,0,0,0,0,205,625,386,0,http://www.financialexpress.com/,64,"Fri, 17 Jun 2016 10:15:06 GMT",0,
07/08/2015,12:30:07,-,-,13,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/js/ie_adv_list.js,GET,200,application/javascript,gzip,Limelight,-1,50,50,,808,858,,-1,0,0,-1,0,0,0,0,1713,2116,389,0,http://www.financialexpress.com/,177,"Fri, 06 May 2016 09:58:05 GMT",0,
07/08/2015,12:30:07,widget,Polldaddy,14,static.polldaddy.com,68.232.35.233,/p/8960922.js,GET,200,text/javascript,gzip,Edgecast,-1,43,37,,887,930,,-1,757,855,-1,0,0,856,887,4556,4875,341,0,http://www.financialexpress.com/,734,,0,
07/08/2015,12:30:07,-,-,15,fonts.googleapis.com,74.125.136.95,"/css?family=Droid+Sans:400,700",GET,200,text/css,gzip,Google,-1,41,41,,898,939,,-1,768,862,-1,0,0,862,898,353,831,373,0,http://www.financialexpress.com/,47,"Wed, 08 Jul 2015 12:30:10 GMT",0,
07/08/2015,12:30:07,widget,Crowdynews,16,widget.breakingburner.com,23.62.99.139,/js/jwidget.js,GET,200,application/javascript,gzip,Akamai,-1,59,37,,910,969,,-1,761,878,-1,0,0,879,910,14677,15019,347,0,http://www.financialexpress.com/,738,"Wed, 08 Jul 2015 19:23:17 GMT",0,
07/08/2015,12:30:07,-,-,17,images.financialexpress.com,87.248.203.253,/2015/07/china-markets780.jpg?w=400,GET,200,image/jpeg,,Limelight,-1,81,38,,970,1051,,-1,731,932,-1,0,0,932,970,15668,15938,387,15668,http://www.financialexpress.com/,456,"Wed, 08 Jul 2015 12:34:56 GMT",0,
07/08/2015,12:30:07,-,-,18,s0.wp.com,93.184.220.111,/wp-content/js/devicepx-jetpack.js?ver=201528,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,40,37,,1027,1067,,-1,764,989,-1,0,0,989,1027,3096,3436,362,0,http://www.financialexpress.com/,1001,"Thu, 07 Jul 2016 12:30:10 GMT",0,
07/08/2015,12:30:07,-,-,19,www.financialexpress.com,87.248.203.253,/wp-includes/js/wp-emoji-release.min.js?ver=4.2.2,GET,200,application/javascript,gzip,Limelight,-1,43,38,,1056,1099,,-1,0,0,-1,0,0,0,0,4326,4729,381,0,http://www.financialexpress.com/,28,"Fri, 06 May 2016 02:44:22 GMT",0,
07/08/2015,12:30:07,-,-,20,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/images/searchicon.gif,GET,200,image/gif,,Limelight,-1,42,42,,1103,1145,,-1,0,0,-1,0,0,0,0,1660,1981,410,0,http://www.financialexpress.com/,351,"Sat, 26 Dec 2015 14:15:06 GMT",0,
07/08/2015,12:30:07,-,-,21,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/images/shareicon.gif,GET,200,image/gif,,Limelight,-1,45,45,,1152,1197,,-1,0,0,-1,0,0,0,0,1664,1985,409,0,http://www.financialexpress.com/,353,"Tue, 29 Dec 2015 07:54:55 GMT",0,
07/08/2015,12:30:07,-,-,22,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/images/search.jpg,GET,200,image/jpeg,,Limelight,-1,40,40,,1204,1244,,-1,0,0,-1,0,0,0,0,1591,1912,406,1591,http://www.financialexpress.com/,381,"Mon, 30 May 2016 05:45:47 GMT",0,
07/08/2015,12:30:07,-,-,23,www.financialexpress.com,87.248.203.253,/wp-content/themes/vip/financialexpress/images/the-financial-express.jpg,GET,200,image/jpeg,,Limelight,-1,104,87,,1251,1355,,-1,0,0,-1,0,0,0,0,12562,12885,421,12562,http://www.financialexpress.com/,387,"Tue, 29 Dec 2015 07:54:29 GMT",0,
