Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/07/2015,13:20:27,-,-,1,bbc.co.uk,212.58.244.20,/news/,GET,301,text/html,,,-1,43,43,,110,153,,-1,0,71,-1,0,0,71,110,0,177,351,0,,,,0,
07/07/2015,13:20:27,-,-,2,www.bbc.co.uk,212.58.246.93,/news/,GET,301,text/html,gzip,,-1,44,44,,288,332,,-1,155,248,-1,0,0,248,288,20,396,355,0,,,,0,
07/07/2015,13:20:27,-,-,3,www.bbc.co.uk,212.58.246.93,/news,GET,200,text/html,gzip,,-1,129,52,,335,464,,-1,0,0,-1,0,0,0,0,34158,34964,354,0,,,,0,
07/07/2015,13:20:27,-,-,4,static.bbci.co.uk,77.67.28.72,/frameworks/barlesque/2.83.10/orb/4/style/orb.css,GET,200,text/css,gzip,Akamai,-1,43,38,,545,588,,-1,434,514,-1,0,0,514,545,4656,5122,382,0,http://www.bbc.co.uk/news,160,"Thu, 12 May 2016 10:25:10 GMT",0,
07/07/2015,13:20:27,-,-,5,static.bbci.co.uk,77.67.28.72,/news/1.77.0374/stylesheets/services/news/core.css,GET,200,text/css,gzip,Akamai,-1,68,44,,546,614,,-1,0,0,-1,0,0,514,545,14885,15368,383,0,http://www.bbc.co.uk/news,174,"Wed, 06 Jul 2016 08:47:38 GMT",0,
07/07/2015,13:20:27,-,-,6,static.bbci.co.uk,77.67.28.72,/frameworks/barlesque/2.83.10/orb/4/script/orb/api.min.js,GET,200,application/javascript,gzip,Akamai,-1,71,71,,546,617,,-1,0,0,-1,0,0,514,545,271,687,375,0,http://www.bbc.co.uk/news,167,"Thu, 12 May 2016 10:25:07 GMT",0,
07/07/2015,13:20:27,-,-,7,static.bbci.co.uk,77.67.28.72,/frameworks/requirejs/lib.js,GET,200,application/javascript,gzip,Akamai,-1,81,71,,548,629,,-1,0,0,-1,0,0,514,548,7504,7918,346,0,http://www.bbc.co.uk/news,156,"Tue, 07 Jul 2015 13:49:55 GMT",0,
07/07/2015,13:20:27,-,-,8,static.bbci.co.uk,77.67.28.72,/frameworks/barlesque/2.83.10/orb/4/img/bbc-blocks-dark.png,GET,200,image/png,,Akamai,-1,84,84,,548,632,,-1,0,0,-1,0,0,514,548,735,1091,394,0,http://www.bbc.co.uk/news,192,"Thu, 12 May 2016 10:25:08 GMT",0,
07/07/2015,13:20:27,-,-,9,static.bbci.co.uk,77.67.28.72,/id/0.27.23/img/bbcid_orb_signin_dark.png,GET,200,image/png,,Akamai,-1,38,38,,633,671,,-1,0,0,-1,0,0,0,0,1265,1622,376,0,http://www.bbc.co.uk/news,192,"Wed, 27 Apr 2016 10:35:10 GMT",0,
07/07/2015,13:20:27,-,-,10,static.bbci.co.uk,77.67.28.72,/frameworks/barlesque/2.83.10/orb/4/img/orb-search-dark.png,GET,200,image/png,,Akamai,-1,37,37,,635,672,,-1,0,0,-1,0,0,0,0,283,639,394,0,http://www.bbc.co.uk/news,192,"Thu, 12 May 2016 10:25:07 GMT",0,
