Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:14:01,-,-,1,foxnews.com,23.62.99.136,/,GET,301,,,,-1,38,38,,99,137,,-1,0,67,-1,0,0,67,98,0,170,348,0,,,,0,
07/08/2015,09:14:01,-,-,2,www.foxnews.com,77.67.4.64,/,GET,200,text/html,gzip,Akamai,-1,111,88,,240,351,,-1,139,207,-1,0,0,207,240,14607,14886,352,0,,,,0,
07/08/2015,09:14:01,-,-,3,ads.foxnews.com,23.34.179.153,/js/ad.js?20150705T1526,GET,200,text/javascript,gzip,Akamai,-1,79,41,,476,555,,-1,366,445,-1,0,0,446,475,23699,24067,337,0,http://www.foxnews.com/,85,,0,
07/08/2015,09:14:01,-,-,4,global.fncstatic.com,23.34.179.153,/static/v/fn-hp/css/ag.home.css?20150705T1526,GET,200,text/css,gzip,Akamai,-1,70,37,,585,655,,-1,363,555,-1,0,0,555,585,20858,21182,379,0,http://www.foxnews.com/,80,,0,
07/08/2015,09:14:01,-,-,5,global.fncstatic.com,23.34.179.153,/static/v/all/js/ag.jquery.js?20150705T1526,GET,200,application/x-javascript,gzip,Akamai,-1,208,72,,586,794,,-1,0,0,-1,0,0,555,586,57260,57601,362,0,http://www.foxnews.com/,84,,0,
07/08/2015,09:14:01,-,-,6,global.fncstatic.com,23.34.179.153,/static/v/fn-hp/js/ag.hp.new.js?20150705T1526,GET,200,application/x-javascript,gzip,Akamai,-1,532,110,,587,1119,,-1,0,0,-1,0,0,555,586,198497,198837,364,0,http://www.foxnews.com/,86,,0,
07/08/2015,09:14:01,-,-,7,a57.foxnews.com,23.34.179.153,/www.foxnews.com/images/root_images/0/0/sf%20sheriff%20397_20150708_022333.jpg,GET,200,image/jpeg,,Akamai,-1,188,158,,696,884,,-1,368,591,-1,0,0,591,696,18689,18954,409,18689,http://www.foxnews.com/,223,"Thu, 09 Jul 2015 06:32:28 GMT",0,
07/08/2015,09:14:01,-,-,8,www.foxnews.com,77.67.4.64,/i/redes/icon-video.gif,GET,200,image/gif,,Akamai,-1,36,36,,1127,1163,,-1,0,0,-1,0,0,0,0,228,471,354,0,http://www.foxnews.com/,229,,0,
07/08/2015,09:14:01,-,-,9,a57.foxnews.com,23.34.179.153,/www.foxnews.com/ucat/images/root/212/96/Cfakepaththumb%20fallin%20_20150708_041615.jpg,GET,200,image/jpeg,,Akamai,-1,73,39,,1127,1200,,-1,0,0,-1,0,0,0,0,22094,22358,418,22094,http://www.foxnews.com/,250,"Thu, 09 Jul 2015 08:18:20 GMT",0,
07/08/2015,09:14:01,-,-,10,a57.foxnews.com,23.34.179.153,/www.foxnews.com/ucat/images/root/212/96/Cfakepaththumb%20military%20loans_20150708_020959.jpg,GET,200,image/jpeg,,Akamai,-1,147,76,,1127,1274,,-1,0,0,-1,0,0,623,736,25241,25506,425,25241,http://www.foxnews.com/,262,"Thu, 09 Jul 2015 06:31:25 GMT",0,
