Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:16:55,-,-,1,washingtonpost.com,204.74.99.100,/,GET,302,,,,-1,36,36,,104,140,,-1,0,72,-1,0,0,73,104,0,97,355,0,,,,0,
07/08/2015,09:16:55,-,-,2,washingtonpost.com,204.74.99.100,/,GET,301,text/html,,,-1,39,39,,3113,3152,,-1,0,0,-1,0,0,73,3113,2,270,355,0,,,,0,
07/08/2015,09:16:55,-,-,3,www.washingtonpost.com,192.33.31.56,/,GET,301,text/html,,Instart Logic,-1,36,36,,3260,3296,,-1,3154,3228,-1,0,0,3229,3260,181,459,359,0,,,,0,
07/08/2015,09:16:55,-,-,4,www.washingtonpost.com,,/,GET,200,text/html,gzip,Instart Logic,-1,232,146,,3743,3975,,-1,0,0,-1,3690,3743,3661,3690,0,62550,350,0,,,,0,
07/08/2015,09:16:55,-,-,5,js.washingtonpost.com,,/wpost/js/combo?token=20150520163000&c=true&m=true&context=eidos&r=/conf.js&r=/jquery-1.7.1.js&r=/plugin/plugin.jquery.imageLazyLoader-1.0.0.js&r=/actmgmt/acctmgmt_common.js&r=/plugin/plugin.jquery.cookie-1.0.0.js,GET,200,application/x-javascript,gzip,Instart Logic,-1,401,381,,4099,4500,,-1,3937,4006,-1,4036,4099,4006,4036,0,48082,659,0,https://www.washingtonpost.com/,154,"Fri, 31 Jul 2015 10:20:58 GMT",0,
07/08/2015,09:16:55,-,-,6,js.washingtonpost.com,,/wpost/js/combo?token=20150520163000&c=true&m=true&context=eidos&r=/plugin/plugin.jquery.tools.overlay.1.2.7mod.js&r=/plugin/plugin.jquery.tools.overlay.apple.js&r=/plugin/plugin.jquery.tools.toolbox.expose.js,GET,200,application/x-javascript,gzip,Instart Logic,-1,306,303,,4108,4414,,-1,3937,4005,-1,4035,4108,4005,4035,0,3402,655,0,https://www.washingtonpost.com/,154,"Tue, 04 Aug 2015 22:14:09 GMT",0,
07/08/2015,09:16:55,-,-,7,js.washingtonpost.com,,/wpost/js/combo?token=20150520163000&c=true&m=true&context=eidos&r=/util/util-user-2.0.0.js&r=/util/util.identity-management-1.1.0.js,GET,200,application/x-javascript,gzip,Instart Logic,-1,142,139,,4121,4263,,-1,3938,4005,-1,4036,4121,4005,4036,0,6416,579,0,https://www.washingtonpost.com/,154,"Fri, 31 Jul 2015 10:21:50 GMT",0,
07/08/2015,09:16:55,-,-,8,js.washingtonpost.com,,/wp-stat/analytics/main.js,GET,200,text/javascript,gzip,Instart Logic,-1,581,543,,4141,4722,,-1,3938,4006,-1,4036,4141,4006,4036,0,33332,472,0,https://www.washingtonpost.com/,198,"Thu, 25 Jun 2015 03:14:31 GMT",0,
07/08/2015,09:16:55,tracker,Adobe Test & Target,9,js.washingtonpost.com,,/wp-stat/otto/js/mbox.js,GET,200,application/x-javascript,gzip,Instart Logic,-1,144,137,,4157,4301,,-1,3938,4005,-1,4037,4157,4005,4037,0,8797,470,0,https://www.washingtonpost.com/,308,"Fri, 26 Jun 2015 00:05:09 GMT",0,
07/08/2015,09:16:55,-,-,10,css.washingtonpost.com,,/wpost/css/combo?token=20150701150800&inttoken=201510130600&context=eidos&c=true&m=true&r=/2.0.0/fonts/font_FranklinITCProBold.css,GET,200,text/css,gzip,Instart Logic,-1,141,139,,4185,4326,,-1,3935,4008,-1,4041,4185,4008,4041,0,758,592,0,https://www.washingtonpost.com/,76,"Fri, 31 Jul 2015 18:35:40 GMT",0,
07/08/2015,09:16:55,-,-,11,js.washingtonpost.com,,/rw/sites/twpweb/js/module/module.menus-2.0.0.js?token=20130923141600,GET,200,text/javascript,gzip,Instart Logic,-1,136,135,,4193,4329,,-1,3946,4008,-1,4042,4193,4008,4042,0,1845,515,0,https://www.washingtonpost.com/,1780,"Tue, 04 Aug 2015 22:15:08 GMT",0,
07/08/2015,09:16:55,-,-,12,js.washingtonpost.com,,/wpost/js/combo?token=20150520163000&c=true&m=true&context=eidos&r=/wapo/wapo_sites.js&r=/wapo/wapolabs.nojq.full.js&r=/wapo/prod/wapo_identity_full.js,GET,200,application/x-javascript,gzip,Instart Logic,-1,139,138,,4263,4402,,-1,0,0,-1,0,0,0,0,0,9541,597,0,https://www.washingtonpost.com/,3491,"Fri, 31 Jul 2015 10:20:57 GMT",0,
07/08/2015,09:16:55,-,-,13,css.washingtonpost.com,,/wpost/css/combo?token=20150701150800&inttoken=201510130600&context=eidos&c=true&m=true&r=/2.0.0/reset.css&r=/2.0.0/structure.css&r=/2.0.0/header.css&r=/2.0.0/footer.css&r=/2.0.0/right-rail.css&r=/2.0.0/rules.css&r=/2.0.0/forms.css&r=/2.0.0/base.css&r=/2.0.0/modal.css&r=/2.0.0/accordion.css&r=/2.0.0/storyflipper.css&r=/2.0.0/flipper.css&r=/2.0.0/social-tools/social-toolbar.css,GET,200,text/css,gzip,Instart Logic,-1,322,317,,4325,4647,,-1,0,0,-1,0,0,0,0,0,37552,841,0,https://www.washingtonpost.com/,77,"Fri, 31 Jul 2015 18:35:16 GMT",0,
07/08/2015,09:16:55,-,-,14,css.washingtonpost.com,,/wpost/css/combo?token=20150701150800&inttoken=201510130600&context=eidos&c=true&m=true&r=/2.0.0/modules.css,GET,200,text/css,gzip,Instart Logic,-1,202,101,,4432,4634,,-1,3936,4008,-1,4042,4432,4008,4042,0,34034,570,0,https://www.washingtonpost.com/,78,"Fri, 31 Jul 2015 18:35:28 GMT",0,
07/08/2015,09:16:55,-,-,15,css.washingtonpost.com,,/wpost/css/combo?token=20150701150800&inttoken=201510130600&context=eidos&c=true&m=true&r=/jcarousel/jcarousel-skin-hero-slideshow.css&r=/2.0.0/epaper.css&r=/2.0.0/calendar-widget.css&r=/2.0.0/widgets.css&r=/2.0.0/article_carousel.css&r=/2.0.0/wsodEWA.css&r=/2.0.0/ads.css&r=/2.0.0/candidate.css&r=/2.0.0/popup-notifications.css,GET,200,text/css,gzip,Instart Logic,-1,133,131,,4441,4574,,-1,3935,4007,-1,4041,4441,4007,4041,0,14263,790,0,https://www.washingtonpost.com/,79,"Fri, 31 Jul 2015 18:35:15 GMT",0,
