Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:34:47,-,-,1,bloomberg.com,69.191.212.191,/,GET,301,text/html,gzip,,-1,133,133,,193,326,,-1,0,73,-1,0,0,73,193,193,486,350,0,,,,0,
07/08/2015,09:34:47,-,-,2,www.bloomberg.com,172.229.198.47,/,GET,302,,,Akamai,-1,37,37,,423,460,,-1,328,391,-1,0,0,391,422,0,397,354,0,,,"Wed, 08 Jul 2015 09:36:49 GMT",0,
07/08/2015,09:34:47,-,-,3,www.bloomberg.com,172.229.198.47,/europe,GET,200,text/html,gzip,Akamai,-1,209,38,,462,671,,-1,0,0,-1,0,0,0,0,103036,103338,392,0,,,"Wed, 08 Jul 2015 09:35:06 GMT",0,
07/08/2015,09:34:47,-,-,4,cdn.gotraffic.net,172.229.182.227,/projector/latest/bplayer.js,GET,200,application/x-javascript,gzip,Akamai,-1,201,36,,703,904,,-1,548,672,-1,0,0,672,703,99918,100295,352,0,http://www.bloomberg.com/europe,3,"Tue, 07 Jul 2015 22:13:46 GMT",0,
07/08/2015,09:34:47,-,-,5,assets.bwbx.io,54.230.98.15,/business/public/stylesheets/application.02e706cd.css,GET,200,text/css,gzip,Amazon CloudFront,-1,384,64,,1318,1702,,-1,534,1264,-1,0,0,1264,1318,102243,102787,389,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,6,assets.bwbx.io,54.230.98.15,/business/public/javascripts/experienceRedirect.83a17d33.js,GET,200,application/javascript,gzip,Amazon CloudFront,-1,85,85,,1320,1405,,-1,0,0,-1,0,0,1265,1319,566,1096,380,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,7,assets.bwbx.io,54.230.98.15,/business/public/javascripts/critical.c78fab3c.js,GET,200,application/javascript,gzip,Amazon CloudFront,-1,172,88,,1320,1492,,-1,0,0,-1,0,0,1265,1319,26175,26726,370,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,8,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/1.320956b0.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,112,112,,1320,1432,,-1,0,0,-1,0,0,1264,1319,444,964,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,ad,PointRoll,9,speed.pointroll.com,77.67.28.51,/PointRoll/Media/Asset/RespLib/201296/resp.lib.js,GET,200,application/x-javascript,gzip,Akamai,-1,56,50,,1562,1618,,-1,1434,1530,-1,0,0,1530,1561,4329,4852,375,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,10,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/2.b150f74f.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,65,65,,1701,1766,,-1,0,0,-1,0,0,0,0,623,1143,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,11,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/3.ba120ffe.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,60,60,,1735,1795,,-1,0,0,-1,0,0,0,0,657,1178,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,12,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/4.97d322bf.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,62,62,,1735,1797,,-1,0,0,-1,0,0,0,0,499,1020,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,13,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/5.427b4e45.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,58,58,,1780,1838,,-1,0,0,-1,0,0,0,0,591,1112,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,14,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/6.394d2c05.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,63,63,,1780,1843,,-1,0,0,-1,0,0,1301,1354,670,1191,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,15,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/7.f60dd6e3.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,63,63,,1782,1845,,-1,0,0,-1,0,0,0,0,469,990,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,16,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/8.0fa2f2be.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,58,58,,1840,1898,,-1,0,0,-1,0,0,1780,1840,702,1222,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,17,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/9.b7123eb5.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,66,66,,1892,1958,,-1,0,0,-1,0,0,0,0,690,1211,392,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,18,assets.bwbx.io,54.230.98.15,/business/public/images/masks/the_brief/10.e663fed1.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,57,57,,1954,2011,,-1,0,0,-1,0,0,0,0,593,1114,393,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,19,assets.bwbx.io,54.230.98.15,/business/public/images/logos/BB-Logo-H.37109099.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,86,64,,1959,2045,,-1,0,0,-1,0,0,0,0,2489,3012,444,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,20,assets.bwbx.io,54.230.98.15,/business/public/images/logos/BB-Logo-V-HP-TOP.a8517901.svg,GET,200,image/svg+xml,gzip,Amazon CloudFront,-1,111,108,,1959,2070,,-1,0,0,-1,0,0,0,0,2596,3119,451,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,21,www.bloomberg.com,172.229.198.47,/image/iFrrVhrfFl_0.jpg,GET,200,image/jpeg,,Akamai,-1,194,42,,1985,2179,,-1,0,0,-1,0,0,0,0,34007,34347,390,34007,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:50 GMT",0,
07/08/2015,09:34:47,-,-,22,www.bloomberg.com,172.229.198.47,/image/ijPocS64vHRA.jpg,GET,200,image/jpeg,,Akamai,-1,102,85,,1987,2089,,-1,0,0,-1,0,0,392,422,7649,7988,390,7649,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:50 GMT",0,
07/08/2015,09:34:47,-,-,23,assets.bwbx.io,54.230.98.15,/business/public/fonts/AvenirNext-Demi.1982d1fc.woff,GET,200,application/x-font-woff,gzip,Amazon CloudFront,-1,658,76,,2013,2671,,-1,0,0,-1,0,0,1955,2013,58715,59307,450,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,24,assets.bwbx.io,54.230.98.15,/business/public/fonts/Bloomberg.222f3b06.woff,GET,200,application/x-font-woff,gzip,Amazon CloudFront,-1,124,117,,2013,2137,,-1,0,0,-1,0,0,1955,2013,5828,6393,444,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,25,assets.bwbx.io,54.230.98.15,/business/public/fonts/AvenirNext-Regular.652edc5e.woff,GET,200,application/x-font-woff,gzip,Amazon CloudFront,-1,1857,159,,2014,3871,,-1,0,0,-1,0,0,1956,2013,58460,59044,453,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,26,assets.bwbx.io,54.230.98.15,/business/public/fonts/TiemposTextWeb-Regular.9541d248.woff,GET,200,application/x-font-woff,gzip,Amazon CloudFront,-1,2761,416,,2014,4775,,-1,0,0,-1,0,0,1956,2014,73512,74105,457,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,27,assets.bwbx.io,54.230.98.15,/business/public/fonts/NHaasGroteskTXPro-55Rg.2711ec9f.woff,GET,200,application/x-font-woff,gzip,Amazon CloudFront,-1,1136,162,,2015,3151,,-1,0,0,-1,0,0,1956,2014,89387,89980,457,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,28,assets.bwbx.io,54.230.98.15,/business/public/fonts/NHaasGroteskDSPro-75Bd.12f4d5e2.woff,GET,200,application/x-font-woff,gzip,Amazon CloudFront,-1,2010,450,,2015,4025,,-1,0,0,-1,0,0,1957,2014,78586,79179,457,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,29,www.bloomberg.com,172.229.198.47,/image/iWtsIy2rNqVE.jpg,GET,200,image/jpeg,,Akamai,-1,102,91,,2020,2122,,-1,0,0,-1,0,0,1986,2020,7568,7907,390,7568,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,-,-,30,www.bloomberg.com,172.229.198.47,/image/iW4ljP.vryYo.jpg,GET,200,image/jpeg,,Akamai,-1,136,120,,2020,2156,,-1,0,0,-1,0,0,1987,2020,10579,10919,390,10579,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,-,-,31,www.bloomberg.com,172.229.198.47,/image/iZYPXKnxvvRI.jpg,GET,200,image/jpeg,,Akamai,-1,582,105,,2092,2674,,-1,0,0,-1,0,0,1987,2089,17780,18120,390,17780,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,-,-,32,www.bloomberg.com,172.229.198.47,/image/i9LSsff85oWo.jpg,GET,200,image/jpeg,,Akamai,-1,558,132,,2092,2650,,-1,0,0,-1,0,0,1988,2089,14093,14433,390,14093,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,-,-,33,www.bloomberg.com,172.229.198.47,/image/i8bXbhiCQwzM.jpg,GET,200,image/jpeg,,Akamai,-1,818,126,,2101,2919,,-1,0,0,-1,0,0,0,0,41742,42082,390,41742,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,-,-,34,www.bloomberg.com,172.229.198.47,/image/i0CtaifX0BfY.jpg,GET,200,image/jpeg,,Akamai,-1,510,124,,2127,2637,,-1,0,0,-1,0,0,0,0,11871,12211,390,11871,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,-,-,35,assets.bwbx.io,54.230.98.15,/business/public/fonts/TiemposHeadlineWeb-Bold.aecbe6c1.woff,GET,200,application/x-font-woff,gzip,Amazon CloudFront,-1,437,120,,2138,2575,,-1,0,0,-1,0,0,0,0,48520,49104,458,0,http://www.bloomberg.com/europe,3,,0,
07/08/2015,09:34:47,-,-,36,www.bloomberg.com,172.229.198.47,/image/iC3YzlVwkoRg.jpg,GET,200,image/jpeg,,Akamai,-1,129,104,,2180,2309,,-1,0,0,-1,0,0,0,0,16703,17043,390,16703,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,-,-,37,www.bloomberg.com,172.229.198.47,/image/i4IAPoyWKCWo.jpg,GET,200,image/jpeg,,Akamai,-1,603,130,,2184,2787,,-1,0,0,-1,0,0,0,0,12380,12720,390,12380,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,ad,DoubleClick,38,www.googletagservices.com,74.125.136.154,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,381,149,,2201,2582,,-1,1960,2089,-1,0,0,2089,2200,16486,17044,346,0,http://assets.bwbx.io/business/public/javascripts/critical.c78fab3c.js,11,"Wed, 08 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,-,-,39,www.bloomberg.com,172.229.198.47,/image/iXD9x4poE_b8.jpg,GET,200,image/jpeg,,Akamai,-1,629,121,,2314,2943,,-1,0,0,-1,0,0,0,0,21136,21476,390,21136,http://www.bloomberg.com/europe,3,"Thu, 09 Jul 2015 09:34:51 GMT",0,
07/08/2015,09:34:47,tracker,Krux Digital,40,cdn.krxd.net,23.235.43.175,/controltag?confid=JbcQbGqp,GET,200,text/javascript,gzip,Fastly,-1,141,135,,2333,2474,,-1,1960,2194,-1,0,0,2195,2332,5021,5671,346,0,http://assets.bwbx.io/business/public/javascripts/critical.c78fab3c.js,11,,0,
07/08/2015,09:34:47,tracker,Krux Digital,41,cdn.krxd.net,23.235.43.175,/ctjs/controltag.js.875fd5b280a77e06def8c74a5a268e2c,GET,200,application/javascript,gzip,Fastly,-1,491,97,,2507,2998,,-1,0,0,-1,0,0,0,0,44911,45425,371,0,http://cdn.krxd.net/controltag?confid=JbcQbGqp,30,"Sat, 10 May 2025 11:58:13 GMT",0,
07/08/2015,09:34:47,-,-,42,assets.bwbx.io,54.230.98.15,/business/public/fonts/NHaasGroteskDSPro-95Blk.09651977.woff,GET,200,application/x-font-woff,gzip,Amazon CloudFront,-1,484,113,,2576,3060,,-1,0,0,-1,0,0,0,0,81391,81984,458,0,http://www.bloomberg.com/europe,3,,0,
