Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:37:29,-,-,1,time.com,192.0.79.33,/,GET,200,text/html,gzip,,-1,263,195,,98,361,,-1,0,65,-1,0,0,65,98,33182,33840,345,0,,,,0,
07/08/2015,09:37:29,widget,Facebook Connect,2,connect.facebook.net,23.62.127.242,/en_US/fbds.js,GET,200,application/x-javascript,gzip,Facebook,-1,113,113,,437,550,,-1,337,404,-1,0,0,404,437,1561,2049,326,0,http://time.com/,31,"Wed, 08 Jul 2015 09:57:30 GMT",0,
07/08/2015,09:37:29,-,-,3,s0.wp.com,,/wp-content/themes/vip/time2014/css/screen.css?m=1436210879g&ver=4.2-RC4-32277,GET,200,text/css,gzip,WordPress Jetpack,-1,766,79,,479,1245,,-1,327,391,-1,425,479,391,425,0,198045,385,0,http://time.com/,95,"Thu, 07 Jul 2016 09:37:30 GMT",0,
07/08/2015,09:37:29,-,-,4,s0.wp.com,,/_static/??-eJx9jUEOgkAMAD9kLSIxejC+ZVkbWdguDe2G71tIvBkuTdvMZHAViHMxKoZcQXL9pKKY00SKI5mEOMF+naPqCf/jcV7I/yzBNoLpnQJlYseONJbbz9rWwVuHmVWchr6XhVTBJ6fKYIOHdu/Fz0t3bR9t092b8QtnYFC+,GET,200,text/css,gzip,WordPress Jetpack,-1,78,76,,479,557,,-1,327,390,-1,423,479,390,423,0,2213,483,0,http://time.com/,94,"Thu, 07 Jul 2016 09:37:30 GMT",0,
07/08/2015,09:37:29,-,-,5,s0.wp.com,,/_static/??-eJzTLy/QTc7PK0nNK9EvyUjNTS3WL8ss0C/JzE01MjA00U8uLtZPTCnWA9I6+kSoBXF0c1LTSooSM3OI1lWQU5qemQe2xT7X1tDE2MjQ1MzcwCALANnRN64=,GET,200,text/css,gzip,WordPress Jetpack,-1,930,237,,491,1421,,-1,329,391,-1,425,490,391,425,0,9143,439,0,http://time.com/,96,"Thu, 07 Jul 2016 09:37:30 GMT",0,
07/08/2015,09:37:29,-,-,6,s0.wp.com,,/_static/??-eJyV0GEOwiAMBeALOQtI/Gc8C5kdlhRo1k6z27vdQP4273t5KXxlmnszbAb2xooKHxIwqhicj1AUXqQG0nlfiHniPidW62vKeC16gX8LeMvUdIRsRky2j5DzcAYXykMMq3AyHJonaTU6fnGYZ334eLsHF1z05QeCf3nQ,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,810,112,,499,1309,,-1,377,387,-1,420,499,387,420,0,152568,468,0,http://time.com/,1545,"Thu, 07 Jul 2016 09:37:30 GMT",0,
07/08/2015,09:37:29,-,-,7,s0.wp.com,,/_static/??-eJyVzsEOgjAMBuAXchaQaDwYn6Wy4rqsY2GdhLcXiSdP7tb8zfe3sCQzTFEpKqgjoQwvTqAs1DVtDz6D5ax7YOyYjj4foMbkwJaym5Zqiemva4EfM84ryGRL2JZKGLgIqB3Md/6tkWJSKE+OGTrzKfN7p8GIYVUecvWvgUadkUM1tGtE4cERWpqrtZuEEj6pGgpy3NBdbm1/OnfXpm0u/g3PC7xF,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,2128,382,,503,2631,,-1,375,386,-1,419,502,386,419,0,68316,524,0,http://time.com/,1558,"Thu, 07 Jul 2016 09:37:30 GMT",0,
07/08/2015,09:37:29,-,-,8,s2.wp.com,,/wp-content/themes/vip/time2014/js/dist/time-tracking.js?m=1432131068g,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,783,134,,526,1309,,-1,375,388,-1,422,525,388,422,0,2739,362,0,http://time.com/,1543,"Thu, 07 Jul 2016 09:37:30 GMT",0,
07/08/2015,09:37:29,-,-,9,s2.wp.com,,/_static/??-eJyFjc0KwjAQhF/IdE0bj+KzhGSpG82P2W2LfXpT0IMoCgNzmG9mYCmKkrtOHhlC023Cen9aF3gHvwAVaaxWsIuUXrDLSTDJxpbMEpHZjvglfb+iNBMuf7GAUqy7qIpM68eqnLH9wUwFhCL2e222CU8sELPHmmitrXSKR22G4aB705vwABt2YBA=,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,1202,113,,528,1730,,-1,328,391,-1,424,528,391,424,0,47968,488,0,http://time.com/,101,"Thu, 07 Jul 2016 09:37:30 GMT",0,
07/08/2015,09:37:29,-,-,10,r-login.wordpress.com,,/remote-login.php?action=js&host=time.com&id=1359921&t=1436348056&back=http%3A%2F%2Ftime.com%2F,GET,200,text/javascript,,,-1,699,698,,549,1248,,-1,326,395,-1,426,548,395,426,0,148,559,0,http://time.com/,77,,0,
