Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:54:47,-,-,1,reuters.com,206.132.6.134,/,GET,301,,,,-1,121,121,,404,525,,-1,0,286,-1,0,0,286,404,0,127,348,0,,,,0,
07/08/2015,09:54:47,-,-,2,www.reuters.com,23.62.99.26,/,GET,200,text/html,gzip,Akamai,-1,270,193,,663,933,,-1,526,632,-1,0,0,632,663,19888,20179,352,0,,,"Wed, 08 Jul 2015 09:54:50 GMT",0,
07/08/2015,09:54:47,-,-,3,www.reuters.com,23.62.99.26,/reuters_bootstrap.js,GET,200,text/javascript,gzip,Akamai,-1,56,48,,889,945,,-1,0,0,-1,0,0,632,663,5573,5823,335,0,http://www.reuters.com/,15,"Wed, 08 Jul 2015 09:54:50 GMT",0,
07/08/2015,09:54:47,-,-,4,www.reuters.com,23.62.99.26,/resources_v2/css/rcom-homepage-rework.css?view=439-1,GET,200,text/css,gzip,Akamai,-1,44,37,,922,966,,-1,0,0,-1,0,0,889,922,4304,4630,382,0,http://www.reuters.com/,96,"Wed, 08 Jul 2015 11:54:50 GMT",0,
07/08/2015,09:54:47,-,-,5,www.reuters.com,23.62.99.26,/resources_v2/js/px.js?ch=1,GET,200,application/javascript,gzip,Akamai,-1,38,38,,928,966,,-1,0,0,-1,0,0,890,928,229,568,341,0,http://www.reuters.com/,19,"Wed, 08 Jul 2015 11:54:50 GMT",0,
07/08/2015,09:54:47,-,-,6,www.reuters.com,23.62.99.26,/resources_v2/js/px.js?ch=2,GET,200,application/javascript,gzip,Akamai,-1,33,33,,934,967,,-1,0,0,-1,0,0,0,0,229,568,341,0,http://www.reuters.com/,20,"Wed, 08 Jul 2015 11:54:50 GMT",0,
07/08/2015,09:54:47,-,-,7,www.reuters.com,23.62.99.26,/resources_v2/js/rcom-homepage-rework.js,GET,200,application/javascript,gzip,Akamai,-1,38,38,,944,982,,-1,0,0,-1,0,0,901,944,1587,1927,354,0,http://www.reuters.com/,97,"Wed, 08 Jul 2015 11:54:50 GMT",0,
07/08/2015,09:54:47,-,-,8,www.reuters.com,23.62.99.26,/resources_v2/js/widget-marketstrip-polite.js,GET,200,application/javascript,gzip,Akamai,-1,84,40,,945,1029,,-1,0,0,-1,0,0,0,0,3574,3914,359,0,http://www.reuters.com/,98,"Wed, 08 Jul 2015 11:54:50 GMT",0,
07/08/2015,09:54:47,-,-,9,www.reuters.com,23.62.99.26,/assets/info,GET,200,text/html,gzip,Akamai,-1,260,260,,946,1206,,-1,0,0,-1,0,0,901,946,380,623,326,0,http://www.reuters.com/,155,"Wed, 08 Jul 2015 09:54:50 GMT",0,
07/08/2015,09:54:47,-,-,10,s4.reutersmedia.net,23.62.99.40,/resources_v2/css/rcom-masthead-nav-new.css,GET,200,text/css,gzip,Akamai,-1,77,39,,1033,1110,,-1,901,1001,-1,0,0,1002,1033,4719,5045,376,0,http://www.reuters.com/,154,"Wed, 08 Jul 2015 11:54:50 GMT",0,
