Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:55:31,-,-,1,wunderground.com,38.102.136.104,/,GET,301,text/html,gzip,,-1,204,204,,9333,9537,,-1,0,133,-1,0,0,134,9333,87,456,353,0,,,"Fri, 01 Jan 1999 00:00:00 GMT",0,
07/08/2015,09:55:31,-,-,2,www.wunderground.com,38.102.136.104,/,GET,200,text/html,deflate,,-1,899,605,,9800,10699,,-1,9539,9609,-1,0,0,9609,9799,23601,24194,357,0,,,"Fri, 01 Jan 1990 00:00:00 GMT",0,
07/08/2015,09:55:31,-,-,3,www.paypalobjects.com,,/en_US/i/btn/btn_paynow_SM.gif,GET,200,image/gif,,Akamai,-1,67,43,,10463,10530,,-1,10200,10274,-1,10306,10463,10274,10306,0,2026,363,0,http://www.wunderground.com/,300,"Wed, 08 Jul 2015 09:55:43 GMT",0,
07/08/2015,09:55:31,-,-,4,icons.wxug.com,80.239.137.114,/scripts/modernizr/2.8.2/modernizr.min.js,GET,200,text/javascript,gzip,Akamai,-1,51,42,,10558,10609,,-1,10443,10526,-1,0,0,10527,10558,6312,6698,359,0,http://www.wunderground.com/,23,"Mon, 27 Jul 2015 01:20:16 GMT",0,
07/08/2015,09:55:31,-,-,5,style.wxug.com,80.239.137.129,/css/wu4/core.css?v=2015042001,GET,200,text/css,gzip,Akamai,-1,87,55,,10559,10646,,-1,10441,10528,-1,0,0,10528,10559,21506,21886,363,0,http://www.wunderground.com/,21,"Wed, 15 Jul 2015 23:01:31 GMT",0,
07/08/2015,09:55:31,-,-,6,style.wxug.com,80.239.137.129,/css/wu4/omnibus.css?v=2015063001,GET,200,text/css,gzip,Akamai,-1,193,99,,10559,10752,,-1,0,0,-1,0,0,10528,10559,52015,52396,366,0,http://www.wunderground.com/,22,"Thu, 30 Jul 2015 22:31:06 GMT",0,
07/08/2015,09:55:31,-,-,7,www.paypalobjects.com,,/en_US/i/scr/pixel.gif,GET,302,,,Akamai,-1,45,37,,10601,10646,,-1,0,0,-1,0,0,0,0,0,595,372,0,http://www.wunderground.com/,301,"Wed, 08 Jul 2015 09:55:43 GMT",0,
07/08/2015,09:55:31,tracker,Lotame,8,tags.crwdcntrl.net,93.184.220.113,/c/2216/cc.js?ns=_cc2216,GET,200,application/x-javascript,gzip,Edgecast,-1,51,38,,10815,10866,,-1,10707,10784,-1,0,0,10784,10815,9039,9358,346,0,http://www.wunderground.com/,4477,"Thu, 09 Jul 2015 09:55:43 GMT",0,
07/08/2015,09:55:31,-,-,9,icons.wxug.com,80.239.137.114,/i/homepage/globalTempLightv2.png,GET,200,image/png,,Akamai,-1,172,112,,10853,11025,,-1,0,0,-1,0,0,0,0,30582,30916,368,0,http://www.wunderground.com/,607,"Mon, 20 Jul 2015 20:07:29 GMT",0,
07/08/2015,09:55:31,-,-,10,www.wunderground.com,38.102.136.104,/tag.php?ViewTarget_1=0.5,GET,200,image/gif,gzip,,-1,1234,1234,,10853,12087,,-1,0,0,-1,0,0,9796,9983,57,458,407,0,http://www.wunderground.com/,4475,"Wed, 11 Nov 1998 11:11:11 GMT",0,
07/08/2015,09:55:31,-,-,11,icons.wxug.com,80.239.137.114,/metgraphics/weather-infographics/monsoon-hp-thumb.png,GET,200,image/png,,Akamai,-1,1412,1381,,10883,12295,,-1,0,0,-1,0,0,10852,10883,20183,20516,389,0,http://www.wunderground.com/,686,"Wed, 08 Jul 2015 10:00:44 GMT",0,
07/08/2015,09:55:31,-,-,12,icons.wxug.com,80.239.137.114,/i/wu/HomePageRedesign/wmap_comp.png,GET,200,image/png,,Akamai,-1,136,43,,10885,11021,,-1,0,0,-1,0,0,10852,10885,28711,29045,371,0,http://www.wunderground.com/,761,"Sun, 26 Jul 2015 00:02:18 GMT",0,
07/08/2015,09:55:31,-,-,13,api.wunderground.com,184.50.168.120,/api/eb7a37c339cfd624/radar/image.gif?centerlat=52.366699&centerlon=4.900000&radius=350&width=305&height=200&newmaps=1,GET,200,image/gif,,Akamai,-1,537,529,,11023,11560,,-1,10852,10961,-1,0,0,10961,11023,6508,6799,500,0,http://www.wunderground.com/,577,"Wed, 08 Jul 2015 09:55:43 GMT",0,
07/08/2015,09:55:31,-,-,14,resize-ak.wxug.com,80.239.137.114,/cgi-bin/resize?filename=/data/640x480/2xeu_severe.gif&width=300&height=197&to=60,GET,200,image/jpg,,Akamai,-1,1088,873,,11024,12112,,-1,10852,10962,-1,0,0,10962,11023,53639,53976,420,53639,http://www.wunderground.com/,592,"Wed, 08 Jul 2015 10:09:42 GMT",0,
