Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,08:58:41,-,-,1,money.cnn.com,157.166.224.108,/,GET,200,text/html,gzip,,-1,1058,129,,192,1250,,-1,0,67,-1,0,0,67,192,14174,14523,350,0,,,"Wed, 08 Jul 2015 08:58:48 GMT",0,
07/08/2015,08:58:41,tracker,Optimizely,2,cdn.optimizely.com,93.184.220.20,/js/59492907.js,GET,200,text/javascript,gzip,Edgecast,-1,604,37,,484,1088,,-1,382,452,-1,0,0,452,483,65725,66220,330,0,http://money.cnn.com/,75,,0,
07/08/2015,08:58:41,-,-,3,i.cdn.turner.com,77.67.28.73,/analytics/mon/ais.js,GET,200,application/x-javascript,,Akamai,-1,113,110,,484,597,,-1,383,452,-1,0,0,452,483,2745,3040,334,0,http://money.cnn.com/,163,"Wed, 08 Jul 2015 09:18:10 GMT",0,
07/08/2015,08:58:41,-,-,4,i.cdn.turner.com,77.67.28.73,/ads/cnn_money/cnnmoney_homepage_intl.js,GET,200,application/x-javascript,,Akamai,-1,114,113,,487,601,,-1,0,0,-1,0,0,453,486,2034,2329,353,0,http://money.cnn.com/,169,"Wed, 08 Jul 2015 09:47:26 GMT",0,
07/08/2015,08:58:41,-,-,5,i.cdn.turner.com,77.67.28.73,/money/.element/img/8.0/logos/CNNMoney-logo.png,GET,200,image/png,,Akamai,-1,132,115,,488,620,,-1,0,0,-1,0,0,453,488,11079,11360,377,0,http://money.cnn.com/,186,"Wed, 08 Jul 2015 09:33:21 GMT",0,
07/08/2015,08:58:41,-,-,6,z.cdn.turner.com,77.67.28.58,/money/tmpl_asset/static/style/927/css/cnnm-ocean.international-min.css,GET,200,text/css,gzip,Akamai,-1,216,189,,488,704,,-1,379,457,-1,0,0,457,488,17855,18232,399,0,http://money.cnn.com/,70,"Wed, 08 Jul 2015 08:58:46 GMT",0,
07/08/2015,08:58:41,-,-,7,z.cdn.turner.com,77.67.28.58,/money/tmpl_asset/static/script/671/js/cnnmoney.main-min.js,GET,200,application/javascript,gzip,Akamai,-1,226,217,,490,716,,-1,0,0,-1,0,0,457,490,5459,5849,372,0,http://money.cnn.com/,70,"Wed, 08 Jul 2015 08:59:28 GMT",0,
07/08/2015,08:58:41,-,-,8,z.cdn.turner.com,77.67.28.58,/money/.e/script/jquery/1.11.1/jquery.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,269,132,,490,759,,-1,0,0,-1,0,0,457,490,33262,33610,357,0,http://money.cnn.com/,70,"Thu, 05 Sep 2024 13:23:51 GMT",0,
07/08/2015,08:58:41,-,-,9,z.cdn.turner.com,77.67.28.58,/money/.e/script/jquery.migrate/jquery.migrate.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,954,334,,491,1445,,-1,0,0,-1,0,0,457,490,3063,3410,366,0,http://money.cnn.com/,70,"Sat, 07 Sep 2024 16:39:05 GMT",0,
07/08/2015,08:58:41,-,-,10,z.cdn.turner.com,77.67.28.58,/ads/adfuel/adfuel-0.9.2.js,GET,200,application/x-javascript,gzip,Akamai,-1,722,163,,491,1213,,-1,0,0,-1,0,0,458,490,11696,12039,340,0,http://money.cnn.com/,165,"Wed, 08 Jul 2015 09:20:23 GMT",0,
07/08/2015,08:58:41,-,-,11,i.cdn.turner.com,77.67.28.73,/ads/cnn_money/singles/cnnmoney_mktplaceafrica_intl_hp.js,GET,200,application/x-javascript,,Akamai,-1,69,69,,674,743,,-1,0,0,-1,0,0,0,0,300,593,370,0,http://money.cnn.com/,596,"Wed, 08 Jul 2015 09:02:31 GMT",0,
