Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:00:55,-,-,1,economictimes.indiatimes.com,77.67.4.51,/,GET,200,text/html,gzip,Akamai,-1,158,57,,112,270,,-1,0,81,-1,0,0,81,112,60236,60638,365,0,,,"Wed, 08 Jul 2015 09:00:57 GMT",0,
07/08/2015,09:00:55,-,-,2,economictimes.indiatimes.com,77.67.4.51,/css_common.cms?v=82,GET,200,text/css,gzip,Akamai,-1,90,68,,204,294,,-1,0,0,-1,0,0,81,113,14234,14571,375,0,http://economictimes.indiatimes.com/,94,"Fri, 17 Jun 2016 09:50:16 GMT",0,
07/08/2015,09:00:55,-,-,3,economictimes.indiatimes.com,77.67.4.51,/css_default.cms?v=66,GET,200,text/css,gzip,Akamai,-1,50,49,,271,321,,-1,0,0,-1,0,0,0,0,5076,5412,376,0,http://economictimes.indiatimes.com/,94,"Fri, 10 Jun 2016 09:41:09 GMT",0,
07/08/2015,09:00:55,-,-,4,economictimes.indiatimes.com,77.67.4.51,/js_common.cms?v=124,GET,200,application/javascript,gzip,Akamai,-1,120,51,,272,392,,-1,0,0,-1,0,0,205,271,24677,25028,360,0,http://economictimes.indiatimes.com/,430,"Fri, 01 Jul 2016 01:13:59 GMT",0,
07/08/2015,09:00:55,-,-,5,economictimes.indiatimes.com,77.67.4.51,/js_default.cms?v=44,GET,200,application/javascript,gzip,Akamai,-1,77,67,,295,372,,-1,0,0,-1,0,0,0,0,6331,6681,360,0,http://economictimes.indiatimes.com/,430,"Thu, 02 Jun 2016 09:17:56 GMT",0,
07/08/2015,09:00:55,-,-,6,economictimes.indiatimes.com,77.67.4.51,/tracker_ethome.cms?v=4,GET,200,application/javascript,gzip,Akamai,-1,74,72,,302,376,,-1,0,0,-1,0,0,270,301,2443,2793,363,0,http://economictimes.indiatimes.com/,430,"Fri, 10 Jun 2016 07:55:02 GMT",0,
07/08/2015,09:00:55,-,-,7,economictimes.indiatimes.com,77.67.4.51,/js_socialdatacapture_min.cms?v=7,GET,200,application/javascript,gzip,Akamai,-1,87,75,,302,389,,-1,0,0,-1,0,0,270,302,7468,7818,373,0,http://economictimes.indiatimes.com/,498,"Wed, 08 Jul 2015 09:00:57 GMT",0,
07/08/2015,09:00:55,tracker,Lotame,8,ad.crwdcntrl.net,54.246.135.20,/5/c=2800/pe=y/var=_ccaud,GET,200,application/javascript,,,-1,58,58,,393,451,,-1,206,302,-1,0,0,302,393,70,352,353,0,http://economictimes.indiatimes.com/,94,0,0,
07/08/2015,09:00:55,-,-,9,img.etimg.com,77.67.4.51,/photo/17952959.cms,GET,200,image/png,,Akamai,-1,43,40,,394,437,,-1,213,361,-1,0,0,361,393,2663,2949,361,0,http://economictimes.indiatimes.com/,178,"Wed, 13 Apr 2016 02:46:29 GMT",0,
07/08/2015,09:00:55,-,-,10,js.etimg.com,77.67.4.51,/jshome_topnew.cms?v=1,GET,200,application/javascript,gzip,Akamai,-1,160,159,,394,554,,-1,203,361,-1,0,0,361,394,1794,2160,346,0,http://economictimes.indiatimes.com/,13,"Wed, 23 Mar 2016 16:33:39 GMT",0,
07/08/2015,09:00:55,-,-,11,js.etimg.com,77.67.4.51,/js_jquery.cms,GET,200,application/javascript,gzip,Akamai,-1,204,59,,395,599,,-1,0,0,-1,0,0,361,394,44496,44847,338,0,http://economictimes.indiatimes.com/,430,"Thu, 09 Jul 2015 01:23:19 GMT",0,
07/08/2015,09:00:55,-,-,12,js.etimg.com,77.67.4.51,/js_scroll.cms,GET,200,text/javascript,gzip,Akamai,-1,110,98,,395,505,,-1,0,0,-1,0,0,362,394,9091,9450,338,0,http://economictimes.indiatimes.com/,430,"Thu, 07 Apr 2016 03:41:24 GMT",0,
07/08/2015,09:00:55,ad,DoubleClick,13,www.googletagservices.com,74.125.136.154,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,208,134,,397,605,,-1,214,360,-1,0,0,360,397,16486,17044,351,0,http://economictimes.indiatimes.com/,184,"Wed, 08 Jul 2015 09:00:57 GMT",0,
07/08/2015,09:00:55,tracker,Lotame,14,tags.crwdcntrl.net,93.184.220.113,/c/2802/cc_af.js,GET,200,application/x-javascript,gzip,Edgecast,-1,98,80,,429,527,,-1,278,394,-1,0,0,394,428,12536,12856,346,0,http://economictimes.indiatimes.com/,498,"Thu, 09 Jul 2015 09:00:57 GMT",0,
