Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:03:21,-,-,1,nbcnews.com,50.204.7.20,/,GET,301,text/html,,,-1,165,165,,432,597,,-1,0,279,-1,0,0,279,431,146,413,348,0,,,,0,
07/08/2015,09:03:21,-,-,2,www.nbcnews.com,23.62.99.137,/,GET,200,text/html,gzip,Akamai,-1,121,47,,823,944,,-1,598,790,-1,0,0,790,823,45606,45918,352,0,,,,0,
07/08/2015,09:03:21,-,-,3,nodeassets.nbcnews.com,23.62.99.17,/styles/c613152a.main.css,GET,200,text/css,gzip,Akamai,-1,89,43,,1137,1226,,-1,909,1105,-1,0,0,1105,1137,25289,25710,361,0,http://www.nbcnews.com/,34,,0,
07/08/2015,09:03:21,-,-,4,sslnodeassets.nbcnews.com,172.229.202.89,/images/non-rev/nbcnews-logo.svg,GET,200,image/svg+xml,gzip,Akamai,-1,67,66,,1153,1220,,-1,909,1120,-1,0,0,1120,1153,1344,1776,373,0,http://www.nbcnews.com/,82,,0,
07/08/2015,09:03:21,-,-,5,sslnodeassets.nbcnews.com,172.229.202.89,/images/transparent-placeholder.gif,GET,200,image/gif,gzip,Akamai,-1,33,33,,1222,1255,,-1,0,0,-1,0,0,0,0,65,491,376,0,http://www.nbcnews.com/,307,,0,
07/08/2015,09:03:21,-,-,6,nodeassets.nbcnews.com,23.62.99.17,/images/022272a4.nightly-news-logo-mark.png,GET,200,image/png,gzip,Akamai,-1,40,37,,1278,1318,,-1,0,0,-1,0,0,0,0,3801,4195,381,0,http://www.nbcnews.com/,5045,,0,
07/08/2015,09:03:21,-,-,7,nodeassets.nbcnews.com,23.62.99.17,/scripts/vendor/e13156bf.modernizr.js,GET,200,application/javascript,gzip,Akamai,-1,39,37,,1318,1357,,-1,0,0,-1,0,0,0,0,3450,3869,358,0,http://www.nbcnews.com/,5314,,0,
07/08/2015,09:03:21,-,-,8,nodeassets.nbcnews.com,23.62.99.17,/scripts/15f01d87.vendor.js,GET,200,application/javascript,gzip,Akamai,-1,140,42,,1335,1475,,-1,0,0,-1,0,0,1304,1335,50463,50883,348,0,http://www.nbcnews.com/,5476,,0,
07/08/2015,09:03:21,-,-,9,nodeassets.nbcnews.com,23.62.99.17,/scripts/f2bfebfe.main.js,GET,200,application/javascript,gzip,Akamai,-1,90,80,,1336,1426,,-1,0,0,-1,0,0,1304,1335,6858,7277,346,0,http://www.nbcnews.com/,5519,,0,
07/08/2015,09:03:21,-,-,10,assets.adobedtm.com,23.34.177.120,/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,GET,200,application/x-javascript,gzip,Akamai,-1,73,37,,1476,1549,,-1,1305,1427,-1,0,0,1427,1476,22216,22567,416,0,http://www.nbcnews.com/,5508,,0,
07/08/2015,09:03:21,-,-,11,mps.nbcnews.com,172.229.202.89,/fetch/ext/load-nbcnews-web.js,GET,200,application/javascript,,Akamai,-1,112,38,,1783,1895,,-1,1561,1752,-1,0,0,1752,1783,33538,33695,344,0,http://www.nbcnews.com/,5411,,0,
07/08/2015,09:03:21,-,-,12,nvcdn.nbcnews.com,77.67.28.26,"/_elliott/jenga?widgets=newsletter,zinger2",GET,302,text/html,gzip,Akamai,-1,57,57,,1803,1860,,-1,1305,1771,-1,0,0,1771,1803,20,497,358,0,http://www.nbcnews.com/,5509,"Wed, 08 Jul 2015 09:05:37 GMT",0,
07/08/2015,09:03:21,-,-,13,mps.nbcnews.com,172.229.202.89,/request/page/jsonp?CALLBACK=mpsCallback&cat=cover&site=nbcnews-web&path=%2Fcover&type=cover&NOLOAD=mpstools,GET,200,application/javascript,gzip,Akamai,-1,491,473,,1918,2409,,-1,0,0,-1,0,0,0,0,12418,12756,422,0,http://mps.nbcnews.com/fetch/ext/load-nbcnews-web.js,728,,0,
07/08/2015,09:03:21,ad,DoubleClick,14,www.googletagservices.com,74.125.136.154,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,105,64,,2529,2634,,-1,2428,2491,-1,0,0,2492,2529,16514,17070,338,0,,,"Wed, 08 Jul 2015 09:03:25 GMT",0,
07/08/2015,09:03:21,-,-,15,assets.adobedtm.com,23.34.177.120,/cd771b0aa897f931a306d7ab6af0d448836b5fd1/scripts/satellite-53d275e7db0fc7cc1100016e.js,GET,200,application/x-javascript,gzip,Akamai,-1,41,41,,2575,2616,,-1,0,0,-1,0,0,0,0,139,536,405,0,http://assets.adobedtm.com/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,2,,0,
07/08/2015,09:03:21,-,-,16,assets.adobedtm.com,23.34.177.120,/cd771b0aa897f931a306d7ab6af0d448836b5fd1/scripts/satellite-54aeb36432373700158a0200.js,GET,200,application/x-javascript,gzip,Akamai,-1,35,35,,2617,2652,,-1,0,0,-1,0,0,2575,2616,313,662,405,0,http://assets.adobedtm.com/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,2,,0,
07/08/2015,09:03:21,-,-,17,assets.adobedtm.com,23.34.177.120,/cd771b0aa897f931a306d7ab6af0d448836b5fd1/scripts/satellite-543fd4ace1507bb6340002ed.js,GET,200,application/x-javascript,gzip,Akamai,-1,38,38,,2618,2656,,-1,0,0,-1,0,0,0,0,1099,1497,405,0,http://assets.adobedtm.com/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,2,,0,
07/08/2015,09:03:21,-,-,18,assets.adobedtm.com,23.34.177.120,/cd771b0aa897f931a306d7ab6af0d448836b5fd1/scripts/satellite-5510ce673962350019f20700.js,GET,200,application/x-javascript,gzip,Akamai,-1,43,43,,2618,2661,,-1,0,0,-1,0,0,2575,2618,177,526,405,0,http://assets.adobedtm.com/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,2,,0,
07/08/2015,09:03:21,-,-,19,assets.adobedtm.com,23.34.177.120,/cd771b0aa897f931a306d7ab6af0d448836b5fd1/scripts/satellite-55688c5e6531640017ce0500.js,GET,200,application/x-javascript,gzip,Akamai,-1,47,47,,2618,2665,,-1,0,0,-1,0,0,2576,2618,457,806,405,0,http://assets.adobedtm.com/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,2,,0,
07/08/2015,09:03:21,-,-,20,assets.adobedtm.com,23.34.177.120,/cd771b0aa897f931a306d7ab6af0d448836b5fd1/scripts/satellite-5570dcbf6434390017f10300.js,GET,200,application/x-javascript,gzip,Akamai,-1,50,50,,2619,2669,,-1,0,0,-1,0,0,2576,2618,459,808,405,0,http://assets.adobedtm.com/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,2,,0,
07/08/2015,09:03:21,-,-,21,assets.adobedtm.com,23.34.177.120,/cd771b0aa897f931a306d7ab6af0d448836b5fd1/scripts/satellite-54db64ce6161370016650000.js,GET,200,application/x-javascript,gzip,Akamai,-1,52,52,,2620,2672,,-1,0,0,-1,0,0,2576,2619,568,965,405,0,http://assets.adobedtm.com/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,2,,0,
07/08/2015,09:03:21,-,-,22,nodeassets.nbcnews.com,23.62.99.17,/styles/658e3d49.fonts.css,GET,200,text/css,gzip,Akamai,-1,38,38,,2638,2676,,-1,0,0,-1,0,0,0,0,370,789,362,0,http://www.nbcnews.com/,58,,0,
07/08/2015,09:03:21,analytics,Google Analytics,23,stats.g.doubleclick.net,74.125.136.155,/dc.js,GET,200,text/javascript,gzip,Google,-1,102,43,,2650,2752,,-1,2528,2616,-1,0,0,2616,2650,15842,16260,328,0,http://assets.adobedtm.com/cd771b0aa897f931a306d7ab6af0d448836b5fd1/satelliteLib-d7647ef38f862ffb17587d65d0a95182256c1765.js,2,"Wed, 08 Jul 2015 10:20:15 GMT",0,
