Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:06:16,-,-,1,abcnews.go.com,68.71.222.53,/,GET,200,text/html,,,-1,1569,183,,717,2286,,-1,0,543,-1,0,0,543,717,129035,129432,351,0,,,,0,
07/08/2015,09:06:16,tracker,Optimizely,2,cdn.optimizely.com,93.184.220.20,/js/168844516.js,GET,200,text/javascript,gzip,Edgecast,-1,152,38,,1033,1185,,-1,936,1002,-1,0,0,1002,1033,62555,63062,332,0,http://abcnews.go.com/,55,,0,
07/08/2015,09:06:16,-,-,3,a.abcnews.com,77.67.4.40,/assets/scss/css/indexv3.css?v=52,GET,200,text/css,gzip,Akamai,-1,121,96,,1218,1339,,-1,935,1185,-1,0,0,1186,1218,16176,16681,359,0,http://abcnews.go.com/,46,,0,
07/08/2015,09:06:16,-,-,4,a.abcnews.com,77.67.4.40,/assets/scss/css/nav_hp.css?v=52,GET,200,text/css,gzip,Akamai,-1,90,90,,1221,1311,,-1,0,0,-1,0,0,1186,1221,367,869,358,0,http://abcnews.go.com/,47,,0,
07/08/2015,09:06:16,-,-,5,a.abcnews.com,77.67.4.40,/assets/scss/css/videolightbox.css?v=52,GET,200,text/css,gzip,Akamai,-1,41,41,,1222,1263,,-1,0,0,-1,0,0,1186,1221,360,862,365,0,http://abcnews.go.com/,56,,0,
07/08/2015,09:06:16,-,-,6,a.abcnews.com,77.67.4.40,/assets/js/min/indexv3.js?v=42,GET,200,application/javascript,gzip,Akamai,-1,426,45,,1222,1648,,-1,0,0,-1,0,0,1186,1221,151828,152349,341,0,http://abcnews.go.com/,53,,0,
07/08/2015,09:06:16,-,-,7,a.abcnews.com,77.67.4.40,/assets/js/min/videolightbox.js?v=42,GET,200,application/javascript,gzip,Akamai,-1,164,164,,1222,1386,,-1,0,0,-1,0,0,1186,1221,876,1392,347,0,http://abcnews.go.com/,57,,0,
07/08/2015,09:06:16,-,-,8,a.abcnews.com,77.67.4.40,/assets/js/min/fw.js?v=37,GET,200,application/javascript,gzip,Akamai,-1,87,83,,1222,1309,,-1,0,0,-1,0,0,1186,1221,3540,4055,336,0,http://abcnews.go.com/,138,,0,
07/08/2015,09:06:16,-,-,9,fonts.abcnews.com,77.67.4.40,/kyb8pht.js,GET,200,application/javascript,gzip,Akamai,-1,287,276,,1250,1537,,-1,935,1218,-1,0,0,1218,1249,8209,8523,326,0,http://abcnews.go.com/,51,,0,
07/08/2015,09:06:16,-,-,10,a.abcnews.com,77.67.4.40,/assets/images/navigation/search.png,GET,200,image/png,,Akamai,-1,96,94,,1350,1446,,-1,0,0,-1,0,0,0,0,1449,1906,364,0,http://abcnews.go.com/,199,,0,
07/08/2015,09:06:16,-,-,11,a.abcnews.com,77.67.4.40,/assets/js/hero.js,GET,200,application/javascript,gzip,Akamai,-1,77,77,,1418,1495,,-1,0,0,-1,0,0,0,0,911,1427,329,0,http://abcnews.go.com/,518,,0,
07/08/2015,09:06:16,-,-,12,a.abcnews.com,77.67.4.40,/assets/images/navigation/abc-logo.png,GET,200,image/png,,Akamai,-1,117,92,,1471,1588,,-1,0,0,-1,0,0,0,0,15523,15982,366,0,http://abcnews.go.com/,210,,0,
07/08/2015,09:06:16,-,-,13,fonts.abcnews.com,77.67.4.40,/k/c/kyb8pht-d.css,GET,200,text/css,gzip,Akamai,-1,976,125,,1562,2538,,-1,0,0,-1,0,0,0,0,347059,347363,348,0,http://fonts.abcnews.com/kyb8pht.js,8,,0,
07/08/2015,09:06:16,-,-,14,a.abcnews.com,77.67.4.40,/assets/images/navigation/gear_icon.png,GET,200,image/png,,Akamai,-1,80,79,,1644,1724,,-1,0,0,-1,0,0,0,0,1702,2159,367,0,http://abcnews.go.com/,269,,0,
