Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:06:57,-,-,1,drudgereport.com,98.158.27.203,/,GET,200,text/html,gzip,,-1,590,191,,568,1158,,-1,0,382,-1,0,0,383,568,14801,15058,353,0,,,,0,
07/08/2015,09:06:57,-,-,2,ts1.mm.bing.net,2.21.243.49,/th?&id=JN.ykZd0jo6PwOkcKNMutKjdg&w=300&h=300&c=0&pid=1.9&rs=0&p=0,GET,200,image/jpeg,,Akamai,-1,48,39,,907,955,,-1,803,876,-1,0,0,876,907,7028,7196,398,7028,http://drudgereport.com/,79,,0,
07/08/2015,09:06:57,-,-,3,ts1.mm.bing.net,2.21.243.49,/th?&id=JN.W84zHfLZIvAP9%2bZwhZQSZw&w=300&h=300&c=0&pid=1.9&rs=0&p=0,GET,200,image/jpeg,,Akamai,-1,47,34,,965,1012,,-1,0,0,-1,0,0,0,0,10022,10191,400,10022,http://drudgereport.com/,303,,0,
07/08/2015,09:06:57,-,-,4,pbs.twimg.com,,/media/CGWMNi0W8AANqzT.jpg,GET,200,image/jpeg,,Twitter,-1,56,33,,980,1036,,-1,803,870,-1,902,980,870,902,0,13304,347,0,http://drudgereport.com/,73,"Thu, 23 Jul 2015 09:06:59 GMT",0,
07/08/2015,09:06:57,-,-,5,ts1.mm.bing.net,2.21.243.49,/th?&id=JN.YWRNE9JwQbSQmJByo1caBg&w=300&h=300&c=0&pid=1.9&rs=0&p=0,GET,200,image/jpeg,,Akamai,-1,49,34,,1013,1062,,-1,0,0,-1,0,0,0,0,10553,10722,398,10553,http://drudgereport.com/,326,,0,
07/08/2015,09:06:57,-,-,6,ts1.mm.bing.net,2.21.243.49,/th?&id=JN.QFRKiUl008RvWszMjdcF4g&w=300&h=300&c=0&pid=1.9&rs=0&p=0,GET,200,image/jpeg,,Akamai,-1,69,51,,1014,1083,,-1,0,0,-1,0,0,965,1014,11985,12154,398,11985,http://drudgereport.com/,329,,0,
07/08/2015,09:06:57,ad,Intermarkets,7,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,GET,200,application/javascript,,Limelight,-1,82,69,,1016,1098,,-1,799,965,-1,0,0,965,1016,8891,9128,374,0,http://drudgereport.com/,24,,0,
07/08/2015,09:06:57,ad,Intermarkets,8,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/DrudgeReport_Home_Top_dynamic.js,GET,200,application/javascript,,Limelight,-1,143,85,,1016,1159,,-1,0,0,-1,0,0,965,1016,7608,7845,381,0,http://drudgereport.com/,25,,0,
07/08/2015,09:06:57,ad,Intermarkets,9,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/AdFeedback/processAdFeedback.js,GET,200,application/javascript,,Limelight,-1,143,97,,1016,1159,,-1,0,0,-1,0,0,966,1016,6354,6591,367,0,http://drudgereport.com/,27,,0,
07/08/2015,09:06:57,ad,Intermarkets,10,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/DrudgeReport_Home_Left_dynamic.js,GET,200,application/javascript,,Limelight,-1,142,108,,1017,1159,,-1,0,0,-1,0,0,966,1016,8121,8358,382,0,http://drudgereport.com/,108,,0,
07/08/2015,09:06:57,ad,Intermarkets,11,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/oxbidNew.js,GET,200,application/javascript,,Limelight,-1,43,43,,1142,1185,,-1,0,0,-1,0,0,0,0,1096,1332,360,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,3,,0,
07/08/2015,09:06:57,-,-,12,www.drudgereport.com,98.158.27.203,/i/logo9.gif,GET,200,image/gif,,,-1,3376,3186,,1154,4530,,-1,801,965,-1,0,0,966,1154,8173,8436,349,0,http://drudgereport.com/,60,"Thu, 07 Jul 2016 09:06:59 GMT",0,
07/08/2015,09:06:57,ad,Intermarkets,13,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/referrer_lookup.js,GET,200,application/javascript,,Limelight,-1,96,36,,1160,1256,,-1,0,0,-1,0,0,0,0,1727,1964,354,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,4,,0,
07/08/2015,09:06:57,ad,Intermarkets,14,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/FL_Left.js,GET,200,application/javascript,,Limelight,-1,44,44,,1161,1205,,-1,0,0,-1,0,0,0,0,1015,1251,359,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,7,,0,
07/08/2015,09:06:57,ad,Intermarkets,15,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/RTP_Left.js,GET,200,application/javascript,,Limelight,-1,45,45,,1162,1207,,-1,0,0,-1,0,0,0,0,695,931,360,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,9,,0,
07/08/2015,09:06:57,-,-,16,ajax.googleapis.com,74.125.136.95,/ajax/libs/jquery/1.8.1/jquery.min.js,GET,200,text/javascript,gzip,Google,-1,239,41,,1251,1490,,-1,1142,1213,-1,0,0,1213,1250,33221,33701,356,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,5,"Wed, 06 Jul 2016 06:20:15 GMT",0,
07/08/2015,09:06:57,-,-,17,ts1.mm.bing.net,2.21.243.49,/th?&id=JN.Y2Tl/IcCfo57cl1uuLTmOg&w=300&h=300&c=0&pid=1.9&rs=0&p=0,GET,200,image/jpeg,,Akamai,-1,69,62,,1254,1323,,-1,0,0,-1,0,0,0,0,5670,5838,398,5670,http://drudgereport.com/,490,,0,
07/08/2015,09:06:57,-,-,18,ts1.mm.bing.net,2.21.243.49,/th?&id=JN.Auz3FMcYA9Nt1YHytRoE9w&w=300&h=300&c=0&pid=1.9&rs=0&p=0,GET,200,image/jpeg,,Akamai,-1,105,70,,1254,1359,,-1,0,0,-1,0,0,0,0,13523,13692,398,13523,http://drudgereport.com/,508,,0,
07/08/2015,09:06:57,ad,Intermarkets,19,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/DrudgeReport_Home_Right_dynamic.js,GET,200,application/javascript,,Limelight,-1,104,94,,1255,1359,,-1,0,0,-1,0,0,1142,1175,7412,7649,383,0,http://drudgereport.com/,524,,0,
07/08/2015,09:06:57,ad,Intermarkets,20,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/DrudgeReport_Home_Bottom-Right_160x600.js,GET,200,application/javascript,,Limelight,-1,152,108,,1255,1407,,-1,0,0,-1,0,0,1141,1177,7357,7594,390,0,http://drudgereport.com/,548,,0,
07/08/2015,09:06:57,ad,Intermarkets,21,cdn.intermarkets.net,87.248.203.222,/u/Intermarkets/DrudgeReport/drudgereport_postview.js,GET,200,application/javascript,,Limelight,-1,150,119,,1257,1407,,-1,0,0,-1,0,0,0,0,11603,11841,373,0,http://drudgereport.com/,550,,0,
07/08/2015,09:06:57,tracker,Krux Digital,22,cdn.krxd.net,23.235.43.175,/controltag?confid=JQqG5SW9,GET,200,text/javascript,,Fastly,-1,644,114,,1280,1924,,-1,1157,1249,-1,0,0,1249,1280,12289,12924,339,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,119,,0,
07/08/2015,09:06:57,-,-,23,www.google.com,173.194.78.104,/jsapi/,GET,200,text/javascript,gzip,Google,-1,130,113,,1324,1454,,-1,0,0,-1,0,0,1254,1323,5994,6401,321,0,http://drudgereport.com/,601,"Wed, 08 Jul 2015 09:07:00 GMT",0,
07/08/2015,09:06:57,ad,ADTECH,24,adserver.adtechus.com,152.163.66.131,/bind?ckey1=pageview;cvalue1=1;expiresDays=1;adct=text/html;misc=123,GET,200,,,,-1,127,127,,1424,1551,,-1,1142,1217,-1,0,0,1218,1424,1,156,389,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,200,"Mon, 15 Jun 1998 00:00:00 GMT",0,
07/08/2015,09:06:57,ad,ADTECH,25,adserver.adtechus.com,152.163.66.131,/pubapi/3.0/9861.1/3546266/0/225/;noperf=1;alias=;cmd=bid;cors=yes,GET,200,application/json,,,-1,128,128,,1424,1552,,-1,0,0,-1,0,0,1218,1424,48,380,420,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,180,"Mon, 15 Jun 1998 00:00:00 GMT",0,
07/08/2015,09:06:57,-,-,26,js.indexww.com,77.67.4.57,/ht/intpg13.js,GET,200,text/javascript,gzip,Akamai,-1,50,44,,1436,1486,,-1,1213,1324,-1,0,0,1324,1436,4662,5101,328,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,143,"Wed, 08 Jul 2015 10:07:00 GMT",0,
07/08/2015,09:06:57,ad,Sonobi,27,apex.go.sonobi.com,52.17.40.234,"/trinity.js?key_maker={%221131606%22:%223f07f64cebcf3724869b%22,%221131609%22:%2202c0f2ee1ae5de23b262%22,%221131611%22:%22dde8f5bb5cf170fdf55a%22,%221131606300%22:%220b7f634b227a15f5c597%22,%221131607300%22:%221010459795e3ea206a0c%22,%221131607720%22:%222d7d45a73d88e27751c9%22,%221131607728%22:%22e5cf0cdccb52586027d4%22,%221131607970%22:%22ae3696a06336bfc412b5%22}&s=107",GET,200,text/javascript,gzip,,-1,444,442,,1450,1894,,-1,1158,1362,-1,0,0,1362,1449,1174,2071,690,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,75,"Sat, 26 Jul 1997 05:00:00 GMT",0,
07/08/2015,09:06:57,ad,Criteo,28,rtax.criteo.com,178.250.2.100,/delivery/rta/rta.js?netId=3290&cookieName=crtg_intermark&rnd=19012661813&varName=crtg_content,GET,200,text/javascript,,,-1,46,46,,1450,1496,,-1,1217,1280,-1,0,0,1413,1449,172,480,409,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,138,"Mon, 26 Jul 1997 05:00:00 GMT",0,
07/08/2015,09:06:57,widget,Taboola,29,cdn.taboola.com,184.50.172.168,/libtrc/intermarkets-drudgereport/loader.js,GET,200,application/javascript,gzip,Akamai,-1,57,39,,1492,1549,,-1,1249,1449,-1,0,0,1449,1492,12127,12558,358,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,150,"Wed, 08 Jul 2015 13:07:00 GMT",0,
07/08/2015,09:06:57,ad,Quantcast,30,edge.quantserve.com,77.67.4.59,/quant.js,GET,200,application/x-javascript,gzip,Akamai,-1,46,43,,1510,1556,,-1,1324,1477,-1,0,0,1477,1510,3037,3389,328,0,http://drudgereport.com/,607,"Thu, 09 Jul 2015 09:07:00 GMT",0,
07/08/2015,09:06:57,ad,ADTECH,31,adserver.adtechus.com,152.163.66.131,/pubapi/3.0/9861.1/3546267/0/170/;noperf=1;alias=;cmd=bid;cors=yes,GET,200,application/json,,,-1,140,140,,1516,1656,,-1,0,0,-1,0,0,1400,1516,47,379,420,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,180,"Mon, 15 Jun 1998 00:00:00 GMT",0,
07/08/2015,09:06:57,ad,ADTECH,32,adserver.adtechus.com,152.163.66.131,/pubapi/3.0/9861.1/3557998/0/170/;noperf=1;alias=;cmd=bid;cors=yes,GET,200,application/json,,,-1,142,142,,1552,1694,,-1,0,0,-1,0,0,0,0,47,379,420,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,180,"Mon, 15 Jun 1998 00:00:00 GMT",0,
07/08/2015,09:06:57,widget,Taboola,33,cdn.taboola.com,184.50.172.168,/libtrc/impl.167-RELEASE.js,GET,200,application/javascript,gzip,Akamai,-1,164,38,,1568,1732,,-1,0,0,-1,0,0,0,0,69587,69973,342,0,http://cdn.taboola.com/libtrc/intermarkets-drudgereport/loader.js,2,,0,
07/08/2015,09:06:57,ad,ADTECH,34,adserver.adtechus.com,152.163.66.131,/pubapi/3.0/9861.1/3546268/0/154/;noperf=1;alias=;cmd=bid;cors=yes,GET,200,application/json,,,-1,190,190,,1657,1847,,-1,0,0,-1,0,0,0,0,48,380,420,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,180,"Mon, 15 Jun 1998 00:00:00 GMT",0,
07/08/2015,09:06:57,ad,Amazon Associates,35,aax-us-east.amazon-adsystem.com,176.32.103.187,/e/dtb/bid?src=3028&u=http%3A%2F%2Fdrudgereport.com%2F&cb=3584123,GET,200,text/javascript,,,-1,205,205,,1695,1900,,-1,1142,1554,-1,0,0,1554,1695,8,144,396,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,61,,0,
07/08/2015,09:06:57,ad,OpenX,36,ox-d.intermarkets.net,173.241.240.219,/w/1.0/jstag,GET,200,text/javascript,gzip,,-1,107,88,,1711,1818,,-1,1143,1644,-1,0,0,1644,1711,12847,13149,333,0,http://cdn.intermarkets.net/u/Intermarkets/DrudgeReport/drudgereport_targeting.js,2,"Wed, 08 Jul 2015 10:07:00 GMT",0,
07/08/2015,09:06:57,analytics,eProof,37,keisu02.eproof.com,54.225.196.207,/js/v20100407.js,GET,200,application/javascript,gzip,,-1,180,178,,1717,1897,,-1,1281,1578,-1,0,0,1578,1717,1924,2256,334,0,http://drudgereport.com/,603,,0,
07/08/2015,09:06:57,tracker,ScoreCard Research Beacon,38,b.scorecardresearch.com,2.16.4.121,/beacon.js,GET,200,application/x-javascript,gzip,Akamai,-1,101,101,,1799,1900,,-1,1571,1695,-1,0,0,1695,1799,1140,1424,333,0,http://cdn.taboola.com/libtrc/intermarkets-drudgereport/loader.js,2,"Wed, 22 Jul 2015 09:07:00 GMT",0,
07/08/2015,09:06:57,widget,Taboola,39,netstorage.taboola.com,184.50.172.168,/libtrc/common/cross-check.js,GET,200,application/x-javascript,,Akamai,-1,100,100,,1800,1900,,-1,1571,1702,-1,0,0,1702,1799,179,525,351,0,http://cdn.taboola.com/libtrc/intermarkets-drudgereport/loader.js,2,"Wed, 08 Jul 2015 09:12:29 GMT",0,
07/08/2015,09:06:57,ad,OpenX,40,ox-d.intermarkets.net,173.241.240.219,/w/1.0/acj?ai=9121128b-8dd4-4287-c6e0-7628c6ed8cff&o=805142547&callback=OX_805142547&ju=http%3A//drudgereport.com/&jr=&pgid=537064855&c.highvis=yes&res=2560x1440x24&plg=swf%2Cshk%2Cpm&ch=windows-1252&tz=-120&ws=1014x650&sd=1,GET,302,,,,-1,39,39,,1870,1909,,-1,0,0,-1,0,0,1656,1717,0,579,545,0,http://ox-d.intermarkets.net/w/1.0/jstag,2,,0,
07/08/2015,09:06:57,tracker,ScoreCard Research Beacon,41,b.scorecardresearch.com,2.16.4.121,/b?c1=7&c2=13739933&c3=20121515121&ns__t=1436346419308&ns_c=windows-1252&c8=DRUDGE%20REPORT%202015%C2%AE&c7=http%3A%2F%2Fdrudgereport.com%2F&c9=,GET,302,,,Akamai,-1,35,35,,1977,2012,,-1,0,0,-1,0,0,0,0,0,678,484,0,http://drudgereport.com/,24,"Mon, 01 Jan 1990 00:00:00 GMT",0,
07/08/2015,09:06:57,tracker,Krux Digital,42,cdn.krxd.net,23.235.43.175,/ctjs/controltag.js.875fd5b280a77e06def8c74a5a268e2c,GET,200,application/javascript,gzip,Fastly,-1,120,36,,2014,2134,,-1,0,0,-1,0,0,1982,2014,44911,45424,364,0,http://cdn.krxd.net/controltag?confid=JQqG5SW9,30,"Sat, 10 May 2025 11:58:13 GMT",0,
07/08/2015,09:06:57,ad,OpenX,43,ox-d.intermarkets.net,173.241.240.219,/w/1.0/acj?cc=1&ai=9121128b-8dd4-4287-c6e0-7628c6ed8cff&o=805142547&callback=OX_805142547&ju=http%3A//drudgereport.com/&jr=&pgid=537064855&c.highvis=yes&res=2560x1440x24&plg=swf%2Cshk%2Cpm&ch=windows-1252&tz=-120&ws=1014x650&sd=1,GET,302,,,,-1,57,57,,2015,2072,,-1,0,0,-1,0,0,1983,2015,0,689,614,0,http://drudgereport.com/,24,,0,
07/08/2015,09:06:57,tracker,ScoreCard Research Beacon,44,b.scorecardresearch.com,2.16.4.121,/b2?c1=7&c2=13739933&c3=20121515121&ns__t=1436346419308&ns_c=windows-1252&c8=DRUDGE%20REPORT%202015%C2%AE&c7=http%3A%2F%2Fdrudgereport.com%2F&c9=,GET,204,,,Akamai,-1,57,57,,2016,2073,,-1,0,0,-1,0,0,0,0,0,248,549,0,http://drudgereport.com/,24,"Mon, 01 Jan 1990 00:00:00 GMT",0,
