Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:10:41,-,-,1,my.yahoo.com,46.228.47.115,/,GET,301,text/html,,,-1,56,56,,244,300,,-1,0,187,-1,0,0,188,244,374,668,349,0,,,,0,
07/08/2015,09:10:41,-,-,2,my.yahoo.com,,/,GET,200,text/html,gzip,,-1,769,303,,460,1229,,-1,0,0,-1,348,459,298,348,0,64699,397,0,,,-1,0,
07/08/2015,09:10:41,-,-,3,s.yimg.com,,/os/stencil/3.1.0/styles-ltr.css,GET,200,text/css,gzip,Yahoo,-1,93,42,,1558,1651,,-1,1098,1464,-1,1494,1558,1464,1494,0,21504,431,0,https://my.yahoo.com/,13,"Tue, 29 Jun 2032 11:17:15 GMT",0,
07/08/2015,09:10:41,-,-,4,s.yimg.com,,/os/mit/td/stencil-0.1.287/stencil-theme-009/stencil-theme-009-min.css,GET,200,text/css,gzip,Yahoo,-1,127,124,,1558,1685,,-1,0,0,-1,0,0,0,0,0,4370,507,0,https://my.yahoo.com/,34,"Fri, 02 Jul 2032 14:20:30 GMT",0,
07/08/2015,09:10:41,-,-,5,s.yimg.com,,/zz/combo?nn/lib/metro/g/myy/brandbars_0.0.3.css&nn/lib/metro/g/theme/yglyphs-legacy_0.0.4.css&nn/lib/metro/g/myy/myy_0.0.145.css&nn/lib/metro/g/sda/sda_0.0.6.css,GET,200,text/css,gzip,Yahoo,-1,174,126,,1558,1732,,-1,0,0,-1,0,0,0,0,0,5458,691,0,https://my.yahoo.com/,43,,0,
07/08/2015,09:10:41,-,-,6,s.yimg.com,,/os/mit/media/m/base/images/transparent-95031.png,GET,200,image/png,,Yahoo,-1,432,353,,1558,1990,,-1,0,0,-1,0,0,0,0,0,430,467,0,https://my.yahoo.com/,50,"Tue, 28 Jun 2033 19:24:04 GMT",0,
07/08/2015,09:10:41,-,-,7,s.yimg.com,,/rq/darla/2-8-9/js/g-r-min.js,GET,200,application/x-javascript,gzip,Yahoo,-1,281,125,,1559,1840,,-1,0,0,-1,0,0,0,0,0,67096,410,0,https://my.yahoo.com/,157,"Wed, 08 Jul 2015 20:12:38 GMT",0,
07/08/2015,09:10:41,-,-,8,s.yimg.com,,/kx/yucs/uh3s/atomic/60/css/atomic-min.css,GET,200,text/css,gzip,Yahoo,-1,176,125,,1559,1735,,-1,0,0,-1,0,0,0,0,0,4292,451,0,https://my.yahoo.com/,45,"Sat, 21 Jun 2025 18:17:50 GMT",0,
07/08/2015,09:10:41,-,-,9,s.yimg.com,,/zz/combo?yui:/3.12.0/yui/yui-min.js&/os/mit/td/asset-loader-s-f66c53f0.js&/ss/rapid-3.26.1.js,GET,200,application/javascript,gzip,Yahoo,-1,428,241,,1560,1988,,-1,0,0,-1,0,0,0,0,0,62922,540,0,https://my.yahoo.com/,3236,"Sat, 05 Sep 2026 00:00:00 GMT",0,
07/08/2015,09:10:41,-,-,10,s.yimg.com,,/kx/yucs/uh3s/promo-ff/1/images/ff_icon-compressed.png,GET,200,image/png,,Yahoo,-1,420,260,,1655,2075,,-1,0,0,-1,0,0,0,0,0,1917,477,0,https://my.yahoo.com/,154,"Sat, 30 Nov 2024 22:10:08 GMT",0,
07/08/2015,09:10:41,-,-,11,s.yimg.com,,/os/mit/media/m/base/images/transparent-1093278.png,GET,200,image/png,,Yahoo,-1,420,260,,1655,2075,,-1,0,0,-1,0,0,0,0,0,267,471,0,https://my.yahoo.com/,154,"Sat, 02 Jul 2033 12:37:01 GMT",0,
07/08/2015,09:10:41,-,-,12,s.yimg.com,,/os/mit/ape/w/d8f6e02/dark/clear_day.png,GET,200,image/png,,Yahoo,-1,426,279,,1656,2082,,-1,0,0,-1,0,0,0,0,0,2401,449,0,https://my.yahoo.com/,269,"Fri, 02 Jul 2032 13:21:11 GMT",0,
07/08/2015,09:10:41,-,-,13,s.yimg.com,,/dh/ap/default/130915/wcl1.gif,GET,200,image/gif,,Yahoo,-1,424,277,,1656,2080,,-1,0,0,-1,0,0,0,0,0,788,429,0,https://my.yahoo.com/,235,"Sat, 05 Sep 2026 00:00:00 GMT",0,
07/08/2015,09:10:41,-,-,14,s.yimg.com,,/os/mit/ape/w/d8f6e02/dark/mostly_cloudy_day_night.png,GET,200,image/png,,Yahoo,-1,424,277,,1656,2080,,-1,0,0,-1,0,0,0,0,0,2055,477,0,https://my.yahoo.com/,242,"Fri, 02 Jul 2032 20:28:50 GMT",0,
07/08/2015,09:10:41,-,-,15,s.yimg.com,,/os/mit/ape/w/d8f6e02/dark/partly_cloudy_day.png,GET,200,image/png,,Yahoo,-1,425,278,,1656,2081,,-1,0,0,-1,0,0,0,0,0,2640,465,0,https://my.yahoo.com/,260,"Fri, 02 Jul 2032 20:23:10 GMT",0,
07/08/2015,09:10:41,-,-,16,s.yimg.com,,/os/mit/ape/w/d8f6e02/dark/fair_day.png,GET,200,image/png,,Yahoo,-1,427,304,,1656,2083,,-1,0,0,-1,0,0,0,0,0,2722,447,0,https://my.yahoo.com/,278,"Fri, 02 Jul 2032 20:44:31 GMT",0,
