Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:12:08,-,-,1,chron.com,174.143.228.153,/,GET,301,text/html,gzip,,-1,146,146,,508,654,,-1,0,363,-1,0,0,364,507,240,575,346,0,,,"Wed, 08 Jul 2015 09:13:10 GMT",0,
07/08/2015,09:12:08,-,-,2,www.chron.com,23.62.99.139,/,GET,200,text/html,gzip,Akamai,-1,253,163,,877,1130,,-1,658,846,-1,0,0,846,877,53753,54216,350,0,,,"Wed, 08 Jul 2015 09:12:10 GMT",0,
07/08/2015,09:12:08,-,-,3,www.chron.com,23.62.99.139,/js/hdn/utils/modernizr-2.6.2.min.js?r6.17.0.9,GET,200,application/x-javascript,gzip,Akamai,-1,44,36,,1140,1184,,-1,0,0,-1,0,0,0,0,6246,6626,372,0,http://www.chron.com/,97,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,-,-,4,www.chron.com,23.62.99.139,/external/css/global.less.allPages.r6.17.0.9.css,GET,200,text/css,gzip,Akamai,-1,58,46,,1145,1203,,-1,0,0,-1,0,0,846,877,10229,10595,389,0,http://www.chron.com/,98,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,-,-,5,www.chron.com,23.62.99.139,/external/css/global.sharedmain.r6.17.0.9.css,GET,200,text/css,gzip,Akamai,-1,115,39,,1185,1300,,-1,0,0,-1,0,0,0,0,9237,9601,386,0,http://www.chron.com/,99,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,-,-,6,www.chron.com,23.62.99.139,/external/css/global.sharedmodules.r6.17.0.9.css,GET,200,text/css,gzip,Akamai,-1,172,54,,1186,1358,,-1,0,0,-1,0,0,1144,1186,41275,41641,389,0,http://www.chron.com/,100,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,-,-,7,www.chron.com,23.62.99.139,/external/css/global.sharedpages.r6.17.0.9.css,GET,200,text/css,gzip,Akamai,-1,115,92,,1186,1301,,-1,0,0,-1,0,0,1146,1186,5591,5955,387,0,http://www.chron.com/,101,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,-,-,8,www.chron.com,23.62.99.139,/external/css/global.sitemodules.r6.17.0.9.css,GET,200,text/css,gzip,Akamai,-1,162,104,,1188,1350,,-1,0,0,-1,0,0,1146,1187,15630,15996,387,0,http://www.chron.com/,102,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,-,-,9,www.chron.com,23.62.99.139,/external/css/global.sitepages.r6.17.0.9.css,GET,200,text/css,gzip,Akamai,-1,188,112,,1204,1392,,-1,0,0,-1,0,0,0,0,2257,2621,385,0,http://www.chron.com/,103,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,-,-,10,www.chron.com,23.62.99.139,/external/css/global.less.allPagesSite.r6.17.0.9.css,GET,200,text/css,gzip,Akamai,-1,187,121,,1205,1392,,-1,0,0,-1,0,0,1146,1205,3535,3899,393,0,http://www.chron.com/,104,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,-,-,11,www.chron.com,23.62.99.139,/external/js/global.allPages.r6.17.0.9.js,GET,200,application/x-javascript,gzip,Akamai,-1,233,58,,1303,1536,,-1,0,0,-1,0,0,0,0,61833,62215,367,0,http://www.chron.com/,106,"Wed, 08 Jul 2015 09:17:11 GMT",0,
07/08/2015,09:12:08,tracker,Catchpoint,12,g.3gl.net,68.232.35.38,/jp/148/v2/C,GET,200,text/javascript,gzip,Edgecast,-1,69,69,,1327,1396,,-1,1134,1208,-1,0,0,1209,1327,152,493,318,0,http://www.chron.com/,1,"Wed, 08 Jul 2015 10:11:49 GMT",0,
07/08/2015,09:12:08,tracker,Optimizely,13,cdn.optimizely.com,93.184.220.20,/js/62709401.js,GET,200,text/javascript,gzip,Edgecast,-1,298,194,,1450,1748,,-1,1152,1401,-1,0,0,1402,1450,57909,58427,330,0,http://www.chron.com/,111,,0,
07/08/2015,09:12:08,-,-,14,aps.hearstnp.com,2.21.243.65,/Scripts/loadAds.js,GET,200,application/x-javascript,,Akamai,-1,41,41,,1451,1492,,-1,1152,1402,-1,0,0,1402,1450,920,1275,332,0,http://www.chron.com/,239,"Wed, 08 Jul 2015 09:42:11 GMT",0,
07/08/2015,09:12:08,ad,Amazon Associates,15,c.amazon-adsystem.com,54.230.97.23,/aax2/amzn_ads.js,GET,200,application/x-javascript,gzip,Amazon CloudFront,-1,80,60,,1563,1643,,-1,1103,1510,-1,0,0,1511,1563,4379,4860,335,0,http://www.chron.com/,41,,0,
07/08/2015,09:12:08,tracker,Catchpoint,16,g.3gl.net,68.232.35.38,/jp/v2/M,GET,200,text/javascript,gzip,Edgecast,-1,96,74,,1642,1738,,-1,0,0,-1,0,0,0,0,3811,4153,314,0,http://www.chron.com/,1,"Wed, 08 Jul 2015 10:12:02 GMT",0,
07/08/2015,09:12:08,-,-,17,houstonchronicle.spingo.com,23.23.114.8,/list-widget.js,GET,200,application/javascript,,,-1,139,139,,1749,1888,,-1,1299,1586,-1,0,0,1586,1748,1528,1928,339,0,http://www.chron.com/,3456,,0,
07/08/2015,09:12:08,widget,NDN Player Suite,18,launch.newsinc.com,172.229.205.166,/js/embed.js,GET,307,text/html,,Akamai,-1,183,183,,1841,2024,,-1,1744,1810,-1,0,0,1810,1841,0,455,327,0,http://www.chron.com/,113,"Wed, 08 Jul 2015 09:12:11 GMT",0,
07/08/2015,09:12:08,-,-,19,launch.newsinc.com,172.229.205.166,/80/js/embed.js,GET,200,application/javascript,gzip,Akamai,-1,168,53,,2028,2196,,-1,0,0,-1,0,0,0,0,66135,66873,330,0,http://www.chron.com/,113,"Wed, 15 Jul 2015 09:12:11 GMT",0,
07/08/2015,09:12:08,ad,Amazon Associates,20,aax.amazon-adsystem.com,178.236.6.19,/e/dtb/bid?src=3070&u=http%3A%2F%2Fwww.chron.com%2F&cb=6519999,GET,200,text/javascript,,,-1,95,95,,2149,2244,,-1,1750,2080,-1,0,0,2080,2148,8,217,382,0,http://c.amazon-adsystem.com/aax2/amzn_ads.js,1,,0,
07/08/2015,09:12:08,-,-,21,ww4.hdnux.com,23.62.99.144,/photos/35/75/34/7853827/4/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,68,41,,2299,2367,,-1,2201,2267,-1,0,0,2268,2299,16327,16648,370,16327,http://www.chron.com/,390,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,22,ww4.hdnux.com,23.62.99.144,/photos/37/43/03/8270071/3/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,91,68,,2300,2391,,-1,0,0,-1,0,0,2268,2299,13430,13751,370,13430,http://www.chron.com/,544,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,23,ww4.hdnux.com,23.62.99.144,/photos/37/42/01/8265811/7/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,114,93,,2300,2414,,-1,0,0,-1,0,0,2268,2300,15068,15389,370,15068,http://www.chron.com/,596,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,24,ww4.hdnux.com,23.62.99.144,/photos/32/72/31/7054955/43/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,62,38,,2401,2463,,-1,0,0,-1,0,0,0,0,15843,16164,371,15843,http://www.chron.com/,681,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,25,ww1.hdnux.com,23.62.99.144,/photos/14/53/37/3323852/4/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,70,48,,2418,2488,,-1,2265,2332,-1,0,0,2333,2418,14825,15146,370,14825,http://www.chron.com/,402,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,26,ww1.hdnux.com,23.62.99.144,/photos/12/26/26/2713012/3/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,100,74,,2418,2518,,-1,0,0,-1,0,0,2333,2418,16929,17250,370,16929,http://www.chron.com/,408,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,27,ww1.hdnux.com,23.62.99.144,/photos/36/50/60/8031260/3/landscape_32.jpg,GET,200,image/jpeg,gzip,Akamai,-1,130,101,,2419,2549,,-1,0,0,-1,0,0,2333,2419,18732,19081,370,0,http://www.chron.com/,526,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,28,ww3.hdnux.com,23.62.99.144,/photos/37/36/74/8253230/7/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,785,158,,2419,3204,,-1,2266,2333,-1,0,0,2333,2419,5748,6068,370,5748,http://www.chron.com/,602,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,29,ww2.hdnux.com,23.62.99.144,/photos/35/53/15/7779169/5/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,152,131,,2421,2573,,-1,2265,2391,-1,0,0,2391,2420,13740,14061,370,13740,http://www.chron.com/,396,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,30,ww2.hdnux.com,23.62.99.144,/photos/37/43/36/8271789/10/landscape_32.jpg,GET,200,image/jpeg,gzip,Akamai,-1,1198,158,,2421,3619,,-1,0,0,-1,0,0,2391,2420,14761,15110,371,0,http://www.chron.com/,532,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,31,ww2.hdnux.com,23.62.99.144,/photos/37/36/71/8253033/7/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,914,162,,2421,3335,,-1,0,0,-1,0,0,2391,2420,21689,22010,370,21689,http://www.chron.com/,590,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,32,ww2.hdnux.com,23.62.99.144,/photos/37/43/76/8273849/3/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,856,164,,2422,3278,,-1,0,0,-1,0,0,2392,2420,13252,13573,370,13252,http://www.chron.com/,608,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,33,ww4.hdnux.com,23.62.99.144,/photos/37/44/02/8274059/5/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,837,160,,2428,3265,,-1,0,0,-1,0,0,0,0,11651,11972,370,11651,http://www.chron.com/,687,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,34,ww1.hdnux.com,23.62.99.144,/photos/37/44/16/8274860/3/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,122,106,,2489,2611,,-1,0,0,-1,0,0,0,0,11826,12147,370,11826,http://www.chron.com/,693,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,35,ww4.hdnux.com,23.62.99.144,/photos/37/42/65/8269175/19/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,141,123,,2492,2633,,-1,0,0,-1,0,0,0,0,12081,12402,371,12081,http://www.chron.com/,699,"Wed, 08 Jul 2015 09:42:12 GMT",0,
07/08/2015,09:12:08,-,-,36,www.chron.com,23.62.99.139,/css/hdn/fonts/roboto/Roboto-Regular-webfont.woff,GET,200,text/plain,,Akamai,-1,731,123,,2511,3242,,-1,0,0,-1,0,0,0,0,15280,15615,542,0,http://cdn.optimizely.com/js/62709401.js,61,"Wed, 08 Jul 2015 09:17:12 GMT",0,
07/08/2015,09:12:08,analytics,Ensighten,37,nexus.ensighten.com,50.56.5.211,/hearst/news/Bootstrap.js,GET,200,application/x-javascript,gzip,,-1,287,137,,2842,3129,,-1,2578,2714,-1,0,0,2714,2842,21949,22246,341,0,http://www.chron.com/,234,,0,
07/08/2015,09:12:08,-,-,38,aps.hearstnp.com,2.21.243.65,/Scripts/loadAdsMain.js,GET,200,application/x-javascript,,Akamai,-1,42,37,,3155,3197,,-1,0,0,-1,0,0,0,0,2994,3349,336,0,http://aps.hearstnp.com/Scripts/loadAds.js,16,"Wed, 08 Jul 2015 09:42:13 GMT",0,
07/08/2015,09:12:08,-,-,39,aps.hearstnp.com,2.21.243.65,/SRO/GetJS?url=www.chron.com,GET,200,text/html,,Akamai,-1,466,382,,3202,3668,,-1,0,0,-1,0,0,0,0,47910,48280,341,0,http://aps.hearstnp.com/Scripts/loadAdsMain.js,82,"Wed, 08 Jul 2015 09:17:13 GMT",0,
