Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:01:33,-,-,1,weather.gov,204.227.127.201,/,GET,302,text/html,,,-1,145,145,,414,559,,-1,0,269,-1,0,0,269,414,285,524,348,0,,,,0,
07/08/2015,09:01:33,-,-,2,www.weather.gov,77.67.28.34,/,GET,200,text/html,gzip,Akamai,-1,151,103,,3071,3222,,-1,561,3008,-1,0,0,3008,3070,30366,30689,352,0,,,"Wed, 08 Jul 2015 09:03:51 GMT",0,
07/08/2015,09:01:33,-,-,3,www.weather.gov,77.67.28.34,/css/weatherstyle.css,GET,200,text/css,gzip,Akamai,-1,57,53,,3213,3270,,-1,0,0,-1,0,0,3008,3070,4337,4713,350,0,http://www.weather.gov/,6,"Wed, 08 Jul 2015 09:01:46 GMT",0,
07/08/2015,09:01:33,-,-,4,www.weather.gov,77.67.28.34,/css/template.css,GET,200,text/css,gzip,Akamai,-1,1379,662,,3222,4601,,-1,0,0,-1,0,0,0,0,2723,3101,346,0,http://www.weather.gov/,7,"Wed, 08 Jul 2015 09:03:32 GMT",0,
07/08/2015,09:01:33,-,-,5,www.weather.gov,77.67.28.34,/css/myfcst.css,GET,200,text/css,gzip,Akamai,-1,49,49,,3242,3291,,-1,0,0,-1,0,0,3212,3242,1279,1657,344,0,http://www.weather.gov/,8,"Wed, 08 Jul 2015 09:03:43 GMT",0,
07/08/2015,09:01:33,-,-,6,www.weather.gov,77.67.28.34,/css/ForecastSearch.css,GET,200,text/css,gzip,Akamai,-1,49,49,,3249,3298,,-1,0,0,-1,0,0,3213,3249,228,603,352,0,http://www.weather.gov/,9,"Wed, 08 Jul 2015 09:01:48 GMT",0,
07/08/2015,09:01:33,-,-,7,www.weather.gov,77.67.28.34,/css/pointforecast.css,GET,200,text/css,gzip,Akamai,-1,64,52,,3251,3315,,-1,0,0,-1,0,0,3214,3250,2736,3113,351,0,http://www.weather.gov/,10,"Wed, 08 Jul 2015 09:01:54 GMT",0,
07/08/2015,09:01:33,-,-,8,www.weather.gov,77.67.28.34,/css/jqueryui10_3_1custom/jquery-ui-1.10.3.custom.min.css,GET,200,text/css,gzip,Akamai,-1,64,56,,3251,3315,,-1,0,0,-1,0,0,3217,3250,5314,5692,386,0,http://www.weather.gov/,11,"Wed, 08 Jul 2015 09:04:24 GMT",0,
07/08/2015,09:01:33,-,-,9,www.weather.gov,77.67.28.34,/css/wwamap/wwamap.css,GET,200,text/css,gzip,Akamai,-1,97,50,,3271,3368,,-1,0,0,-1,0,0,0,0,1667,2044,351,0,http://www.weather.gov/,205,"Wed, 08 Jul 2015 09:01:50 GMT",0,
07/08/2015,09:01:33,-,-,10,www.weather.gov,77.67.28.34,/js/jquery-1.10.2.min.js,GET,200,text/javascript,,Akamai,-1,498,50,,3293,3791,,-1,0,0,-1,0,0,0,0,93106,93445,338,0,http://www.weather.gov/,12,"Wed, 08 Jul 2015 09:03:08 GMT",0,
07/08/2015,09:01:33,-,-,11,www.weather.gov,77.67.28.34,/js/jquery-ui-1.10.3.custom.min.js,GET,200,text/javascript,,Akamai,-1,977,74,,3298,4275,,-1,0,0,-1,0,0,0,0,228138,228478,348,0,http://www.weather.gov/,14,"Wed, 08 Jul 2015 09:03:14 GMT",0,
07/08/2015,09:01:33,-,-,12,www.weather.gov,77.67.28.34,/js/jquery.hoverIntent.minified.js,GET,200,text/javascript,,Akamai,-1,84,84,,3316,3400,,-1,0,0,-1,0,0,0,0,1464,1801,348,0,http://www.weather.gov/,15,"Wed, 08 Jul 2015 09:04:21 GMT",0,
07/08/2015,09:01:33,-,-,13,www.weather.gov,77.67.28.34,/js/ForecastSearch.js,GET,200,text/javascript,,Akamai,-1,958,307,,3316,4274,,-1,0,0,-1,0,0,0,0,5571,5908,335,0,http://www.weather.gov/,16,"Wed, 08 Jul 2015 09:03:12 GMT",0,
07/08/2015,09:01:33,-,-,14,www.weather.gov,77.67.28.34,/js/federated-analytics.js,GET,200,text/javascript,,Akamai,-1,396,103,,3369,3765,,-1,0,0,-1,0,0,0,0,62585,62923,340,0,http://www.weather.gov/,17,"Wed, 08 Jul 2015 09:02:48 GMT",0,
