Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:08:25,-,-,1,sfgate.com,174.143.228.153,/,GET,301,text/html,gzip,,-1,149,149,,323,472,,-1,0,179,-1,0,0,179,323,241,577,347,0,,,"Wed, 08 Jul 2015 09:09:27 GMT",0,
07/08/2015,09:08:25,-,-,2,www.sfgate.com,2.21.243.65,/,GET,200,text/html,gzip,Akamai,-1,393,244,,682,1075,,-1,473,651,-1,0,0,651,681,39063,39527,351,0,,,"Wed, 08 Jul 2015 09:08:27 GMT",0,
07/08/2015,09:08:25,-,-,3,www.sfgate.com,2.21.243.65,/js/hdn/utils/modernizr-2.6.2.min.js?r6.17.0.9,GET,200,application/x-javascript,gzip,Akamai,-1,161,154,,1030,1191,,-1,0,0,-1,0,0,652,681,6246,6626,374,0,http://www.sfgate.com/,104,"Wed, 08 Jul 2015 09:13:28 GMT",0,
07/08/2015,09:08:25,-,-,4,www.sfgate.com,2.21.243.65,/external/css/global.less.allPages.r6.17.0.9.css,GET,200,text/css,gzip,Akamai,-1,176,150,,1075,1251,,-1,0,0,-1,0,0,1028,1075,16226,16591,391,0,http://www.sfgate.com/,105,"Wed, 08 Jul 2015 09:13:28 GMT",0,
07/08/2015,09:08:25,-,-,5,www.sfgate.com,2.21.243.65,/external/js/global.allPages.r6.17.0.9.js,GET,200,application/x-javascript,gzip,Akamai,-1,336,209,,1076,1412,,-1,0,0,-1,0,0,0,0,56644,57025,369,0,http://www.sfgate.com/,107,"Wed, 08 Jul 2015 09:13:28 GMT",0,
07/08/2015,09:08:25,-,-,6,www.sfgate.com,2.21.243.65,/external/js/global.sectionPages.r6.17.0.9.js,GET,200,application/x-javascript,gzip,Akamai,-1,191,176,,1077,1268,,-1,0,0,-1,0,0,1027,1076,10300,10680,373,0,http://www.sfgate.com/,108,"Wed, 08 Jul 2015 09:13:28 GMT",0,
07/08/2015,09:08:25,-,-,7,www.sfgate.com,2.21.243.65,/external/js/global.bottom.r6.17.0.9.js,GET,200,application/x-javascript,gzip,Akamai,-1,265,160,,1115,1380,,-1,0,0,-1,0,0,1031,1077,6772,7151,367,0,http://www.sfgate.com/,2404,"Wed, 08 Jul 2015 09:13:28 GMT",0,
07/08/2015,09:08:25,widget,Outbrain,8,widgets.outbrain.com,23.34.180.136,/outbrain.js,GET,200,application/x-javascript,gzip,Akamai,-1,67,42,,1153,1220,,-1,1027,1120,-1,0,0,1123,1153,16048,16406,330,0,http://www.sfgate.com/,95,,0,
07/08/2015,09:08:25,-,-,9,aps.hearstnp.com,23.62.99.152,/Scripts/loadAds.js,GET,200,application/x-javascript,,Akamai,-1,69,69,,1154,1223,,-1,1031,1120,-1,0,0,1123,1153,920,1275,333,0,http://www.sfgate.com/,341,"Wed, 08 Jul 2015 09:38:28 GMT",0,
07/08/2015,09:08:25,widget,Brightcove,10,admin.brightcove.com,77.67.28.72,/js/BrightcoveExperiences.js,GET,200,application/x-javascript,gzip,Akamai,-1,725,147,,1224,1949,,-1,1026,1179,-1,0,0,1179,1223,8472,8827,346,0,http://www.sfgate.com/,93,,0,
07/08/2015,09:08:25,tracker,Catchpoint,11,g.3gl.net,68.232.35.38,/jp/147/v2/C,GET,200,text/javascript,gzip,Edgecast,-1,34,34,,1371,1405,,-1,1012,1272,-1,0,0,1272,1371,152,493,319,0,http://www.sfgate.com/,1,"Wed, 08 Jul 2015 10:07:56 GMT",0,
07/08/2015,09:08:25,tracker,Catchpoint,12,g.3gl.net,68.232.35.38,/jp/v2/M,GET,200,text/javascript,gzip,Edgecast,-1,40,36,,1410,1450,,-1,0,0,-1,0,0,0,0,3811,4153,315,0,http://www.sfgate.com/,1,"Wed, 08 Jul 2015 10:08:19 GMT",0,
07/08/2015,09:08:25,ad,Amazon Associates,13,c.amazon-adsystem.com,54.230.97.23,/aax2/amzn_ads.js,GET,200,application/x-javascript,gzip,Amazon CloudFront,-1,70,62,,1510,1580,,-1,1026,1456,-1,0,0,1456,1509,4379,4860,336,0,http://www.sfgate.com/,44,,0,
07/08/2015,09:08:25,widget,NDN Player Suite,14,launch.newsinc.com,172.229.205.166,/js/embed.js,GET,307,text/html,,Akamai,-1,179,179,,1557,1736,,-1,1454,1524,-1,0,0,1525,1557,0,455,328,0,http://www.sfgate.com/,94,"Wed, 08 Jul 2015 09:08:28 GMT",0,
07/08/2015,09:08:25,-,-,15,sfgate.spingo.com,23.23.114.8,/list-widget.js,GET,200,application/javascript,,,-1,147,145,,1724,1871,,-1,1073,1549,-1,0,0,1550,1724,1529,1929,330,0,http://www.sfgate.com/,1694,,0,
07/08/2015,09:08:25,-,-,16,launch.newsinc.com,172.229.205.166,/80/js/embed.js,GET,200,application/javascript,gzip,Akamai,-1,170,58,,1738,1908,,-1,0,0,-1,0,0,0,0,66135,66841,331,0,http://www.sfgate.com/,94,"Wed, 15 Jul 2015 09:08:28 GMT",0,
07/08/2015,09:08:25,-,-,17,ww1.hdnux.com,23.62.99.144,/photos/34/12/05/7381320/3/landscape_32.jpg,GET,200,image/jpeg,,Akamai,-1,51,41,,2012,2063,,-1,1914,1981,-1,0,0,1981,2012,9596,9916,371,9596,http://www.sfgate.com/,529,"Wed, 08 Jul 2015 09:38:28 GMT",0,
