Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:15:31,-,-,1,news.com.au,2.21.243.75,/,GET,301,,,,-1,37,37,,179,216,,-1,0,147,-1,0,0,147,178,0,236,348,0,,,"Wed, 08 Jul 2015 09:15:33 GMT",0,
07/08/2015,09:15:31,-,-,2,www.news.com.au,23.62.99.50,/,GET,200,text/html,gzip,Akamai,-1,152,95,,317,469,,-1,217,285,-1,0,0,285,316,34811,35655,352,0,,,"Wed, 08 Jul 2015 09:16:37 GMT",0,
07/08/2015,09:15:31,-,-,3,tags.news.com.au,23.34.179.166,/prod/utrack/utrack.js?cb=14363469319740.060502781765535474,GET,200,application/x-javascript,gzip,Akamai,-1,56,55,,548,604,,-1,444,517,-1,0,0,517,548,1650,2865,458,0,http://www.news.com.au/,32,"Wed, 08 Jul 2015 09:15:33 GMT",0,
07/08/2015,09:15:31,-,-,4,resources1.news.com.au,77.67.4.25,/images/2015/07/08/1227433/936613-115f6990-2520-11e5-a1dc-713890f6a5ce.jpg,GET,200,image/jpeg,,Akamai,-1,66,38,,585,651,,-1,451,548,-1,0,0,548,585,18211,18536,496,18211,http://www.news.com.au/,602,"Wed, 08 Jul 2015 09:25:59 GMT",0,
07/08/2015,09:15:31,analytics,Tealium,5,tags.tiqcdn.com,68.232.35.180,/utag/newsltd/news.fw/prod/utag.js,GET,200,text/javascript,gzip,Edgecast,-1,56,46,,608,664,,-1,517,579,-1,0,0,579,607,7257,7612,348,0,http://www.news.com.au/,3515,"Wed, 08 Jul 2015 09:20:33 GMT",0,
07/08/2015,09:15:31,-,-,6,resources.newscdn.com.au,23.62.99.136,/cs/nca/latest/public/css/vertical/home/base.css,GET,200,text/css,gzip,Akamai,-1,347,39,,651,998,,-1,441,607,-1,0,0,607,651,118115,118591,386,0,http://www.news.com.au/,82,"Wed, 08 Jul 2015 09:36:49 GMT",0,
07/08/2015,09:15:31,-,-,7,resources.newscdn.com.au,23.62.99.136,/cs/nca/latest/public/js/desktop/home/base-top-concat-min.js,GET,200,application/x-javascript,gzip,Akamai,-1,334,76,,653,987,,-1,0,0,-1,0,0,607,652,37922,38412,383,0,http://www.news.com.au/,83,"Wed, 08 Jul 2015 09:21:22 GMT",0,
07/08/2015,09:15:31,-,-,8,resources.newscdn.com.au,23.62.99.136,/cs/nca/latest/public/js/desktop/home/base-bottom-concat-min.js,GET,200,application/x-javascript,gzip,Akamai,-1,151,118,,653,804,,-1,0,0,-1,0,0,607,652,21159,21650,386,0,http://www.news.com.au/,3496,"Wed, 08 Jul 2015 09:34:41 GMT",0,
07/08/2015,09:15:31,-,-,9,resources3.news.com.au,77.67.4.25,/images/2015/07/08/1227433/973043-7d5e5110-252a-11e5-b9c8-881f1ce24d70.jpg,GET,200,image/jpeg,,Akamai,-1,69,67,,894,963,,-1,607,806,-1,0,0,806,894,2222,2536,666,2222,http://www.news.com.au/,633,"Wed, 08 Jul 2015 09:20:07 GMT",0,
07/08/2015,09:15:31,-,-,10,resources0.news.com.au,77.67.4.25,/images/2015/07/08/1227433/940788-230693bc-2516-11e5-a1dc-713890f6a5ce.jpg,GET,200,image/jpeg,,Akamai,-1,40,39,,1002,1042,,-1,567,665,-1,0,0,964,1001,2150,2464,666,2150,http://www.news.com.au/,669,"Wed, 08 Jul 2015 09:20:50 GMT",0,
