Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:23:18,-,-,1,cbsnews.com,170.20.0.18,/,GET,301,text/html,,,-1,113,113,,352,465,,-1,0,247,-1,0,0,247,352,231,475,348,0,,,,0,
07/08/2015,09:23:18,-,-,2,www.cbsnews.com,77.67.28.59,/,GET,200,text/html,gzip,Akamai,-1,467,415,,669,1136,,-1,466,637,-1,0,0,638,669,31634,32063,352,0,,,,0,
07/08/2015,09:23:18,-,-,3,fonts.cbsnews.com,77.67.28.32,/hzk1prl.js,GET,200,application/javascript,gzip,Akamai,-1,50,37,,1405,1455,,-1,1119,1374,-1,0,0,1374,1404,8338,8652,386,0,http://www.cbsnews.com/,2,,0,
07/08/2015,09:23:18,-,-,4,fonts.cbsnews.com,77.67.28.32,/k/hzk1prl-d.css?3bb2a6e53c9684ffdc9a9bf31b5b2a62f8640158474e9a4e257a336293978e02ed830b58cd8afcf1e0007a8175849c205f35d68d826c4ae0cd355a2da031c2293f714f1965d0b2a0fa1f3c00f78b5f161c3e7d89a4e4788c1e56c46a7c1cea16a26d576b790fd7d41c2f5996a08bd538f0d2d6bb1b125268fb36c66cd5b5aa84a6f665e5eb20738e7b93ef15f01a6f93ac7a8efc062aa3,GET,200,text/css,gzip,Akamai,-1,314,69,,1476,1790,,-1,0,0,-1,0,0,0,0,147090,147394,709,0,http://fonts.cbsnews.com/hzk1prl.js,8,,0,
07/08/2015,09:23:18,-,-,5,cbsnews1.cbsistatic.com,77.67.28.59,/fly/308fce5b37c999fd428ebf63cb6339f15c397cca/bundles/cbsnewscore/css/main.desktop.css,GET,200,text/css,gzip,Akamai,-1,199,41,,3605,3804,,-1,1119,3573,-1,0,0,3573,3604,72871,73324,423,0,http://www.cbsnews.com/,29,,0,
07/08/2015,09:23:18,-,-,6,cbsnews1.cbsistatic.com,77.67.28.59,/fly/308fce5b37c999fd428ebf63cb6339f15c397cca/bundles/flyjs/js/libs/require-2.1.2.js,GET,200,application/x-javascript,gzip,Akamai,-1,113,80,,3605,3718,,-1,0,0,-1,0,0,3573,3604,20662,21131,406,0,http://www.cbsnews.com/,37,,0,
07/08/2015,09:23:18,-,-,7,cbsnews1.cbsistatic.com,77.67.28.59,/hub/i/r/2015/07/08/b8d4cd8a-6d44-4765-9cf2-5488405ef20a/thumbnail/620x350/1798a93a8292af06b5f0fca55010362c/2015-07-07t231724z450484184tm3eb771hir01rtrmadp3usa-california-shooting.jpg,GET,200,image/jpeg,gzip,Akamai,-1,77,42,,3808,3885,,-1,0,0,-1,0,0,0,0,21725,22230,522,0,http://www.cbsnews.com/,231,"Sun, 06 Sep 2015 09:23:23 GMT",0,
07/08/2015,09:23:18,-,-,8,cbsnews1.cbsistatic.com,77.67.28.59,/hub/i/r/2015/07/07/206096a0-8382-41ff-8771-f0dcfd45d872/thumbnail/220x140/a57ca3e876add309b5cf0ff399004f5f/goldmandems-transferframe536.jpg,GET,200,image/jpeg,gzip,Akamai,-1,96,77,,3809,3905,,-1,0,0,-1,0,0,0,0,5971,6475,479,0,http://www.cbsnews.com/,291,"Sun, 06 Sep 2015 09:23:23 GMT",0,
07/08/2015,09:23:18,-,-,9,cbsnews1.cbsistatic.com,77.67.28.59,/hub/i/r/2015/07/07/aa8b4ee3-1b65-461f-bcee-ac8c8d250104/thumbnail/220x140/c88dc6b9e2b0f84dce89945c49d49793/evening-news-air-record-net03mdc-01frame23318.jpg,GET,200,image/jpeg,gzip,Akamai,-1,62,53,,3845,3907,,-1,0,0,-1,0,0,3808,3844,5907,6411,496,0,http://www.cbsnews.com/,393,"Sun, 06 Sep 2015 09:23:23 GMT",0,
07/08/2015,09:23:18,-,-,10,cbsnews1.cbsistatic.com,77.67.28.59,/hub/i/r/2015/07/07/e437043a-74c2-4e1e-b2eb-4f3aaca14ffd/thumbnail/220x140/05316aef433e3b79de006ab683fa0b17/axelrodnascar-x-transferframe67.jpg,GET,200,image/jpeg,gzip,Akamai,-1,74,64,,3845,3919,,-1,0,0,-1,0,0,3809,3845,6745,7249,482,0,http://www.cbsnews.com/,420,"Sun, 06 Sep 2015 09:23:23 GMT",0,
