Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:30:36,-,-,1,indianexpress.com,192.0.79.33,/,GET,200,text/html,gzip,,-1,238,194,,396,634,,-1,0,365,-1,0,0,365,396,21199,21795,354,0,,,,0,
07/08/2015,09:30:36,ad,Criteo,2,rtax.criteo.com,178.250.2.100,/delivery/rta/rta.js?netId=3833&cookieName=crtg_rta&rnd=59588549727&varName=crtg_content,GET,200,text/javascript,,,-1,37,37,,735,772,,-1,627,702,-1,0,0,702,734,167,475,404,0,http://indianexpress.com/,18,"Mon, 26 Jul 1997 05:00:00 GMT",0,
07/08/2015,09:30:36,-,-,3,s0.wp.com,93.184.220.111,/_static/??-eJyVkNtuwkAMRH+orgvh8lT1WzaL2Ri8F8UbQv++DghERRuJl9WMNUdjL44FfE6VUsU4QJEhcFIUPpLigWpx/ggX9+5V3/DvuM892TwWV6dEpB07EooWm8Ni2dyoSXbWNVszFktD25aeVMHeyEOE2lnRM3cd44kLcrJ9Ep0vHGr9FsIuRyou0PJjsX6V3QudVXhH/cut5IyCROOVZEy5ssF6F3MfECiDZO8q5/TLwF4cP2/zgPbUSg4mA1rqwf53QrfCILl1MgW+4udi1WyaZr3cbg8/ErDTug==,GET,200,text/css,gzip,WordPress Jetpack,-1,107,43,,735,842,,-1,631,702,-1,0,0,702,734,39530,39869,629,0,http://indianexpress.com/,141,"Thu, 07 Jul 2016 09:30:39 GMT",0,
07/08/2015,09:30:36,-,-,4,s0.wp.com,93.184.220.111,/_static/??-eJydkt1OwzAMRl+ILAJWwQ3iHRD3U5p+He7yt9httz39UlQQiGowpEiW4pNjx4kek6JgXd+AdVfWvkc+zmHV8Y2+BChP22wEK0/hA7YxCIJMrI81Oaiekc227BVRGxe4FFk8mAu0kP3eEoWBMP6KdZBk7E5lMJ1+WOUNpZ4eKGkKDZmAQyrk+wUJG9MMG0cs1xyb67YOB3bUIKuFmVwSwPDxBZxiYBrwamq+5nRbGFZsM6USA0Yl8MlNb/NXiyebI5OUZP7sY3LbniX6SfofV2nJ7iBjzK6xffoyq3qe1Px7nv3T7fq+erir1o9VdwYU0f1/,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,281,110,,735,1016,,-1,0,0,-1,0,0,702,734,68079,68420,646,0,http://indianexpress.com/,142,"Thu, 07 Jul 2016 09:30:39 GMT",0,
07/08/2015,09:30:36,-,-,5,s2.wp.com,93.184.220.111,/?custom-css=1&csblog=3DY9j&cscache=6&csrev=10,GET,200,text/css,gzip,WordPress Jetpack,-1,167,167,,738,905,,-1,632,703,-1,0,0,703,737,331,737,371,0,http://indianexpress.com/,161,"Thu, 07 Jul 2016 09:30:38 GMT",0,
07/08/2015,09:30:36,ad,DoubleClick,6,www.googletagservices.com,74.125.136.155,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,299,169,,738,1037,,-1,637,703,-1,0,0,703,737,16514,17070,340,0,http://indianexpress.com/,115,"Wed, 08 Jul 2015 09:30:39 GMT",0,
07/08/2015,09:30:36,widget,Crowdynews,7,widget.breakingburner.com,23.62.99.139,/js/jwidget.js,GET,200,application/javascript,gzip,Akamai,-1,91,68,,906,997,,-1,666,751,-1,0,0,751,905,14677,15019,340,0,http://indianexpress.com/,337,"Wed, 08 Jul 2015 19:23:17 GMT",0,
07/08/2015,09:30:36,-,-,8,s1.wp.com,93.184.220.111,"/_static/??/wp-content/js/devicepx.js,/wp-content/mu-plugins/2-vip/js/vip-analytics.js,/wp-content/themes/vip/indianexpress/js/metro-n-more.js?m=1429298047j",GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,55,47,,973,1028,,-1,703,905,-1,0,0,906,973,6403,6743,466,0,http://indianexpress.com/,452,"Thu, 07 Jul 2016 09:30:39 GMT",0,
07/08/2015,09:30:36,widget,Polldaddy,9,static.polldaddy.com,68.232.35.233,/p/8969193.js,GET,200,text/javascript,gzip,Edgecast,-1,45,42,,1006,1051,,-1,702,928,-1,0,0,928,1006,4566,4885,334,0,http://indianexpress.com/,358,,0,
07/08/2015,09:30:36,-,-,10,r-login.wordpress.com,,/remote-login.php?action=js&host=indianexpress.com&id=53855017&t=1436347644&back=http%3A%2F%2Findianexpress.com%2F,GET,200,text/javascript,,,-1,250,250,,1031,1281,,-1,623,697,-1,728,1031,697,728,0,148,606,0,http://indianexpress.com/,125,,0,
07/08/2015,09:30:36,-,-,11,tpc.googlesyndication.com,74.125.136.132,/safeframe/1-0-2/html/container.html,GET,200,text/html,gzip,Google,-1,41,40,,1164,1205,,-1,1063,1128,-1,0,0,1129,1163,1877,2279,433,0,http://www.googletagservices.com/tag/js/gpt.js,93,"Wed, 06 Jul 2016 06:20:06 GMT",0,
07/08/2015,09:30:36,ad,DoubleClick,12,www.googletagservices.com,74.125.136.155,/tag/js/check_359604.js,GET,200,text/javascript,gzip,Google,-1,41,40,,1311,1352,,-1,0,0,-1,0,0,0,0,1878,2419,349,0,http://www.googletagservices.com/tag/js/gpt.js,93,"Wed, 08 Jul 2015 09:38:46 GMT",0,
07/08/2015,09:30:36,-,-,13,s0.wp.com,93.184.220.111,/wp-content/themes/vip/indianexpress/images/star-one.gif?m=1388754411g,GET,200,image/gif,,WordPress Jetpack,-1,43,43,,1311,1354,,-1,0,0,-1,0,0,0,0,293,574,397,0,http://indianexpress.com/,282,"Thu, 07 Jul 2016 09:30:39 GMT",0,
07/08/2015,09:30:36,-,-,14,stats.wp.com,192.0.76.3,/w.js?47,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,42,38,,1412,1454,,-1,1311,1381,-1,0,0,1381,1412,3779,4074,321,0,http://indianexpress.com/,470,"Sat, 28 May 2016 19:30:24 GMT",0,
