Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:31:24,-,-,1,topix.com,64.13.149.10,/,GET,301,text/html,,,-1,189,189,,338,527,,-1,0,155,-1,0,0,156,338,3,429,346,0,,,"Wed, 08 Jul 2015 09:31:26 GMT",0,
07/08/2015,09:31:24,-,-,2,www.topix.com,64.13.149.10,/,GET,200,text/html,gzip,,-1,544,523,,777,1321,,-1,529,593,-1,0,0,594,777,13195,14362,350,0,,,"Wed, 08 Jul 2015 09:31:26 GMT",0,
07/08/2015,09:31:24,ad,Rubicon,3,ads.rubiconproject.com,172.229.178.64,/ad/10683.js,GET,200,text/javascript,gzip,Akamai,-1,50,38,,1441,1491,,-1,1337,1408,-1,0,0,1409,1441,7107,7416,331,0,http://www.topix.com/,81,"Wed, 08 Jul 2015 10:01:43 GMT",0,
07/08/2015,09:31:24,-,-,4,ajax.googleapis.com,74.125.136.95,/ajax/libs/jquery/1.10.2/jquery.min.js,GET,200,text/javascript,gzip,Google,-1,120,49,,1444,1564,,-1,1336,1409,-1,0,0,1409,1444,32822,33302,354,0,http://www.topix.com/,25,"Wed, 06 Jul 2016 06:20:08 GMT",0,
07/08/2015,09:31:24,ad,Quantcast,5,pixel.quantserve.com,95.172.94.20,/api/segments.json?a=p-dfQGRefil9mes&callback=qc_results,GET,200,application/x-javascript,,,-1,49,49,,1515,1564,,-1,1409,1473,-1,0,0,1473,1515,39,464,373,0,http://www.topix.com/,895,"Wed, 08 Jul 2015 09:41:27 GMT",0,
07/08/2015,09:31:24,-,-,6,static.topixcdn.com,205.234.175.175,/static/base_layout.min.618.css,GET,200,text/css,gzip,Cachefly,-1,163,45,,1598,1761,,-1,1333,1565,-1,0,0,1565,1597,47377,47821,362,0,http://www.topix.com/,20,"Fri, 07 Aug 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,7,static.topixcdn.com,205.234.175.175,/static/topix-dk.min.618.css,GET,200,text/css,gzip,Cachefly,-1,492,106,,1598,2090,,-1,0,0,-1,0,0,1565,1597,47497,47941,359,0,http://www.topix.com/,21,"Fri, 07 Aug 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,8,static.topixcdn.com,205.234.175.175,/static/custom_layout.min.618.css,GET,200,text/css,gzip,Cachefly,-1,104,92,,1598,1702,,-1,0,0,-1,0,0,1565,1597,7317,7753,364,0,http://www.topix.com/,22,"Fri, 07 Aug 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,9,static.topixcdn.com,205.234.175.175,/static/topixall.min.1560.js,GET,200,application/x-javascript,gzip,Cachefly,-1,341,204,,1599,1940,,-1,0,0,-1,0,0,1565,1598,55062,55522,344,0,http://www.topix.com/,27,"Fri, 07 Aug 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,10,static.topixcdn.com,205.234.175.175,/ext/t7/topix_119x50.png,GET,200,image/png,,Cachefly,-1,168,168,,1599,1767,,-1,0,0,-1,0,0,1565,1598,1023,1414,357,0,http://www.topix.com/,91,"Wed, 08 Jul 2015 21:31:27 GMT",0,
07/08/2015,09:31:24,-,-,11,topixrp.cachefly.net,205.234.175.175,/ipicimg/SOTGJ30EE43IOKU9-v1-fill640x280.jpg,GET,200,image/jpeg,,Cachefly,-1,100,47,,1900,2000,,-1,1771,1852,-1,0,0,1852,1900,32457,32998,378,32457,http://www.topix.com/,292,"Wed, 15 Jul 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,ad,TripleLift,12,ib.3lift.com,54.192.97.153,/ttj?inv_code=topix_main_feed,GET,200,text/javascript,gzip,Amazon CloudFront,-1,332,185,,2001,2333,,-1,1344,1919,-1,0,0,1919,2000,44779,45374,338,0,http://www.topix.com/,323,"Wed, 08 Jul 2015 09:45:00 GMT",0,
07/08/2015,09:31:24,-,-,13,static.topixcdn.com,205.234.175.175,/ext/px/stars-logo-63x14.png,GET,200,image/png,,Cachefly,-1,50,50,,2001,2051,,-1,0,0,-1,0,0,0,0,1387,1778,361,0,http://www.topix.com/,293,"Wed, 08 Jul 2015 21:31:27 GMT",0,
07/08/2015,09:31:24,-,-,14,topixrp.cachefly.net,205.234.175.175,/ipicimg/6FKUE1V4SI77DPI9-v1-fill205x205.jpg,GET,200,image/jpeg,,Cachefly,-1,54,39,,2054,2108,,-1,0,0,-1,0,0,0,0,9792,10332,378,9792,http://www.topix.com/,301,"Wed, 15 Jul 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,15,static.topixcdn.com,205.234.175.175,/ext/px/v1-logo-85x14.png,GET,200,image/png,,Cachefly,-1,34,34,,2110,2144,,-1,0,0,-1,0,0,0,0,935,1325,358,0,http://www.topix.com/,302,"Wed, 08 Jul 2015 21:31:27 GMT",0,
07/08/2015,09:31:24,-,-,16,topixrp.cachefly.net,205.234.175.175,/ipicimg/Q668FIVCH77FAKV6-v1-fill205x205.jpg,GET,200,image/jpeg,,Cachefly,-1,77,59,,2151,2228,,-1,0,0,-1,0,0,0,0,11460,12001,378,11460,http://www.topix.com/,308,"Wed, 15 Jul 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,17,fonts.googleapis.com,74.125.136.95,"/css?family=Roboto:400,400italic,700,700italic|Merriweather+Sans:400,300,300italic,400italic,700,700italic,800,800italic|Source+Sans+Pro:200,300,400,600,700,900,200italic,300italic,400italic,600italic,700italic",GET,200,text/css,gzip,Google,-1,72,68,,2229,2301,,-1,2092,2155,-1,0,0,2155,2228,2824,3303,542,0,http://www.topix.com/,25,"Wed, 08 Jul 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,18,topixrp.cachefly.net,205.234.175.175,/ipicimg/E4J15TI7GO3QN3VO-v1-fill205x205.jpg,GET,200,image/jpeg,,Cachefly,-1,61,48,,2234,2295,,-1,0,0,-1,0,0,0,0,8441,8981,378,8441,http://www.topix.com/,315,"Wed, 15 Jul 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,19,static.topixcdn.com,205.234.175.175,/pics/blank.gif,GET,200,image/gif,,Cachefly,-1,36,36,,2300,2336,,-1,0,0,-1,0,0,0,0,45,436,348,0,http://www.topix.com/,339,"Fri, 07 Aug 2015 09:31:27 GMT",0,
07/08/2015,09:31:24,-,-,20,static.topixcdn.com,205.234.175.175,/ext/t7/twitter_follow_button.png,GET,200,image/png,,Cachefly,-1,42,38,,2342,2384,,-1,0,0,-1,0,0,0,0,4145,4536,366,0,http://www.topix.com/,823,"Wed, 08 Jul 2015 21:31:28 GMT",0,
07/08/2015,09:31:24,ad,Rubicon,21,optimized-by.rubiconproject.com,31.186.225.23,/a/10683/24207/92089-2.js?&cb=0.2762699001468718&tk_st=1&rp_s=c&p_exp=1&p_pos=atf&p_screen_res=2560x1440,GET,200,text/javascript,,,-1,40,40,,2513,2553,,-1,2414,2481,-1,0,0,2481,2513,319,1297,432,0,http://ads.rubiconproject.com/ad/10683.js,1,"Wed, 17 Sep 1975 21:32:10 GMT",0,
07/08/2015,09:31:24,-,-,22,fonts.gstatic.com,74.125.136.94,/s/roboto/v15/CWB0XYA8bzo0kSThX0UTuA.woff2,GET,200,font/woff2,,Google,-1,84,46,,2516,2600,,-1,2410,2481,-1,0,0,2481,2516,14584,14997,602,0,http://ads.rubiconproject.com/ad/10683.js,1,"Thu, 07 Jul 2016 03:40:27 GMT",0,
07/08/2015,09:31:24,-,-,23,64.13.129.136,64.13.129.136,/pics/toparts-ea52828d2718-sm.jpg,GET,200,image/jpeg,,,-1,206,206,,2527,2733,,-1,0,0,-1,0,0,2340,2526,1103,1412,360,1103,http://www.topix.com/,459,"Wed, 15 Jul 2015 09:31:28 GMT",0,
