Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:42:32,-,-,1,theguardian.com,77.91.252.10,/world,GET,301,text/html,gzip,,-1,45,45,,111,156,,-1,0,70,-1,0,0,70,110,197,509,357,0,,,,0,
07/08/2015,09:42:32,-,-,2,www.theguardian.com,23.235.43.67,/world,GET,200,text/html,,Fastly,-1,1288,37,,255,1543,,-1,158,223,-1,0,0,223,254,455659,456706,361,0,,,"Wed, 08 Jul 2015 09:43:06 GMT",0,
07/08/2015,09:42:32,-,-,3,assets.guim.co.uk,,/javascripts/9c745d2ae8824c6beccf6f275f354bad/core.js,GET,200,application/x-javascript,gzip,Fastly,-1,822,669,,891,1713,,-1,0,0,-1,760,891,692,760,0,66052,369,0,http://www.theguardian.com/world,198,,0,
07/08/2015,09:42:32,-,-,4,i.guim.co.uk,23.235.43.67,/img/static/sys-images/Guardian/Pix/pictures/2015/7/7/1436307025544/3f64cdfa-714b-45aa-8d61-9569c5cb29b2-2060x1236.jpeg?w=460&q=85&auto=format&sharp=10&s=b2267f4e86c874376d6601d25efdbbe8,GET,200,image/webp,,Fastly,-1,516,137,,907,1423,,-1,532,748,-1,0,0,785,907,38400,41404,523,0,http://www.theguardian.com/world,543,,0,
07/08/2015,09:42:32,-,-,5,i.guim.co.uk,23.235.43.67,/img/media/59ae09c75f367690c7b696e708176c2f0ebee758/0_150_5184_3110/master/5184.jpg?w=220&q=85&auto=format&sharp=10&s=c33fc77abe3a13ff38d68864bbe14b6b,GET,200,image/webp,,Fastly,-1,687,151,,908,1595,,-1,0,0,-1,0,0,786,907,16056,18887,487,0,http://www.theguardian.com/world,600,,0,
07/08/2015,09:42:32,-,-,6,i.guim.co.uk,23.235.43.67,/img/media/acf28d45e0f27d08538dccdc2d444f92efda26b2/0_37_3000_1801/master/3000.jpg?w=220&q=85&auto=format&sharp=10&s=d51a37c32b0b007070350464d653ae7e,GET,200,image/webp,,Fastly,-1,687,154,,908,1595,,-1,0,0,-1,0,0,787,907,17632,20395,486,0,http://www.theguardian.com/world,628,,0,
07/08/2015,09:42:32,-,-,7,assets.guim.co.uk,,/stylesheets/a9a54595b4802c61f64f23353b692ea0/facia.css,GET,200,text/css,gzip,Fastly,-1,383,379,,935,1318,,-1,0,0,-1,804,935,695,804,0,24638,386,0,http://www.theguardian.com/world,175,,0,
07/08/2015,09:42:32,-,-,8,assets.guim.co.uk,,/stylesheets/11f77e73839989adcab714368630e1f7/print.css,GET,200,text/css,gzip,Fastly,-1,137,136,,954,1091,,-1,0,0,-1,804,954,695,804,0,3524,386,0,http://www.theguardian.com/world,180,,0,
07/08/2015,09:42:32,-,-,9,i.guim.co.uk,23.235.43.67,/static/w-640/h-360/q-95/sys-images/Guardian/Pix/pictures/2015/7/8/1436331317274/Britons-killed-on-Koh-Tao-001.jpg,GET,200,image/jpeg,,Fastly,-1,342,78,,1081,1423,,-1,0,0,-1,0,0,945,1080,40951,41581,451,40951,http://www.theguardian.com/world,1761,"Thu, 09 Jul 2015 05:21:03 GMT",0,
07/08/2015,09:42:32,-,-,10,i.guim.co.uk,23.235.43.67,/static/w-640/h-360/q-95/sys-images/Guardian/Pix/audio/video/2015/7/7/1436298128121/KP_344867_crop_640x360.jpg,GET,200,image/jpeg,,Fastly,-1,343,104,,1081,1424,,-1,0,0,-1,0,0,949,1081,49864,50494,447,49864,http://www.theguardian.com/world,1821,"Wed, 08 Jul 2015 20:00:03 GMT",0,
