Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:43:10,-,-,1,nypost.com,192.0.79.32,/,GET,200,text/html,gzip,,-1,361,198,,237,598,,-1,0,206,-1,0,0,206,237,29802,30509,347,0,,,,0,
07/08/2015,09:43:10,tracker,Optimizely,2,cdn.optimizely.com,93.184.220.20,/js/291827881.js,GET,200,text/javascript,gzip,Edgecast,-1,2164,273,,601,2765,,-1,483,554,-1,0,0,554,598,70731,71249,328,0,http://nypost.com/,47,,0,
07/08/2015,09:43:10,-,-,3,fonts.googleapis.com,74.125.136.95,/css?family=Cabin&ver=1.0,GET,200,text/css,,Google,-1,116,116,,602,718,,-1,484,557,-1,0,0,558,599,379,833,354,0,http://nypost.com/,83,"Wed, 08 Jul 2015 09:43:13 GMT",0,
07/08/2015,09:43:10,widget,Typekit by Adobe,4,use.typekit.net,192.229.233.37,/yoc0pwu.js,GET,200,text/javascript,gzip,Edgecast,-1,105,94,,602,707,,-1,479,557,-1,0,0,558,599,8971,9384,320,0,http://nypost.com/,43,,0,
07/08/2015,09:43:10,-,-,5,s1.wp.com,,/wp-content/themes/vip/nypost/static/stylesheets/mobile.css?m=1435271515g,GET,200,text/css,gzip,WordPress Jetpack,-1,379,104,,656,1035,,-1,469,545,-1,586,656,545,586,0,39151,382,0,http://nypost.com/,85,"Thu, 07 Jul 2016 09:43:12 GMT",0,
07/08/2015,09:43:10,-,-,6,s1.wp.com,,/_static/??-eJx9juEKwjAMhF/IrnMO0R/is3RdcOmaLiwtw7c3E0QE6Z+QO77LxW5s/JIypGypGI7lgUmsEEZ48roE8PlXNV7kYP/HIs4gNkBm52fzVjXcLyuoT+zyThCM6CACKVaLEZ8/qX2dtKtas7HSZhh4BRGjk7CQyZMWfXOYfCyjfq+GHZ1MqJekIUw7cqfbsT91167tL214AVrGc2M=,GET,200,text/css,gzip,WordPress Jetpack,-1,103,56,,657,760,,-1,473,546,-1,589,657,546,589,0,31184,529,0,http://nypost.com/,82,"Thu, 07 Jul 2016 09:43:13 GMT",0,
07/08/2015,09:43:10,-,-,7,s1.wp.com,,/wp-content/themes/vip/nypost/static/stylesheets/screen.css?m=1435271515g,GET,200,text/css,gzip,WordPress Jetpack,-1,2150,450,,662,2812,,-1,472,546,-1,587,662,546,587,0,21017,382,0,http://nypost.com/,86,"Thu, 07 Jul 2016 09:43:13 GMT",0,
07/08/2015,09:43:10,-,-,8,s1.wp.com,,/_static/??-eJx9i1EKwjAQRC9kXEKD4od4ljSs6ZbNbmm2eP1GCtKi+DPMMO/Ba3JJxVAMyuImXjJJBSw60pbnVOsJCESNGlk/ZTt++xnVsaZopHIY7smR5n/qjD1rbjVDo3bzS7IBC1YYAmTWPvIbeJS7D124XTp/9eMKbjpRvQ==,GET,200,text/css,gzip,WordPress Jetpack,-1,1615,131,,669,2284,,-1,474,545,-1,587,669,545,587,0,22862,485,0,http://nypost.com/,89,"Thu, 07 Jul 2016 09:43:13 GMT",0,
07/08/2015,09:43:10,-,-,9,r-login.wordpress.com,,/remote-login.php?action=js&host=nypost.com&id=56757169&t=1436348314&back=http%3A%2F%2Fnypost.com%2F%3F_ga%3D1.213426196.1443755789.1429439941,GET,200,text/javascript,,,-1,303,300,,699,1002,,-1,469,548,-1,588,698,548,588,0,148,655,0,http://nypost.com/,47,,0,
07/08/2015,09:43:10,-,-,10,s1.wp.com,,/wp-includes/js/jquery/ui/datepicker.min.js?m=1433512424g,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,675,355,,714,1389,,-1,0,0,-1,629,714,588,629,0,11353,351,0,http://nypost.com/,2737,"Thu, 07 Jul 2016 09:43:13 GMT",0,
07/08/2015,09:43:10,-,-,11,netdna.bootstrapcdn.com,94.31.29.154,/font-awesome/4.0.3/css/font-awesome.min.css?ver=0.0.1,GET,200,text/css,gzip,NetDNA,-1,543,129,,721,1264,,-1,557,638,-1,0,0,638,719,4489,5024,386,0,http://nypost.com/,88,"Sat, 02 Jul 2016 09:43:13 GMT",0,
