Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:44:05,-,-,1,eenadu.net,209.133.7.14,/,GET,302,text/html,,,-1,1652,1652,,794,2446,,-1,0,618,-1,0,0,618,794,129,374,347,0,,,,0,
07/08/2015,09:44:05,-,-,2,eenadu.net,209.133.7.14,/home.aspx,GET,200,text/html,gzip,,-1,1333,585,,2449,3782,,-1,0,0,-1,0,0,0,0,59602,59871,356,0,,,,0,
07/08/2015,09:44:05,-,-,3,eenadu.net,209.133.7.14,/font/eenadu-webfont.css,GET,200,text/css,gzip,,-1,182,182,,3076,3258,,-1,0,0,-1,0,0,619,797,274,566,352,0,http://eenadu.net/home.aspx,36,,0,
07/08/2015,09:44:05,-,-,4,eenadu.net,209.133.7.14,/sitecss/Enav.css,GET,200,text/css,gzip,,-1,185,183,,3078,3263,,-1,0,0,-1,0,0,769,944,1508,1800,345,0,http://eenadu.net/home.aspx,36,,0,
07/08/2015,09:44:05,-,-,5,eenadu.net,209.133.7.14,/sitecss/ticker-style.css,GET,200,text/css,gzip,,-1,180,180,,3255,3435,,-1,0,0,-1,0,0,3078,3255,1056,1348,353,0,http://eenadu.net/home.aspx,36,,0,
07/08/2015,09:44:05,-,-,6,eenadu.net,209.133.7.14,/sitecss/neweenadunew.css,GET,200,text/css,gzip,,-1,363,179,,3257,3620,,-1,0,0,-1,0,0,3076,3257,3814,4108,353,0,http://eenadu.net/home.aspx,36,,0,
07/08/2015,09:44:05,-,-,7,eenadu.net,209.133.7.14,/sitecss/eenadunewinner.css,GET,200,text/css,gzip,,-1,367,186,,3259,3626,,-1,0,0,-1,0,0,0,0,3354,3648,355,0,http://eenadu.net/home.aspx,36,,0,
07/08/2015,09:44:05,-,-,8,eenadu.net,209.133.7.14,/sitecss/hmtabs.css,GET,200,text/css,gzip,,-1,185,185,,3264,3449,,-1,0,0,-1,0,0,3078,3263,627,918,347,0,http://eenadu.net/home.aspx,36,,0,
07/08/2015,09:44:05,-,-,9,eenadu.net,209.133.7.14,/sitecss/contentslider.css,GET,200,text/css,gzip,,-1,186,186,,3264,3450,,-1,0,0,-1,0,0,0,0,760,1053,354,0,http://eenadu.net/home.aspx,36,,0,
07/08/2015,09:44:05,-,-,10,eenadu.net,209.133.7.14,/sitecss/lightbox.css,GET,200,text/css,gzip,,-1,183,183,,3436,3619,,-1,0,0,-1,0,0,0,0,1074,1367,349,0,http://eenadu.net/home.aspx,36,,0,
