Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:44:53,-,-,1,alarabiya.net,54.85.149.231,/,GET,301,text/html,gzip,,-1,119,119,,632,751,,-1,0,518,-1,0,0,518,632,244,553,350,0,,,,0,
07/08/2015,09:44:53,-,-,2,www.alarabiya.net,69.172.201.247,/,GET,200,text/html,gzip,,-1,58,58,,1217,1275,,-1,752,1131,-1,0,0,1131,1217,775,1067,354,0,http://www.alarabiya.net/,33,,0,
07/08/2015,09:44:53,-,-,3,www.alarabiya.net,69.172.201.247,/,GET,200,text/html,gzip,,-1,172,47,,1318,1490,,-1,0,0,-1,0,0,0,0,54382,54798,482,0,http://www.alarabiya.net/,33,"Wed, 08 Jul 2015 09:45:46 GMT",0,
07/08/2015,09:44:53,-,-,4,www.alarabiya.net,69.172.201.247,/favicon.ico,GET,-2,,,,-1,48,48,,1320,1368,,-1,0,0,-1,0,0,1131,1217,0,0,396,0,,,,0,
07/08/2015,09:44:53,-,-,5,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/video-js.css,GET,200,text/css,gzip,,-1,66,48,,1444,1510,,-1,1394,1402,-1,0,0,1404,1444,7872,8312,471,0,http://www.alarabiya.net/,31,"Wed, 08 Jul 2015 09:59:31 GMT",0,
07/08/2015,09:44:53,-,-,6,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/lib/videojs-contrib-ads/video.ads.css,GET,200,text/css,,,-1,314,61,,1445,1759,,-1,0,0,-1,0,0,1404,1444,256,672,496,0,http://www.alarabiya.net/,32,"Wed, 08 Jul 2015 10:08:23 GMT",0,
07/08/2015,09:44:53,-,-,7,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/videojs.vast.css,GET,200,text/css,gzip,,-1,314,61,,1445,1759,,-1,0,0,-1,0,0,1404,1445,270,733,475,0,http://www.alarabiya.net/,33,"Wed, 08 Jul 2015 10:43:53 GMT",0,
07/08/2015,09:44:53,-,-,8,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/lib/videojs-overlay.css,GET,200,text/css,gzip,,-1,62,62,,1445,1507,,-1,0,0,-1,0,0,1404,1445,435,873,482,0,http://www.alarabiya.net/,34,"Wed, 08 Jul 2015 09:48:34 GMT",0,
07/08/2015,09:44:53,-,-,9,www.alarabiya.net,69.172.201.247,/dms/docroot/aa-templating/css/structure.css,GET,200,text/css,gzip,,-1,121,62,,1446,1567,,-1,0,0,-1,0,0,1404,1445,19739,20207,469,0,http://www.alarabiya.net/,104,"Wed, 08 Jul 2015 10:37:06 GMT",0,
07/08/2015,09:44:53,-,-,10,www.alarabiya.net,69.172.201.247,/dms/docroot/aa-templating/css/theme.css,GET,200,text/css,gzip,,-1,63,43,,1491,1554,,-1,0,0,-1,0,0,0,0,12714,13178,465,0,http://www.alarabiya.net/,105,"Wed, 08 Jul 2015 10:33:14 GMT",0,
07/08/2015,09:44:53,-,-,11,www.alarabiya.net,69.172.201.247,/dms/docroot/aa-templating/css/theme_extended.css,GET,200,text/css,gzip,,-1,46,46,,1511,1557,,-1,1487,1494,-1,0,0,0,0,1265,1737,474,0,http://www.alarabiya.net/,106,"Wed, 08 Jul 2015 10:10:07 GMT",0,
07/08/2015,09:44:53,-,-,12,www.alarabiya.net,69.172.201.247,/dms/docroot/aa-templating/css/lightbox.css,GET,200,text/css,gzip,,-1,57,57,,1512,1569,,-1,0,0,-1,0,0,0,0,873,1339,468,0,http://www.alarabiya.net/,107,"Wed, 08 Jul 2015 10:03:29 GMT",0,
07/08/2015,09:44:53,-,-,13,www.alarabiya.net,69.172.201.247,/dms/social-media/ar-site/overwrite.css,GET,200,text/css,gzip,,-1,50,50,,1555,1605,,-1,0,0,-1,0,0,0,0,551,1018,464,0,http://www.alarabiya.net/,134,"Wed, 08 Jul 2015 09:51:02 GMT",0,
07/08/2015,09:44:53,-,-,14,www.alarabiya.net,69.172.201.247,/resources/aa-templating/themes/cssSelect/icons.css,GET,200,text/css,,,-1,365,46,,1559,1924,,-1,0,0,-1,0,0,0,0,985,1350,476,0,http://www.alarabiya.net/,202,"Wed, 08 Jul 2015 10:00:59 GMT",0,
07/08/2015,09:44:53,-,-,15,www.alarabiya.net,69.172.201.247,/resources/aa-templating/themes/cssSelect/structure.css,GET,200,text/css,,,-1,354,46,,1569,1923,,-1,0,0,-1,0,0,0,0,462,827,480,0,http://www.alarabiya.net/,203,"Wed, 08 Jul 2015 09:59:36 GMT",0,
07/08/2015,09:44:53,-,-,16,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/video.js,GET,200,application/javascript,gzip,,-1,109,47,,1573,1682,,-1,0,0,-1,0,0,0,0,24004,24458,452,0,http://www.alarabiya.net/,41,"Wed, 08 Jul 2015 09:59:50 GMT",0,
07/08/2015,09:44:53,-,-,17,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/lib/videojs-contrib-ads/video.ads.js,GET,200,application/javascript,gzip,,-1,52,46,,1606,1658,,-1,0,0,-1,0,0,0,0,4916,5370,480,0,http://www.alarabiya.net/,42,"Wed, 08 Jul 2015 10:43:29 GMT",0,
07/08/2015,09:44:53,-,-,18,www.alarabiya.net,,/assets/css/twitter.css,GET,200,text/css,gzip,,-1,47,45,,1630,1677,,-1,1463,1470,-1,1529,1630,1470,1529,0,1827,439,0,http://www.alarabiya.net/,3111,"Thu, 09 Jul 2015 08:14:51 GMT",0,
07/08/2015,09:44:53,-,-,19,www.alarabiya.net,,/assets/js/jquery.xdr-transport.js,GET,200,application/x-javascript,gzip,,-1,71,69,,1633,1704,,-1,1464,1470,-1,1529,1633,1470,1529,0,1372,435,0,http://www.alarabiya.net/,3124,"Thu, 09 Jul 2015 08:14:43 GMT",0,
07/08/2015,09:44:53,-,-,20,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/lib/vast-client.js,GET,200,application/javascript,gzip,,-1,68,49,,1659,1727,,-1,0,0,-1,0,0,0,0,13071,13525,462,0,http://www.alarabiya.net/,43,"Wed, 08 Jul 2015 09:53:42 GMT",0,
07/08/2015,09:44:53,-,-,21,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/videojs.vast.js,GET,200,application/javascript,gzip,,-1,74,73,,1683,1757,,-1,0,0,-1,0,0,0,0,2565,3017,459,0,http://www.alarabiya.net/,44,"Wed, 08 Jul 2015 10:17:04 GMT",0,
07/08/2015,09:44:53,-,-,22,vid.alarabiya.net,4.27.28.126,/images/2015/07/06/98b9e223-a2ca-4289-8dda-739c10d38970/98b9e223-a2ca-4289-8dda-739c10d38970_4x3_690x515.jpg,GET,200,image/jpeg,,Level 3,-1,336,49,,1684,2020,,-1,1409,1642,-1,0,0,1642,1684,112078,112511,469,112078,http://www.alarabiya.net/,1418,"Thu, 07 Jul 2016 02:17:57 GMT",0,
07/08/2015,09:44:53,-,-,23,www.alarabiya.net,69.172.201.247,/docroot/aa-templating/js/videojs/lib/videojs-overlay.js,GET,200,application/javascript,gzip,,-1,46,46,,1728,1774,,-1,0,0,-1,0,0,0,0,1818,2270,466,0,http://www.alarabiya.net/,45,"Wed, 08 Jul 2015 09:58:51 GMT",0,
07/08/2015,09:44:53,-,-,24,www.alarabiya.net,69.172.201.247,/docroot/aa-hadath-templating/jwplayer/jwplayer.js,GET,200,application/javascript,gzip,,-1,81,51,,1758,1839,,-1,0,0,-1,0,0,0,0,19760,20214,460,0,http://www.alarabiya.net/,50,"Wed, 08 Jul 2015 10:16:58 GMT",0,
