Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:02:06,-,-,1,hindustantimes.com,124.153.79.225,/,GET,301,text/html,,,-1,157,157,,514,671,,-1,0,361,-1,0,0,361,514,153,335,355,0,,,,0,
07/08/2015,09:02:06,-,-,2,www.hindustantimes.com,23.62.99.138,/,GET,200,text/html,gzip,Akamai,-1,103,55,,771,874,,-1,673,739,-1,0,0,739,770,29623,29856,359,0,,,,0,
07/08/2015,09:02:06,-,-,3,www.hindustantimes.com,23.62.99.138,/StyleSheets/style.css,GET,200,text/css,gzip,Akamai,-1,68,38,,860,928,,-1,0,0,-1,0,0,739,770,19574,19853,365,0,http://www.hindustantimes.com/,10,,0,
07/08/2015,09:02:06,-,-,4,www.hindustantimes.com,23.62.99.138,/StyleSheets/megamenu-v0.css,GET,200,text/css,gzip,Akamai,-1,63,57,,875,938,,-1,0,0,-1,0,0,0,0,3384,3662,371,0,http://www.hindustantimes.com/,10,,0,
07/08/2015,09:02:06,-,-,5,www.hindustantimes.com,23.62.99.138,/StyleSheets/responsive-v1.css,GET,200,text/css,gzip,Akamai,-1,183,100,,890,1073,,-1,0,0,-1,0,0,859,890,32869,33146,373,0,http://www.hindustantimes.com/,10,,0,
07/08/2015,09:02:06,-,-,6,www.hindustantimes.com,23.62.99.138,/JavaScript/modernizr-2.6.2.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,57,50,,890,947,,-1,0,0,-1,0,0,859,890,6251,6576,362,0,http://www.hindustantimes.com/,12,,0,
07/08/2015,09:02:06,-,-,7,www.hindustantimes.com,23.62.99.138,/JavaScript/jquery.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,160,56,,894,1054,,-1,0,0,-1,0,0,861,894,33460,33786,353,0,http://www.hindustantimes.com/,13,,0,
07/08/2015,09:02:06,-,-,8,www.hindustantimes.com,23.62.99.138,/JavaScript/responsiveslides.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,135,134,,895,1030,,-1,0,0,-1,0,0,860,895,1593,1918,363,0,http://www.hindustantimes.com/,14,,0,
07/08/2015,09:02:06,-,-,9,www.hindustantimes.com,23.62.99.138,/HTScripts/lazy.js,GET,200,application/x-javascript,gzip,Akamai,-1,103,103,,929,1032,,-1,0,0,-1,0,0,0,0,1057,1382,346,0,http://www.hindustantimes.com/,15,,0,
07/08/2015,09:02:06,-,-,10,www.hindustantimes.com,23.62.99.138,/JavaScript/flaunt.js,GET,200,application/x-javascript,gzip,Akamai,-1,97,97,,938,1035,,-1,0,0,-1,0,0,0,0,428,753,349,0,http://www.hindustantimes.com/,16,,0,
07/08/2015,09:02:06,-,-,11,www.hindustantimes.com,23.62.99.138,/JavaScript/Common.js,GET,200,application/x-javascript,gzip,Akamai,-1,88,88,,948,1036,,-1,0,0,-1,0,0,0,0,702,1026,349,0,http://www.hindustantimes.com/,51,,0,
07/08/2015,09:02:06,-,-,12,www.hindustantimes.com,23.62.99.138,/images/app-images/HomePageV1/investor_education.png,GET,200,image/png,,Akamai,-1,45,38,,1051,1096,,-1,0,0,-1,0,0,0,0,5956,6220,397,0,http://www.hindustantimes.com/,86,,0,
07/08/2015,09:02:06,ad,Zedo,13,xp1.zedo.com,77.67.28.75,/client/xp1/fmos.js,GET,200,application/x-javascript,gzip,Akamai,-1,46,37,,1071,1117,,-1,865,1032,-1,0,0,1033,1071,4543,4948,337,0,http://www.hindustantimes.com/,32,,0,
07/08/2015,09:02:06,-,-,14,fonts.googleapis.com,74.125.136.95,"/css?family=Roboto:400,700",GET,200,text/css,gzip,Google,-1,46,43,,1072,1118,,-1,864,1031,-1,0,0,1031,1072,818,1296,367,0,http://www.hindustantimes.com/,10,"Wed, 08 Jul 2015 09:02:08 GMT",0,
07/08/2015,09:02:06,ad,Zedo,15,c2.zedo.com,77.67.28.32,/jsc/c2/fo.js,GET,302,,,Akamai,-1,35,35,,1086,1121,,-1,885,1055,-1,0,0,1055,1086,0,178,330,0,http://www.hindustantimes.com/,971,,0,
07/08/2015,09:02:06,-,-,16,www.hindustantimes.com,23.62.99.138,/images/app-images/HomePageV1/coupons01.png,GET,200,image/png,,Akamai,-1,52,48,,1116,1168,,-1,0,0,-1,0,0,0,0,4217,4479,388,0,http://www.hindustantimes.com/,89,,0,
07/08/2015,09:02:06,-,-,17,www.hindustantimes.com,23.62.99.138,/images/app-images/HomePageV1/shaadi02.png,GET,200,image/png,,Akamai,-1,40,40,,1186,1226,,-1,0,0,-1,0,0,0,0,1705,1967,387,0,http://www.hindustantimes.com/,92,,0,
07/08/2015,09:02:06,widget,Google+ Platform,18,apis.google.com,,/js/plusone.js,GET,200,application/javascript,gzip,Google,-1,113,65,,1197,1310,,-1,872,1055,-1,1095,1197,1055,1095,0,16430,384,0,http://www.hindustantimes.com/,1011,"Wed, 08 Jul 2015 09:02:09 GMT",0,
07/08/2015,09:02:06,analytics,Media Innovation Group,19,static-tagr.gd1.mookie1.com,,/s1/tagr_lib_learn_in_v2.js?id=HT&tagid=3063404966,GET,200,text/javascript,gzip,Akamai,-1,43,42,,1198,1241,,-1,872,1054,-1,1095,1198,1054,1095,0,2049,374,0,http://www.hindustantimes.com/,1005,,0,
07/08/2015,09:02:06,-,-,20,www.hindustantimes.com,23.62.99.138,/images/app-images/HomePageV1/logoV5.png,GET,200,image/png,,Akamai,-1,50,41,,1231,1281,,-1,0,0,-1,0,0,0,0,6201,6465,385,0,http://www.hindustantimes.com/,190,,0,
07/08/2015,09:02:06,-,-,21,fonts.gstatic.com,74.125.136.94,/s/roboto/v15/CWB0XYA8bzo0kSThX0UTuA.woff2,GET,200,font/woff2,,Google,-1,115,71,,1238,1353,,-1,1141,1203,-1,0,0,1203,1238,14584,14997,427,0,http://www.hindustantimes.com/JavaScript/modernizr-2.6.2.min.js,4,"Wed, 06 Jul 2016 06:20:31 GMT",0,
07/08/2015,09:02:06,-,-,22,www.hindustantimes.com,23.62.99.138,/images/2014/11/a8504cc0-50d6-406a-aa47-d11cc4c70842mediumres.jpg,GET,200,image/jpeg,,Akamai,-1,66,53,,1285,1351,,-1,0,0,-1,0,0,0,0,8633,8895,410,8633,http://www.hindustantimes.com/,214,,0,
