Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:41:22,-,-,1,smh.com.au,54.79.10.39,/,GET,301,text/html,gzip,,-1,323,323,,863,1186,,-1,0,547,-1,0,0,547,863,191,449,347,0,,,,0,
07/08/2015,09:41:22,-,-,2,www.smh.com.au,77.67.28.80,/,GET,200,text/html,gzip,Akamai,-1,358,239,,1439,1797,,-1,1187,1408,-1,0,0,1408,1439,62255,62680,351,0,,,,0,
07/08/2015,09:41:22,-,-,3,www.smh.com.au,77.67.28.80,/etc/designs/ffx/wcm/shared/device-detect/device-detect-1.48.1-67.js,GET,200,application/javascript,,Akamai,-1,72,60,,1712,1784,,-1,0,0,-1,0,0,1408,1439,8359,8715,380,0,http://www.smh.com.au/,7,,0,
07/08/2015,09:41:22,-,-,4,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/q/i/r/image.related.thumbnail.100x66.gi7z52.10rdjm.png/1436348138412.jpg,GET,200,image/jpeg,,Akamai,-1,41,38,,1784,1825,,-1,0,0,-1,0,0,0,0,3000,3345,427,3000,http://www.smh.com.au/,687,,0,
07/08/2015,09:41:22,-,-,5,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/s/a/8/image.related.homepagePortrait.300x370.gi7qx3.10rdjm.png/1436348138412.jpg,GET,200,image/jpeg,,Akamai,-1,87,40,,1861,1948,,-1,0,0,-1,0,0,0,0,29483,29827,435,29483,http://www.smh.com.au/,823,,0,
07/08/2015,09:41:22,-,-,6,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,GET,200,application/x-javascript,gzip,Akamai,-1,281,90,,1861,2142,,-1,1713,1827,-1,0,0,1828,1861,60248,60623,415,0,http://www.smh.com.au/,77,,0,
07/08/2015,09:41:22,-,-,7,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/8/0/9/3/image.related.articleLeadwide.300x0.gi804z.122kab.png/1436342909812.jpg,GET,200,image/jpeg,,Akamai,-1,64,39,,1951,2015,,-1,0,0,-1,0,0,0,0,16171,16517,432,16171,http://www.smh.com.au/,846,,0,
07/08/2015,09:41:22,-,-,8,resources.smh.com.au,77.67.28.80,/common/media-common-1.0/css/output/7.54.2/homepage.wide.skin.smh.css/homepage.wide.skin.smh_min.css,GET,200,text/css,gzip,Akamai,-1,194,89,,1988,2182,,-1,1715,1876,-1,0,0,1876,1987,45793,46145,433,0,http://www.smh.com.au/,125,"Wed, 08 Jul 2015 10:41:25 GMT",0,
07/08/2015,09:41:22,-,-,9,resources.smh.com.au,77.67.28.80,/common/media-common-1.0/css/output/7.54.2/homepage.skin.mysite.css/homepage.skin.mysite_min.css,GET,200,text/css,gzip,Akamai,-1,138,129,,1988,2126,,-1,0,0,-1,0,0,1876,1987,7123,7474,429,0,http://www.smh.com.au/,126,"Wed, 08 Jul 2015 10:41:25 GMT",0,
07/08/2015,09:41:22,-,-,10,resources.smh.com.au,77.67.28.80,/common/media-common-1.0/css/output/7.54.2/skin.promotions.wide.css/skin.promotions.wide_min.css,GET,200,text/css,gzip,Akamai,-1,140,140,,1988,2128,,-1,0,0,-1,0,0,1877,1987,20,369,429,0,http://www.smh.com.au/,127,"Wed, 08 Jul 2015 10:41:25 GMT",0,
07/08/2015,09:41:22,-,-,11,resources.smh.com.au,77.67.28.80,/common/media-common-1.0/js/html5shiv.js,GET,200,application/x-javascript,gzip,Akamai,-1,142,142,,1989,2131,,-1,0,0,-1,0,0,1877,1988,1223,1590,358,0,http://www.smh.com.au/,197,"Wed, 08 Jul 2015 10:41:25 GMT",0,
07/08/2015,09:41:22,-,-,12,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/g/3/x/image.related.thumbnail.140x93.gi7fnw.10rdw0.png/1436348240255.jpg,GET,200,image/jpeg,,Akamai,-1,134,118,,2019,2153,,-1,0,0,-1,0,0,0,0,4937,5280,427,4937,http://www.smh.com.au/,874,,0,
07/08/2015,09:41:22,-,-,13,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/9/y/t/image.related.thumbnail.140x93.gi7ofm.10rdw0.png/1436348240255.jpg,GET,200,image/jpeg,,Akamai,-1,46,38,,2156,2202,,-1,0,0,-1,0,0,0,0,5588,5931,427,5588,http://www.smh.com.au/,887,,0,
07/08/2015,09:41:22,-,-,14,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-548787ff36313900154a0a00.js,GET,200,application/x-javascript,gzip,Akamai,-1,77,38,,2178,2255,,-1,0,0,-1,0,0,0,0,24740,25115,404,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,2,,0,
07/08/2015,09:41:22,-,-,15,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-5487993e6466360015dd0e00.js,GET,200,application/x-javascript,gzip,Akamai,-1,94,78,,2209,2303,,-1,0,0,-1,0,0,2178,2209,11135,11510,404,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,2,,0,
07/08/2015,09:41:22,-,-,16,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-5317bd10de0b1c0c820003d8.js,GET,200,application/x-javascript,gzip,Akamai,-1,110,110,,2210,2320,,-1,0,0,-1,0,0,2178,2210,405,778,404,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,2,,0,
07/08/2015,09:41:22,-,-,17,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-530287ac81e1200c4d000146.js,GET,200,application/x-javascript,gzip,Akamai,-1,95,89,,2256,2351,,-1,0,0,-1,0,0,0,0,4398,4772,404,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,2,,0,
07/08/2015,09:41:22,-,-,18,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/o/l/9/image.related.thumbnail.140x93.gi7n9o.10rdw0.png/1436348240255.png,GET,200,image/png,,Akamai,-1,108,52,,2372,2480,,-1,0,0,-1,0,0,0,0,35358,35703,427,0,http://www.smh.com.au/,902,,0,
07/08/2015,09:41:22,tracker,Optimizely,19,cdn.optimizely.com,93.184.220.20,/js/304207300.js,GET,200,text/javascript,gzip,Edgecast,-1,202,61,,2422,2624,,-1,2178,2344,-1,0,0,2344,2422,83103,83610,332,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,3,,0,
07/08/2015,09:41:22,-,-,20,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/q/j/o/image.related.thumbnail.140x93.gi7pye.10rdw0.png/1436348240255.jpg,GET,200,image/jpeg,,Akamai,-1,42,39,,2642,2684,,-1,0,0,-1,0,0,0,0,3850,4193,427,3850,http://www.smh.com.au/,913,,0,
07/08/2015,09:41:22,-,-,21,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/c/c/5/image.related.thumbnail.140x93.gi81r1.11w2dh.png/1436345184684.jpg,GET,200,image/jpeg,,Akamai,-1,56,45,,2642,2698,,-1,0,0,-1,0,0,0,0,7046,7391,427,7046,http://www.smh.com.au/,932,,0,
07/08/2015,09:41:22,-,-,22,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/5/t/p/4/image.related.thumbnail.140x93.gi09lr.11w2gl.png/1436141703986.jpg,GET,200,image/jpeg,,Akamai,-1,74,59,,2642,2716,,-1,0,0,-1,0,0,1722,1792,10433,10779,427,10433,http://www.smh.com.au/,943,,0,
07/08/2015,09:41:22,ad,DoubleClick,23,www.googletagservices.com,74.125.136.157,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,79,79,,2662,2741,,-1,2484,2626,-1,0,0,2628,2662,1256,1813,337,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-530287ac81e1200c4d000146.js,2,"Wed, 08 Jul 2015 09:41:26 GMT",0,
07/08/2015,09:41:22,-,-,24,www.smh.com.au,77.67.28.80,/content/dam/images/1/0/p/1/h/3/image.related.thumbnail.100x66.gi7fk3.11gxu6.png/1436346157446.jpg,GET,200,image/jpeg,,Akamai,-1,66,46,,2673,2739,,-1,0,0,-1,0,0,2641,2672,3770,4113,427,3770,http://www.smh.com.au/,1052,,0,
07/08/2015,09:41:22,-,-,25,www.smh.com.au,77.67.28.80,/content/dam/images/z/y/9/v/q/image.related.thumbnail.100x66.gi7f2k.10rf9e.png/1436346501834.jpg,GET,200,image/jpeg,,Akamai,-1,66,53,,2673,2739,,-1,0,0,-1,0,0,2641,2672,4027,4370,425,4027,http://www.smh.com.au/,1140,,0,
07/08/2015,09:41:22,-,-,26,www.smh.com.au,77.67.28.80,/content/dam/images/1/m/k/8/9/p/image.related.thumbnail.100x66.gi7m9p.11gxu7.png/1436338034355.jpg,GET,200,image/jpeg,,Akamai,-1,66,61,,2673,2739,,-1,0,0,-1,0,0,2641,2673,4614,4959,427,4614,http://www.smh.com.au/,1225,,0,
07/08/2015,09:41:22,-,-,27,www.smh.com.au,77.67.28.80,/content/dam/images/g/h/d/t/n/h/image.related.thumbnail.100x66.gi7dfd.11gxty.png/1436329960754.jpg,GET,200,image/jpeg,,Akamai,-1,52,37,,2715,2767,,-1,0,0,-1,0,0,0,0,2937,3282,427,2937,http://www.smh.com.au/,1315,,0,
07/08/2015,09:41:22,-,-,28,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/a/6/n/image.related.thumbnail.100x66.gi79wu.11qart.png/1436336208518.jpg,GET,200,image/jpeg,,Akamai,-1,39,38,,2738,2777,,-1,0,0,-1,0,0,0,0,2270,2615,616,2270,http://www.smh.com.au/,1406,,0,
07/08/2015,09:41:22,-,-,29,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/o/s/8/image.related.thumbnail.100x66.gi7obe.10rfjj.png/1436345405801.jpg,GET,200,image/jpeg,,Akamai,-1,46,40,,2746,2792,,-1,0,0,-1,0,0,0,0,4276,4609,734,4276,http://www.smh.com.au/,1490,,0,
07/08/2015,09:41:22,-,-,30,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/2/8/q/r/image.related.thumbnail.100x66.gi7dam.10rflx.png/1436341844648.jpg,GET,200,image/jpeg,,Akamai,-1,46,43,,2764,2810,,-1,0,0,-1,0,0,0,0,3071,3404,734,3071,http://www.smh.com.au/,1559,,0,
07/08/2015,09:41:22,-,-,31,www.smh.com.au,77.67.28.80,/content/dam/images/g/i/7/v/u/4/image.related.thumbnail.100x66.gi7twt.10rggg.png/1436346809440.jpg,GET,200,image/jpeg,,Akamai,-1,52,49,,2765,2817,,-1,0,0,-1,0,0,0,0,3252,3595,734,3252,http://www.smh.com.au/,1612,,0,
07/08/2015,09:41:22,-,-,32,www.smh.com.au,77.67.28.80,/content/dam/images/g/h/p/1/l/f/image.related.thumbnail.100x66.gi7yh8.10rggg.png/1436346026566.jpg,GET,200,image/jpeg,,Akamai,-1,53,50,,2769,2822,,-1,0,0,-1,0,0,0,0,3008,3353,734,3008,http://www.smh.com.au/,1628,,0,
07/08/2015,09:41:22,-,-,33,www.smh.com.au,77.67.28.80,/content/dam/images/z/r/3/h/2/image.related.thumbnail.100x66.gi6yiu.10rgl2.png/1436319783076.jpg,GET,200,image/jpeg,,Akamai,-1,62,59,,2770,2832,,-1,0,0,-1,0,0,0,0,3603,3946,732,3603,http://www.smh.com.au/,1709,,0,
07/08/2015,09:41:22,-,-,34,www.smh.com.au,77.67.28.80,/content/dam/images/2/t/r/h/w/image.related.thumbnail.100x66.gi6vw3.10rgl2.png/1436319783076.jpg,GET,200,image/jpeg,,Akamai,-1,55,51,,2783,2838,,-1,0,0,-1,0,0,0,0,3362,3707,732,3362,http://www.smh.com.au/,1720,,0,
07/08/2015,09:41:22,-,-,35,ooyala.fairfax.tv.edgesuite.net,77.67.28.50,/50OHAydjqgtqAf2Q2u-9_ytnpv7-ePIx/promo260514358,GET,200,image/jpeg,,Akamai,-1,1463,218,,2785,4248,,-1,2642,2749,-1,0,0,2749,2785,136377,136792,394,136377,http://www.smh.com.au/,2612,,0,
07/08/2015,09:41:22,-,-,36,ooyala.fairfax.tv.edgesuite.net,77.67.28.50,/hvdDEwdjr6e7iynW6JaeRcg-ER1tsliz/promo260076283,GET,200,image/jpeg,,Akamai,-1,1535,439,,2794,4329,,-1,0,0,-1,0,0,2749,2793,197548,197963,394,197548,http://www.smh.com.au/,2631,,0,
07/08/2015,09:41:22,-,-,37,images.smh.com.au,77.67.28.80,/2013/08/29/4701619/blank-TV-sponsor-space.jpg,GET,200,image/jpeg,,Akamai,-1,53,53,,2794,2847,,-1,2642,2755,-1,0,0,2755,2793,328,619,378,328,http://www.smh.com.au/,2555,"Sun, 20 Mar 2016 21:20:15 GMT",0,
