Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:51:10,-,-,1,theatlantic.com,69.58.186.114,/,GET,301,,,,-1,198,198,,98,296,,-1,0,65,-1,0,0,65,97,224,318,352,0,,,,0,
07/08/2015,09:51:10,-,-,2,www.theatlantic.com,93.184.220.54,/,GET,200,text/html,gzip,Edgecast,-1,81,38,,503,584,,-1,298,470,-1,0,0,471,503,23735,24059,356,0,,,"Wed, 08 Jul 2015 09:52:11 GMT",0,
07/08/2015,09:51:10,-,-,3,cdn.theatlantic.com,93.184.220.54,/assets/static/CACHE/css/7669b36fcc4f.css,GET,200,text/css,gzip,Edgecast,-1,79,37,,697,776,,-1,581,663,-1,0,0,664,696,25183,25511,378,0,http://www.theatlantic.com/,97,"Fri, 07 Aug 2015 09:51:12 GMT",0,
07/08/2015,09:51:10,-,-,4,cdn.theatlantic.com,93.184.220.54,/assets/static/theatlantic/common/js/advertisement.js,GET,200,application/x-javascript,gzip,Edgecast,-1,79,79,,697,776,,-1,0,0,-1,0,0,664,696,89,451,375,0,http://www.theatlantic.com/,147,"Fri, 07 Aug 2015 09:51:12 GMT",0,
07/08/2015,09:51:10,-,-,5,cdn.theatlantic.com,93.184.220.54,/assets/static/CACHE/js/1cfca6209bc2.js,GET,200,application/x-javascript,gzip,Edgecast,-1,245,82,,697,942,,-1,0,0,-1,0,0,663,696,91122,91466,361,0,http://www.theatlantic.com/,152,"Fri, 07 Aug 2015 09:51:12 GMT",0,
07/08/2015,09:51:10,-,-,6,cdn.theatlantic.com,93.184.220.54,/assets/static/CACHE/js/6650741d098e.js,GET,200,application/x-javascript,gzip,Edgecast,-1,1499,154,,697,2196,,-1,0,0,-1,0,0,664,696,30738,31082,361,0,http://www.theatlantic.com/,3183,"Fri, 07 Aug 2015 09:51:12 GMT",0,
07/08/2015,09:51:10,-,-,7,cdn.theatlantic.com,93.184.220.54,/assets/static/CACHE/js/9a28f08dc40f.js,GET,200,application/x-javascript,gzip,Edgecast,-1,161,161,,697,858,,-1,0,0,-1,0,0,664,696,508,850,361,0,http://www.theatlantic.com/,3186,"Fri, 07 Aug 2015 09:51:12 GMT",0,
07/08/2015,09:51:10,-,-,8,cdn.theatlantic.com,93.184.220.54,/assets/media/img/mt/2015/07/12_RTR31EXF/960.jpg?GE2DGNRTGA3TKOBTFYYA====,GET,200,image/jpeg,,Edgecast,-1,961,291,,698,1659,,-1,0,0,-1,0,0,664,696,105439,105747,412,105439,http://www.theatlantic.com/,328,"Fri, 07 Aug 2015 09:51:12 GMT",0,
07/08/2015,09:51:10,tracker,Optimizely,9,cdn.optimizely.com,93.184.220.20,/js/335305610.js,GET,200,text/javascript,gzip,Edgecast,-1,628,162,,698,1326,,-1,584,667,-1,0,0,667,696,68401,68896,337,0,http://www.theatlantic.com/,150,,0,
07/08/2015,09:51:10,tracker,ScoreCard Research Beacon,10,siterecruit.comscore.com,4.26.66.238,/sr/atlantic/broker.js,GET,200,application/x-javascript,gzip,,-1,128,121,,977,1105,,-1,592,861,-1,0,0,861,977,5399,5904,349,0,http://www.theatlantic.com/,3532,"Fri, 07 Aug 2015 09:51:12 GMT",0,
07/08/2015,09:51:10,ad,Amazon Associates,11,c.amazon-adsystem.com,54.230.97.23,/aax2/amzn_ads.js,GET,200,application/x-javascript,gzip,Amazon CloudFront,-1,68,62,,993,1061,,-1,590,943,-1,0,0,943,993,4379,4860,341,0,http://www.theatlantic.com/,3206,,0,
07/08/2015,09:51:10,ad,Sonobi,12,mtrx.go.sonobi.com,54.230.96.106,/morpheus.atlantic.js,GET,200,application/x-javascript,,Amazon CloudFront,-1,169,85,,1166,1335,,-1,596,1112,-1,0,0,1112,1166,20168,20699,342,0,http://www.theatlantic.com/,3594,,0,
07/08/2015,09:51:10,-,-,13,cdn.theatlantic.com,93.184.220.54,/assets/static/common/fonts/lyon/Lyon%20Text-Regular.woff?ed759521b896,GET,200,application/octet-stream,,Edgecast,-1,876,70,,1417,2293,,-1,0,0,-1,0,0,1386,1417,63217,63569,468,0,http://cdn.optimizely.com/js/335305610.js,61,"Fri, 07 Aug 2015 09:51:12 GMT",0,
07/08/2015,09:51:10,ad,PointRoll,14,speed.pointroll.com,77.67.28.59,/PointRoll/Media/Asset/RespLib/201296/resp.lib.js,GET,200,application/x-javascript,gzip,Akamai,-1,83,79,,1583,1666,,-1,591,1444,-1,0,0,1444,1582,4329,4852,371,0,http://www.theatlantic.com/,3526,,0,
07/08/2015,09:51:10,-,-,15,cdn.theatlantic.com,93.184.220.54,/assets/static/CACHE/css/8af55e697b7c.css,GET,200,text/css,gzip,Edgecast,-1,55,55,,1625,1680,,-1,0,0,-1,0,0,0,0,431,779,1003,0,http://www.theatlantic.com/,97,"Fri, 07 Aug 2015 09:51:13 GMT",0,
07/08/2015,09:51:10,-,-,16,cdn.theatlantic.com,93.184.220.54,/assets/static/common/fonts/lyon/Lyon%20Display-Bold.woff?ed759521b896,GET,200,application/octet-stream,,Edgecast,-1,291,59,,1681,1972,,-1,0,0,-1,0,0,1642,1680,72623,72976,468,0,http://www.theatlantic.com/,3183,"Fri, 07 Aug 2015 09:51:13 GMT",0,
07/08/2015,09:51:10,-,-,17,cdn.theatlantic.com,93.184.220.54,/assets/static/common/fonts/rajdhani/Rajdhani-Bold.woff2?ed759521b896,GET,200,text/html,,Edgecast,-1,711,306,,1681,2392,,-1,0,0,-1,0,0,1641,1680,8892,9228,467,0,http://www.theatlantic.com/,3183,"Fri, 07 Aug 2015 09:51:13 GMT",0,
07/08/2015,09:51:10,-,-,18,cdn.theatlantic.com,93.184.220.54,/assets/static/common/fonts/proxima-nova/ProximaNova-Regular.woff2?ed759521b896,GET,200,text/html,,Edgecast,-1,1028,133,,1681,2709,,-1,0,0,-1,0,0,1642,1680,19536,19873,477,0,http://www.theatlantic.com/,3183,"Fri, 07 Aug 2015 09:51:13 GMT",0,
07/08/2015,09:51:10,-,-,19,cdn.theatlantic.com,93.184.220.54,/assets/static/common/fonts/lyon/Lyon%20Display-Bold%20Italic.woff?ed759521b896,GET,200,application/octet-stream,,Edgecast,-1,847,309,,1681,2528,,-1,0,0,-1,0,0,1646,1680,108099,108453,477,0,http://www.theatlantic.com/,3183,"Fri, 07 Aug 2015 09:51:13 GMT",0,
