Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:56:29,-,-,1,nationalgeographic.com,74.217.81.233,/,GET,301,text/html,,,-1,127,127,,200,327,,-1,0,78,-1,0,0,78,199,330,602,359,0,,,,0,
07/08/2015,09:56:29,-,-,2,www.nationalgeographic.com,77.67.28.51,/,GET,200,text/html,gzip,Akamai,-1,134,122,,431,565,,-1,328,398,-1,0,0,398,430,6515,6950,363,0,,,,0,
07/08/2015,09:56:29,-,-,3,dotcom-media.nationalgeographic.com,23.62.99.137,/static-media/homepage/css/style.css,GET,200,text/css,gzip,Akamai,-1,554,528,,705,1259,,-1,602,674,-1,0,0,674,705,11683,12048,396,0,http://www.nationalgeographic.com/,29,"Thu, 09 Jul 2015 09:56:32 GMT",0,
07/08/2015,09:56:29,-,-,4,dotcom-media.nationalgeographic.com,23.62.99.137,/static-media/libs/modernizr/modernizr.js,GET,200,application/javascript,gzip,Akamai,-1,525,501,,706,1231,,-1,0,0,-1,0,0,674,705,15639,16018,386,0,http://www.nationalgeographic.com/,49,"Thu, 09 Jul 2015 09:56:32 GMT",0,
07/08/2015,09:56:29,-,-,5,dotcom-media.nationalgeographic.com,23.62.99.137,/static-media/homepage/app/modules/Video.js,GET,200,application/javascript,gzip,Akamai,-1,330,327,,706,1036,,-1,0,0,-1,0,0,674,705,2926,3304,388,0,http://www.nationalgeographic.com/,82,"Thu, 09 Jul 2015 09:56:32 GMT",0,
07/08/2015,09:56:29,-,-,6,dotcom-media.nationalgeographic.com,23.62.99.137,/static-media/homepage/app/homepage-build.js,GET,200,application/javascript,gzip,Akamai,-1,1332,920,,708,2040,,-1,0,0,-1,0,0,674,708,97113,97625,389,0,http://www.nationalgeographic.com/,83,"Thu, 09 Jul 2015 09:56:32 GMT",0,
07/08/2015,09:56:29,-,-,7,assets.nationalgeographic.com,74.217.81.215,/modules-global-nav/styles/main.css,GET,200,text/css,gzip,,-1,268,136,,810,1078,,-1,603,683,-1,0,0,683,810,6242,6605,389,0,http://www.nationalgeographic.com/,31,"Fri, 07 Aug 2015 09:56:32 GMT",0,
07/08/2015,09:56:29,-,-,8,fonts.ngeo.com,184.50.172.107,/hoefler/1-0-1/hco_fonts.css,GET,200,text/css,gzip,Akamai,-1,511,45,,1377,1888,,-1,1280,1346,-1,0,0,1346,1377,225083,225691,367,0,http://www.nationalgeographic.com/,48,,0,
07/08/2015,09:56:29,-,-,9,dotcom-media.nationalgeographic.com,23.62.99.137,/static-media/homepage/images/GlobalNav-Close-01.svg,GET,200,image/svg+xml,gzip,Akamai,-1,95,95,,2015,2110,,-1,0,0,-1,0,0,0,0,425,794,458,0,http://www.nationalgeographic.com/,83,"Wed, 15 Jul 2015 19:40:47 GMT",0,
07/08/2015,09:56:29,widget,Google Tag Manager,10,www.googletagmanager.com,74.125.136.97,/gtm.js?id=GTM-S6J5,GET,200,text/javascript,gzip,Google,-1,147,59,,2220,2367,,-1,2012,2186,-1,0,0,2186,2220,48275,48621,353,0,http://www.nationalgeographic.com/,64,"Wed, 08 Jul 2015 09:56:33 GMT",0,
