Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:22:54,-,-,1,navbharattimes.indiatimes.com,77.67.28.48,/,GET,200,text/html,gzip,Akamai,-1,172,62,,105,277,,-1,0,71,-1,0,0,72,104,66046,66488,366,0,,,"Wed, 08 Jul 2015 10:27:13 GMT",0,
07/08/2015,10:22:54,-,-,2,navbharattimes.indiatimes.com,77.67.28.48,/rewards_style.cms?vrsn=4&minify=1,GET,200,text/css,gzip,Akamai,-1,88,81,,226,314,,-1,0,0,-1,0,0,71,106,6306,6642,420,0,http://navbharattimes.indiatimes.com/,96,"Fri, 20 May 2016 03:28:10 GMT",0,
07/08/2015,10:22:54,-,-,3,navbharattimes.indiatimes.com,77.67.28.48,/css_newhome_style.cms?version=6&minify=1,GET,200,text/css,gzip,Akamai,-1,62,39,,278,340,,-1,0,0,-1,0,0,0,0,14116,14453,427,0,http://navbharattimes.indiatimes.com/,96,"Sat, 25 Jun 2016 07:54:43 GMT",0,
07/08/2015,10:22:54,-,-,4,navbharattimes.indiatimes.com,77.67.28.48,/jquery_minjs.cms?vrsn=2&minify=1,GET,200,application/javascript,,Akamai,-1,341,65,,278,619,,-1,0,0,-1,0,0,224,278,96482,96786,404,0,http://navbharattimes.indiatimes.com/,96,"Fri, 20 May 2016 03:20:07 GMT",0,
07/08/2015,10:22:54,-,-,5,navbharattimes.indiatimes.com,77.67.28.48,/photo/45070215.cms,GET,200,image/png,,Akamai,-1,101,101,,279,380,,-1,0,0,-1,0,0,225,279,639,908,407,0,http://navbharattimes.indiatimes.com/,262,"Tue, 24 May 2016 02:12:36 GMT",0,
07/08/2015,10:22:54,-,-,6,navbharattimes.indiatimes.com,77.67.28.48,/jsdefault_v34.cms?vrsn=15&minify=1,GET,200,application/javascript,,Akamai,-1,228,81,,302,530,,-1,0,0,-1,0,0,227,279,37352,37656,406,0,http://navbharattimes.indiatimes.com/,492,"Sat, 28 May 2016 06:45:23 GMT",0,
07/08/2015,10:22:54,-,-,7,navbharattimes.indiatimes.com,77.67.28.48,/js_newhome_common.cms?vrsn=12&minify=1,GET,200,application/javascript,,Akamai,-1,121,111,,315,436,,-1,0,0,-1,0,0,0,0,9345,9648,410,0,http://navbharattimes.indiatimes.com/,492,"Fri, 20 May 2016 03:25:11 GMT",0,
07/08/2015,10:22:54,-,-,8,navbharattimes.indiatimes.com,77.67.28.48,/activity_log.cms?vrsn=3&minify=1,GET,200,application/javascript,,Akamai,-1,165,164,,341,506,,-1,0,0,-1,0,0,0,0,1925,2228,404,0,http://navbharattimes.indiatimes.com/,807,"Fri, 20 May 2016 03:19:26 GMT",0,
07/08/2015,10:22:54,-,-,9,navbharattimes.indiatimes.com,77.67.28.48,/get_activity_log.cms?vrsn=14&minify=1,GET,200,application/javascript,,Akamai,-1,303,152,,381,684,,-1,0,0,-1,0,0,301,380,54074,54378,409,0,http://navbharattimes.indiatimes.com/,807,"Fri, 20 May 2016 03:25:12 GMT",0,
07/08/2015,10:22:54,ad,Google AdWords Conversion,10,www.googleadservices.com,74.125.136.156,/pagead/conversion.js,GET,200,text/javascript,gzip,Google,-1,69,65,,620,689,,-1,304,506,-1,0,0,507,620,4279,4812,358,0,http://navbharattimes.indiatimes.com/,1194,"Wed, 08 Jul 2015 10:22:56 GMT",0,
07/08/2015,10:22:54,-,-,11,navbharattimes.indiatimes.com,77.67.28.48,"/thumb/height-55,width=74,msid-47982728/dawood.jpg",GET,200,image/jpeg,,Akamai,-1,38,38,,674,712,,-1,0,0,-1,0,0,0,0,2146,2414,438,2146,http://navbharattimes.indiatimes.com/,262,"Thu, 09 Jul 2015 09:25:32 GMT",0,
07/08/2015,10:22:54,-,-,12,navbharattimes.indiatimes.com,77.67.28.48,/thumb/47959841.cms,GET,200,image/jpeg,,Akamai,-1,51,51,,674,725,,-1,0,0,-1,0,0,0,0,3313,3584,407,3313,http://navbharattimes.indiatimes.com/,266,"Thu, 30 Jun 2016 12:40:21 GMT",0,
