Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:42:58,-,-,1,usnews.com,208.77.248.169,/,GET,301,,,,-1,124,124,,434,558,,-1,0,313,-1,0,0,313,434,0,126,347,0,,,,0,
07/08/2015,10:42:58,-,-,2,www.usnews.com,77.67.28.40,/,GET,200,text/html,gzip,Akamai,-1,61,44,,832,893,,-1,560,799,-1,0,0,799,831,11444,11668,351,0,,,,0,
07/08/2015,10:42:58,-,-,3,www.usnews.com,77.67.28.40,/static/css/global.css,GET,200,text/css,gzip,Akamai,-1,582,309,,915,1497,,-1,0,0,-1,0,0,0,0,78246,78658,349,0,http://www.usnews.com/,49,"Wed, 08 Jul 2015 10:52:29 GMT",0,
07/08/2015,10:42:58,-,-,4,www.usnews.com,77.67.28.40,/static/css/sectionFront.css,GET,200,text/css,gzip,Akamai,-1,140,137,,916,1056,,-1,0,0,-1,0,0,799,831,3154,3564,355,0,http://www.usnews.com/,54,"Wed, 08 Jul 2015 10:50:33 GMT",0,
07/08/2015,10:42:58,-,-,5,www.usnews.com,77.67.28.40,/static/css/homepage.css,GET,200,text/css,gzip,Akamai,-1,86,86,,916,1002,,-1,0,0,-1,0,0,815,848,782,1190,351,0,http://www.usnews.com/,59,"Wed, 08 Jul 2015 10:49:06 GMT",0,
07/08/2015,10:42:58,-,-,6,www.usnews.com,77.67.28.40,/assets/css/grid.css,GET,200,text/css,gzip,Akamai,-1,52,52,,959,1011,,-1,0,0,-1,0,0,922,958,896,1207,347,0,http://www.usnews.com/,262,,0,
07/08/2015,10:42:58,-,-,7,www.usnews.com,77.67.28.40,/static/scripts/jquery/base.js,GET,200,application/javascript,gzip,Akamai,-1,67,67,,959,1026,,-1,0,0,-1,0,0,922,958,336,776,342,0,http://www.usnews.com/,181,"Wed, 08 Jul 2015 10:43:44 GMT",0,
07/08/2015,10:42:58,-,-,8,www.usnews.com,77.67.28.40,/static/scripts/jquery/autocomplete.js,GET,200,application/javascript,gzip,Akamai,-1,224,216,,960,1184,,-1,0,0,-1,0,0,924,958,4839,5282,350,0,http://www.usnews.com/,184,"Wed, 08 Jul 2015 10:45:52 GMT",0,
07/08/2015,10:42:58,-,-,9,www.usnews.com,77.67.28.40,/static/scripts/lib/requirejs-concat.js,GET,200,application/javascript,gzip,Akamai,-1,418,408,,1004,1422,,-1,0,0,-1,0,0,0,0,6877,7318,351,0,http://www.usnews.com/,188,"Wed, 08 Jul 2015 10:43:00 GMT",0,
07/08/2015,10:42:58,tracker,Lotame,10,tags.crwdcntrl.net,93.184.220.113,/c/5305/cc.js?ns=_cc5305,GET,200,application/x-javascript,gzip,Edgecast,-1,62,38,,1036,1098,,-1,942,1007,-1,0,0,1007,1035,13847,14167,340,0,http://www.usnews.com/,2141,"Thu, 09 Jul 2015 10:42:59 GMT",0,
07/08/2015,10:42:58,ad,Nativo,11,a.postrelease.com,77.67.28.89,/serve/load.js?async=true,GET,200,application/x-javascript,gzip,Akamai,-1,137,62,,1036,1173,,-1,924,1007,-1,0,0,1007,1036,45520,46001,340,0,http://www.usnews.com/,285,,0,
07/08/2015,10:42:58,widget,NDN Player Suite,12,launch.newsinc.com,172.229.205.166,/js/embed.js,GET,307,text/html,,Akamai,-1,147,147,,1046,1193,,-1,940,1013,-1,0,0,1013,1046,0,455,328,0,http://www.usnews.com/,2120,"Wed, 08 Jul 2015 10:42:59 GMT",0,
07/08/2015,10:42:58,analytics,Crazy Egg,13,s3.amazonaws.com,54.231.33.48,/new.cetrk.com/pages/scripts/0010/9297.js,GET,200,application/x-javascript,,,-1,193,179,,1138,1331,,-1,939,1003,-1,0,0,1003,1137,9303,9692,355,0,http://www.usnews.com/,2112,,0,
07/08/2015,10:42:58,-,-,14,launch.newsinc.com,172.229.205.166,/80/js/embed.js,GET,200,application/javascript,gzip,Akamai,-1,318,73,,1195,1513,,-1,0,0,-1,0,0,0,0,66135,66873,331,0,http://www.usnews.com/,2120,"Wed, 15 Jul 2015 10:42:59 GMT",0,
07/08/2015,10:42:58,tracker,Dynamic Logic,15,content.dl-rms.com,12.130.81.225,/rms/mother/8981/nodetag.js,GET,200,application/javascript,gzip,,-1,117,117,,1474,1591,,-1,941,1314,-1,0,0,1314,1474,1067,1451,343,0,http://www.usnews.com/,2140,,0,
07/08/2015,10:42:58,-,-,16,www.usnews.com,77.67.28.40,/static/images/homepage-logo.png,GET,200,image/png,,Akamai,-1,83,77,,1515,1598,,-1,0,0,-1,0,0,0,0,4824,5188,361,0,http://www.usnews.com/,414,"Wed, 08 Jul 2015 10:46:22 GMT",0,
07/08/2015,10:42:58,-,-,17,www.usnews.com,77.67.28.40,/static/scripts/jquery/jquery-1.9.1-migrate-1.2.1.min.js,GET,200,application/javascript,gzip,Akamai,-1,323,249,,1525,1848,,-1,0,0,-1,0,0,0,0,37023,37467,368,0,http://www.usnews.com/static/scripts/jquery/base.js,1,"Wed, 08 Jul 2015 10:44:16 GMT",0,
07/08/2015,10:42:58,-,-,18,www.usnews.com,77.67.28.40,/static/scripts/jquery/usn-4.0.js,GET,200,application/javascript,gzip,Akamai,-1,357,356,,1525,1882,,-1,0,0,-1,0,0,0,0,2376,2819,345,0,http://www.usnews.com/static/scripts/jquery/base.js,1,"Wed, 08 Jul 2015 10:52:17 GMT",0,
07/08/2015,10:42:58,-,-,19,www.usnews.com,77.67.28.40,/dbimages/master/46197/powered-by-usnews.png,GET,200,image/png,,Akamai,-1,86,77,,1601,1687,,-1,0,0,-1,0,0,0,0,5697,5882,373,0,http://www.usnews.com/,497,,0,
07/08/2015,10:42:58,-,-,20,www.usnews.com,77.67.28.40,/static/images/header/homepage-rail-badge.png,GET,200,image/png,,Akamai,-1,133,122,,1692,1825,,-1,0,0,-1,0,0,0,0,7117,7481,374,0,http://www.usnews.com/,548,"Wed, 08 Jul 2015 10:48:59 GMT",0,
07/08/2015,10:42:58,-,-,21,www.usnews.com,77.67.28.40,/cmsmedia/06/51/0e270adf43db9931f0181878b817/140827hpeduicon-design.png,GET,200,image/png,,Akamai,-1,72,72,,1828,1900,,-1,0,0,-1,0,0,0,0,317,601,400,0,http://www.usnews.com/,637,,0,
07/08/2015,10:42:58,-,-,22,www.usnews.com,77.67.28.40,/cmsmedia/2d/f1/38b3d6934c6199c27fe0344db37d/140827hphealthicon-design.png,GET,200,image/png,,Akamai,-1,90,90,,1887,1977,,-1,0,0,-1,0,0,0,0,220,503,403,0,http://www.usnews.com/,652,,0,
07/08/2015,10:42:58,-,-,23,www.usnews.com,77.67.28.40,/cmsmedia/88/9a/18ecfc6645d79ce0d19e60c305bf/140827hpmoneyicon-design.png,GET,200,image/png,,Akamai,-1,88,88,,1889,1977,,-1,0,0,-1,0,0,0,0,405,689,402,0,http://www.usnews.com/,667,,0,
07/08/2015,10:42:58,-,-,24,www.usnews.com,77.67.28.40,/cmsmedia/1d/b6/277700f94129894b313fa7ade698/140827hptravelicon-design.png,GET,200,image/png,,Akamai,-1,91,91,,1890,1981,,-1,0,0,-1,0,0,0,0,816,1100,403,0,http://www.usnews.com/,682,,0,
07/08/2015,10:42:58,-,-,25,www.usnews.com,77.67.28.40,/cmsmedia/66/06/14120e0746d8b0270be984b89db9/140827hpcarsicon-design.png,GET,200,image/png,,Akamai,-1,90,90,,1890,1980,,-1,0,0,-1,0,0,0,0,566,850,401,0,http://www.usnews.com/,697,,0,
07/08/2015,10:42:58,-,-,26,www.usnews.com,77.67.28.40,/cmsmedia/c3/fc/3f30933f493ca91741105dae9f38/140827hplawicon-design.png,GET,200,image/png,,Akamai,-1,93,93,,1890,1983,,-1,0,0,-1,0,0,0,0,269,553,400,0,http://www.usnews.com/,712,,0,
07/08/2015,10:42:58,-,-,27,www.usnews.com,77.67.28.40,/dims4/USNEWS/46414e9/2147483647/thumbnail/395x265%3E/quality/85/?url=%2Fcmsmedia%2F77%2F58%2F417b2363482c9fb594290aa0cc61%2Fresizes%2F500%2F150708reportgamechangers-editorial.gamechangers.jpg,GET,200,image/jpeg,,Akamai,-1,68,43,,1907,1975,,-1,0,0,-1,0,0,0,0,16769,16958,521,16769,http://www.usnews.com/,790,,0,
07/08/2015,10:42:58,-,-,28,www.usnews.com,77.67.28.40,/static/scripts/jquery/brightspot.js,GET,200,application/javascript,gzip,Akamai,-1,52,38,,1976,2028,,-1,0,0,-1,0,0,0,0,9427,9869,348,0,http://www.usnews.com/static/scripts/jquery/usn-4.0.js,1,"Wed, 08 Jul 2015 10:43:38 GMT",0,
07/08/2015,10:42:58,-,-,29,www.usnews.com,77.67.28.40,/dims4/USNEWS/e0d8ac1/2147483647/thumbnail/225x150/quality/85/?url=%2Fcmsmedia%2F97%2F3c%2Fd75770864cb2a583ade582ba594a%2Fresizes%2F500%2F150707-heroin-editorial.jpg,GET,200,image/jpeg,,Akamai,-1,48,41,,1993,2041,,-1,0,0,-1,0,0,0,0,5219,5407,494,5219,http://www.usnews.com/,830,,0,
07/08/2015,10:42:58,-,-,30,www.usnews.com,77.67.28.40,/dims4/USNEWS/aab7730/2147483647/thumbnail/225x150/quality/85/?url=%2Fcmsmedia%2Fa8%2Fb41c8c3fa725350fb4d6b0c7e3906e%2F24495FE_DA_InvestingGraphs_111411.jpg,GET,200,image/jpeg,,Akamai,-1,59,46,,2032,2091,,-1,0,0,-1,0,0,0,0,11204,11393,485,11204,http://www.usnews.com/,884,,0,
07/08/2015,10:42:58,-,-,31,www.usnews.com,77.67.28.40,/dims4/USNEWS/c287f5c/2147483647/thumbnail/360x240%3E/quality/85/?url=%2Fcmsmedia%2F87%2Fe4%2Ff9ab4b544ddcb99251cc3cf47627%2Fresizes%2F500%2F150629-stemconf-editorial.jpg,GET,200,image/jpeg,,Akamai,-1,83,62,,2032,2115,,-1,0,0,-1,0,0,0,0,14331,14520,499,14331,http://www.usnews.com/,938,,0,
07/08/2015,10:42:58,-,-,32,www.usnews.com,77.67.28.40,/dims4/USNEWS/12c10c7/2147483647/thumbnail/225x150/quality/85/?url=%2Fcmsmedia%2Fad%2F35%2F4037870d4579b7d68f35ccf9e264%2Fresizes%2F500%2F150707-hillary-editorial.jpg,GET,200,image/jpeg,,Akamai,-1,94,86,,2032,2126,,-1,0,0,-1,0,0,0,0,7142,7330,495,7142,http://www.usnews.com/,994,,0,
07/08/2015,10:42:58,-,-,33,www.usnews.com,77.67.28.40,/dims4/USNEWS/78a4061/2147483647/thumbnail/225x150/quality/85/?url=%2Fcmsmedia%2F9b%2Fbc%2F540c47044fcbae52fafa3ea6704c%2F150130-submitted.jpg,GET,200,image/jpeg,,Akamai,-1,145,127,,2033,2178,,-1,0,0,-1,0,0,0,0,11562,11751,471,11562,http://www.usnews.com/,1048,,0,
07/08/2015,10:42:58,-,-,34,www.usnews.com,77.67.28.40,/dims4/USNEWS/72562a0/2147483647/thumbnail/225x150/quality/85/?url=%2Fcmsmedia%2F0a%2F265ec73e5373d627c41ead704a3559%2Fresizes%2F500%2F49512WideModern_moving_11713.jpg,GET,200,image/jpeg,,Akamai,-1,109,97,,2033,2142,,-1,0,0,-1,0,0,0,0,8425,8613,496,8425,http://www.usnews.com/,1102,,0,
07/08/2015,10:42:58,-,-,35,www.usnews.com,77.67.28.40,/dims4/USNEWS/b90b479/2147483647/thumbnail/360x240%3E/quality/85/?url=%2Fcmsmedia%2F2f%2F36%2Fff2fb0b0418fba94613bb2daf462%2Fresizes%2F500%2F150707-womenjogging-stock.jpg,GET,200,image/jpeg,,Akamai,-1,111,101,,2044,2155,,-1,0,0,-1,0,0,0,0,8042,8230,499,8042,http://www.usnews.com/,1156,,0,
07/08/2015,10:42:58,-,-,36,www.usnews.com,77.67.28.40,/dims4/USNEWS/a8b4f55/2147483647/thumbnail/225x150/quality/85/?url=%2Fcmsmedia%2F7b%2F1a5dceaf2992eeda0e227610599927%2Fresizes%2F500%2F44160widemodern_hiring_070813.jpg,GET,200,image/jpeg,,Akamai,-1,52,42,,2181,2233,,-1,0,0,-1,0,0,0,0,8298,8486,497,8298,http://www.usnews.com/,1212,,0,
07/08/2015,10:42:58,ad,Amazon Associates,37,c.amazon-adsystem.com,54.230.97.23,/aax2/amzn_ads.js,GET,200,application/x-javascript,gzip,Amazon CloudFront,-1,67,61,,2235,2302,,-1,2056,2179,-1,0,0,2179,2235,4379,4859,336,0,http://www.usnews.com/static/scripts/jquery/usn-4.0.js,1,,0,
07/08/2015,10:42:58,-,-,38,www.usnews.com,77.67.28.40,/dims4/USNEWS/21d4c1d/2147483647/thumbnail/110x110/quality/85/?url=%2Fcmsmedia%2F9e%2F40%2Ff43300ec45fd8200d79443915ce7%2Fresizes%2F500%2F150630-stem-1g-editorial.jpg,GET,200,image/jpeg,,Akamai,-1,43,42,,2247,2290,,-1,0,0,-1,0,0,0,0,2428,2616,495,2428,http://www.usnews.com/,1304,,0,
07/08/2015,10:42:58,-,-,39,www.usnews.com,77.67.28.40,/dims4/USNEWS/9913972/2147483647/thumbnail/110x110/quality/85/?url=%2Fcmsmedia%2F9d%2F30%2Fbec7b53f4512b515c5c08a14b8e9%2Fresizes%2F500%2F150706-prescriptions-stock.jpg,GET,200,image/jpeg,,Akamai,-1,50,45,,2293,2343,,-1,0,0,-1,0,0,0,0,4155,4343,497,4155,http://www.usnews.com/,1332,,0,
07/08/2015,10:42:58,-,-,40,www.usnews.com,77.67.28.40,/dims4/USNEWS/9256427/2147483647/thumbnail/110x110/quality/85/?url=%2Fcmsmedia%2F4b%2F1503884614be5d32fc2ca359cff432%2Fresizes%2F500%2Fmedia%3A2b30d3da32f948e1ad63998c919b0109GreeceBailout.JPEG,GET,200,image/jpeg,,Akamai,-1,44,39,,2306,2350,,-1,0,0,-1,0,0,0,0,4065,4253,522,4065,http://www.usnews.com/,1428,,0,
07/08/2015,10:42:58,-,-,41,www.usnews.com,77.67.28.40,/dims4/USNEWS/6923755/2147483647/thumbnail/110x110/quality/85/?url=%2Fcmsmedia%2Ffd%2Fd4%2F2356411f42339300f0e7136ede4f%2Fresizes%2F500%2F150706-obamaclimate-editorial.jpg,GET,200,image/jpeg,,Akamai,-1,49,46,,2306,2355,,-1,0,0,-1,0,0,0,0,3269,3457,500,3269,http://www.usnews.com/,1456,,0,
07/08/2015,10:42:58,-,-,42,www.usnews.com,77.67.28.40,/dims4/USNEWS/661102d/2147483647/thumbnail/110x110/quality/85/?url=%2Fcmsmedia%2F51%2Fbf%2F00437da84b0aaa636fe82fbff10b%2Fresizes%2F500%2F150706-lebanon-editorial.jpg,GET,200,image/jpeg,,Akamai,-1,52,51,,2307,2359,,-1,0,0,-1,0,0,0,0,2055,2243,495,2055,http://www.usnews.com/,1552,,0,
07/08/2015,10:42:58,-,-,43,www.usnews.com,77.67.28.40,/dims4/USNEWS/b8b70e1/2147483647/thumbnail/110x110/quality/85/?url=%2Fcmsmedia%2Fa4%2F26%2F9b8c7987405ca78b58494e4e43f0%2Fresizes%2F500%2F150702-walker-editorial.jpg,GET,200,image/jpeg,,Akamai,-1,57,54,,2307,2364,,-1,0,0,-1,0,0,0,0,2265,2453,494,2265,http://www.usnews.com/,1580,,0,
07/08/2015,10:42:58,-,-,44,www.usnews.com,77.67.28.40,/dims4/USNEWS/7c0e350/2147483647/resize/652x%3E/quality/85/?url=%2Fcmsmedia%2F13%2Fa3%2F3cf80e694fd2b3a3010a132d7b0d%2Fap-930875462715edit.jpg,GET,200,image/jpeg,,Akamai,-1,250,60,,2307,2557,,-1,0,0,-1,0,0,0,0,111819,112009,471,111819,http://www.usnews.com/,1641,,0,
07/08/2015,10:42:58,ad,Amazon Associates,45,aax.amazon-adsystem.com,178.236.4.159,/e/dtb/bid?src=3143&u=http%3A%2F%2Fwww.usnews.com%2F&cb=1769491,GET,200,text/javascript,,,-1,100,100,,2611,2711,,-1,2311,2560,-1,0,0,2560,2610,8,217,384,0,http://c.amazon-adsystem.com/aax2/amzn_ads.js,1,,0,
07/08/2015,10:42:58,-,-,46,www.usnews.com,77.67.28.40,/static/scripts/jquery/head-scripts-concat.js,GET,200,application/javascript,gzip,Akamai,-1,351,338,,2717,3068,,-1,0,0,-1,0,0,0,0,8488,8931,357,0,http://www.usnews.com/static/scripts/jquery/usn-4.0.js,1,"Wed, 08 Jul 2015 10:51:12 GMT",0,
07/08/2015,10:42:58,-,-,47,www.usnews.com,77.67.28.40,/static/scripts/jquery/openXlayer.js,GET,200,application/javascript,gzip,Akamai,-1,61,61,,3081,3142,,-1,0,0,-1,0,0,0,0,230,671,348,0,http://www.usnews.com/static/scripts/jquery/head-scripts-concat.js,1,"Wed, 08 Jul 2015 10:45:17 GMT",0,
