Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,11:03:59,-,-,1,hollywoodreporter.com,67.221.183.145,/,GET,301,text/html,,,-1,111,111,,639,750,,-1,0,531,-1,0,0,531,639,0,184,358,0,,,,0,
07/08/2015,11:03:59,-,-,2,www.hollywoodreporter.com,68.232.35.28,/,GET,200,text/html,gzip,Edgecast,-1,219,149,,1232,1451,,-1,751,1201,-1,0,0,1201,1232,42973,43443,362,0,,,"Wed, 08 Jul 2015 11:06:03 GMT",0,
07/08/2015,11:03:59,-,-,3,www.hollywoodreporter.com,68.232.35.28,/static/frontend/2015_07_03_1138/assets/js/modernizr.js,GET,200,application/x-javascript,gzip,Edgecast,-1,41,38,,1424,1465,,-1,0,0,-1,0,0,1201,1232,2424,2902,389,0,http://www.hollywoodreporter.com/,45,,0,
07/08/2015,11:03:59,-,-,4,www.hollywoodreporter.com,68.232.35.28,/static/frontend/2015_07_03_1138/assets/css/homepage.css,GET,200,text/css,gzip,Edgecast,-1,1523,35,,1452,2975,,-1,0,0,-1,0,0,0,0,430875,431339,405,0,http://www.hollywoodreporter.com/,148,,0,
07/08/2015,11:03:59,-,-,5,www.hollywoodreporter.com,68.232.35.28,/static/frontend/2015_07_03_1138/assets/js/vendor.js,GET,200,application/x-javascript,gzip,Edgecast,-1,484,115,,1522,2006,,-1,0,0,-1,0,0,0,0,93354,93833,386,0,http://www.hollywoodreporter.com/,2282,,0,
07/08/2015,11:03:59,-,-,6,www.hollywoodreporter.com,68.232.35.28,/static/frontend/2015_07_03_1138/assets/js/thr.js,GET,200,application/x-javascript,gzip,Edgecast,-1,1796,383,,1523,3319,,-1,0,0,-1,0,0,1450,1482,16333,16812,383,0,http://www.hollywoodreporter.com/,2283,,0,
07/08/2015,11:03:59,-,-,7,www.hollywoodreporter.com,68.232.35.28,/static/frontend/2015_07_03_1138/assets/js/thr-homepage.js,GET,200,application/x-javascript,gzip,Edgecast,-1,146,145,,1677,1823,,-1,0,0,-1,0,0,1523,1677,1438,1916,392,0,http://www.hollywoodreporter.com/,2284,,0,
07/08/2015,11:03:59,-,-,8,s3.amazonaws.com,54.231.0.120,/storage.kargo.com/ad/network/tag/v3/_jK-5bpqWnaY1KP9wnV8Ag0b.js,GET,200,application/x-javascript,,,-1,1745,245,,1780,3525,,-1,1425,1566,-1,0,0,1566,1780,146466,146828,389,0,http://www.hollywoodreporter.com/,47,,0,
07/08/2015,11:03:59,-,-,9,players.brightcove.net,172.229.190.145,/769341148/e8aab24d-c24b-4129-864a-dc720c9a54b4_default/index.min.js,GET,200,application/javascript,gzip,Akamai,-1,1156,56,,1907,3063,,-1,1519,1762,-1,0,0,1763,1906,120167,120801,399,0,http://www.hollywoodreporter.com/,2281,,0,
07/08/2015,11:03:59,ad,Amazon Associates,10,c.amazon-adsystem.com,54.230.97.23,/aax2/amzn_ads.js,GET,200,application/x-javascript,gzip,Amazon CloudFront,-1,138,132,,2124,2262,,-1,1425,1962,-1,0,0,1962,2124,4379,4859,347,0,http://www.hollywoodreporter.com/,57,,0,
07/08/2015,11:03:59,ad,Amazon Associates,11,aax.amazon-adsystem.com,178.236.7.137,/e/dtb/bid?src=3125&u=http%3A%2F%2Fwww.hollywoodreporter.com%2F&cb=8901620,GET,200,text/javascript,,,-1,104,104,,2920,3024,,-1,2276,2746,-1,0,0,2747,2920,8,216,406,0,http://c.amazon-adsystem.com/aax2/amzn_ads.js,1,,0,
07/08/2015,11:03:59,-,-,12,www.hollywoodreporter.com,68.232.35.28,/sites/default/files/imagecache/176x226/2015/06/22cover_lores_article.jpg,GET,200,image/jpeg,,Edgecast,-1,640,38,,3081,3721,,-1,0,0,-1,0,0,0,0,16240,16491,424,16240,http://www.hollywoodreporter.com/,496,,0,
07/08/2015,11:03:59,-,-,13,www.hollywoodreporter.com,68.232.35.28,/sites/default/files/imagecache/NFE_Landscape/2015/07/star_wars_episode_iv_chewbacca_han_solo.jpg,GET,200,image/jpeg,,Edgecast,-1,711,44,,3082,3793,,-1,0,0,-1,0,0,0,0,48437,48688,448,48437,http://www.hollywoodreporter.com/,533,,0,
07/08/2015,11:03:59,-,-,14,www.hollywoodreporter.com,68.232.35.28,/sites/default/files/imagecache/NFE_square/2014/11/bill_cosby_4.jpg,GET,200,image/jpeg,,Edgecast,-1,58,51,,3082,3140,,-1,0,0,-1,0,0,0,0,5181,5431,418,5181,http://www.hollywoodreporter.com/,542,,0,
07/08/2015,11:03:59,-,-,15,www.hollywoodreporter.com,68.232.35.28,/static/frontend/2015_07_03_1138/assets/fonts/tablet_gothic_compressed-light-webfont.ttf?1435923398,GET,200,application/octet-stream,,Edgecast,-1,1057,38,,3111,4168,,-1,0,0,-1,0,0,3081,3111,69700,70132,488,0,http://www.hollywoodreporter.com/,590,,0,
07/08/2015,11:03:59,-,-,16,www.hollywoodreporter.com,68.232.35.28,/static/frontend/2015_07_03_1138/assets/fonts/BrunelTextWeb-Roman.ttf?1435923398,GET,200,application/octet-stream,,Edgecast,-1,573,110,,3112,3685,,-1,0,0,-1,0,0,3081,3111,159184,159617,469,0,http://www.hollywoodreporter.com/,590,,0,
07/08/2015,11:03:59,-,-,17,www.hollywoodreporter.com,68.232.35.28,/sites/default/files/imagecache/NFE_square/2015/05/tcdsimp_fe099_h.jpg,GET,200,image/jpeg,,Edgecast,-1,574,140,,3145,3719,,-1,0,0,-1,0,0,0,0,5987,6237,421,5987,http://www.hollywoodreporter.com/,551,,0,
07/08/2015,11:03:59,-,-,18,www.hollywoodreporter.com,68.232.35.28,/static/frontend/2015_07_03_1138/assets/fonts/icons.ttf?1435923398,GET,200,application/octet-stream,,Edgecast,-1,486,130,,3319,3805,,-1,0,0,-1,0,0,0,0,27348,27780,455,0,http://www.hollywoodreporter.com/,812,,0,
07/08/2015,11:03:59,ad,DoubleClick,19,www.googletagservices.com,74.125.136.155,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,525,409,,3426,3951,,-1,3080,3283,-1,0,0,3283,3426,16514,17070,348,0,http://www.hollywoodreporter.com/,82,"Wed, 08 Jul 2015 11:04:04 GMT",0,
07/08/2015,11:03:59,analytics,Google Analytics,20,www.google-analytics.com,74.125.136.102,/ga.js,GET,200,text/javascript,gzip,Google,-1,218,122,,3426,3644,,-1,3082,3284,-1,0,0,3284,3426,16075,16448,339,0,http://www.hollywoodreporter.com/,139,"Wed, 08 Jul 2015 12:20:02 GMT",0,
07/08/2015,11:03:59,widget,Google Tag Manager,21,www.googletagmanager.com,74.125.136.97,/gtm.js?id=GTM-WLF8ZZ,GET,200,text/javascript,gzip,Google,-1,277,149,,3427,3704,,-1,3082,3285,-1,0,0,3285,3426,18870,19216,354,0,http://www.hollywoodreporter.com/,145,"Wed, 08 Jul 2015 11:04:04 GMT",0,
07/08/2015,11:03:59,tracker,ScoreCard Research Beacon,22,b.scorecardresearch.com,2.16.4.121,/beacon.js,GET,200,application/x-javascript,gzip,Akamai,-1,147,147,,3468,3615,,-1,3082,3283,-1,0,0,3336,3467,1140,1424,342,0,http://www.hollywoodreporter.com/,126,"Wed, 22 Jul 2015 11:04:04 GMT",0,
