Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,11:17:02,-,-,1,breitbart.com,72.21.91.19,/,GET,301,,,,-1,240,240,,489,729,,-1,0,375,-1,0,0,375,489,0,248,350,0,,,,0,
07/08/2015,11:17:02,-,-,2,www.breitbart.com,72.21.91.19,/,GET,200,text/html,gzip,Edgecast,-1,160,116,,1222,1382,,-1,731,1109,-1,0,0,1109,1221,26411,26836,354,0,,,,0,
07/08/2015,11:17:02,-,-,3,www.breitbart.com,72.21.91.19,/t/style-014363126.css,GET,200,text/css,gzip,Edgecast,-1,139,118,,1372,1511,,-1,0,0,-1,0,0,1109,1223,13860,14320,355,0,http://www.breitbart.com/,9,,0,
07/08/2015,11:17:02,-,-,4,www.breitbart.com,72.21.91.19,/t/assets/i/action-center/primary.jpg,GET,200,image/jpeg,,Edgecast,-1,168,132,,1382,1550,,-1,0,0,-1,0,0,0,0,22814,23228,372,22814,http://www.breitbart.com/,158,,0,
07/08/2015,11:17:02,-,-,5,www.breitbart.com,72.21.91.19,/t/style-014363126.js,GET,200,application/javascript,gzip,Edgecast,-1,530,174,,1516,2046,,-1,0,0,-1,0,0,0,0,60775,61230,339,0,http://www.breitbart.com/,823,,0,
07/08/2015,11:17:02,-,-,6,www.breitbart.com,72.21.91.19,/t/assets/i/breitbart-homepage-ad-640x260.jpg,GET,200,image/jpeg,,Edgecast,-1,866,237,,1516,2382,,-1,0,0,-1,0,0,1373,1514,51225,51637,380,51225,http://www.breitbart.com/,182,,0,
07/08/2015,11:17:02,-,-,7,www.breitbart.com,72.21.91.19,/t/assets/fonts/fjalla.woff,GET,200,font/woff,,Edgecast,-1,1759,211,,1551,3310,,-1,0,0,-1,0,0,0,0,19584,19980,366,0,http://www.breitbart.com/,116,,0,
07/08/2015,11:17:02,-,-,8,www.breitbart.com,72.21.91.19,/t/assets/fonts/bbn.woff,GET,200,font/woff,,Edgecast,-1,179,150,,1763,1942,,-1,0,0,-1,0,0,1542,1762,18036,18432,363,0,http://www.breitbart.com/,671,,0,
07/08/2015,11:17:02,-,-,9,www.breitbart.com,72.21.91.19,/t/assets/i/sprite.png,GET,200,image/png,,Edgecast,-1,340,163,,1782,2122,,-1,0,0,-1,0,0,1572,1782,49085,49498,378,0,http://www.breitbart.com/,116,,0,
07/08/2015,11:17:02,widget,AddThis,10,s7.addthis.com,104.16.61.8,/js/300/addthis_widget.js,GET,200,text/javascript,gzip,Cloudflare,-1,392,98,,1790,2182,,-1,1515,1761,-1,0,0,1761,1790,90594,91055,340,0,http://www.breitbart.com/,823,,0,
07/08/2015,11:17:02,widget,NDN Player Suite,11,launch.newsinc.com,172.229.205.166,/js/embed.js,GET,307,text/html,,Akamai,-1,272,272,,1793,2065,,-1,1517,1762,-1,0,0,1762,1792,0,455,331,0,http://www.breitbart.com/,823,"Wed, 08 Jul 2015 11:17:06 GMT",0,
07/08/2015,11:17:02,-,-,12,www.breitbart.com,72.21.91.19,/t/assets/i/breitbart-2016-primary-background.jpg,GET,200,image/jpeg,,Edgecast,-1,1466,175,,2049,3515,,-1,0,0,-1,0,0,0,0,186256,186660,405,186256,http://www.breitbart.com/,671,,0,
07/08/2015,11:17:02,-,-,13,launch.newsinc.com,172.229.205.166,/80/js/embed.js,GET,200,application/javascript,gzip,Akamai,-1,243,75,,2109,2352,,-1,0,0,-1,0,0,0,0,66135,66873,334,0,http://www.breitbart.com/,823,"Wed, 15 Jul 2015 11:17:06 GMT",0,
07/08/2015,11:17:02,-,-,14,www.breitbart.com,72.21.91.19,/t/assets/i/action-center/bb-action-center.jpg,GET,200,image/jpeg,,Edgecast,-1,186,174,,2125,2311,,-1,0,0,-1,0,0,0,0,8260,8671,402,8260,http://www.breitbart.com/,671,,0,
07/08/2015,11:17:02,-,-,15,www.breitbart.com,72.21.91.19,/t/assets/i/action-center/arrow.png,GET,200,image/png,,Edgecast,-1,167,167,,2186,2353,,-1,0,0,-1,0,0,0,0,992,1400,391,0,http://www.breitbart.com/,671,,0,
07/08/2015,11:17:02,-,-,16,media.breitbart.com,93.184.220.20,/media/2015/07/ap_francisco-sanchez-jeff-adachi-diana-garciaor_ap-photo-420x303.jpg,GET,200,image/jpeg,,Edgecast,-1,90,46,,2339,2429,,-1,1517,2230,-1,0,0,2230,2339,27206,27450,420,27206,http://www.breitbart.com/,166,,0,
07/08/2015,11:17:02,-,-,17,media.breitbart.com,93.184.220.20,/media/2015/07/Perry-77-Thumbnail-420x315.jpg,GET,200,image/jpeg,,Edgecast,-1,132,89,,2341,2473,,-1,0,0,-1,0,0,2231,2340,24525,24769,382,24525,http://www.breitbart.com/,189,,0,
07/08/2015,11:17:02,-,-,18,media.breitbart.com,93.184.220.20,/media/2015/04/donald-trump-podium-ap-420x315.jpg,GET,200,image/jpeg,,Edgecast,-1,1035,447,,2341,3376,,-1,0,0,-1,0,0,2231,2340,23435,23679,386,23435,http://www.breitbart.com/,191,,0,
07/08/2015,11:17:02,-,-,19,media.breitbart.com,93.184.220.20,/media/2015/07/Matthews-77-Thumbnail-420x315.jpg,GET,200,image/jpeg,,Edgecast,-1,1295,134,,2341,3636,,-1,0,0,-1,0,0,2231,2340,25615,25859,385,25615,http://www.breitbart.com/,193,,0,
07/08/2015,11:17:02,-,-,20,media.breitbart.com,93.184.220.20,/media/2015/04/fiorinaclintonAP-Photos-640x480.jpg,GET,200,image/jpeg,,Edgecast,-1,3158,162,,2341,5499,,-1,0,0,-1,0,0,2231,2340,72484,72728,387,72484,http://www.breitbart.com/,203,,0,
07/08/2015,11:17:02,analytics,Google Analytics,21,www.google-analytics.com,74.125.136.101,/ga.js,GET,200,text/javascript,gzip,Google,-1,111,39,,2541,2652,,-1,2314,2505,-1,0,0,2505,2541,16075,16448,331,0,http://www.breitbart.com/,38,"Wed, 08 Jul 2015 12:20:02 GMT",0,
07/08/2015,11:17:02,widget,Facebook Connect,22,connect.facebook.net,23.62.127.242,/en_US/sdk.js,GET,200,application/x-javascript,gzip,Facebook,-1,190,37,,2570,2760,,-1,2360,2535,-1,0,0,2536,2570,53454,53943,334,0,http://www.breitbart.com/,130,"Wed, 08 Jul 2015 11:37:06 GMT",0,
07/08/2015,11:17:02,ad,DoubleClick,23,www.googletagservices.com,74.125.136.157,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,213,99,,2574,2787,,-1,2355,2539,-1,0,0,2539,2574,16514,17070,340,0,http://www.breitbart.com/,43,"Wed, 08 Jul 2015 11:17:06 GMT",0,
07/08/2015,11:17:02,widget,Newsmax,24,cdn.nmcdn.us,93.184.220.43,/js/connectV2.js,GET,200,application/x-javascript,,Edgecast,-1,110,102,,2664,2774,,-1,2385,2598,-1,0,0,2598,2664,6345,6645,329,0,http://www.breitbart.com/,711,,0,
07/08/2015,11:17:02,widget,Disqus,25,breitbartproduction.disqus.com,185.31.17.134,/count.js,GET,302,,,Fastly,-1,120,120,,2670,2790,,-1,2478,2597,-1,0,0,2597,2670,0,216,340,0,http://www.breitbart.com/,823,,0,
07/08/2015,11:17:02,-,-,26,media.breitbart.com,93.184.220.20,/media/2015/07/GettyImages-479803586.jpg,GET,200,image/jpeg,,Edgecast,-1,132,66,,2765,2897,,-1,0,0,-1,0,0,0,0,40797,41041,585,40797,http://www.breitbart.com/,213,,0,
07/08/2015,11:17:02,-,-,27,media.breitbart.com,93.184.220.20,/media/2015/07/tapper-640x480.jpg,GET,200,image/jpeg,,Edgecast,-1,1089,137,,2778,3867,,-1,0,0,-1,0,0,0,0,45300,45544,578,45300,http://www.breitbart.com/,218,,0,
07/08/2015,11:17:02,-,-,28,media.breitbart.com,93.184.220.20,/media/2015/07/illegal-immigrant-arrest-AP-Rogelio-V.-Solis-640x480.jpg,GET,200,image/jpeg,,Edgecast,-1,2519,150,,2792,5311,,-1,0,0,-1,0,0,2284,2355,76241,76485,616,76241,http://www.breitbart.com/,225,,0,
07/08/2015,11:17:02,tracker,Lotame,29,ad.crwdcntrl.net,54.246.135.20,/5/c=1859/pe=y/callback=_nw2e.closures.c0,GET,200,application/javascript,,,-1,77,77,,2998,3075,,-1,2657,2901,-1,0,0,2901,2997,82,364,358,0,http://launch.newsinc.com/80/js/embed.js,61,0,0,
07/08/2015,11:17:02,-,-,30,a.disquscdn.com,23.235.43.130,/count.js,GET,200,application/javascript,gzip,Fastly,-1,116,116,,3056,3172,,-1,2846,2997,-1,0,0,2997,3055,829,1218,325,0,http://www.breitbart.com/,1,,0,
