Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,11:28:28,-,-,1,yr.no,160.68.205.237,/,GET,301,,,,-1,62,62,,182,244,,-1,0,120,-1,0,0,120,182,0,121,342,0,,,,0,
07/08/2015,11:28:28,-,-,2,www.yr.no,23.62.99.144,/,GET,200,text/html,gzip,Akamai,-1,53,37,,341,394,,-1,246,309,-1,0,0,309,341,10534,11048,346,0,,,"Wed, 08 Jul 2015 11:28:46 GMT",0,
07/08/2015,11:28:28,-,-,3,www.yr.no,23.62.99.144,/css/yr.min.versjonert.sHHiSCMKK2k5F2NwmlzghD8711U.css,GET,200,text/css,gzip,Akamai,-1,80,38,,414,494,,-1,0,0,-1,0,0,0,0,25802,26274,371,0,http://www.yr.no/,9,"Thu, 09 Jul 2015 10:55:29 GMT",0,
07/08/2015,11:28:28,-,-,4,www.yr.no,23.62.99.144,/js/GoogleAnalytics/GoogleAnalytics.2011.11.1.js,GET,200,application/javascript,,Akamai,-1,82,82,,414,496,,-1,0,0,-1,0,0,310,341,543,926,350,0,http://www.yr.no/,25,,0,
07/08/2015,11:28:28,-,-,5,www.yr.no,23.62.99.144,/Scripts/yr.min.versjonert.FH9uBB4k1znws0doCKrwTp2OvlQ.js,GET,200,application/javascript,gzip,Akamai,-1,291,37,,495,786,,-1,0,0,-1,0,0,0,0,59966,60455,359,0,http://www.yr.no/,1027,"Wed, 06 Jul 2016 10:55:18 GMT",0,
07/08/2015,11:28:28,-,-,6,www.yr.no,23.62.99.144,/Scripts/yr.bruker.historikk.min.versjonert.QhGpMacI62Bp1gPdDoSVi78anyY.js,GET,200,application/javascript,gzip,Akamai,-1,101,99,,496,597,,-1,0,0,-1,0,0,424,496,1821,2307,376,0,http://www.yr.no/,1029,"Thu, 28 Apr 2016 19:34:34 GMT",0,
07/08/2015,11:28:28,-,-,7,www.yr.no,23.62.99.144,/Scripts/OpenLayers-2.13.1/OpenLayers.versjonert.Ulxy8mi6VtIwvn4Nj_1vWnfQN7M.js,GET,200,application/javascript,gzip,Akamai,-1,640,103,,496,1136,,-1,0,0,-1,0,0,423,496,79397,79884,381,0,http://www.yr.no/,1035,"Thu, 28 Apr 2016 19:35:50 GMT",0,
07/08/2015,11:28:28,-,-,8,www.yr.no,23.62.99.144,/Scripts/yr.map.versjonert.HGoPQKdeBkdkuVADXPlA48aj5Tg.js,GET,200,application/javascript,gzip,Akamai,-1,362,142,,497,859,,-1,0,0,-1,0,0,425,496,33522,34009,359,0,http://www.yr.no/,1036,"Thu, 28 Apr 2016 19:36:10 GMT",0,
07/08/2015,11:28:28,-,-,9,www.yr.no,23.62.99.144,/grafikk/yr-logo.png,GET,200,image/png,,Akamai,-1,463,143,,518,981,,-1,0,0,-1,0,0,0,0,1283,1692,339,0,http://www.yr.no/,35,,0,
07/08/2015,11:28:28,-,-,10,ajax.aspnetcdn.com,68.232.34.200,/ajax/jQuery/jquery-1.11.3.min.js,GET,200,application/x-javascript,gzip,Edgecast,-1,1114,103,,687,1801,,-1,422,593,-1,0,0,593,687,42874,43448,344,0,http://www.yr.no/,1025,,0,
