Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,09:59:38,-,-,1,examiner.com,108.166.10.199,/,GET,301,text/html,,,-1,130,130,,211,341,,-1,0,82,-1,0,0,82,210,185,420,349,0,,,,0,
07/08/2015,09:59:38,-,-,2,www.examiner.com,108.166.10.199,/,GET,200,text/html,gzip,,-1,2829,332,,550,3379,,-1,343,420,-1,0,0,421,549,29462,30136,353,0,,,,0,
07/08/2015,09:59:38,-,-,3,cdn2-b.examiner.com,93.184.220.20,/sites/default/files/css/css_jH53Mf_jA3oPz_vXjZ9uZqw78gFxgaDzOFuC9zXo-3s_441_1.css,GET,200,text/css,gzip,Edgecast,-1,36,36,,1010,1046,,-1,912,979,-1,0,0,979,1010,219,612,416,0,http://www.examiner.com/,12,"Wed, 22 Jul 2015 09:59:40 GMT",0,
07/08/2015,09:59:38,-,-,4,cdn2-b.examiner.com,93.184.220.20,/sites/default/files/css/css_iM0e58F9UuXz9n7_NutmG7vEipuH3IgrlP8vGiwo9oA_441_1.css,GET,200,text/css,gzip,Edgecast,-1,72,41,,1011,1083,,-1,0,0,-1,0,0,979,1010,20344,20741,416,0,http://www.examiner.com/,12,"Wed, 22 Jul 2015 09:59:40 GMT",0,
07/08/2015,09:59:38,-,-,5,cdn2-b.examiner.com,93.184.220.20,/sites/default/files/js/js_izMbklKled8Iz36tDzoCaxKTK2LGkVInrJgIP9SfR_g_440_1.js?nr2x86,GET,200,text/javascript,gzip,Edgecast,-1,81,75,,1011,1092,,-1,0,0,-1,0,0,979,1010,3979,4399,405,0,http://www.examiner.com/,15,"Wed, 22 Jul 2015 09:59:40 GMT",0,
07/08/2015,09:59:38,-,-,6,cdn2-b.examiner.com,93.184.220.20,/sites/default/files/css/css_-pOaQB6BsVmy1RffuEK02PxiDvG3CgnKQWUwLTx1FI8_441_1.css,GET,200,text/css,gzip,Edgecast,-1,84,81,,1013,1097,,-1,0,0,-1,0,0,979,1013,2940,3335,416,0,http://www.examiner.com/,12,"Wed, 22 Jul 2015 09:59:40 GMT",0,
07/08/2015,09:59:38,-,-,7,cdn2-b.examiner.com,93.184.220.20,/sites/all/themes/greyhound/assets/images/examiner-logo.png,GET,200,image/png,,Edgecast,-1,43,35,,1108,1151,,-1,0,0,-1,0,0,0,0,4826,5192,395,0,http://www.examiner.com/,179,"Wed, 22 Jul 2015 09:59:40 GMT",0,
07/08/2015,09:59:38,-,-,8,cdn2-b.examiner.com,93.184.220.20,/sites/default/files/styles/hero_curated_large/hash/12/ca/12ca1dd649647fec7697c6ca2e76d04e.jpg?itok=zvUPYgPY,GET,200,image/jpeg,,Edgecast,-1,75,48,,1127,1202,,-1,0,0,-1,0,0,0,0,17178,17549,444,17178,http://www.examiner.com/,208,"Wed, 22 Jul 2015 09:59:40 GMT",0,
07/08/2015,09:59:38,-,-,9,cdn2-b.examiner.com,93.184.220.20,/sites/default/files/styles/hero_curated_large/hash/0d/d0/0dd0ff5db1f547be4500f4de733ddfb3.jpg?itok=rnvKi9wd,GET,200,image/jpeg,,Edgecast,-1,112,78,,1128,1240,,-1,0,0,-1,0,0,0,0,22605,22976,444,22605,http://www.examiner.com/,210,"Wed, 22 Jul 2015 09:59:40 GMT",0,
07/08/2015,09:59:38,tracker,Omniture (Adobe Analytics),10,cdn2-b.examiner.com,93.184.220.20,/sites/all/modules/custom/ex_omniture/s_code.js?v=nr2x86,GET,200,text/javascript,gzip,Edgecast,-1,141,115,,1129,1270,,-1,0,0,-1,0,0,0,0,15660,16080,375,0,http://cdn2-b.examiner.com/sites/default/files/js/js_izMbklKled8Iz36tDzoCaxKTK2LGkVInrJgIP9SfR_g_440_1.js?nr2x86,2,"Wed, 22 Jul 2015 09:59:40 GMT",0,
