Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:01:15,-,-,1,cbc.ca,95.101.1.83,/news/,GET,301,,,,-1,42,42,,95,137,,-1,0,64,-1,0,0,64,95,0,170,348,0,,,,0,
07/08/2015,10:01:15,-,-,2,www.cbc.ca,77.67.28.72,/news/,GET,301,text/html,,Akamai,-1,36,36,,237,273,,-1,139,202,-1,0,0,202,237,0,306,352,0,,,,0,
07/08/2015,10:01:15,-,-,3,www.cbc.ca,77.67.28.72,/news,GET,200,text/html,gzip,Akamai,-1,280,203,,275,555,,-1,0,0,-1,0,0,0,0,31113,31390,351,0,http://www.cbc.ca/news,284,,0,
07/08/2015,10:01:15,-,-,4,www.cbc.ca,77.67.28.72,/i/l/yui/3.11.0/yui/yui-min.js,GET,200,application/x-javascript,gzip,Akamai,-1,120,46,,525,645,,-1,0,0,-1,0,0,202,237,25943,26306,338,0,http://www.cbc.ca/news,108,,0,
07/08/2015,10:01:15,-,-,5,www.cbc.ca,77.67.28.72,/i/css/v11/scripts.css,GET,200,text/css,gzip,Akamai,-1,62,55,,555,617,,-1,0,0,-1,0,0,0,0,4931,5276,345,0,http://www.cbc.ca/news,132,,0,
07/08/2015,10:01:15,-,-,6,www.cbc.ca,77.67.28.72,/i/o/globalnav/v10/css/dropdown.css,GET,200,text/css,gzip,Akamai,-1,58,57,,563,621,,-1,0,0,-1,0,0,526,562,1934,2204,358,0,http://www.cbc.ca/news,140,,0,
07/08/2015,10:01:15,-,-,7,www.cbc.ca,77.67.28.72,/i/o/globalnav/v10/css/globalnav.css,GET,200,text/css,gzip,Akamai,-1,63,59,,563,626,,-1,0,0,-1,0,0,527,562,3182,3451,359,0,http://www.cbc.ca/news,140,,0,
07/08/2015,10:01:15,-,-,8,www.cbc.ca,77.67.28.72,/i/podium/news.css,GET,200,text/css,gzip,Akamai,-1,147,70,,565,712,,-1,0,0,-1,0,0,533,565,27427,27774,341,0,http://www.cbc.ca/news,142,,0,
07/08/2015,10:01:15,-,-,9,www.cbc.ca,77.67.28.72,/i/avembed/css/avembed.css,GET,200,text/css,gzip,Akamai,-1,81,65,,609,690,,-1,0,0,-1,0,0,538,609,10001,10348,349,0,http://www.cbc.ca/news,143,,0,
07/08/2015,10:01:15,-,-,10,www.cbc.ca,77.67.28.72,/cmlink/7.1120,GET,200,text/css,gzip,Akamai,-1,74,74,,617,691,,-1,0,0,-1,0,0,0,0,928,1204,337,0,http://www.cbc.ca/news,145,,0,
07/08/2015,10:01:15,-,-,11,www.cbc.ca,77.67.28.72,/cmlink/7.1565,GET,200,text/css,gzip,Akamai,-1,74,74,,621,695,,-1,0,0,-1,0,0,0,0,579,854,337,0,http://www.cbc.ca/news,146,,0,
07/08/2015,10:01:15,-,-,12,www.cbc.ca,77.67.28.72,/cmlink/7.1561,GET,200,text/css,gzip,Akamai,-1,66,66,,628,694,,-1,0,0,-1,0,0,0,0,637,913,337,0,http://www.cbc.ca/news,147,,0,
07/08/2015,10:01:15,-,-,13,www.cbc.ca,77.67.28.72,/cmlink/7.574,GET,200,text/css,gzip,Akamai,-1,69,58,,647,716,,-1,0,0,-1,0,0,0,0,1562,1838,336,0,http://www.cbc.ca/news,148,,0,
07/08/2015,10:01:15,-,-,14,www.cbc.ca,77.67.28.72,/cmlink/7.6459,GET,200,text/css,,Akamai,-1,36,36,,691,727,,-1,0,0,-1,0,0,0,0,761,990,337,0,http://www.cbc.ca/news,149,,0,
07/08/2015,10:01:15,-,-,15,www.cbc.ca,77.67.28.72,/cmlink/7.6807,GET,200,text/css,,Akamai,-1,46,46,,715,761,,-1,0,0,-1,0,0,0,0,161,390,337,0,http://www.cbc.ca/news,150,,0,
07/08/2015,10:01:15,-,-,16,www.cbc.ca,77.67.28.72,/i/o/breadcrumbnav/news/nav.css,GET,200,text/css,gzip,Akamai,-1,42,42,,717,759,,-1,0,0,-1,0,0,0,0,1260,1604,354,0,http://www.cbc.ca/news,195,,0,
07/08/2015,10:01:15,-,-,17,www.cbc.ca,77.67.28.72,/g/i/loader.js,GET,200,application/x-javascript,gzip,Akamai,-1,46,45,,717,763,,-1,0,0,-1,0,0,0,0,1477,1839,322,0,http://www.cbc.ca/news,113,,0,
07/08/2015,10:01:15,-,-,18,www.cbc.ca,77.67.28.72,/g/i/globalfuncs.js,GET,200,application/x-javascript,gzip,Akamai,-1,48,48,,717,765,,-1,0,0,-1,0,0,0,0,593,953,327,0,http://www.cbc.ca/news,114,,0,
07/08/2015,10:01:15,-,-,19,www.cbc.ca,77.67.28.72,/g/stats/cbc_sitecatalyst.js,GET,200,application/x-javascript,gzip,Akamai,-1,79,43,,726,805,,-1,0,0,-1,0,0,0,0,21526,21889,336,0,http://www.cbc.ca/news,232,,0,
07/08/2015,10:01:15,tracker,Optimizely,20,cdn.optimizely.com,93.184.220.20,/js/2167530328.js,GET,200,text/javascript,gzip,Edgecast,-1,215,80,,726,941,,-1,541,691,-1,0,0,692,726,57743,58238,333,0,http://www.cbc.ca/news,135,,0,
07/08/2015,10:01:15,-,-,21,i.cbc.ca,77.67.28.72,/1.3141980.1436296987!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_460/eurozone-greece.jpg,GET,302,text/html,,Akamai,-1,151,151,,727,878,,-1,553,693,-1,0,0,694,727,310,727,420,0,http://www.cbc.ca/news,585,,0,
07/08/2015,10:01:15,-,-,22,js.indexww.com,77.67.28.34,/ht/cbc.js,GET,200,text/javascript,gzip,Akamai,-1,146,143,,738,884,,-1,589,707,-1,0,0,707,737,2857,3296,322,0,http://www.cbc.ca/news,3398,"Wed, 08 Jul 2015 10:36:33 GMT",0,
07/08/2015,10:01:15,-,-,23,www.cbc.ca,77.67.28.72,/g/stats/sccore.js,GET,200,application/x-javascript,gzip,Akamai,-1,149,144,,741,890,,-1,0,0,-1,0,0,0,0,3024,3385,326,0,http://www.cbc.ca/news,233,,0,
07/08/2015,10:01:15,tracker,ScoreCard Research Beacon,24,b.scorecardresearch.com,2.16.4.121,/beacon.js,GET,200,application/x-javascript,gzip,Akamai,-1,150,150,,741,891,,-1,589,707,-1,0,0,707,741,1140,1424,331,0,http://www.cbc.ca/news,3342,"Wed, 22 Jul 2015 10:01:17 GMT",0,
07/08/2015,10:01:15,-,-,25,www.cbc.ca,77.67.28.72,/g/stats/linktracker.js,GET,200,application/x-javascript,gzip,Akamai,-1,152,135,,761,913,,-1,0,0,-1,0,0,0,0,3902,4264,331,0,http://www.cbc.ca/news,234,,0,
07/08/2015,10:01:15,-,-,26,www.cbc.ca,77.67.28.72,/i/o/imagegallery/init.js,GET,200,application/x-javascript,gzip,Akamai,-1,130,130,,763,893,,-1,0,0,-1,0,0,0,0,502,863,333,0,http://www.cbc.ca/news,1568,,0,
07/08/2015,10:01:15,-,-,27,www.cbc.ca,77.67.28.72,/i/o/globalnav/v14/scripts/globalfooter.js,GET,200,application/x-javascript,gzip,Akamai,-1,136,136,,766,902,,-1,0,0,-1,0,0,0,0,754,1115,350,0,http://www.cbc.ca/news,3287,,0,
07/08/2015,10:01:15,-,-,28,www.cbc.ca,77.67.28.72,/i/queue/queue.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,135,135,,769,904,,-1,0,0,-1,0,0,0,0,461,892,329,0,http://www.cbc.ca/news,3324,"Wed, 08 Jul 2015 10:03:59 GMT",0,
