Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:06:37,-,-,1,manoramaonline.com,209.143.197.132,/,GET,200,text/html,,,-1,124,124,,380,504,,-1,0,260,-1,0,0,260,380,251,551,355,0,,,,0,
07/08/2015,10:06:37,-,-,2,www.manoramaonline.com,23.62.99.146,/,GET,302,httpd/unix-directory,,Akamai,-1,103,103,,1006,1109,,-1,571,975,-1,0,0,975,1005,0,204,396,0,,,,0,
07/08/2015,10:06:37,-,-,3,www.manoramaonline.com,23.62.99.146,/home.html,GET,200,text/html,gzip,Akamai,-1,122,38,,1111,1233,,-1,0,0,-1,0,0,0,0,45942,46268,405,0,http://js-mm.manoramaonline.com/etc/designs/malayalam/clientlibs.js,36,,0,
07/08/2015,10:06:37,-,-,4,www.manoramaonline.com,23.62.99.146,/etc/designs/malayalam/clientlibs/css/mmfonts.css,GET,200,text/css,gzip,Akamai,-1,39,39,,1234,1273,,-1,0,0,-1,0,0,1186,1233,240,546,401,0,http://www.manoramaonline.com/home.html,42,,0,
07/08/2015,10:06:37,-,-,5,www.manoramaonline.com,23.62.99.146,/etc/designs/malayalam/clientlibs/js/amp.premier.min.js?amp-defaults=/etc/designs/malayalam/resources/amp.premier.xml,GET,200,text/javascript,gzip,Akamai,-1,115,42,,1252,1367,,-1,0,0,-1,0,0,0,0,89026,89343,454,0,http://www.manoramaonline.com/home.html,3482,,0,
07/08/2015,10:06:37,-,-,6,css-mm.manoramaonline.com,2.21.243.75,/etc/designs/mmcommons/clientlibs.css,GET,200,text/css,gzip,Akamai,-1,56,56,,1315,1371,,-1,1183,1267,-1,0,0,1267,1314,20,339,392,0,http://www.manoramaonline.com/home.html,47,,0,
07/08/2015,10:06:37,-,-,7,css-mm.manoramaonline.com,2.21.243.75,/etc/designs/malayalam/clientlibs.css,GET,200,text/css,gzip,Akamai,-1,576,56,,1315,1891,,-1,0,0,-1,0,0,1267,1314,78119,78445,392,0,http://www.manoramaonline.com/home.html,49,,0,
07/08/2015,10:06:37,-,-,8,assets.adobedtm.com,23.34.177.120,/0df4b7263cf2f49d867b1c41f2ffa400dc0d2e61/satelliteLib-a858d06fd57be4ffe2d92de6853ce940a5fe996d.js,GET,200,application/x-javascript,gzip,Akamai,-1,95,67,,1410,1505,,-1,1189,1367,-1,0,0,1369,1409,18126,18477,432,0,http://www.manoramaonline.com/home.html,65,,0,
07/08/2015,10:06:37,-,-,9,js-mm.manoramaonline.com,2.21.243.75,/etc/designs/mmcommons/clientlibs.js,GET,200,application/x-javascript,gzip,Akamai,-1,101,98,,1410,1511,,-1,1183,1369,-1,0,0,1370,1409,3309,3650,375,0,http://www.manoramaonline.com/home.html,48,,0,
07/08/2015,10:06:37,-,-,10,js-mm.manoramaonline.com,2.21.243.75,/etc/designs/malayalam/clientlibs.js,GET,200,application/x-javascript,gzip,Akamai,-1,474,104,,1410,1884,,-1,0,0,-1,0,0,1370,1409,179098,179441,375,0,http://www.manoramaonline.com/home.html,50,,0,
