Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:08:54,-,-,1,fortune.com,192.0.79.33,/,GET,200,text/html,gzip,,-1,1450,205,,103,1553,,-1,0,71,-1,0,0,72,103,317277,318013,348,0,,,,0,
07/08/2015,10:08:54,-,-,2,fonts.timeinc.net,77.67.28.48,/ti/fortune/webfonts.css?ver=1.0.00,GET,200,text/css,gzip,Akamai,-1,85,85,,445,530,,-1,346,413,-1,0,0,413,445,640,964,362,0,http://fortune.com/,115,,0,
07/08/2015,10:08:54,widget,Brightcove,3,admin.brightcove.com,77.67.28.89,/js/BrightcoveExperiences.js?ver=1.0.1,GET,200,application/x-javascript,gzip,Akamai,-1,99,87,,445,544,,-1,347,413,-1,0,0,414,445,8472,8827,353,0,http://fortune.com/,119,,0,
07/08/2015,10:08:54,-,-,4,tiads.fortune.com,77.67.28.81,/ads/tgx.js?ver=1.1,GET,200,application/javascript,gzip,Akamai,-1,123,100,,445,568,,-1,347,415,-1,0,0,415,445,13797,14175,331,0,http://fortune.com/,118,"Wed, 08 Jul 2015 11:08:56 GMT",0,
07/08/2015,10:08:54,-,-,5,r-login.wordpress.com,,/remote-login.php?action=js&host=fortune.com&id=64089429&t=1436350006&back=http%3A%2F%2Ffortune.com%2F,GET,200,text/javascript,,,-1,303,303,,510,813,,-1,345,411,-1,442,510,411,442,0,148,576,0,http://fortune.com/,96,,0,
07/08/2015,10:08:54,-,-,6,s0.wp.com,,/_static/??-eJyVj9EKwjAMRX/IGnUb+CJ+y6xZl5k2ZckU/97KEBRx4EtyL7knIXDLzksyTAbWY0SFK2XoZLQpIai1Rr60O6P2iKagZLj2qiv4Gz2jXkzyFx0nl3kKlBQwykBznWMEScoeKbOXWOIDimPx5bSkD+M6bmlcQkc8sYQiA5TUm/31bV9DYDm1/Awc42FbV82+qXabangAOtyAlw==,GET,200,text/css,gzip,WordPress Jetpack,-1,419,66,,517,936,,-1,346,410,-1,442,517,410,442,0,66860,530,0,http://fortune.com/,116,"Thu, 07 Jul 2016 10:08:56 GMT",0,
07/08/2015,10:08:54,-,-,7,s0.wp.com,,/_static/??-eJx9jdEKwjAMRX/I2jmH6IP4LVsNrl3ThiZl+PdmAx8E6UvIvZzDtSsZl5NAEovVUKwvn9gy+ghvKjmAk990dMwH+1+LfgG2AYRGt5g9tXCXC2iPNMpGIDz9CBFQsZaGdPla2zvrVnNmJaXNNFEBZqMXfUUjsw7t3gPvp+Hc3/puuHbhAzVkZlE=,GET,200,text/css,gzip,WordPress Jetpack,-1,65,60,,518,583,,-1,346,411,-1,442,518,411,442,0,3571,506,0,http://fortune.com/,114,"Thu, 07 Jul 2016 10:08:56 GMT",0,
07/08/2015,10:08:54,-,-,8,s1.wp.com,,/_static/??-eJyFztEKwjAMBdAfsivb6qP4LbXGkbqktUkd+vV2oA/CUAgEcg+X2CUb5DDXM4iNbW4VyuO9uig7+wsYwql4hY6QPzgkVmBdLaUTzmCqQPFTu7WiS9pwOYkSiDS0kX6/hHxHWP6yCJp9uJoCgs+19UiH3o3jvh/c4OILM+5bxw==,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,320,204,,537,857,,-1,347,413,-1,442,537,413,442,0,48790,479,0,http://fortune.com/,117,"Thu, 07 Jul 2016 10:08:56 GMT",0,
07/08/2015,10:08:54,widget,Facebook Connect,9,connect.facebook.net,23.62.127.242,/en_US/fbds.js,GET,200,application/x-javascript,gzip,Facebook,-1,265,265,,579,844,,-1,410,487,-1,0,0,487,578,1562,2050,329,0,http://fortune.com/,76,"Wed, 08 Jul 2015 10:28:56 GMT",0,
07/08/2015,10:08:54,-,-,10,s0.wp.com,,/_static/??-eJyVy0EOgjAQRuELWSZAXRrPIu0PmdoOtZ1CvL0s2LgxMXnL79GejVtFIUqpmRzbwlJJd1ZFMVN8uOfExZvMoAzxLEsX6oX++QQbyvfL4mLzqBSOXg3lTY3JrQVdYvmtMM9werp7uvV2HK/9YAcbPthvTCE=,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,888,361,,583,1471,,-1,0,0,-1,0,0,0,0,0,7618,463,0,http://fortune.com/,811,"Thu, 07 Jul 2016 10:08:56 GMT",0,
