Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:10:31,-,-,1,economist.com,216.239.32.21,/,GET,301,text/html,,,-1,51,51,,99,150,,-1,0,65,-1,0,0,65,99,222,499,350,0,,,,0,
07/08/2015,10:10:31,-,-,2,www.economist.com,149.126.72.108,/,GET,200,text/html,,Incapsula,-1,606,124,,258,864,,-1,151,227,-1,0,0,227,258,130572,132254,354,0,,,"Sun, 11 Mar 1984 12:00:00 GMT",0,
07/08/2015,10:10:31,-,-,3,cdn.static-economist.com,91.194.205.168,/sites/default/files/css/css_889be11c5a9460a200284e695356581a.css,GET,200,text/css,gzip,CDNetworks,-1,288,61,,591,879,,-1,437,525,-1,0,0,525,591,40960,41353,405,0,http://www.economist.com/,125,"Fri, 07 Aug 2015 07:33:47 GMT",0,
07/08/2015,10:10:31,-,-,4,cdn.static-economist.com,91.194.205.168,/sites/default/files/js/js_992f6c273f830cb61a8beaa3dc9fbbf7.js,GET,200,text/javascript,gzip,CDNetworks,-1,420,124,,591,1011,,-1,0,0,-1,0,0,525,591,101697,102098,387,0,http://www.economist.com/,133,"Wed, 15 Jul 2015 07:33:47 GMT",0,
07/08/2015,10:10:31,tracker,Grapeshot,5,economist.gscontxt.net,89.145.95.45,/main/channels.cgi?url=http%3A%2F%2Fwww.economist.com%2Fnode%2F21555491,GET,200,text/javascript,,,-1,167,167,,592,759,,-1,433,522,-1,0,0,522,591,35,455,394,0,http://www.economist.com/,15,"Wed, 08 Jul 2015 11:10:32 GMT",0,
07/08/2015,10:10:31,-,-,6,cdn.static-economist.com,91.194.205.168,/sites/all/themes/econfinal/images/svg/logo.svg,GET,200,image/svg+xml,,CDNetworks,-1,305,138,,614,919,,-1,0,0,-1,0,0,584,613,6907,7229,389,0,http://www.economist.com/,527,"Sat, 25 Jul 2015 05:55:34 GMT",0,
07/08/2015,10:10:31,tracker,Omniture (Adobe Analytics),7,cdn.static-economist.com,91.194.205.168,/sites/default/files/external/ec_omniture/3_2/ec_omniture_s_code.js,GET,200,text/javascript,gzip,CDNetworks,-1,151,52,,880,1031,,-1,0,0,-1,0,0,0,0,26685,27086,392,0,http://www.economist.com/,1379,"Sun, 12 Jul 2015 05:49:33 GMT",0,
07/08/2015,10:10:31,-,-,8,cdn.static-economist.com,91.194.205.168,/sites/default/files/js/js_7616e397e1e6ccd47e82e726abb06aa5.js,GET,200,text/javascript,gzip,CDNetworks,-1,100,90,,921,1021,,-1,0,0,-1,0,0,0,0,6454,6852,387,0,http://www.economist.com/,1483,"Wed, 15 Jul 2015 07:33:47 GMT",0,
07/08/2015,10:10:31,ad,Google AdWords Conversion,9,www.googleadservices.com,74.125.136.155,/pagead/conversion.js,GET,200,text/javascript,gzip,Google,-1,62,56,,1046,1108,,-1,872,1010,-1,0,0,1010,1046,4279,4812,346,0,http://www.economist.com/,1320,"Wed, 08 Jul 2015 10:10:33 GMT",0,
07/08/2015,10:10:31,analytics,ADARA Analytics,10,tag.yieldoptimizer.com,37.252.161.156,/ps/ps?t=s&p=1814&pg=Page,GET,302,,,,-1,35,35,,1065,1100,,-1,872,1034,-1,0,0,1034,1064,0,450,348,0,http://www.economist.com/,1555,"Thu, 01 Jan 1970 00:00:00 GMT",0,
07/08/2015,10:10:31,widget,Brightcove,11,admin.brightcove.com,77.67.28.72,/js/BrightcoveExperiences_all.js,GET,200,application/x-javascript,gzip,Akamai,-1,65,39,,1084,1149,,-1,869,1054,-1,0,0,1054,1084,17768,18124,353,0,http://www.economist.com/,1307,,0,
07/08/2015,10:10:31,widget,Brightcove,12,admin.brightcove.com,77.67.28.72,/js/APIModules_all.js,GET,200,application/x-javascript,gzip,Akamai,-1,82,67,,1085,1167,,-1,0,0,-1,0,0,1055,1084,9591,9946,342,0,http://www.economist.com/,1308,,0,
07/08/2015,10:10:31,ad,DoubleClick,13,www.googletagservices.com,74.125.136.154,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,110,67,,1101,1211,,-1,937,1060,-1,0,0,1060,1100,16514,17070,340,0,http://www.economist.com/,38,"Wed, 08 Jul 2015 10:10:33 GMT",0,
07/08/2015,10:10:31,analytics,ADARA Analytics,14,tag.yieldoptimizer.com,37.252.161.156,/ps/ps?pg=Page&t=s&tc=605731059&p=1814,GET,200,text/javascript,,,-1,51,50,,1144,1195,,-1,0,0,-1,0,0,0,0,1237,2027,386,0,http://www.economist.com/,1555,"Thu, 01 Jan 1970 00:00:00 GMT",0,
07/08/2015,10:10:31,tracker,Maxymiser,15,service.maxymiser.net,172.229.193.207,/cdn/economist/js/mmcore.js,GET,200,application/x-javascript,gzip,Akamai,-1,40,35,,1258,1298,,-1,1136,1224,-1,0,0,1224,1257,4688,5043,349,0,http://www.economist.com/,141,,0,
07/08/2015,10:10:31,-,-,16,consent-st.truste.com,54.230.98.157,/get?name=notice.js&domain=economist.com&c=teconsent,GET,200,text/javascript,gzip,Amazon CloudFront,-1,123,60,,1329,1452,,-1,575,1275,-1,0,0,1275,1329,15388,15883,374,0,http://www.economist.com/,454,"Thu, 09 Jul 2015 07:44:35 GMT",0,
07/08/2015,10:10:31,-,-,17,service.maxymiser.net,172.229.193.207,/cg/v5/?fv=dmn%3Deconomist.com%3Bref%3D%3Burl%3Dhttp%253A%252F%252Fwww.economist.com%252F%3Bscrw%3D2560%3Bscrh%3D1440%3Bclrd%3D24%3Bcok%3D1%3B&tst=0.124&jsver=5.15.1&ri=1&rul=,GET,200,text/javascript,gzip,Akamai,-1,131,76,,1336,1467,,-1,0,0,-1,0,0,0,0,32008,32477,497,0,http://service.maxymiser.net/cdn/economist/js/mmcore.js,110,"Sun, 06 Jan 1980 01:00:00 GMT",0,
07/08/2015,10:10:31,-,-,18,tpc.googlesyndication.com,74.125.136.132,/safeframe/1-0-2/html/container.html,GET,200,text/html,gzip,Google,-1,48,47,,1336,1384,,-1,1237,1300,-1,0,0,1300,1336,1877,2280,433,0,http://www.googletagservices.com/tag/js/gpt.js,93,"Wed, 06 Jul 2016 06:20:06 GMT",0,
07/08/2015,10:10:31,ad,DoubleClick,19,www.googletagservices.com,74.125.136.154,/tag/js/check_359604.js,GET,200,text/javascript,gzip,Google,-1,40,40,,1478,1518,,-1,0,0,-1,0,0,0,0,1878,2419,349,0,http://www.googletagservices.com/tag/js/gpt.js,93,"Wed, 08 Jul 2015 10:23:46 GMT",0,
07/08/2015,10:10:31,-,-,20,cdn.static-economist.com,91.194.205.168,/sites/default/files/imagecache/superhero/bitter.jpg,GET,200,image/jpeg,,CDNetworks,-1,538,43,,1478,2016,,-1,0,0,-1,0,0,0,0,90176,90517,394,90176,http://www.economist.com/,597,"Thu, 07 Jul 2016 02:34:07 GMT",0,
07/08/2015,10:10:31,-,-,21,cdn.static-economist.com,91.194.205.168,/sites/default/files/imagecache/superhero/20150711_FNP501_473.jpg,GET,200,image/jpeg,,CDNetworks,-1,226,79,,1478,1704,,-1,0,0,-1,0,0,0,0,28901,29220,407,28901,http://www.economist.com/,597,"Wed, 06 Jul 2016 13:06:53 GMT",0,
