Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:39:44,-,-,1,chicagotribune.com,163.192.187.17,/,GET,301,,,,-1,132,132,,388,520,,-1,0,261,-1,0,0,261,388,0,134,355,0,,,,0,
07/08/2015,10:39:44,-,-,2,www.chicagotribune.com,23.62.99.59,/,GET,200,text/html,gzip,Akamai,-1,97,37,,719,816,,-1,522,687,-1,0,0,687,718,35151,35489,359,0,,,,0,
07/08/2015,10:39:44,-,-,3,fonts.googleapis.com,74.125.136.95,"/css?family=Quattrocento+Sans:400,700|Rambla:400,700",GET,200,text/css,gzip,Google,-1,45,44,,885,930,,-1,787,851,-1,0,0,851,885,644,1122,393,0,http://www.chicagotribune.com/,94,"Wed, 08 Jul 2015 10:39:46 GMT",0,
07/08/2015,10:39:44,ad,DoubleClick,4,www.googletagservices.com,74.125.136.154,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,102,61,,902,1004,,-1,792,866,-1,0,0,866,902,16514,17070,345,0,http://www.chicagotribune.com/,32,"Wed, 08 Jul 2015 10:39:46 GMT",0,
07/08/2015,10:39:44,-,-,5,www.trbas.com,23.62.99.59,/jive/prod/chinews/stylesheets/main.1q2w3_614bcfbb94fb3c3d53b3377d2993c6d7.min.css,GET,200,text/css,gzip,Akamai,-1,178,37,,1048,1226,,-1,786,1016,-1,0,0,1016,1047,33127,33478,416,0,http://www.chicagotribune.com/,90,,0,
07/08/2015,10:39:44,-,-,6,www.trbas.com,23.62.99.59,/jive/prod/chinews/stylesheets/fonts.1q2w3_77a6deb5cf53a329c2f36384a2a86a37.min.css,GET,200,text/css,gzip,Akamai,-1,112,77,,1048,1160,,-1,0,0,-1,0,0,1017,1047,22427,22778,417,0,http://www.chicagotribune.com/,91,,0,
07/08/2015,10:39:44,-,-,7,www.trbas.com,23.62.99.59,/jive/prod/chinews/stylesheets/modules.1q2w3_2928dacc197674ac9cb5b307bf5e5a46.min.css,GET,200,text/css,gzip,Akamai,-1,201,115,,1048,1249,,-1,0,0,-1,0,0,1017,1047,32881,33232,419,0,http://www.chicagotribune.com/,92,,0,
07/08/2015,10:39:44,-,-,8,www.trbas.com,23.62.99.59,/jive/prod/common/javascripts/mainInit.1q2w3_0b48975014bb2b617e4e555c58cfda29.min.js,GET,200,text/javascript,gzip,Akamai,-1,642,153,,1050,1692,,-1,0,0,-1,0,0,1017,1050,6977,7334,403,0,http://www.chicagotribune.com/,115,,0,
07/08/2015,10:39:44,-,-,9,www.trbas.com,23.62.99.59,/jive/prod/common/javascripts/lib.1q2w3_bc11d5510b807f883cc83b079e62133a.min.js,GET,200,text/javascript,gzip,Akamai,-1,697,312,,1056,1753,,-1,0,0,-1,0,0,1025,1056,39977,40335,398,0,http://www.chicagotribune.com/,32,,0,
07/08/2015,10:39:44,-,-,10,tpc.googlesyndication.com,74.125.136.132,/safeframe/1-0-2/html/container.html,GET,200,text/html,gzip,Google,-1,44,43,,1247,1291,,-1,1024,1211,-1,0,0,1211,1246,1877,2280,438,0,http://www.googletagservices.com/tag/js/gpt.js,93,"Wed, 06 Jul 2016 06:20:06 GMT",0,
07/08/2015,10:39:44,ad,DoubleClick,11,www.googletagservices.com,74.125.136.154,/tag/js/check_359604.js,GET,200,text/javascript,gzip,Google,-1,53,50,,1697,1750,,-1,0,0,-1,0,0,0,0,1878,2418,354,0,http://www.googletagservices.com/tag/js/gpt.js,93,"Wed, 08 Jul 2015 10:53:46 GMT",0,
