Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:42:11,-,-,1,variety.com,192.0.79.32,/,GET,200,text/html,gzip,,-1,351,193,,94,445,,-1,0,62,-1,0,0,63,94,24837,25463,348,0,,,,0,
07/08/2015,10:42:11,-,-,2,variety.com,192.0.79.32,/wp-content/themes/vip/pmc-plugins/pmc-global-functions/js/waypoints.js?m=1349469282g&ver=1.1.7,GET,200,application/x-javascript,gzip,,-1,416,267,,328,744,,-1,0,0,-1,0,0,63,94,1674,1987,401,0,http://variety.com/,134,"Thu, 07 Jul 2016 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,3,variety.com,192.0.79.32,/wp-content/themes/vip/pmc-plugins/pmc-google-analytics/js/pmc-ga-event.js?m=1407846167g&ver=4.2-RC4-32277,GET,200,application/x-javascript,gzip,,-1,258,258,,363,621,,-1,0,0,-1,0,0,328,363,870,1183,412,0,http://variety.com/,135,"Thu, 07 Jul 2016 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,4,fonts.googleapis.com,74.125.136.95,/css?family=Open+Sans%3A300italic%2C400italic%2C600italic%2C300%2C400%2C600&subset=latin%2Clatin-ext&ver=4.2-RC4-32277,GET,200,text/css,gzip,Google,-1,223,143,,453,676,,-1,322,414,-1,0,0,415,453,1481,1960,448,0,http://variety.com/,80,"Wed, 08 Jul 2015 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,5,fonts.googleapis.com,74.125.136.95,/css?family=Lato%3A300%2C400%2C700%2C900%7CDroid+Serif%3A400%2C700%2C700italic%2C400italic&ver=4.2-RC4-32277,GET,200,text/css,gzip,Google,-1,347,347,,454,801,,-1,0,0,-1,0,0,414,454,784,1262,438,0,http://variety.com/,82,"Wed, 08 Jul 2015 10:42:13 GMT",0,
07/08/2015,10:42:11,tracker,Sailthru Horizon,6,ak.sail-horizon.com,172.229.178.30,/scout/v1.js,GET,200,text/javascript,gzip,Akamai,-1,1422,146,,455,1877,,-1,336,424,-1,0,0,424,455,1734,1998,326,0,http://variety.com/,149,,0,
07/08/2015,10:42:11,-,-,7,s2.wp.com,,/_static/??-eJydjkEOgyAURC8kjii16cJ4FiQ/BQNC4EfD7W0XXXbDbpJ58zK4kjDxYDoYbClQwekSUjDi1NkRVzEOUsG7LetcYUpB4eqp/6QODetfYazO3Gxxfw9YhbePm/ZfYA2LVNNjfo1yfu43SKVU0A==,GET,200,text/css,gzip,WordPress Jetpack,-1,503,115,,493,996,,-1,317,404,-1,435,492,404,435,0,41015,470,0,http://variety.com/,83,"Thu, 07 Jul 2016 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,8,www.google.com,173.194.78.147,/jsapi?ver=4.2-RC4-32277,GET,200,text/javascript,gzip,Google,-1,313,120,,493,806,,-1,0,0,-1,0,0,446,493,5991,6398,333,0,http://variety.com/,2133,"Wed, 08 Jul 2015 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,9,s2.wp.com,,/wp-content/mu-plugins/highlander-comments/style.css?m=1377793621g,GET,200,text/css,gzip,WordPress Jetpack,-1,1008,741,,494,1502,,-1,326,404,-1,437,493,404,437,0,3888,376,0,http://variety.com/,163,"Thu, 07 Jul 2016 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,10,s2.wp.com,,/wp-content/themes/vip/pmc-plugins/pmc-global-functions/js/geoPosition.js?m=1392820885g,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,116,112,,504,620,,-1,324,404,-1,437,504,404,437,0,1810,382,0,http://variety.com/,84,"Thu, 07 Jul 2016 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,11,s2.wp.com,,/wp-content/themes/vip/pmc-plugins/pmc-global-functions/js/pmc-utils.js?m=1436193849g,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,112,107,,511,623,,-1,317,404,-1,437,511,404,437,0,3130,380,0,http://variety.com/,84,"Thu, 07 Jul 2016 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,12,s2.wp.com,,/_static/??-eJyljkEOwiAQRS8kTrFsXBjPgnTSQgpDmBHT22tratSNJt3NvOS/PLhl5SgJJgEZMCJD9RlydCqP194nXu7qO6QHsRMWCAzsis+yD7yD/wSOIjsqOI/f/x+KaotHmdSh0QZW3wrry/jM4S0ysRei0c62L6QGiqiy7TfFLq3Olu6z9xxP2rSNOTa61eEOLAeS6g==,GET,200,application/x-javascript,gzip,WordPress Jetpack,-1,1057,156,,524,1581,,-1,342,405,-1,439,523,405,439,0,5311,503,0,http://variety.com/,148,"Thu, 07 Jul 2016 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,13,s1.wp.com,,/wp-content/mu-plugins/likes/jetpack-likes.css?m=1424450955g,GET,200,text/css,gzip,WordPress Jetpack,-1,143,137,,543,686,,-1,314,405,-1,439,542,405,439,0,1142,370,0,http://variety.com/,79,"Thu, 07 Jul 2016 10:42:13 GMT",0,
07/08/2015,10:42:11,-,-,14,s1.wp.com,,/_static/??-eJydU9tuwjAM/aGF0IE27WHat7iJSQ25KU5h/P3cdnQwJKbuJbKdc058iz5lRdH43iJrw6wtcEcmRV4FiiuJPOnfELBypVooNxDhVIxV1w6DAI+UdQ5GZd87ijzaHfosIodRJWDs78ihnwkmFZR4yFAHREBLgF60Y31EC/nlwhrMDsyBH+FPWdCqbXNBZiVnoD6oqYgltTmfWvBq10dTKcWpU1cX6YilkF0mukupYpmlJneJQEEPFa3yFKeucz17XKKwZyG3BQoNAIw2ST5dYoy6WT2v1t/O0lVwKTmPiqnKgVBMp05kHVYNzFin9n1ftOlzibSs59wxsdVVyaRjquN2z8aj3XCYlE8GhoHeOGrnge4HcUUt2PrkxHRjLj/u/Zfas1RD5iBlzsZf9R6HedSzel43W3158xLkDJFY+lYg2ksGiwfvwHss55HcAv+ba3EHvR//7Ed4b7ab7dvLpnlt9l/lUKzQ,GET,200,text/css,gzip,WordPress Jetpack,-1,858,138,,543,1401,,-1,315,405,-1,441,542,405,441,0,59922,802,0,http://variety.com/,81,"Thu, 07 Jul 2016 10:42:12 GMT",0,
