Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:17:23,-,-,1,dnaindia.com,175.41.149.208,/,GET,301,text/html,gzip,,-1,364,364,,713,1077,,-1,0,348,-1,0,0,348,712,191,490,349,0,,,,0,
07/08/2015,10:17:23,-,-,2,www.dnaindia.com,2.21.243.64,/,GET,200,text/html,gzip,Akamai,-1,243,189,,1336,1579,,-1,1079,1305,-1,0,0,1305,1336,31951,32255,353,0,,,,0,
07/08/2015,10:17:23,-,-,3,www.dnaindia.com,2.21.243.64,/sites/all/themes/dna2014/css/bootstrap.min.css?nr491d,GET,200,text/css,gzip,Akamai,-1,171,143,,1579,1750,,-1,0,0,-1,0,0,1305,1336,16657,16991,385,0,http://www.dnaindia.com/,33,,0,
07/08/2015,10:17:23,-,-,4,www.dnaindia.com,2.21.243.64,/sites/all/themes/dna2014/css/dna.min.css?nr491d,GET,200,text/css,gzip,Akamai,-1,191,140,,1580,1771,,-1,0,0,-1,0,0,0,0,14353,14687,379,0,http://www.dnaindia.com/,34,,0,
07/08/2015,10:17:23,-,-,5,www.dnaindia.com,2.21.243.64,/sites/all/themes/dna2014/scripts/jquery.min.js?24122014.1,GET,200,application/x-javascript,gzip,Akamai,-1,573,519,,1581,2154,,-1,0,0,-1,0,0,1336,1365,33186,33618,374,0,http://www.dnaindia.com/,36,,0,
07/08/2015,10:17:23,-,-,6,www.dnaindia.com,2.21.243.64,/sites/all/themes/dna2014/scripts/jquery.bxslider.js,GET,200,application/x-javascript,gzip,Akamai,-1,385,377,,1673,2058,,-1,0,0,-1,0,0,1643,1673,5414,5771,368,0,http://www.dnaindia.com/,4861,,0,
07/08/2015,10:17:23,-,-,7,www.dnaindia.com,2.21.243.64,/sites/all/themes/dna2014/scripts/bootstrap.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,374,364,,1673,2047,,-1,0,0,-1,0,0,1641,1673,7266,7622,366,0,http://www.dnaindia.com/,4862,,0,
07/08/2015,10:17:23,-,-,8,www.dnaindia.com,2.21.243.64,/sites/all/themes/dna2014/scripts/custom.js?24122014.1,GET,200,application/x-javascript,gzip,Akamai,-1,113,98,,1676,1789,,-1,0,0,-1,0,0,1645,1676,2341,2698,370,0,http://www.dnaindia.com/,4863,,0,
07/08/2015,10:17:23,-,-,9,www.dnaindia.com,2.21.243.64,/sites/all/modules/jquery_update/replace/jquery/1.7/jquery.min.js?v=1.7.1,GET,200,application/x-javascript,gzip,Akamai,-1,554,477,,1751,2305,,-1,0,0,-1,0,0,0,0,33186,33618,389,0,http://www.dnaindia.com/,4864,,0,
07/08/2015,10:17:23,-,-,10,www.dnaindia.com,2.21.243.64,/misc/jquery.once.js?v=1.2,GET,200,application/x-javascript,gzip,Akamai,-1,399,399,,1774,2173,,-1,0,0,-1,0,0,0,0,1066,1421,342,0,http://www.dnaindia.com/,4865,,0,
07/08/2015,10:17:23,-,-,11,www.dnaindia.com,2.21.243.64,/misc/drupal.js?nr491d,GET,200,application/x-javascript,gzip,Akamai,-1,70,64,,1790,1860,,-1,0,0,-1,0,0,0,0,4976,5324,338,0,http://www.dnaindia.com/,4866,,0,
07/08/2015,10:17:23,-,-,12,www.dnaindia.com,2.21.243.64,/sites/all/modules/video/js/video.js?nr491d,GET,200,application/x-javascript,gzip,Akamai,-1,66,66,,1860,1926,,-1,0,0,-1,0,0,0,0,966,1312,359,0,http://www.dnaindia.com/,4867,,0,
07/08/2015,10:17:23,-,-,13,js.consumergenepool.com,205.251.219.111,/_gp_tracker_main.js,GET,200,application/x-javascript,,Amazon CloudFront,-1,172,89,,2192,2364,,-1,1581,2136,-1,0,0,2136,2192,26367,26848,343,0,http://www.dnaindia.com/,62,,0,
07/08/2015,10:17:23,-,-,14,static.dnaindia.com,54.231.242.132,/images/2013/logo2013.png,GET,200,image/png,,,-1,386,377,,2332,2718,,-1,1582,1966,-1,0,0,1967,2332,5314,5762,361,0,http://www.dnaindia.com/,149,,0,
07/08/2015,10:17:23,-,-,15,js.consumergenepool.com,205.251.219.111,/_gp_tracker_events.js,GET,200,application/x-javascript,,Amazon CloudFront,-1,152,69,,2371,2523,,-1,0,0,-1,0,0,0,0,29310,29791,345,0,http://www.dnaindia.com/,4873,,0,
07/08/2015,10:17:23,widget,Google Custom Search Engine,16,www.google.com,173.194.78.104,/coop/cse/brand?form=cse-search-box&lang=en,GET,302,text/html,,Google,-1,72,72,,2406,2478,,-1,0,0,-1,0,0,2369,2406,265,744,357,0,http://www.dnaindia.com/,227,"Thu, 09 Jul 2015 19:52:58 GMT",0,
07/08/2015,10:17:23,-,-,17,static.dnaindia.com,54.231.242.132,/images/2013/menu-icon-india.png,GET,200,image/png,,,-1,383,379,,2478,2861,,-1,0,0,-1,0,0,2095,2478,1563,1952,368,0,http://www.dnaindia.com/,234,,0,
07/08/2015,10:17:23,widget,Outbrain,18,widgets.outbrain.com,23.34.180.136,/outbrain.js,GET,200,application/x-javascript,gzip,Akamai,-1,70,45,,2523,2593,,-1,2370,2475,-1,0,0,2475,2523,16048,16406,332,0,http://www.dnaindia.com/,4514,,0,
07/08/2015,10:17:23,analytics,Google Analytics,19,stats.g.doubleclick.net,74.125.136.156,/dc.js,GET,200,text/javascript,gzip,Google,-1,137,71,,2524,2661,,-1,2371,2475,-1,0,0,2475,2523,15842,16260,329,0,http://www.dnaindia.com/,46,"Wed, 08 Jul 2015 10:20:15 GMT",0,
07/08/2015,10:17:23,ad,DoubleClick,20,www.googletagservices.com,74.125.136.155,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,162,118,,2524,2686,,-1,2379,2475,-1,0,0,2476,2523,16514,17070,339,0,http://www.dnaindia.com/,78,"Wed, 08 Jul 2015 10:17:27 GMT",0,
