Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:18:18,-,-,1,aljazeera.com,198.78.208.254,/,GET,301,text/html,,,-1,108,108,,123,231,,-1,0,84,-1,0,0,84,123,148,391,350,0,,,,0,
07/08/2015,10:18:18,-,-,2,www.aljazeera.com,8.254.70.126,/,GET,200,text/html,gzip,,-1,89,36,,450,539,,-1,234,417,-1,0,0,418,449,22248,22671,354,0,,,"Wed, 08 Jul 2015 10:18:30 GMT",0,
07/08/2015,10:18:18,-,-,3,www.aljazeera.com,8.254.70.126,/assets/scripts/jquery-1.11.1.min.js,GET,200,application/javascript,gzip,,-1,157,35,,522,679,,-1,0,0,-1,0,0,418,449,33278,33840,354,0,http://www.aljazeera.com/,14,"Wed, 08 Jul 2015 16:12:51 GMT",0,
07/08/2015,10:18:18,-,-,4,www.aljazeera.com,8.254.70.126,/mritems/assets/styles/plugins/jquery.mCustomScrollbar.css?i=1,GET,200,text/css,gzip,,-1,44,44,,540,584,,-1,0,0,-1,0,0,0,0,1334,1867,395,0,http://www.aljazeera.com/,40,"Thu, 09 Jul 2015 07:20:30 GMT",0,
07/08/2015,10:18:18,-,-,5,www.aljazeera.com,8.254.70.126,/Assets/styles/ArticleSocialMediaTopBar.css,GET,200,text/css,gzip,,-1,37,37,,553,590,,-1,0,0,-1,0,0,521,552,643,1152,376,0,http://www.aljazeera.com/,55,"Thu, 09 Jul 2015 09:15:31 GMT",0,
07/08/2015,10:18:18,-,-,6,www.aljazeera.com,8.254.70.126,/assets/styles/GridSet_Style.css?i=1,GET,200,text/css,gzip,,-1,56,45,,556,612,,-1,0,0,-1,0,0,523,555,7345,7879,369,0,http://www.aljazeera.com/,109,"Wed, 08 Jul 2015 19:30:33 GMT",0,
07/08/2015,10:18:18,-,-,7,www.aljazeera.com,8.254.70.126,/assets/styles/Markbolton_Style.css?p=5,GET,200,text/css,gzip,,-1,104,54,,584,688,,-1,0,0,-1,0,0,524,583,15108,15656,372,0,http://www.aljazeera.com/,110,"Thu, 09 Jul 2015 04:12:02 GMT",0,
07/08/2015,10:18:18,-,-,8,www.aljazeera.com,8.254.70.126,/assets/styles/AJE_Custom_Styles.css?i=9,GET,200,text/css,gzip,,-1,87,78,,584,671,,-1,0,0,-1,0,0,524,583,7132,7646,373,0,http://www.aljazeera.com/,111,"Wed, 08 Jul 2015 12:08:19 GMT",0,
07/08/2015,10:18:18,-,-,9,www.aljazeera.com,8.254.70.126,/assets/styles/CustomMasterHead.css?i=2,GET,200,text/css,gzip,,-1,89,88,,586,675,,-1,0,0,-1,0,0,0,0,1897,2443,372,0,http://www.aljazeera.com/,112,"Thu, 09 Jul 2015 09:04:46 GMT",0,
07/08/2015,10:18:18,-,-,10,www.aljazeera.com,8.254.70.126,/assets/styles/Template_Boxes.css?c=2,GET,200,text/css,gzip,,-1,84,80,,601,685,,-1,0,0,-1,0,0,0,0,1652,2161,370,0,http://www.aljazeera.com/,113,"Wed, 08 Jul 2015 10:22:44 GMT",0,
