Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:19:00,-,-,1,adweek.com,38.126.102.85,/,GET,301,text/html,gzip,,-1,115,115,,176,291,,-1,0,65,-1,0,0,66,176,190,499,347,0,,,,0,
07/08/2015,10:19:00,-,-,2,www.adweek.com,68.232.35.229,/,GET,200,text/html,,Edgecast,-1,576,216,,476,1052,,-1,294,442,-1,0,0,442,475,98389,99239,351,0,,,"Sun, 11 Mar 1984 12:00:00 GMT",0,
07/08/2015,10:19:00,-,-,3,www.adweek.com,68.232.35.229,/modules/system/system.css?6,GET,200,text/css,gzip,Edgecast,-1,47,38,,776,823,,-1,0,0,-1,0,0,442,476,2799,3065,396,0,http://www.adweek.com/,123,,0,
07/08/2015,10:19:00,-,-,4,www.adweek.com,68.232.35.229,/sites/all/modules/adweek/adweek_blocks/css/adweek_blocks.css?6,GET,200,text/css,gzip,Edgecast,-1,54,54,,817,871,,-1,0,0,-1,0,0,776,813,901,1165,431,0,http://www.adweek.com/,124,,0,
07/08/2015,10:19:00,-,-,5,www.adweek.com,68.232.35.229,/sites/all/modules/adweek/adweek_blog_nav/css/adweek_blog_nav.css?6,GET,200,text/css,gzip,Edgecast,-1,68,68,,824,892,,-1,0,0,-1,0,0,777,820,487,751,435,0,http://www.adweek.com/,125,,0,
07/08/2015,10:19:00,-,-,6,www.adweek.com,68.232.35.229,/sites/all/modules/adweek/adweek_concierge/adweek_concierge.css?6,GET,200,text/css,gzip,Edgecast,-1,70,70,,824,894,,-1,0,0,-1,0,0,780,820,290,554,433,0,http://www.adweek.com/,126,,0,
07/08/2015,10:19:00,-,-,7,www.adweek.com,68.232.35.229,/sites/all/modules/adweek/adweek_fancyzoom/fancybox/jquery.fancybox.css?6,GET,200,text/css,gzip,Edgecast,-1,72,72,,824,896,,-1,0,0,-1,0,0,781,820,1455,1721,441,0,http://www.adweek.com/,127,,0,
07/08/2015,10:19:00,-,-,8,www.adweek.com,68.232.35.229,/sites/all/modules/adweek/adweek_fancyzoom/cloudzoom/cloudzoom.css?6,GET,200,text/css,gzip,Edgecast,-1,63,63,,833,896,,-1,0,0,-1,0,0,0,0,454,718,436,0,http://www.adweek.com/,128,,0,
07/08/2015,10:19:00,-,-,9,www.adweek.com,68.232.35.229,/sites/all/modules/adweek/adweek_sailthru/adweek_sailthru.css?6,GET,200,text/css,gzip,Edgecast,-1,38,38,,873,911,,-1,0,0,-1,0,0,0,0,1356,1622,431,0,http://www.adweek.com/,129,,0,
07/08/2015,10:19:00,-,-,10,www.adweek.com,68.232.35.229,/sites/all/modules/adweek/cckblock/cckblock.css?6,GET,200,text/css,gzip,Edgecast,-1,38,38,,893,931,,-1,0,0,-1,0,0,0,0,762,1026,417,0,http://www.adweek.com/,130,,0,
