Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:20:16,-,-,1,news.sky.com,23.62.99.139,/,GET,200,text/html,gzip,Akamai,-1,112,86,,110,222,,-1,0,71,-1,0,0,77,110,15220,15544,349,0,,,,0,
07/08/2015,10:20:16,-,-,2,news.sky.com,23.62.99.139,/scripts/0b4e5ea1.bundle.js,GET,200,application/javascript,gzip,Akamai,-1,192,54,,241,433,,-1,0,0,-1,0,0,0,0,60213,60579,335,0,http://news.sky.com/,86,,0,
07/08/2015,10:20:16,-,-,3,news.sky.com,23.62.99.139,/styles/980ab2d1.main.css,GET,200,text/css,gzip,Akamai,-1,306,118,,243,549,,-1,0,0,-1,0,0,78,110,91217,91584,348,0,http://news.sky.com/,94,,0,
07/08/2015,10:20:16,-,-,4,player.sky.com,23.45.74.219,/css/skyplayer.min.css,GET,200,text/css,gzip,Akamai,-1,44,39,,551,595,,-1,243,512,-1,0,0,512,550,4775,5145,347,0,http://news.sky.com/,97,,0,
07/08/2015,10:20:16,ad,DoubleClick,5,www.googletagservices.com,74.125.136.155,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,140,74,,599,739,,-1,436,551,-1,0,0,551,595,16514,17070,335,0,http://news.sky.com/,3562,"Wed, 08 Jul 2015 10:20:17 GMT",0,
07/08/2015,10:20:16,-,-,6,news.sky.com,23.62.99.139,/images/dbb30625.sky-news-logo.png,GET,200,image/png,,Akamai,-1,60,45,,611,671,,-1,0,0,-1,0,0,0,0,11604,11931,359,0,http://news.sky.com/,149,,0,
07/08/2015,10:20:16,-,-,7,news.sky.com,23.62.99.139,/images/7baf9ff7.chevron.png,GET,200,image/png,,Akamai,-1,60,60,,611,671,,-1,0,0,-1,0,0,0,0,580,904,353,0,http://news.sky.com/,192,,0,
07/08/2015,10:20:16,-,-,8,news.sky.com,23.62.99.139,/images/9fe539f1.seven-seven-bus.png,GET,200,image/png,,Akamai,-1,288,51,,639,927,,-1,0,0,-1,0,0,607,639,100136,100465,361,0,http://news.sky.com/,458,,0,
07/08/2015,10:20:16,-,-,9,news.sky.com,23.62.99.139,/fonts/102b7cd4.skycons.woff,GET,200,application/font-woff,,Akamai,-1,123,112,,672,795,,-1,0,0,-1,0,0,0,0,8044,8382,360,0,http://news.sky.com/,356,,0,
07/08/2015,10:20:16,-,-,10,news.sky.com,23.62.99.139,/images/2e4c41ca.sky-spectrum-logo.png,GET,200,image/png,,Akamai,-1,74,62,,679,753,,-1,0,0,-1,0,0,0,0,8567,8893,363,0,http://news.sky.com/,3252,,0,
07/08/2015,10:20:16,-,-,11,news.sky.com,23.62.99.139,/images/48d0ecea.desktop_grad.jpg,GET,200,image/jpeg,,Akamai,-1,116,98,,742,858,,-1,0,0,-1,0,0,649,730,11786,12114,382,11786,http://news.sky.com/,356,,0,
07/08/2015,10:20:16,-,-,12,news.sky.com,23.62.99.139,/images/f365699f.quote-icon.png,GET,200,image/png,,Akamai,-1,106,106,,792,898,,-1,0,0,-1,0,0,0,0,1025,1350,380,0,http://news.sky.com/,3261,,0,
07/08/2015,10:20:16,tracker,Audience Science,13,js.revsci.net,208.146.36.47,/gateway/gw.js?csid=G07611,GET,200,application/javascript,gzip,,-1,110,107,,815,925,,-1,607,711,-1,0,0,711,815,1867,2599,335,0,http://news.sky.com/,3564,"Thu, 01 Jan 1970 00:00:00 GMT",0,
07/08/2015,10:20:16,-,-,14,media.skynews.com,77.67.28.89,/media/images/generated/2015/7/8/404518/default/v1/cegrab-20150708-111304-0-1-362x204.jpg,GET,200,image/jpeg,,Akamai,-1,112,92,,838,950,,-1,609,730,-1,0,0,731,838,11150,11493,419,11150,http://news.sky.com/,417,"Thu, 09 Jul 2015 10:16:05 GMT",0,
07/08/2015,10:20:16,-,-,15,media.skynews.com,77.67.28.89,/media/images/generated/2015/7/8/404510/default/v2/osborne-tweet-1-1-91x68.jpg,GET,200,image/jpeg,,Akamai,-1,115,112,,839,954,,-1,0,0,-1,0,0,731,838,4482,4824,408,4482,http://news.sky.com/,503,"Thu, 09 Jul 2015 10:06:47 GMT",0,
07/08/2015,10:20:16,-,-,16,media.skynews.com,77.67.28.89,/media/images/generated/2013/12/9/275451/default/v3/universal-credit1-1-91x68.jpg,GET,200,,,Akamai,-1,144,118,,839,983,,-1,0,0,-1,0,0,731,838,4650,4898,411,0,http://news.sky.com/,562,"Wed, 08 Jul 2015 23:37:32 GMT",0,
07/08/2015,10:20:16,-,-,17,media.skynews.com,77.67.28.89,/media/images/generated/2015/7/8/404447/default/v1/rtx1jfbw-1-91x68.jpg,GET,200,,,Akamai,-1,145,126,,839,984,,-1,0,0,-1,0,0,732,838,6643,6891,401,0,http://news.sky.com/,652,"Thu, 09 Jul 2015 05:15:52 GMT",0,
