Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:21:37,-,-,1,business-standard.com,202.87.41.181,/,GET,301,text/html,gzip,,-1,160,160,,363,523,,-1,0,212,-1,0,0,212,362,199,491,358,0,,,,0,
07/08/2015,10:21:37,-,-,2,www.business-standard.com,23.62.99.138,/,GET,200,text/html,gzip,Akamai,-1,218,131,,627,845,,-1,525,595,-1,0,0,596,626,52571,52879,362,0,,,"Wed, 08 Jul 2015 10:21:51 GMT",0,
07/08/2015,10:21:37,-,-,3,www.business-standard.com,23.62.99.138,/include/_mod/site/images/spon_img_act.png,GET,200,image/png,,Akamai,-1,49,45,,802,851,,-1,0,0,-1,0,0,596,627,3549,3863,393,0,http://www.business-standard.com/,151,"Thu, 09 Jul 2015 01:46:30 GMT",0,
07/08/2015,10:21:37,-,-,4,www.business-standard.com,23.62.99.138,/include/_lib/jquery/jquery.carouFredSel-5.6.4-packed.js,GET,200,text/javascript,,Akamai,-1,131,79,,867,998,,-1,0,0,-1,0,0,0,0,32323,32645,390,0,http://www.business-standard.com/,3958,"Thu, 09 Jul 2015 01:41:02 GMT",0,
07/08/2015,10:21:37,ad,Zedo,5,c1.zedo.com,77.67.28.82,/jsc/c1/fo.js,GET,302,,,Akamai,-1,79,79,,915,994,,-1,808,882,-1,0,0,883,915,0,178,333,0,http://www.business-standard.com/,1012,,0,
07/08/2015,10:21:37,-,-,6,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/css/site.main.css?65,GET,200,text/css,gzip,Akamai,-1,463,368,,1066,1529,,-1,797,1032,-1,0,0,1032,1065,28922,29418,392,0,http://www.business-standard.com/,18,"Thu, 07 Jul 2016 06:48:56 GMT",0,
07/08/2015,10:21:37,-,-,7,bsmedia.business-standard.com,23.62.99.138,/_media/bs/theme/structure.css?65,GET,200,text/css,gzip,Akamai,-1,290,288,,1066,1356,,-1,0,0,-1,0,0,1032,1065,2087,2581,386,0,http://www.business-standard.com/,19,"Thu, 07 Jul 2016 06:51:31 GMT",0,
07/08/2015,10:21:37,-,-,8,bsmedia.business-standard.com,23.62.99.138,/include/_lib/jquery/themes/default/site.jquery.css?65,GET,200,text/css,gzip,Akamai,-1,357,354,,1066,1423,,-1,0,0,-1,0,0,1032,1065,3098,3592,407,0,http://www.business-standard.com/,20,"Thu, 07 Jul 2016 06:48:54 GMT",0,
07/08/2015,10:21:37,-,-,9,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/css/jquery.mCustomScrollbar.css?65,GET,200,text/css,gzip,Akamai,-1,62,62,,1066,1128,,-1,0,0,-1,0,0,1032,1065,1788,2282,406,0,http://www.business-standard.com/,21,"Thu, 07 Jul 2016 06:51:06 GMT",0,
07/08/2015,10:21:37,-,-,10,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/js/site.main.js?65,GET,200,text/javascript,gzip,Akamai,-1,881,407,,1066,1947,,-1,0,0,-1,0,0,1032,1065,175649,176153,375,0,http://www.business-standard.com/,22,"Thu, 07 Jul 2016 06:51:39 GMT",0,
07/08/2015,10:21:37,-,-,11,bsmedia.business-standard.com,23.62.99.138,/include/_lib/jquery/jquery.lazyload.js?65,GET,200,text/javascript,,Akamai,-1,364,362,,1067,1431,,-1,0,0,-1,0,0,1032,1065,3442,3895,380,0,http://www.business-standard.com/,23,"Thu, 07 Jul 2016 06:50:14 GMT",0,
07/08/2015,10:21:37,analytics,Media Innovation Group,12,static-tagr.gd1.mookie1.com,,/s1/tagr_lib_learn_in_v2.js?id=Businessstd&tagid=621467978,GET,200,text/javascript,gzip,Akamai,-1,41,39,,1089,1130,,-1,786,976,-1,1006,1089,976,1006,0,2049,385,0,http://www.business-standard.com/,30,,0,
07/08/2015,10:21:37,ad,Zedo,13,z1.zedo.com,77.67.28.89,/jsc/c1/fo.js,GET,200,application/x-javascript,gzip,Akamai,-1,43,38,,1092,1135,,-1,997,1060,-1,0,0,1060,1092,3481,3886,333,0,http://www.business-standard.com/,1012,,0,
07/08/2015,10:21:37,-,-,14,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/js/jquery.mCustomScrollbar.concat.min.js?65,GET,200,text/javascript,gzip,Akamai,-1,219,210,,1129,1348,,-1,0,0,-1,0,0,0,0,6280,6781,400,0,http://www.business-standard.com/,24,"Thu, 07 Jul 2016 06:50:37 GMT",0,
07/08/2015,10:21:37,-,-,15,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/expand_arrow.png,GET,200,image/png,,Akamai,-1,164,160,,1352,1516,,-1,0,0,-1,0,0,0,0,2895,3140,397,0,http://www.business-standard.com/,43,,0,
07/08/2015,10:21:37,-,-,16,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/logo.png,GET,200,image/png,,Akamai,-1,99,92,,1519,1618,,-1,0,0,-1,0,0,0,0,6875,7121,389,0,http://www.business-standard.com/,68,,0,
07/08/2015,10:21:37,-,-,17,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/footer_logo.png,GET,200,image/png,,Akamai,-1,95,92,,1619,1714,,-1,0,0,-1,0,0,0,0,2780,3025,396,0,http://www.business-standard.com/,3930,,0,
07/08/2015,10:21:37,-,-,18,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/container_bg.png,GET,200,image/png,,Akamai,-1,35,35,,2046,2081,,-1,0,0,-1,0,0,0,0,184,427,439,0,http://www.business-standard.com/,94,,0,
07/08/2015,10:21:37,-,-,19,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/icons.png,GET,200,image/png,,Akamai,-1,61,42,,2046,2107,,-1,0,0,-1,0,0,0,0,12375,12622,432,0,http://www.business-standard.com/,94,,0,
07/08/2015,10:21:37,-,-,20,www.business-standard.com,23.62.99.138,/live-market/request-handler/get-bse-nse-info-ticker/cache-control/20,GET,200,text/html,gzip,Akamai,-1,59,59,,2061,2120,,-1,0,0,-1,0,0,0,0,196,502,437,0,http://bsmedia.business-standard.com/include/_mod/site/js/site.main.js?65,2,"Wed, 08 Jul 2015 10:21:53 GMT",0,
07/08/2015,10:21:37,-,-,21,www.business-standard.com,23.62.99.138,/include/_mod/site/images/decrease_arrow.png,GET,200,image/png,,Akamai,-1,38,38,,2134,2172,,-1,0,0,-1,0,0,0,0,430,743,395,0,http://www.business-standard.com/,419,"Thu, 09 Jul 2015 02:53:32 GMT",0,
07/08/2015,10:21:37,-,-,22,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/bullet.png,GET,200,image/png,,Akamai,-1,39,39,,2135,2174,,-1,0,0,-1,0,0,0,0,105,348,433,0,http://www.business-standard.com/,501,,0,
07/08/2015,10:21:37,-,-,23,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/navBG.png,GET,200,image/png,,Akamai,-1,43,43,,2135,2178,,-1,0,0,-1,0,0,0,0,128,371,432,0,http://www.business-standard.com/,501,,0,
07/08/2015,10:21:37,-,-,24,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/navsel_BG.png,GET,200,image/png,,Akamai,-1,47,47,,2136,2183,,-1,0,0,-1,0,0,0,0,136,379,436,0,http://www.business-standard.com/,501,,0,
07/08/2015,10:21:37,-,-,25,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/prinav_Sep.png,GET,200,image/png,,Akamai,-1,50,50,,2136,2186,,-1,0,0,-1,0,0,0,0,202,445,437,0,http://www.business-standard.com/,501,,0,
07/08/2015,10:21:37,-,-,26,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/optionDDRit.png,GET,200,image/png,,Akamai,-1,54,54,,2136,2190,,-1,0,0,-1,0,0,0,0,704,948,438,0,http://www.business-standard.com/,501,,0,
07/08/2015,10:21:37,-,-,27,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/optionDDLft.png,GET,200,image/png,,Akamai,-1,56,56,,2137,2193,,-1,0,0,-1,0,0,0,0,541,785,438,0,http://www.business-standard.com/,501,,0,
07/08/2015,10:21:37,ad,Zedo,28,z1.zedo.com,77.67.28.89,/asw/fm.js?c=1&a=0&f=&n=1429&r=141&d=9&adm=&q=&$=&s=0&ct=&z=0.4771440187469125&tt=0&tz=1&pu=http%3A%2F%2Fwww.business-standard.com%2F&ru=&pi=1436350899378&ce=UTF-8&zpu=&tpu=0,GET,302,application/x-javascript,,Akamai,-1,188,188,,2169,2357,,-1,0,0,-1,0,0,0,0,0,604,494,0,http://z1.zedo.com/jsc/c1/fo.js,395,"Wed, 08 Jul 2015 10:21:40 GMT",0,
07/08/2015,10:21:37,-,-,29,bsmedia.business-standard.com,23.62.99.138,/include/_mod/site/images/buttonBG.png,GET,200,image/png,,Akamai,-1,38,38,,2212,2250,,-1,0,0,-1,0,0,0,0,117,360,435,0,http://www.business-standard.com/,1012,,0,
07/08/2015,10:21:37,ad,Zedo,30,z1.zedo.com,77.67.28.89,/asw/fmr.js?c=1&a=0&f=&n=1429&r=141&d=9&adm=&q=&$=&s=0&ct=&z=0.4771440187469125&tt=0&tz=1&pu=http%3A%2F%2Fwww.business-standard.com%2F&ru=&pi=1436350899378&ce=UTF-8&zpu=&tpu=0,GET,200,application/x-javascript,gzip,Akamai,-1,195,195,,2360,2555,,-1,0,0,-1,0,0,0,0,571,1495,511,0,http://www.business-standard.com/,1012,"Wed, 08 Jul 2015 10:21:40 GMT",0,
