Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:22:17,-,-,1,ap.org,165.1.125.44,/,GET,200,text/html,gzip,,-1,655,137,,371,1026,,-1,0,259,-1,0,0,259,371,7920,8214,343,0,,,,0,
07/08/2015,10:22:17,-,-,2,ap.org,165.1.125.44,/Content/grid_framework.css,GET,200,text/css,gzip,,-1,117,117,,547,664,,-1,0,0,-1,0,0,259,371,903,1196,338,0,http://ap.org/,12,,0,
07/08/2015,10:22:17,-,-,3,ajax.googleapis.com,74.125.136.95,/ajax/libs/jqueryui/1.9.2/jquery-ui.min.js,GET,200,text/javascript,gzip,Google,-1,164,40,,650,814,,-1,549,614,-1,0,0,615,650,62651,63132,351,0,http://ap.org/,18,"Wed, 06 Jul 2016 06:20:27 GMT",0,
07/08/2015,10:22:17,-,-,4,ap.org,165.1.125.44,/Content/mobile_framework.css,GET,200,text/css,gzip,,-1,132,132,,656,788,,-1,0,0,-1,0,0,546,656,410,703,340,0,http://ap.org/,13,,0,
07/08/2015,10:22:17,-,-,5,ap.org,165.1.125.44,/Content/typography.css,GET,200,text/css,gzip,,-1,150,150,,659,809,,-1,0,0,-1,0,0,547,659,1002,1295,334,0,http://ap.org/,14,,0,
07/08/2015,10:22:17,-,-,6,ap.org,165.1.125.44,/Content/ap_org_styles.css,GET,200,text/css,gzip,,-1,466,157,,662,1128,,-1,0,0,-1,0,0,547,662,5139,5432,337,0,http://ap.org/,15,,0,
07/08/2015,10:22:17,-,-,7,ap.org,165.1.125.44,/Scripts/css3-mediaqueries.js,GET,200,application/x-javascript,gzip,,-1,474,152,,665,1139,,-1,0,0,-1,0,0,0,0,5040,5349,325,0,http://ap.org/,16,,0,
07/08/2015,10:22:17,-,-,8,ap.org,165.1.125.44,/Scripts/jquery.min.js,GET,200,application/x-javascript,gzip,,-1,1164,155,,666,1830,,-1,0,0,-1,0,0,548,665,33361,33671,318,0,http://ap.org/,17,,0,
07/08/2015,10:22:17,-,-,9,ap.org,165.1.125.44,/Scripts/jquery_cookie.js,GET,200,application/x-javascript,gzip,,-1,473,158,,789,1262,,-1,0,0,-1,0,0,0,0,1514,1823,321,0,http://ap.org/,19,,0,
07/08/2015,10:22:17,-,-,10,ap.org,165.1.125.44,/Scripts/jsocial.js,GET,200,application/x-javascript,gzip,,-1,499,182,,810,1309,,-1,0,0,-1,0,0,0,0,3232,3541,315,0,http://ap.org/,20,,0,
07/08/2015,10:22:17,-,-,11,ap.org,165.1.125.44,/Scripts/modernizr-1.7.min.js,GET,200,application/x-javascript,gzip,,-1,447,124,,1027,1474,,-1,0,0,-1,0,0,0,0,3896,4205,325,0,http://ap.org/,21,,0,
07/08/2015,10:22:17,-,-,12,ap.org,165.1.125.44,/Scripts/jlib_ap.org.js,GET,200,application/x-javascript,gzip,,-1,428,115,,1129,1557,,-1,0,0,-1,0,0,0,0,2416,2725,319,0,http://ap.org/,22,,0,
07/08/2015,10:22:17,-,-,13,ap.org,165.1.125.44,/Scripts/multiple_accordion.js,GET,200,application/x-javascript,gzip,,-1,121,121,,1140,1261,,-1,0,0,-1,0,0,0,0,988,1296,326,0,http://ap.org/,23,,0,
07/08/2015,10:22:17,-,-,14,ap.org,165.1.125.44,/Scripts/fancybox/jquery.fancybox-1.3.4.pack.js,GET,200,application/x-javascript,gzip,,-1,428,114,,1262,1690,,-1,0,0,-1,0,0,0,0,5577,5886,343,0,http://ap.org/,24,,0,
07/08/2015,10:22:17,-,-,15,ap.org,165.1.125.44,/Scripts/fancybox/jquery.mousewheel-3.0.4.pack.js,GET,200,application/x-javascript,gzip,,-1,118,118,,1264,1382,,-1,0,0,-1,0,0,0,0,853,1161,345,0,http://ap.org/,25,,0,
07/08/2015,10:22:17,-,-,16,ap.org,165.1.125.44,/Images/slave-fisherman-story.jpg,GET,200,image/jpeg,,,-1,1075,134,,1313,2388,,-1,0,0,-1,0,0,0,0,34059,34309,346,34059,http://ap.org/,229,,0,
07/08/2015,10:22:17,-,-,17,ap.org,165.1.125.44,/content/images/shades/clear.gif,GET,200,image/gif,,,-1,121,121,,1836,1957,,-1,0,0,-1,0,0,0,0,1093,1340,345,0,http://ap.org/,233,,0,
07/08/2015,10:22:17,-,-,18,ap.org,165.1.125.44,/Images/pruitt-open-mind.png,GET,200,image/png,,,-1,2484,126,,1836,4320,,-1,0,0,-1,0,0,0,0,52320,52569,341,0,http://ap.org/,240,,0,
07/08/2015,10:22:17,-,-,19,ap.org,165.1.125.44,/Images/2015-AP-Stylebook.jpg,GET,200,image/jpeg,,,-1,2292,126,,1837,4129,,-1,0,0,-1,0,0,0,0,34211,34461,342,34211,http://ap.org/,251,,0,
07/08/2015,10:22:17,-,-,20,ap.org,165.1.125.44,/Images/itunes-download-app-button.gif,GET,200,image/gif,,,-1,555,130,,1837,2392,,-1,0,0,-1,0,0,0,0,3578,3826,351,0,http://ap.org/,267,,0,
07/08/2015,10:22:17,-,-,21,ap.org,165.1.125.44,/Images/google-play-download-button.gif,GET,200,image/gif,,,-1,470,131,,1838,2308,,-1,0,0,-1,0,0,0,0,3294,3542,352,0,http://ap.org/,267,,0,
07/08/2015,10:22:17,-,-,22,ap.org,165.1.125.44,/Content/images/shades/siteBg.png,GET,200,image/png,,,-1,1071,126,,1992,3063,,-1,0,0,-1,0,0,0,0,26897,27145,371,0,http://ap.org/,157,,0,
07/08/2015,10:22:17,analytics,Google Analytics,23,www.google-analytics.com,74.125.136.113,/ga.js,GET,200,text/javascript,gzip,Google,-1,102,39,,2091,2193,,-1,1989,2052,-1,0,0,2052,2091,16075,16447,320,0,http://ap.org/,56,"Wed, 08 Jul 2015 12:20:02 GMT",0,
07/08/2015,10:22:17,widget,Twitter Button,24,platform.twitter.com,199.96.57.6,/widgets.js?_=1436350939113,GET,200,application/javascript,gzip,,-1,127,45,,2194,2321,,-1,2075,2151,-1,0,0,2152,2193,35159,35748,337,0,http://ap.org/Scripts/jquery.min.js,4,,0,
07/08/2015,10:22:17,widget,Google+ Platform,25,apis.google.com,,/js/plusone.js?_=1436350939106,GET,200,application/javascript,gzip,Google,-1,184,81,,2212,2396,,-1,0,0,-1,0,0,0,0,0,16461,400,0,http://ap.org/Scripts/jquery.min.js,4,"Wed, 08 Jul 2015 10:22:20 GMT",0,
