Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:32:20,-,-,1,www.mathrubhumi.com,23.62.99.146,/index.php,GET,200,text/html,gzip,Akamai,-1,84,41,,179,263,,-1,0,148,-1,0,0,148,179,26614,26955,365,0,,,,0,
07/08/2015,10:32:20,-,-,2,www.mathrubhumi.com,23.62.99.146,/new12/scripts/jquery-1.10.2.min.js,GET,200,application/javascript,,Akamai,-1,344,38,,252,596,,-1,0,0,-1,0,0,148,185,93107,93488,366,0,http://www.mathrubhumi.com/index.php,174,,0,
07/08/2015,10:32:20,-,-,3,www.mathrubhumi.com,23.62.99.146,/new12/css/homestyle_latest_191013.css,GET,200,text/css,gzip,Akamai,-1,71,66,,264,335,,-1,0,0,-1,0,0,0,0,4356,4768,384,0,http://www.mathrubhumi.com/index.php,72,,0,
07/08/2015,10:32:20,-,-,4,www.mathrubhumi.com,23.62.99.146,/new12/css/colorbox.css,GET,200,text/css,gzip,Akamai,-1,51,51,,287,338,,-1,0,0,-1,0,0,252,286,1304,1715,369,0,http://www.mathrubhumi.com/index.php,449,,0,
07/08/2015,10:32:20,-,-,5,www.mathrubhumi.com,23.62.99.146,/new12/scripts/sheetrock_02June2015.js,GET,200,application/javascript,,Akamai,-1,101,66,,289,390,,-1,0,0,-1,0,0,258,289,21101,21435,369,0,http://www.mathrubhumi.com/index.php,640,,0,
07/08/2015,10:32:20,-,-,6,www.mathrubhumi.com,23.62.99.146,/new12/scripts/jquery.newsTicker.js,GET,200,application/javascript,,Akamai,-1,117,103,,336,453,,-1,0,0,-1,0,0,271,335,9808,10166,366,0,http://www.mathrubhumi.com/index.php,641,,0,
07/08/2015,10:32:20,-,-,7,www.mathrubhumi.com,23.62.99.146,/new12/scripts/jquery_slideshow.js,GET,200,application/javascript,,Akamai,-1,864,120,,336,1200,,-1,0,0,-1,0,0,0,0,26802,27182,365,0,http://www.mathrubhumi.com/index.php,1763,,0,
07/08/2015,10:32:20,-,-,8,www.mathrubhumi.com,23.62.99.146,/new12/scripts/jquery.lavalamp.min.js,GET,200,application/javascript,,Akamai,-1,155,155,,336,491,,-1,0,0,-1,0,0,277,336,721,1098,368,0,http://www.mathrubhumi.com/index.php,1764,,0,
07/08/2015,10:32:20,-,-,9,www.mathrubhumi.com,23.62.99.146,/new12/scripts/jquery.easing.min.js,GET,200,application/javascript,,Akamai,-1,432,335,,339,771,,-1,0,0,-1,0,0,0,0,4681,5060,366,0,http://www.mathrubhumi.com/index.php,1765,,0,
07/08/2015,10:32:20,-,-,10,www.mathrubhumi.com,23.62.99.146,/new12/scripts/jquery.lazyload.min.js,GET,200,application/javascript,,Akamai,-1,121,114,,390,511,,-1,0,0,-1,0,0,0,0,3205,3583,368,0,http://www.mathrubhumi.com/index.php,1766,,0,
07/08/2015,10:32:20,-,-,11,www.mathrubhumi.com,23.62.99.146,/new12/scripts/jquery.colorbox.js,GET,200,application/javascript,,Akamai,-1,145,89,,454,599,,-1,0,0,-1,0,0,0,0,25321,25701,364,0,http://www.mathrubhumi.com/index.php,1767,,0,
07/08/2015,10:32:20,-,-,12,www.mathrubhumi.com,23.62.99.146,/new12/img/close_icon.png,GET,200,image/png,,Akamai,-1,101,101,,492,593,,-1,0,0,-1,0,0,0,0,505,941,373,0,http://www.mathrubhumi.com/index.php,196,"Tue, 28 Jul 2015 23:54:17 GMT",0,
07/08/2015,10:32:20,ad,Google Adsense,13,partner.googleadservices.com,74.125.136.155,/gampad/google_service.js,GET,200,text/javascript,gzip,Google,-1,84,73,,539,623,,-1,252,430,-1,0,0,430,539,1680,2213,365,0,http://www.mathrubhumi.com/index.php,139,"Wed, 08 Jul 2015 10:32:22 GMT",0,
07/08/2015,10:32:20,-,-,14,www.google.co.in,173.194.78.94,/jsapi,GET,200,text/javascript,gzip,Google,-1,67,58,,542,609,,-1,260,454,-1,0,0,454,542,5993,6400,334,0,http://www.mathrubhumi.com/index.php,343,"Wed, 08 Jul 2015 10:32:22 GMT",0,
07/08/2015,10:32:20,ad,Google Adsense,15,partner.googleadservices.com,74.125.136.155,/gampad/google_ads.js,GET,200,text/javascript,gzip,Google,-1,116,63,,657,773,,-1,0,0,-1,0,0,0,0,20523,21057,361,0,http://partner.googleadservices.com/gampad/google_service.js,5,"Wed, 08 Jul 2015 10:32:22 GMT",0,
