Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:07:29,-,-,1,intellicast.com,96.8.93.198,/,GET,301,text/html,,,-1,117,117,,189,306,,-1,0,76,-1,0,0,77,189,150,509,352,0,,,,0,
07/08/2015,10:07:29,-,-,2,www.intellicast.com,96.8.93.198,/,GET,200,text/html,gzip,,-1,160,127,,490,650,,-1,309,375,-1,0,0,376,490,19790,20414,356,0,,,-1,0,
07/08/2015,10:07:29,-,-,3,www.intellicast.com,96.8.93.198,/Scripts/Vendor/twc-jquery-1.10.2.min.js,GET,200,application/x-javascript,gzip,,-1,462,122,,680,1142,,-1,0,0,-1,0,0,0,0,36705,37048,506,0,http://www.intellicast.com/,23,,0,
07/08/2015,10:07:29,-,-,4,www.intellicast.com,96.8.93.198,/Scripts/AppMeasurement.js,GET,200,application/x-javascript,gzip,,-1,152,134,,681,833,,-1,0,0,-1,0,0,376,491,11081,11423,492,0,http://www.intellicast.com/,223,,0,
07/08/2015,10:07:29,-,-,5,cdnjs.cloudflare.com,198.41.215.6,/ajax/libs/underscore.js/1.4.4/underscore-min.js,GET,200,application/javascript,gzip,Cloudflare,-1,84,72,,784,868,,-1,682,753,-1,0,0,753,784,4608,5051,371,0,http://www.intellicast.com/,9,"Mon, 27 Jun 2016 10:07:31 GMT",0,
07/08/2015,10:07:29,tracker,Lotame,6,tags.crwdcntrl.net,93.184.220.113,/c/2217/cc.js?ns=_cc2217,GET,200,application/x-javascript,gzip,Edgecast,-1,81,59,,787,868,,-1,683,756,-1,0,0,756,787,9039,9358,345,0,http://www.intellicast.com/,1319,"Thu, 09 Jul 2015 10:07:31 GMT",0,
07/08/2015,10:07:29,tracker,Lotame,7,tags.crwdcntrl.net,93.184.220.113,/c/2215/cc.js?ns=_cc2215,GET,200,application/x-javascript,gzip,Edgecast,-1,98,82,,787,885,,-1,0,0,-1,0,0,756,787,10845,11165,345,0,http://www.intellicast.com/,49,"Thu, 09 Jul 2015 10:07:31 GMT",0,
07/08/2015,10:07:29,-,-,8,images.intellicast.com,77.67.28.32,/Styles/normalize.rexive.css,GET,200,text/css,gzip,Akamai,-1,94,92,,795,889,,-1,682,761,-1,0,0,762,794,2625,2974,368,0,http://www.intellicast.com/,6,,0,
07/08/2015,10:07:29,-,-,9,images.intellicast.com,77.67.28.32,/Styles/main_20150522.css,GET,200,text/css,gzip,Akamai,-1,130,119,,797,927,,-1,0,0,-1,0,0,762,796,3602,3951,365,0,http://www.intellicast.com/,6,,0,
07/08/2015,10:07:29,-,-,10,icons.wxug.com,80.239.137.81,/scripts/modernizr/2.8.2/modernizr.min.js,GET,200,text/javascript,gzip,Akamai,-1,104,96,,797,901,,-1,682,761,-1,0,0,762,796,6312,6698,358,0,http://www.intellicast.com/,8,"Mon, 27 Jul 2015 09:12:27 GMT",0,
07/08/2015,10:07:29,-,-,11,images.intellicast.com,77.67.28.32,/Styles/Stylesheet_20131220.css,GET,200,text/css,gzip,Akamai,-1,110,107,,797,907,,-1,0,0,-1,0,0,762,796,2979,3328,371,0,http://www.intellicast.com/,6,,0,
07/08/2015,10:07:29,-,-,12,images.intellicast.com,77.67.28.32,/Styles/Home_20131218.css,GET,200,text/css,gzip,Akamai,-1,110,110,,798,908,,-1,0,0,-1,0,0,762,796,827,1176,365,0,http://www.intellicast.com/,280,,0,
07/08/2015,10:07:29,-,-,13,images.intellicast.com,77.67.28.32,/Scripts/ads_20150217.js,GET,200,application/x-javascript,gzip,Akamai,-1,124,124,,798,922,,-1,0,0,-1,0,0,762,796,939,1303,349,0,http://www.intellicast.com/,25,,0,
07/08/2015,10:07:29,-,-,14,images.intellicast.com,77.67.28.32,/App_Scripts/icast.storage.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,113,113,,798,911,,-1,0,0,-1,0,0,762,796,1229,1593,358,0,http://www.intellicast.com/,267,,0,
07/08/2015,10:07:29,-,-,15,www.intellicast.com,96.8.93.198,/Video/videos.css,GET,200,text/css,gzip,,-1,186,186,,816,1002,,-1,0,0,-1,0,0,688,815,916,1378,498,0,http://www.intellicast.com/,283,,0,
07/08/2015,10:07:29,-,-,16,cdnjs.cloudflare.com,,/ajax/libs/jcarousel/0.3.3/jquery.jcarousel.js,GET,200,application/javascript,gzip,Cloudflare,-1,130,83,,825,955,,-1,667,730,-1,760,825,730,760,0,8251,470,0,http://www.intellicast.com/,287,"Mon, 27 Jun 2016 10:07:31 GMT",0,
07/08/2015,10:07:29,-,-,17,www.intellicast.com,96.8.93.198,/Video/amp.premier/amp.premier.min.js,GET,200,application/x-javascript,gzip,,-1,805,175,,835,1640,,-1,0,0,-1,0,0,688,833,96084,96564,503,0,http://www.intellicast.com/,285,,0,
07/08/2015,10:07:29,-,-,18,www.intellicast.com,96.8.93.198,/Video/icast.video.min.js,GET,200,application/x-javascript,gzip,,-1,188,186,,835,1023,,-1,0,0,-1,0,0,0,0,1704,2182,491,0,http://www.intellicast.com/,288,,0,
07/08/2015,10:07:29,-,-,19,images.intellicast.com,77.67.28.32,/App_Scripts/jquery-autocomplete.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,65,50,,890,955,,-1,0,0,-1,0,0,0,0,10563,10929,364,0,http://www.intellicast.com/,268,,0,
07/08/2015,10:07:29,-,-,20,images.intellicast.com,77.67.28.32,/Scripts/home_05212015.js,GET,200,application/x-javascript,gzip,Akamai,-1,112,111,,907,1019,,-1,0,0,-1,0,0,0,0,1163,1529,350,0,http://www.intellicast.com/,281,,0,
