Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:08:07,-,-,1,theage.com.au,54.79.10.39,/,GET,301,text/html,gzip,,-1,320,320,,387,707,,-1,0,71,-1,0,0,71,386,192,453,350,0,,,,0,
07/08/2015,10:08:07,-,-,2,www.theage.com.au,77.67.28.80,/,GET,200,text/html,gzip,Akamai,-1,670,565,,1152,1822,,-1,710,1121,-1,0,0,1121,1152,61619,62042,354,0,,,,0,
07/08/2015,10:08:07,-,-,3,www.theage.com.au,77.67.28.80,/etc/designs/ffx/wcm/shared/device-detect/device-detect-1.48.1-67.js,GET,200,application/javascript,,Akamai,-1,66,60,,1762,1828,,-1,0,0,-1,0,0,1121,1152,8359,8715,386,0,http://www.theage.com.au/,7,,0,
07/08/2015,10:08:07,-,-,4,www.theage.com.au,77.67.28.80,/content/dam/images/g/h/z/0/b/d/image.related.thumbnail.100x66.gi7p2v.2f8s9.png/1436346473551.jpg,GET,200,image/jpeg,,Akamai,-1,46,45,,1824,1870,,-1,0,0,-1,0,0,0,0,5542,5887,432,5542,http://www.theage.com.au/,674,,0,
07/08/2015,10:08:07,-,-,5,www.theage.com.au,77.67.28.80,/content/dam/images/1/1/8/4/5/b/image.related.homepagePortrait.300x370.gi7yk6.2f8s9.png/1436346473551.jpg,GET,200,image/jpeg,,Akamai,-1,76,36,,1884,1960,,-1,0,0,-1,0,0,0,0,25166,25512,440,25166,http://www.theage.com.au/,800,,0,
07/08/2015,10:08:07,-,-,6,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,GET,200,application/x-javascript,gzip,Akamai,-1,161,61,,1902,2063,,-1,1766,1871,-1,0,0,1871,1902,60248,60623,418,0,http://www.theage.com.au/,77,,0,
07/08/2015,10:08:07,-,-,7,www.theage.com.au,77.67.28.80,/content/dam/images/g/i/8/0/9/3/image.related.articleLeadwide.300x0.gi804z.122kab.png/1436342909812.jpg,GET,200,image/jpeg,,Akamai,-1,64,38,,2044,2108,,-1,0,0,-1,0,0,0,0,16171,16517,438,16171,http://www.theage.com.au/,826,,0,
07/08/2015,10:08:07,-,-,8,www.theage.com.au,77.67.28.80,/content/dam/images/g/i/7/9/y/t/image.related.thumbnail.140x93.gi7ofm.11q7qx.png/1436349906957.jpg,GET,200,image/jpeg,,Akamai,-1,49,40,,2112,2161,,-1,0,0,-1,0,0,0,0,6303,6648,433,6303,http://www.theage.com.au/,855,,0,
07/08/2015,10:08:07,-,-,9,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-548787ff36313900154a0a00.js,GET,200,application/x-javascript,gzip,Akamai,-1,80,37,,2126,2206,,-1,0,0,-1,0,0,0,0,24740,25115,407,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,2,,0,
07/08/2015,10:08:07,-,-,10,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-5487993e6466360015dd0e00.js,GET,200,application/x-javascript,gzip,Akamai,-1,60,44,,2163,2223,,-1,0,0,-1,0,0,2126,2161,11135,11510,407,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,2,,0,
07/08/2015,10:08:07,-,-,11,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-5317bd10de0b1c0c820003d8.js,GET,200,application/x-javascript,gzip,Akamai,-1,62,62,,2163,2225,,-1,0,0,-1,0,0,2128,2161,405,778,407,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,2,,0,
07/08/2015,10:08:07,-,-,12,assets.adobedtm.com,23.34.177.120,/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-530287ac81e1200c4d000146.js,GET,200,application/x-javascript,gzip,Akamai,-1,40,34,,2207,2247,,-1,0,0,-1,0,0,0,0,4398,4772,407,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,2,,0,
07/08/2015,10:08:07,-,-,13,resources.smh.com.au,77.67.28.80,/common/media-common-1.0/css/output/7.54.2/homepage.wide.skin.age.css/homepage.wide.skin.age_min.css,GET,200,text/css,gzip,Akamai,-1,395,39,,2237,2632,,-1,1767,2206,-1,0,0,2206,2237,45793,46145,436,0,http://www.theage.com.au/,110,"Wed, 08 Jul 2015 11:08:12 GMT",0,
07/08/2015,10:08:07,-,-,14,resources.smh.com.au,77.67.28.80,/common/media-common-1.0/css/output/7.54.2/homepage.skin.mysite.css/homepage.skin.mysite_min.css,GET,200,text/css,gzip,Akamai,-1,90,77,,2237,2327,,-1,0,0,-1,0,0,2206,2237,7123,7474,432,0,http://www.theage.com.au/,111,"Wed, 08 Jul 2015 11:08:12 GMT",0,
07/08/2015,10:08:07,-,-,15,resources.smh.com.au,77.67.28.80,/common/media-common-1.0/css/output/7.54.2/skin.promotions.wide.css/skin.promotions.wide_min.css,GET,200,text/css,gzip,Akamai,-1,89,89,,2238,2327,,-1,0,0,-1,0,0,2206,2238,20,369,432,0,http://www.theage.com.au/,112,"Wed, 08 Jul 2015 11:08:12 GMT",0,
07/08/2015,10:08:07,-,-,16,resources.smh.com.au,77.67.28.80,/common/media-common-1.0/js/html5shiv.js,GET,200,application/x-javascript,gzip,Akamai,-1,89,89,,2240,2329,,-1,0,0,-1,0,0,2206,2240,1223,1590,361,0,http://www.theage.com.au/,182,"Wed, 08 Jul 2015 11:08:12 GMT",0,
07/08/2015,10:08:07,-,-,17,www.theage.com.au,77.67.28.80,/content/dam/images/1/0/g/p/d/t/image.related.thumbnail.140x93.1mnjfq.11q7qx.png/1436349906957.jpg,GET,200,image/jpeg,,Akamai,-1,91,79,,2251,2342,,-1,0,0,-1,0,0,0,0,7669,8014,433,7669,http://www.theage.com.au/,870,,0,
07/08/2015,10:08:07,tracker,Optimizely,18,cdn.optimizely.com,93.184.220.20,/js/304207300.js,GET,200,text/javascript,gzip,Edgecast,-1,249,78,,2267,2516,,-1,2125,2235,-1,0,0,2235,2267,83103,83598,335,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/satelliteLib-fc35eab6559a121532bab25bb77b90e6a30892b9.js,3,,0,
07/08/2015,10:08:07,ad,DoubleClick,19,www.googletagservices.com,74.125.136.154,/tag/js/gpt.js,GET,200,text/javascript,gzip,Google,-1,99,59,,2540,2639,,-1,2344,2506,-1,0,0,2506,2540,16514,17070,340,0,http://assets.adobedtm.com/7d5ea80d054b96730162d0905d59678c4d2bf30c/scripts/satellite-530287ac81e1200c4d000146.js,2,"Wed, 08 Jul 2015 10:08:12 GMT",0,
07/08/2015,10:08:07,-,-,20,www.theage.com.au,77.67.28.80,/content/dam/images/1/1/y/y/e/x/image.related.thumbnail.140x93.gi7mda.11q7qx.png/1436349906957.jpg,GET,200,image/jpeg,,Akamai,-1,47,41,,2637,2684,,-1,0,0,-1,0,0,0,0,5608,5953,433,5608,http://www.theage.com.au/,882,,0,
07/08/2015,10:08:07,-,-,21,www.theage.com.au,77.67.28.80,/content/dam/images/g/i/6/5/y/s/image.related.thumbnail.140x93.gi7q1f.11q7qx.png/1436349906957.jpg,GET,200,image/jpeg,,Akamai,-1,60,49,,2638,2698,,-1,0,0,-1,0,0,0,0,6610,6955,433,6610,http://www.theage.com.au/,894,,0,
07/08/2015,10:08:07,-,-,22,www.theage.com.au,77.67.28.80,/content/dam/images/g/i/7/g/q/n/image.related.thumbnail.140x93.gi7oit.11wz9w.png/1436328993555.jpg,GET,200,image/jpeg,,Akamai,-1,68,61,,2639,2707,,-1,0,0,-1,0,0,1767,1830,5669,6014,433,5669,http://www.theage.com.au/,916,,0,
07/08/2015,10:08:07,-,-,23,www.theage.com.au,77.67.28.80,/content/dam/images/g/h/n/z/z/o/image.related.thumbnail.140x93.ghjomr.11wyr0.png/1436143094144.jpg,GET,200,image/jpeg,,Akamai,-1,46,36,,2674,2720,,-1,0,0,-1,0,0,2638,2674,6764,7107,433,6764,http://www.theage.com.au/,927,,0,
07/08/2015,10:08:07,-,-,24,www.theage.com.au,77.67.28.80,/content/dam/images/1/0/p/1/h/3/image.related.thumbnail.100x66.gi7fk3.11gxu6.png/1436346157446.jpg,GET,200,image/jpeg,,Akamai,-1,52,49,,2674,2726,,-1,0,0,-1,0,0,2638,2674,3770,4115,433,3770,http://www.theage.com.au/,1036,,0,
