Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:13:29,-,-,1,suntimes.com,54.175.253.44,/,GET,302,text/html,,,-1,118,118,,179,297,,-1,0,64,-1,0,0,64,178,160,362,349,0,,,,0,
07/08/2015,10:13:29,-,-,2,chicago.suntimes.com,54.175.253.44,/,GET,200,text/html,gzip,,-1,240,117,,473,713,,-1,299,361,-1,0,0,362,472,17708,18171,357,0,,,"Wed, 08 Jul 2015 10:17:30 GMT",0,
07/08/2015,10:13:29,-,-,3,chicago.suntimes.com,54.175.253.44,/wp-content/themes/cst-split/assets/live/min.front-page.css?ver=0.11.4,GET,200,text/css,gzip,,-1,317,166,,617,934,,-1,0,0,-1,0,0,362,472,28649,29017,409,0,http://chicago.suntimes.com/,254,"Wed, 08 Jul 2015 22:13:30 GMT",0,
07/08/2015,10:13:29,-,-,4,chicago.suntimes.com,54.175.253.44,/wp-content/themes/cst-split/assets/live/min.front-page.js?ver=0.11.4,GET,200,application/javascript,gzip,,-1,1952,170,,719,2671,,-1,0,0,-1,0,0,0,0,136412,136854,393,0,http://chicago.suntimes.com/,998,"Wed, 08 Jul 2015 22:13:30 GMT",0,
07/08/2015,10:13:29,widget,Newsmax,5,cdn.nmcdn.us,,/js/connectV3.js,GET,200,application/x-javascript,,Edgecast,-1,69,50,,873,942,,-1,612,676,-1,748,873,676,748,0,6648,323,0,http://chicago.suntimes.com/,919,,0,
07/08/2015,10:13:29,-,-,6,bullseye-prod.aggrego.org,52.7.69.192,//wp-ag/wp-content/uploads/sites/71/2015/07/AX037_6425_9.jpg?o=eyJ3aWR0aCI6OTk5LCJoZWlnaHQiOjY2NSwieCI6MC41LCJ5IjowLjV9&s=8r8ygxanKD6U%2FZZjHVIIyTGHvaA%3D,GET,200,image/jpeg,,,-1,1407,160,,890,2297,,-1,627,693,-1,0,0,693,889,108353,108695,500,108353,http://chicago.suntimes.com/,528,"Thu, 07 Jul 2016 10:13:17 GMT",0,
07/08/2015,10:13:29,-,-,7,suntimes.wordpress-prod-wp.aggrego.com,52.7.107.130,/?dm=1105dc4fb69226e516e91b32293e4a1c&action=load&blogid=71&siteid=7&t=1707865983&back=http%3A%2F%2Fchicago.suntimes.com%2F,GET,200,text/html,gzip,,-1,183,183,,890,1073,,-1,620,692,-1,0,0,692,889,20,448,465,0,http://chicago.suntimes.com/,255,"Wed, 08 Jul 2015 10:17:31 GMT",0,
07/08/2015,10:13:29,-,-,8,entertainment.suntimes.com,52.7.107.130,/wp-content/uploads/2015/01/DEAR_ABBY_12880069-e1420416724734.jpg,GET,200,image/jpeg,,,-1,1096,186,,890,1986,,-1,627,692,-1,0,0,693,889,86902,87584,412,86902,http://chicago.suntimes.com/,802,"Wed, 08 Jul 2015 22:13:31 GMT",0,
07/08/2015,10:13:29,-,-,9,wp-ag.s3.amazonaws.com,54.231.2.193,/wp-content/uploads/sites/70/2014/11/apple-app-store-icon.png,GET,200,image/png,,,-1,1652,243,,891,2543,,-1,622,695,-1,0,0,695,889,31648,32098,404,0,http://chicago.suntimes.com/,335,"Thu, 07 Nov 2024 21:55:28 GMT",0,
07/08/2015,10:13:29,-,-,10,wp-ag.s3.amazonaws.com,54.231.2.193,/wp-content/uploads/sites/70/2014/10/en_generic_rgb_wo_45.png,GET,200,image/png,,,-1,1380,258,,891,2271,,-1,0,0,-1,0,0,696,889,8171,8620,404,0,http://chicago.suntimes.com/,338,"Sat, 19 Oct 2024 20:29:52 GMT",0,
