Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:35:56,-,-,1,yonhapnews.co.kr,211.106.66.1,/,GET,302,text/html,gzip,,-1,313,310,,946,1259,,-1,0,616,-1,0,0,616,946,189,647,353,0,,,"Wed, 08 Jul 2015 10:36:59 GMT",0,
07/08/2015,10:35:56,-,-,2,www.yonhapnews.co.kr,211.106.66.1,/,GET,200,text/html,gzip,,-1,353,312,,2207,2560,,-1,1258,1880,-1,0,0,1880,2207,23769,24253,357,0,,,"Wed, 08 Jul 2015 10:37:00 GMT",0,
07/08/2015,10:35:56,-,-,3,www.yonhapnews.co.kr,211.106.66.1,/jscript/2014/jquery-1.8.3.min.js,GET,200,text/javascript,gzip,,-1,701,370,,2571,3272,,-1,0,0,-1,0,0,0,0,33430,33878,427,0,http://www.yonhapnews.co.kr/,47,"Wed, 08 Jul 2015 10:41:01 GMT",0,
07/08/2015,10:35:56,-,-,4,www.yonhapnews.co.kr,211.106.66.1,/jscript/2014/jquery-ui.min.js,GET,200,text/javascript,gzip,,-1,2381,448,,2571,4952,,-1,0,0,-1,0,0,1880,2208,51517,51965,424,0,http://www.yonhapnews.co.kr/,48,"Wed, 08 Jul 2015 10:41:01 GMT",0,
07/08/2015,10:35:56,-,-,5,www.yonhapnews.co.kr,211.106.66.1,/jscript/2014/kr_article_paging.js,GET,200,text/javascript,gzip,,-1,429,426,,2572,3001,,-1,0,0,-1,0,0,2027,2354,1471,1918,428,0,http://www.yonhapnews.co.kr/,50,"Wed, 08 Jul 2015 10:41:01 GMT",0,
07/08/2015,10:35:56,ad,Google Adsense,6,pagead2.googlesyndication.com,74.125.136.157,/pagead/show_ads.js,GET,200,text/javascript,gzip,Google,-1,57,42,,2735,2792,,-1,2625,2701,-1,0,0,2701,2735,9673,10215,352,0,http://www.yonhapnews.co.kr/,1364,"Wed, 08 Jul 2015 11:07:35 GMT",0,
07/08/2015,10:35:56,-,-,7,www.yonhapnews.co.kr,211.106.66.1,/jscript/lib/redirect.js,GET,200,text/javascript,gzip,,-1,316,315,,3001,3317,,-1,0,0,-1,0,0,0,0,916,1362,418,0,http://www.yonhapnews.co.kr/,65,"Wed, 08 Jul 2015 10:41:01 GMT",0,
07/08/2015,10:35:56,-,-,8,www.yonhapnews.co.kr,211.106.66.1,/jscript/2014/kr_login.js,GET,200,text/javascript,gzip,,-1,316,315,,3019,3335,,-1,0,0,-1,0,0,2585,3019,753,1199,419,0,http://www.yonhapnews.co.kr/,259,"Wed, 08 Jul 2015 10:41:01 GMT",0,
07/08/2015,10:35:56,-,-,9,www.yonhapnews.co.kr,211.106.66.1,/jscript/2014/kr_PredictiveSearch.js,GET,200,text/javascript,gzip,,-1,327,323,,3020,3347,,-1,0,0,-1,0,0,2594,3020,2220,2667,430,0,http://www.yonhapnews.co.kr/,428,"Wed, 08 Jul 2015 10:41:01 GMT",0,
07/08/2015,10:35:56,-,-,10,www.yonhapnews.co.kr,211.106.66.1,/jscript/2014/siteoverlay2.js,GET,200,text/javascript,gzip,,-1,314,314,,3273,3587,,-1,0,0,-1,0,0,0,0,446,892,423,0,http://www.yonhapnews.co.kr/,1838,"Wed, 08 Jul 2015 10:41:01 GMT",0,
