Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:36:54,-,-,1,nj.com,216.146.46.11,/,GET,301,text/html,,,-1,119,119,,185,304,,-1,0,70,-1,0,0,70,185,184,376,343,0,,,,0,
07/08/2015,10:36:54,-,-,2,www.nj.com,2.21.243.73,/,GET,200,text/html,gzip,Akamai,-1,221,127,,403,624,,-1,305,371,-1,0,0,372,403,27196,27687,347,0,,,"Wed, 08 Jul 2015 10:37:06 GMT",0,
07/08/2015,10:36:54,-,-,3,www.nj.com,2.21.243.73,/static/aff/static/css/main.css,GET,200,text/css,gzip,Akamai,-1,176,63,,573,749,,-1,0,0,-1,0,0,371,403,50325,50753,350,0,http://www.nj.com/,55,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,4,www.nj.com,2.21.243.73,/static/common/js/galleria/adv_galleria.css,GET,200,text/css,gzip,Akamai,-1,134,127,,625,759,,-1,0,0,-1,0,0,0,0,4780,5205,362,0,http://www.nj.com/,112,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,5,www.nj.com,2.21.243.73,/static/common/js/galleria/jquery.mCustomScrollbar.css,GET,200,text/css,gzip,Akamai,-1,51,48,,626,677,,-1,0,0,-1,0,0,575,626,2267,2692,373,0,http://www.nj.com/,113,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,6,www.nj.com,2.21.243.73,/static/common/js/libs/modernizr-2.6.2.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,62,54,,626,688,,-1,0,0,-1,0,0,574,626,6265,6706,349,0,http://www.nj.com/,57,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,7,www.nj.com,2.21.243.73,/static/common/js/adv-js-loader.js,GET,200,application/x-javascript,gzip,Akamai,-1,65,64,,626,691,,-1,0,0,-1,0,0,580,626,1629,2068,338,0,http://www.nj.com/,58,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,8,www.nj.com,2.21.243.73,/static/common/js/resimg.js,GET,200,application/x-javascript,gzip,Akamai,-1,97,88,,626,723,,-1,0,0,-1,0,0,580,626,6740,7181,331,0,http://www.nj.com/,64,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,9,www.nj.com,2.21.243.73,/static/common/js/adv_gigya.js,GET,200,application/x-javascript,gzip,Akamai,-1,91,84,,678,769,,-1,0,0,-1,0,0,0,0,5438,5879,334,0,http://www.nj.com/,96,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,10,www.nj.com,2.21.243.73,/static/aff/static/js/homepage_res.js,GET,200,application/x-javascript,gzip,Akamai,-1,196,81,,689,885,,-1,0,0,-1,0,0,0,0,53316,53760,341,0,http://www.nj.com/,2705,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,11,www.nj.com,2.21.243.73,/static/common/js/gw/gw.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,134,115,,693,827,,-1,0,0,-1,0,0,0,0,12093,12535,334,0,http://www.nj.com/,2713,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,analytics,Tealium,12,tags.tiqcdn.com,68.232.35.180,/utag/advancedigital/lib-common/prod/utag.sync.js,GET,200,text/javascript,gzip,Edgecast,-1,55,55,,828,883,,-1,572,733,-1,0,0,734,828,669,1022,358,0,http://www.nj.com/,13,"Wed, 08 Jul 2015 10:41:56 GMT",0,
07/08/2015,10:36:54,-,-,13,media.nj.com,2.21.243.73,/static/common/js/jquery/jquery-1.8.2.min.js,GET,200,application/x-javascript,,Akamai,-1,314,38,,884,1198,,-1,578,829,-1,0,0,830,883,93436,93767,350,0,http://www.nj.com/,63,"Wed, 01 Jul 2015 06:03:20 GMT",0,
07/08/2015,10:36:54,-,-,14,media.nj.com,2.21.243.73,/design/baseline/js/movabletype.min.js,GET,200,application/x-javascript,gzip,Akamai,-1,86,77,,884,970,,-1,0,0,-1,0,0,830,884,6430,6835,344,0,http://www.nj.com/,95,"Mon, 15 Jun 2015 19:54:01 GMT",0,
07/08/2015,10:36:54,-,-,15,media.nj.com,2.21.243.73,/static/common/js/ads/ads.js,GET,200,application/x-javascript,gzip,Akamai,-1,116,90,,884,1000,,-1,0,0,-1,0,0,830,884,17681,18086,334,0,http://www.nj.com/,107,"Wed, 08 Jul 2015 09:55:47 GMT",0,
07/08/2015,10:36:54,-,-,16,media.nj.com,2.21.243.73,/static/common/img/buttons/btn-signin-Facebook.png,GET,200,image/png,,Akamai,-1,122,119,,885,1007,,-1,0,0,-1,0,0,830,884,2977,3290,373,0,http://www.nj.com/,417,"Wed, 01 Jul 2015 10:51:09 GMT",0,
