Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:37:41,-,-,1,digitalspy.co.uk,216.146.46.11,/,GET,301,text/html,,,-1,118,118,,196,314,,-1,0,82,-1,0,0,82,196,184,386,353,0,,,,0,
07/08/2015,10:37:41,-,-,2,www.digitalspy.co.uk,54.194.131.25,/,GET,200,text/html,gzip,,-1,168,58,,442,610,,-1,316,391,-1,0,0,392,442,32714,33143,357,0,,,,0,
07/08/2015,10:37:41,-,-,3,static.cdnds.net,23.235.43.249,/js/css.php?t=1434534545&s=1,GET,200,text/css,,Fastly,-1,501,37,,655,1156,,-1,534,625,-1,0,0,625,655,138087,138580,363,0,http://www.digitalspy.co.uk/,13,"Wed, 15 Jul 2015 10:27:54 GMT",0,
07/08/2015,10:37:41,-,-,4,static.cdnds.net,23.235.43.249,/js/js.php?t=1432802821&s=1,GET,200,application/javascript,,Fastly,-1,633,61,,655,1288,,-1,0,0,-1,0,0,626,655,165355,165850,347,0,http://www.digitalspy.co.uk/,23,"Thu, 09 Jul 2015 09:33:16 GMT",0,
07/08/2015,10:37:41,analytics,Ensighten,5,nexus.ensighten.com,54.228.235.157,/hearst/mag-uk/Bootstrap.js,GET,200,application/x-javascript,gzip,,-1,216,76,,671,887,,-1,535,620,-1,0,0,620,671,25145,25458,350,0,http://www.digitalspy.co.uk/,23,,0,
07/08/2015,10:37:41,tracker,Qubit Opentag,6,d3c3cq33003psk.cloudfront.net,205.251.219.38,/opentag-41198-113461.js,GET,200,application/x-javascript,gzip,Amazon CloudFront,-1,182,166,,991,1173,,-1,535,842,-1,0,0,842,991,11000,11479,357,0,http://www.digitalspy.co.uk/,23,,0,
07/08/2015,10:37:41,-,-,7,i2.cdnds.net,23.235.43.249,/12/44/300x225/movies_star_wars_bts_pics_2.jpg,GET,200,image/jpeg,,Fastly,-1,80,41,,1250,1330,,-1,547,615,-1,0,0,1176,1250,18216,18787,379,18216,http://www.digitalspy.co.uk/,316,,0,
07/08/2015,10:37:41,-,-,8,i1.cdnds.net,23.235.43.249,/14/48/141x106/ustv-the-simpsons-smithers-and-mr-burns.jpg,GET,200,image/jpeg,,Fastly,-1,51,37,,1321,1372,,-1,546,615,-1,0,0,1292,1321,8717,9315,391,8717,http://www.digitalspy.co.uk/,416,,0,
07/08/2015,10:37:41,-,-,9,i2.cdnds.net,23.235.43.249,/15/26/141x106/ustv-prison-break-cast_1_1.jpg,GET,200,image/jpeg,,Fastly,-1,59,44,,1330,1389,,-1,0,0,-1,0,0,1294,1330,9499,10096,378,9499,http://www.digitalspy.co.uk/,461,,0,
07/08/2015,10:37:41,-,-,10,i2.cdnds.net,23.235.43.249,/15/25/141x106/gaming-nintendo-e3-super-mario-maker-05_2.jpg,GET,200,image/jpeg,,Fastly,-1,72,60,,1331,1403,,-1,0,0,-1,0,0,0,0,8632,9229,393,8632,http://www.digitalspy.co.uk/,499,,0,
