Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:39:05,-,-,1,weather.yahoo.com,66.196.66.212,/,GET,301,,,,-1,76,76,,98,174,,-1,0,65,-1,0,0,65,97,0,360,354,0,,,,0,
07/08/2015,10:39:05,-,-,2,weather.yahoo.com,,/,GET,200,text/html,gzip,,-1,429,100,,271,700,,-1,0,0,-1,205,271,174,205,0,44477,407,0,,,-1,0,
07/08/2015,10:39:05,-,-,3,s.yimg.com,,/kx/yucs/uh3s/promo-ff/1/images/ff_icon-compressed.png,GET,200,image/png,,Yahoo,-1,137,133,,661,798,,-1,0,0,-1,0,0,0,0,0,1929,482,0,https://weather.yahoo.com/,265,"Sat, 30 Nov 2024 22:10:08 GMT",0,
07/08/2015,10:39:05,-,-,4,s.yimg.com,,/zz/combo?kx/yucs/uh3s/atomic/60/css/atomic-min.css&kx/yucs/uh_common/meta/3/css/meta-min.css&kx/yucs/uh3/get-the-app/151/css/get_the_app-min.css&kx/yucs/uhc/skip-links/4/css/skip-min.css&kx/yucs/uh3s/uh/410/css/uh-gs-grid-min.css,GET,200,text/css,gzip,Yahoo,-1,53,44,,661,714,,-1,500,563,-1,595,660,563,595,0,7795,832,0,https://weather.yahoo.com/,171,"Sat, 21 Jun 2025 18:17:50 GMT",0,
07/08/2015,10:39:05,-,-,5,s.yimg.com,,/rq/darla/2-8-9/js/g-r-min.js,GET,200,application/x-javascript,gzip,Yahoo,-1,177,42,,674,851,,-1,0,0,-1,0,0,0,0,0,67190,415,0,https://weather.yahoo.com/,747,"Wed, 08 Jul 2015 17:34:32 GMT",0,
07/08/2015,10:39:05,-,-,6,s.yimg.com,,/qq/a/weather.com/wcl1.gif,GET,200,image/gif,,Yahoo,-1,155,153,,701,856,,-1,0,0,-1,0,0,0,0,0,810,426,0,https://weather.yahoo.com/,321,"Wed, 2014-03-19 09:55:41 GMT",0,
07/08/2015,10:39:05,-,-,7,s.yimg.com,,/os/mit/media/m/base/images/transparent-1093278.png,GET,200,image/png,,Yahoo,-1,155,153,,701,856,,-1,0,0,-1,0,0,0,0,0,292,476,0,https://weather.yahoo.com/,417,"Sun, 03 Jul 2033 00:31:01 GMT",0,
07/08/2015,10:39:05,-,-,8,s.yimg.com,,/un/api/res/1.2/Bq9n94SuAw72ESduFN0SnQ--/dz0xMzY2O3E9ODA7Zmk9ZmlsbDtmcj0wO2FwcGlkPXltd2VhdGhlcjt1cmw9aHR0cHM6Ly9mYXJtOS5zdGF0aWNmbGlja3IuY29tLzgwNzcvODMwMzI3NjAyNV81M2Y3YjEzMWQ1X2suanBnO2g9ODU0Ow--/https://farm9.staticflickr.com/8077/8303276025_53f7b131d5_k.jpg,GET,200,image/jpeg,,Yahoo,-1,901,469,,701,1602,,-1,0,0,-1,0,0,0,0,0,170032,896,0,https://weather.yahoo.com/,325,,0,
07/08/2015,10:39:05,-,-,9,s1.yimg.com,,/zz/combo?os/mit/media/themes/v2_base/base-min-41cfe10.css&os/mit/media/themes/v2_base/base-imagery-min-bec5796.css&os/mit/media/themes/v2_charcoalblack/theme-glass-min-2a8fff4.css&os/mit/media/themes/v2_charcoalblack/theme-imagery-min-a398b68.css&os/mit/media/m/weather/overwrites-manager-desktop-min-4aa6dc6.css,GET,200,text/css,gzip,Yahoo,-1,216,188,,840,1056,,-1,0,0,-1,0,0,0,0,0,15173,1000,0,https://weather.yahoo.com/,45,"Sat, 30 Oct 2032 23:19:21 GMT",0,
07/08/2015,10:39:05,-,-,10,s1.yimg.com,,/zz/combo?os/mit/media/m/content/sfl-notifier-min-ee15495.css&os/mit/media/m/weather/next-icons-desktop-min-18a8bb9.css&os/mit/media/m/weather/lead-desktop-min-75ad498.css&os/mit/media/m/weather/weather-conditions-min-3f14c58.css&os/mit/media/m/weather/background-manager-desktop-min-79f0759.css&os/mit/media/m/weather/alerts-desktop-min-dfee6c3.css&os/mit/media/m/header/gta-min-08f9e98.css&os/mit/media/m/content_index/generic-listings-desktop-min-da555a8.css&yui:3.18.1/build/overlay/assets/skins/sam/overlay.css&os/mit/media/m/content_social/media-content-share-buttons-int-min-0116754.css,GET,200,text/css,gzip,Yahoo,-1,189,86,,841,1030,,-1,0,0,-1,0,0,0,0,0,61812,1560,0,https://weather.yahoo.com/,43,"Sun, 20 Feb 2033 05:54:53 GMT",0,
