Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:44:57,-,-,1,newsmax.com,64.135.21.3,/,GET,301,text/html,,,-1,153,153,,435,588,,-1,0,286,-1,0,0,286,435,146,389,348,0,,,,0,
07/08/2015,10:44:57,-,-,2,www.newsmax.com,64.135.21.3,/,GET,200,text/html,,,-1,1166,284,,921,2087,,-1,590,774,-1,0,0,774,921,103921,104678,352,0,,,,0,
07/08/2015,10:44:57,-,-,3,www.newsmax.com,64.135.21.3,/CMSPages/GetCSS.aspx?stylesheetname=Newsmax,GET,200,text/css,,,-1,2016,171,,1244,3260,,-1,0,0,-1,0,0,775,923,25989,26384,495,0,http://www.newsmax.com/,11,"Wed, 08 Jul 2015 10:44:59 GMT",0,
07/08/2015,10:44:57,-,-,4,www.newsmax.com,64.135.21.3,/CMSPages/GetCSS.aspx?stylesheetname=NewsmaxInternalPages,GET,200,text/css,,,-1,1566,178,,1525,3091,,-1,0,0,-1,0,0,847,995,24992,25387,508,0,http://www.newsmax.com/,17,"Wed, 08 Jul 2015 10:45:00 GMT",0,
07/08/2015,10:44:57,-,-,5,ajax.googleapis.com,74.125.136.95,/ajax/libs/swfobject/2.1/swfobject.js,GET,200,text/javascript,gzip,Google,-1,76,56,,1632,1708,,-1,1532,1596,-1,0,0,1596,1631,3868,4348,355,0,http://www.newsmax.com/,31,"Wed, 06 Jul 2016 06:20:42 GMT",0,
07/08/2015,10:44:57,-,-,6,www.newsmax.com,64.135.21.3,/CMSPages/GetCSS.aspx?stylesheetname=NewsmaxWebparts,GET,200,text/css,,,-1,999,218,,1686,2685,,-1,0,0,-1,0,0,1524,1685,56241,56636,503,0,http://www.newsmax.com/,18,"Wed, 08 Jul 2015 10:45:00 GMT",0,
07/08/2015,10:44:57,-,-,7,www.newsmax.com,64.135.21.3,/CMSPages/GetCSS.aspx?stylesheetname=NewsmaxNew,GET,200,text/css,,,-1,2592,241,,1701,4293,,-1,0,0,-1,0,0,1526,1701,128869,129265,498,0,http://www.newsmax.com/,19,"Wed, 08 Jul 2015 10:45:00 GMT",0,
07/08/2015,10:44:57,-,-,8,www.newsmax.com,64.135.21.3,/CMSPages/GetCSS.aspx?stylesheetname=colorboxNewsmax,GET,200,text/css,,,-1,461,259,,1701,2162,,-1,0,0,-1,0,0,1531,1701,4564,4958,503,0,http://www.newsmax.com/,55,"Wed, 08 Jul 2015 10:45:00 GMT",0,
07/08/2015,10:44:57,-,-,9,player.ooyala.com,184.50.166.218,/v3/ec984a0461f74334b3e423d03e50ebd1,GET,200,text/javascript,gzip,Akamai,-1,677,37,,1776,2453,,-1,1666,1744,-1,0,0,1744,1775,195747,196163,352,0,http://www.newsmax.com/,77,,0,
07/08/2015,10:44:57,-,-,10,www.newsmax.com,64.135.21.3,/CMSScripts/jquery/jquery-core.js,GET,200,application/x-javascript,gzip,,-1,194,160,,2088,2282,,-1,0,0,-1,0,0,0,0,20951,21310,469,0,http://www.newsmax.com/,22,,0,
07/08/2015,10:44:57,-,-,11,www.newsmax.com,64.135.21.3,/js/jquery-ui-1.7.2.custom.min.js,GET,200,application/x-javascript,gzip,,-1,256,247,,2163,2419,,-1,0,0,-1,0,0,0,0,6138,6496,469,0,http://www.newsmax.com/,23,,0,
07/08/2015,10:44:57,widget,Twitter Button,12,platform.twitter.com,192.229.233.25,/widgets.js,GET,200,application/javascript,gzip,Edgecast,-1,1136,99,,2242,3378,,-1,2063,2203,-1,0,0,2203,2242,35159,35597,330,0,http://www.newsmax.com/,1515,,0,
07/08/2015,10:44:57,-,-,13,www.newsmax.com,64.135.21.3,/js/jquery-1.4.2.min.js,GET,200,application/x-javascript,gzip,,-1,215,175,,2283,2498,,-1,0,0,-1,0,0,0,0,24736,25095,459,0,http://www.newsmax.com/,24,,0,
07/08/2015,10:44:57,-,-,14,www.newsmax.com,64.135.21.3,/js/SponsoredHeadline.js,GET,200,application/x-javascript,gzip,,-1,155,153,,2420,2575,,-1,0,0,-1,0,0,0,0,1100,1457,460,0,http://www.newsmax.com/,26,,0,
