Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:49:07,-,-,1,ctvnews.ca,199.85.71.129,/,GET,301,text/html,,,-1,138,138,,206,344,,-1,0,73,-1,0,0,73,206,185,391,347,0,,,,0,
07/08/2015,10:49:07,-,-,2,www.ctvnews.ca,2.21.243.74,/,GET,200,text/html,gzip,Akamai,-1,643,585,,446,1089,,-1,346,415,-1,0,0,415,446,31284,31613,351,0,,,"Wed, 08 Jul 2015 10:49:14 GMT",0,
07/08/2015,10:49:07,-,-,3,www.ctvnews.ca,2.21.243.74,/cmlink/ctv-styles-7.132,GET,200,text/css,,Akamai,-1,251,251,,1089,1340,,-1,0,0,-1,0,0,415,446,5,284,351,0,http://www.ctvnews.ca/,215,"Wed, 08 Jul 2015 10:49:11 GMT",0,
07/08/2015,10:49:07,-,-,4,www.ctvnews.ca,2.21.243.74,/cmlink/ontario2014-7.523345,GET,200,text/css,gzip,Akamai,-1,235,235,,1091,1326,,-1,0,0,-1,0,0,0,0,923,1251,355,0,http://www.ctvnews.ca/,216,"Wed, 08 Jul 2015 10:49:11 GMT",0,
07/08/2015,10:49:07,-,-,5,www.ctvnews.ca,2.21.243.74,/cmlink/video-bin-column-css-7.489853,GET,200,text/css,,Akamai,-1,257,257,,1119,1376,,-1,0,0,-1,0,0,1088,1119,166,447,364,0,http://www.ctvnews.ca/,217,"Wed, 08 Jul 2015 10:49:11 GMT",0,
07/08/2015,10:49:07,-,-,6,www.ctvnews.ca,2.21.243.74,/cmlink/banner-temp-7.298239,GET,200,text/css,gzip,Akamai,-1,429,310,,1120,1549,,-1,0,0,-1,0,0,1089,1119,1364,1694,355,0,http://www.ctvnews.ca/,218,"Wed, 08 Jul 2015 10:49:26 GMT",0,
07/08/2015,10:49:07,-,-,7,www.ctvnews.ca,2.21.243.74,/cmlink/player-style-7.363763,GET,200,text/css,,Akamai,-1,311,311,,1122,1433,,-1,0,0,-1,0,0,1089,1121,836,1117,356,0,http://www.ctvnews.ca/,219,"Wed, 08 Jul 2015 10:49:12 GMT",0,
07/08/2015,10:49:07,-,-,8,www.ctvnews.ca,2.21.243.74,/cmlink/mynews-7.555290,GET,200,text/css,,Akamai,-1,309,309,,1124,1433,,-1,0,0,-1,0,0,1090,1124,167,448,350,0,http://www.ctvnews.ca/,220,"Wed, 08 Jul 2015 10:49:13 GMT",0,
07/08/2015,10:49:07,-,-,9,cdn.gigya.com,77.67.28.32,/js/gigya.js?apiKey=3_-FVQzpdFRai9eK0LUE2bQibsUcv-mtWRgrAUaCyDvREHAAVSgJS25CWP-fZq-7hZ,GET,200,text/javascript,gzip,Akamai,-1,167,37,,1210,1377,,-1,1088,1177,-1,0,0,1177,1209,42923,43302,397,0,http://www.ctvnews.ca/,18,"Wed, 08 Jul 2015 11:04:10 GMT",0,
07/08/2015,10:49:07,-,-,10,static.ctvnews.ca,2.21.243.74,/bellmedia/common/css/common.css,GET,200,text/css,gzip,Akamai,-1,113,82,,1210,1323,,-1,1088,1177,-1,0,0,1177,1209,20173,20483,362,0,http://www.ctvnews.ca/,13,"Wed, 08 Jul 2015 10:54:10 GMT",0,
