Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:52:28,-,-,1,philly.com,208.80.56.11,/,GET,301,text/plain,gzip,,-1,124,124,,197,321,,-1,0,78,-1,0,0,78,197,26,406,347,0,,,,0,
07/08/2015,10:52:28,-,-,2,www.philly.com,68.232.35.229,/,GET,200,text/html,gzip,Edgecast,-1,115,53,,1447,1562,,-1,322,1416,-1,0,0,1416,1446,36896,37282,351,0,,,"Wed, 08 Jul 2015 10:52:46 GMT",0,
07/08/2015,10:52:28,-,-,3,www.philly.com,68.232.35.229,/includes/9dd21d9990e911a03189ffc3529b9c9b/jQuery-1-8-2-min.js,GET,200,text/javascript,gzip,Edgecast,-1,90,36,,1554,1644,,-1,0,0,-1,0,0,1417,1446,33406,33835,374,0,http://www.philly.com/,37,"Wed, 08 Jul 2015 11:52:31 GMT",0,
07/08/2015,10:52:28,-,-,4,www.philly.com,68.232.35.229,/includes/a8e801a6e4c545edd0f23f57fe441dbd/global.css,GET,200,text/css,gzip,Edgecast,-1,135,83,,1563,1698,,-1,0,0,-1,0,0,0,0,11038,11460,380,0,http://www.philly.com/,46,"Wed, 08 Jul 2015 11:52:31 GMT",0,
07/08/2015,10:52:28,-,-,5,www.philly.com,68.232.35.229,/includes/c69ee503f50cd10b876b3fb286b3ea40/main_philly.css,GET,200,text/css,gzip,Edgecast,-1,137,81,,1585,1722,,-1,0,0,-1,0,0,1554,1584,34252,34674,385,0,http://www.philly.com/,48,"Wed, 08 Jul 2015 11:52:31 GMT",0,
07/08/2015,10:52:28,-,-,6,www.philly.com,68.232.35.229,/templates/pageLayoutCSS?id=241858791,GET,200,text/css,gzip,Edgecast,-1,140,140,,1645,1785,,-1,0,0,-1,0,0,1556,1644,1210,1618,364,0,http://www.philly.com/,179,"Wed, 08 Jul 2015 10:57:32 GMT",0,
07/08/2015,10:52:28,-,-,7,www.philly.com,68.232.35.229,/apsweb/adperfect/mls/styles2.css,GET,200,text/css,gzip,Edgecast,-1,81,81,,1645,1726,,-1,0,0,-1,0,0,1555,1644,769,1115,360,0,http://www.philly.com/,3004,"Wed, 08 Jul 2015 11:07:31 GMT",0,
07/08/2015,10:52:28,-,-,8,www.philly.com,68.232.35.229,/includes/994c0b445697af92242c16f1cb5b8701/global.js,GET,200,text/javascript,gzip,Edgecast,-1,87,82,,1645,1732,,-1,0,0,-1,0,0,1555,1644,3259,3687,364,0,http://www.philly.com/,147,"Wed, 08 Jul 2015 11:52:31 GMT",0,
07/08/2015,10:52:28,-,-,9,www.philly.com,68.232.35.229,/includes/2764a133bf7eb4dcf423acec2b95de9f/navHover.js,GET,200,text/javascript,gzip,Edgecast,-1,87,87,,1645,1732,,-1,0,0,-1,0,0,0,0,382,809,366,0,http://www.philly.com/,157,"Wed, 08 Jul 2015 11:52:31 GMT",0,
07/08/2015,10:52:28,tracker,Omniture (Adobe Analytics),10,www.philly.com,68.232.35.229,/includes/s_code.js,GET,200,text/javascript,gzip,Edgecast,-1,75,39,,1699,1774,,-1,0,0,-1,0,0,0,0,23852,24247,331,0,http://www.philly.com/,361,"Wed, 08 Jul 2015 11:52:31 GMT",0,
