Date,Time,bug_type,bug_name,Sequence Number,Host,IP Address,URL,Action,Response Code,Content Type,Content Encoding,CDN Provider,Connect Time,Time to Load (ms),Time to First Byte (ms),Real Start Time (ms),Start Time (ms),End Time (ms),Full Time to Load (ms),DNS Time,DNS Start,DNS End,SSL Time,SSL Negotiation Start,SSL Negotiation End,Connect Start,Connect End,Object Size,Bytes In,Bytes Out,Image Total Bytes,Initiator,Initiator Line,Expires,Cached,Cookie Count(out)
07/08/2015,10:54:59,-,-,1,wn.com,195.149.84.101,/,GET,200,text/html,gzip,,-1,131,57,,133,264,,-1,0,94,-1,0,0,95,133,31162,31659,343,0,,,,0,
07/08/2015,10:54:59,-,-,2,cdn9.wn.com,68.232.35.229,/vp/m/cd/199f5ee0962d2242db980c5b26970b.js,GET,200,application/javascript,,Edgecast,-1,678,38,,361,1039,,-1,240,331,-1,0,0,331,361,128818,129170,401,0,http://wn.com/,1,"Fri, 07 Aug 2015 10:55:01 GMT",0,
07/08/2015,10:54:59,-,-,3,cdn3.wn.com,68.232.35.229,/vp/i/f8/9fd976b340dccd.png,GET,200,image/png,,Edgecast,-1,1272,159,,366,1638,,-1,253,337,-1,0,0,337,366,2821,3156,403,0,http://wn.com/,4,"Fri, 07 Aug 2015 10:55:01 GMT",0,
07/08/2015,10:54:59,-,-,4,cdn6.wn.com,68.232.35.229,/vp/m/d4/65d3041d3ea8f2fbb094d95be39bf7.css,GET,200,text/css,gzip,Edgecast,-1,1163,104,,368,1531,,-1,251,337,-1,0,0,337,367,32445,32812,417,0,http://wn.com/,1,"Fri, 07 Aug 2015 10:55:01 GMT",0,
07/08/2015,10:54:59,-,-,5,maxcdn.bootstrapcdn.com,,/bootstrap/3.3.1/js/bootstrap.min.js,GET,200,text/javascript,gzip,NetDNA,-1,95,93,,540,635,,-1,282,353,-1,384,540,353,384,0,11868,340,0,http://wn.com/,14,"Sat, 02 Jul 2016 10:55:01 GMT",0,
07/08/2015,10:54:59,-,-,6,cdn9.wn.com,68.232.35.229,/vp/i/9d/b40ebafeaafa97.jpg,GET,200,image/jpeg,,Edgecast,-1,885,39,,1536,2421,,-1,0,0,-1,0,0,0,0,53426,53764,403,53426,http://wn.com/,14,"Fri, 07 Aug 2015 10:55:02 GMT",0,
07/08/2015,10:54:59,-,-,7,cdn9.wn.com,68.232.35.229,/vp/i/28/bb5c7c664630da.jpg,GET,200,image/jpeg,,Edgecast,-1,63,38,,1567,1630,,-1,0,0,-1,0,0,1536,1567,15790,16128,403,15790,http://wn.com/,14,"Fri, 07 Aug 2015 10:55:02 GMT",0,
07/08/2015,10:54:59,-,-,8,i.ytimg.com,74.125.136.138,/vi/6Jnk61LJcHI/0.jpg,GET,200,image/jpeg,,Google,-1,278,44,,1639,1917,,-1,1535,1601,-1,0,0,1601,1638,31695,32048,339,31695,http://wn.com/,14,"Wed, 08 Jul 2015 16:31:22 GMT",0,
07/08/2015,10:54:59,-,-,9,i.ytimg.com,74.125.136.138,/vi/RqcaWV6ilF8/0.jpg,GET,200,image/jpeg,,Google,-1,79,68,,1639,1718,,-1,0,0,-1,0,0,1601,1638,7956,8251,339,7956,http://wn.com/,14,"Wed, 08 Jul 2015 16:55:02 GMT",0,
07/08/2015,10:54:59,-,-,10,i.ytimg.com,74.125.136.138,/vi/xNn7KL01BS8/0.jpg,GET,200,image/jpeg,,Google,-1,206,81,,1639,1845,,-1,0,0,-1,0,0,1601,1638,13763,14105,339,13763,http://wn.com/,14,"Wed, 08 Jul 2015 16:55:02 GMT",0,
07/08/2015,10:54:59,-,-,11,i.ytimg.com,74.125.136.138,/vi/zfDPvpZTCLM/0.jpg,GET,200,image/jpeg,,Google,-1,217,100,,1639,1856,,-1,0,0,-1,0,0,1601,1638,17105,17447,339,17105,http://wn.com/,14,"Wed, 08 Jul 2015 16:55:02 GMT",0,
07/08/2015,10:54:59,-,-,12,i.ytimg.com,74.125.136.138,/vi/03-JEVsNLUY/0.jpg,GET,200,image/jpeg,,Google,-1,217,124,,1639,1856,,-1,0,0,-1,0,0,1601,1638,15726,16068,339,15726,http://wn.com/,14,"Wed, 08 Jul 2015 16:55:02 GMT",0,
07/08/2015,10:54:59,-,-,13,i.ytimg.com,74.125.136.138,/vi/d_QYSdAGiho/0.jpg,GET,200,image/jpeg,,Google,-1,792,171,,1640,2432,,-1,0,0,-1,0,0,1601,1638,35807,36149,339,35807,http://wn.com/,14,"Wed, 08 Jul 2015 16:55:02 GMT",0,
07/08/2015,10:54:59,-,-,14,cdn9.wn.com,68.232.35.229,/vp/i/c6/4d90f7cb072fb0.jpg,GET,200,image/jpeg,,Edgecast,-1,1562,144,,1643,3205,,-1,0,0,-1,0,0,0,0,21551,21889,403,21551,http://wn.com/,14,"Fri, 07 Aug 2015 10:55:02 GMT",0,
07/08/2015,10:54:59,-,-,15,cdn3.wn.com,68.232.35.229,/vp/i/e6/ce537f458be254.jpg,GET,200,image/jpeg,,Edgecast,-1,1016,166,,1646,2662,,-1,0,0,-1,0,0,0,0,14700,15038,403,14700,http://wn.com/,14,"Fri, 07 Aug 2015 10:55:02 GMT",0,
07/08/2015,10:54:59,-,-,16,cdn4.wn.com,68.232.35.229,/vp/i/10/2265d84e464856.jpg,GET,200,image/jpeg,,Edgecast,-1,990,144,,1679,2669,,-1,1536,1638,-1,0,0,1638,1677,26964,27302,403,26964,http://wn.com/,14,"Fri, 07 Aug 2015 10:55:02 GMT",0,
07/08/2015,10:54:59,-,-,17,cdn4.wn.com,68.232.35.229,/or/awesome/fonts/fontawesome-webfont.woff2?v=4.3.0,GET,200,application/octet-stream,,Edgecast,-1,930,151,,1679,2609,,-1,0,0,-1,0,0,1638,1678,56780,57132,422,0,http://wn.com/,14,"Fri, 07 Aug 2015 10:55:02 GMT",0,
07/08/2015,10:54:59,-,-,18,fonts.gstatic.com,74.125.136.94,/s/lato/v11/v0SdcGFAl2aezM9Vq_aFTQ.ttf,GET,200,font/ttf,gzip,Google,-1,209,55,,1820,2029,,-1,1576,1677,-1,0,0,1677,1820,39588,40048,415,0,http://wn.com/,14,"Sat, 28 May 2016 01:39:28 GMT",0,
07/08/2015,10:54:59,-,-,19,i.ytimg.com,74.125.136.138,/vi/-rlRU8I-Pkc/0.jpg,GET,200,image/jpeg,,Google,-1,97,75,,1859,1956,,-1,0,0,-1,0,0,0,0,14320,14616,339,14320,http://wn.com/,14,"Wed, 08 Jul 2015 16:55:02 GMT",0,
07/08/2015,10:54:59,-,-,20,fonts.gstatic.com,74.125.136.94,/s/lato/v11/DvlFBScY1r-FMtZSYIYoYw.ttf,GET,200,font/ttf,gzip,Google,-1,250,96,,1898,2148,,-1,0,0,-1,0,0,1832,1898,39787,40246,415,0,http://wn.com/,14,"Wed, 06 Jul 2016 06:24:46 GMT",0,
07/08/2015,10:54:59,-,-,21,cdn4.wn.com,68.232.35.229,/vp/i/e0/f073b9bd44c6de.jpg,GET,200,image/jpeg,,Edgecast,-1,4923,121,,1914,6837,,-1,0,0,-1,0,0,1850,1914,22815,23153,403,22815,http://wn.com/,14,"Fri, 07 Aug 2015 10:55:02 GMT",0,
